S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,226.10,228.10,225.40,225.70,0.13,"92,958.00","21,063,294.90"
2,2026-02-05,227.5,227.5,225.0,225.4,-0.18,"99,731.00","22,507,703.20"
3,2026-02-04,221.6,228.9,221.6,225.8,-0.13,"109,146.00","24,719,893.90"
4,2026-02-03,226.1,228.0,224.0,226.1,-0.75,"59,078.00","13,412,742.50"
5,2026-02-02,223.4,229.0,223.4,227.8,-0.04,"53,749.00","12,227,713.20"
6,2026-02-01,228.9,228.9,226.1,227.9,0.57,"111,683.00","25,397,468.90"
7,2026-01-29,229.9,231.0,225.8,226.6,-0.83,"151,135.00","34,474,808.50"
8,2026-01-28,229.0,229.8,225.0,228.5,-0.48,"156,966.00","35,716,117.20"
9,2026-01-27,234.9,234.9,229.6,229.6,-1.42,"130,359.00","30,182,879.60"
10,2026-01-26,233.0,238.0,231.3,232.9,-0.04,"192,953.00","45,143,155.50"
11,2026-01-25,229.0,233.5,229.0,233.0,2.19,"245,949.00","56,811,271.00"
12,2026-01-22,228.5,229.7,227.1,228.0,-0.39,"69,966.00","15,952,999.60"
13,2026-01-21,228.0,234.9,227.0,228.9,-0.48,"207,746.00","47,512,746.50"
14,2026-01-20,232.7,234.1,228.0,230.0,0.79,"389,051.00","89,620,290.20"
15,2026-01-18,225.0,228.5,225.0,228.2,0.97,"111,936.00","25,460,818.60"
16,2026-01-14,226.1,228.0,225.0,226.0,-0.4,"81,854.00","18,501,568.90"
17,2026-01-13,225.3,229.8,225.3,226.9,-0.48,"52,290.00","11,849,172.60"
18,2026-01-12,232.5,232.5,225.0,228.0,0.0,"125,875.00","28,544,612.80"
19,2026-01-08,226.3,230.0,225.5,228.0,0.0,"60,878.00","13,813,139.50"
20,2026-01-07,230.0,230.0,226.6,228.0,-0.22,"55,204.00","12,571,199.00"
21,2026-01-06,230.0,231.0,228.0,228.5,-0.65,"55,124.00","12,679,169.40"
22,2026-01-05,226.1,230.0,224.9,230.0,1.72,"141,991.00","32,084,463.80"
23,2026-01-04,229.9,229.9,226.1,226.1,-0.4,"53,394.00","12,116,344.10"
24,2026-01-01,231.0,231.0,226.8,227.0,-0.44,"40,289.00","9,197,167.20"
25,2025-12-31,230.0,232.0,228.0,228.0,-0.83,"67,132.00","15,431,230.90"
26,2025-12-29,233.2,233.2,227.5,229.9,0.04,"100,390.00","23,041,758.60"
27,2025-12-28,229.0,230.0,224.5,229.8,0.79,"171,040.00","38,941,024.30"
28,2025-12-24,224.0,228.0,222.7,228.0,1.79,"89,036.00","19,933,609.60"
29,2025-12-23,224.5,226.0,223.0,224.0,-0.22,"68,164.00","15,267,340.90"
30,2025-12-22,225.0,226.5,224.1,224.5,-0.62,"52,274.00","11,764,211.30"
31,2025-12-21,226.0,228.0,225.0,225.9,-0.04,"65,870.00","14,877,645.30"
32,2025-12-18,225.7,227.6,225.7,226.0,-0.44,"63,026.00","14,274,978.00"
33,2025-12-17,228.9,228.9,225.7,227.0,0.35,"72,596.00","16,468,926.40"
34,2025-12-16,227.0,227.9,224.5,226.2,-0.22,"64,941.00","14,707,251.30"
35,2025-12-15,223.0,226.9,222.9,226.7,1.21,"89,120.00","20,054,970.20"
36,2025-12-14,223.5,225.0,222.6,224.0,0.22,"73,492.00","16,474,714.80"
37,2025-12-11,226.0,226.0,222.6,223.5,-0.04,"66,611.00","14,884,476.80"
38,2025-12-10,223.1,225.0,223.1,223.6,-0.13,"63,538.00","14,229,048.30"
39,2025-12-09,227.0,227.0,223.0,223.9,-0.27,"64,370.00","14,458,423.70"
40,2025-12-08,229.8,229.8,223.1,224.5,-0.66,"49,425.00","11,093,041.10"
41,2025-12-07,221.0,226.0,221.0,226.0,0.44,"89,809.00","20,069,044.20"
42,2025-12-03,228.5,228.5,224.1,225.0,-1.1,"91,971.00","20,700,677.20"
43,2025-12-02,227.0,229.0,226.2,227.5,0.22,"60,803.00","13,787,911.30"
44,2025-12-01,230.0,230.0,226.9,227.0,-1.3,"52,719.00","12,014,154.60"
45,2025-11-30,230.0,234.8,229.9,230.0,-0.3,"97,589.00","22,587,779.90"
46,2025-11-27,230.9,232.0,228.0,230.7,0.44,"91,962.00","21,207,493.30"
47,2025-11-26,228.0,231.8,226.7,229.7,0.39,"79,063.00","18,108,264.40"
48,2025-11-25,227.1,229.0,225.0,228.8,0.39,"101,726.00","23,138,737.90"
49,2025-11-24,224.0,228.0,224.0,227.9,1.97,"102,265.00","23,156,475.80"
50,2025-11-23,222.0,224.0,221.0,223.5,0.72,"105,301.00","23,421,359.00"
51,2025-11-20,223.9,224.8,218.9,221.9,-0.89,"277,777.00","61,325,025.80"
52,2025-11-19,226.9,226.9,223.0,223.9,-0.27,"56,872.00","12,742,741.60"
53,2025-11-18,224.1,227.0,224.1,224.5,0.0,"52,253.00","11,778,335.90"
54,2025-11-17,225.1,227.7,224.4,224.5,-0.66,"92,697.00","20,863,717.80"
55,2025-11-16,227.0,228.4,224.0,226.0,-0.04,"102,360.00","23,174,024.50"
