S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,184.00,187.20,183.60,187.00,1.63,"192,053.00","35,666,701.90"
2,2026-02-25,182.6,184.9,182.5,184.0,0.27,"292,282.00","53,763,108.70"
3,2026-02-24,180.2,184.4,180.2,183.5,0.66,"78,453.00","14,365,099.70"
4,2026-02-23,178.4,183.0,178.4,182.3,0.16,"149,398.00","27,159,762.50"
5,2026-02-22,179.4,184.5,179.4,182.0,-0.55,"182,914.00","33,319,375.60"
6,2026-02-17,182.2,186.9,182.2,183.0,-1.56,"156,416.00","28,681,533.10"
7,2026-02-16,184.3,188.0,184.3,185.9,-1.12,"88,926.00","16,509,726.80"
8,2026-02-12,186.0,188.5,184.0,188.0,1.62,"201,565.00","37,659,455.00"
9,2026-02-11,187.0,189.0,184.1,185.0,0.65,"162,046.00","30,174,286.50"
10,2026-02-10,187.0,187.0,182.5,183.8,-0.22,"150,129.00","27,539,337.80"
11,2026-02-09,184.0,186.8,183.2,184.2,-0.7,"302,783.00","55,765,340.50"
12,2026-02-08,188.0,190.5,185.1,185.5,0.16,"227,052.00","42,521,803.10"
13,2026-02-05,184.1,187.0,182.7,185.2,0.6,"168,355.00","31,228,503.50"
14,2026-02-04,182.0,187.6,182.0,184.1,-0.49,"125,642.00","23,219,543.40"
15,2026-02-03,188.0,189.0,184.2,185.0,-0.91,"184,817.00","34,248,708.80"
16,2026-02-02,186.0,190.6,186.0,186.7,-1.22,"142,438.00","26,671,837.30"
17,2026-02-01,190.0,192.5,188.0,189.0,0.0,"223,981.00","42,623,202.40"
18,2026-01-29,190.0,193.8,187.0,189.0,0.53,"517,347.00","98,612,345.60"
19,2026-01-28,188.9,189.0,185.0,188.0,-0.05,"202,968.00","37,816,060.10"
20,2026-01-27,192.6,195.4,186.5,188.1,-3.24,"226,088.00","42,846,337.50"
21,2026-01-26,196.0,198.1,190.0,194.4,-0.31,"383,435.00","74,101,206.30"
