S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,333.00,338.70,328.00,335.00,0.60,"71,245.00","23,864,542.70"
2,2026-02-26,341.7,341.7,332.1,333.0,-0.6,"34,106.00","11,393,860.20"
3,2026-02-25,333.0,337.0,331.1,335.0,0.57,"24,261.00","8,113,726.70"
4,2026-02-24,332.0,338.0,327.0,333.1,0.48,"37,561.00","12,502,148.00"
5,2026-02-23,330.0,334.0,329.0,331.5,0.45,"69,397.00","22,969,460.90"
6,2026-02-22,328.0,337.0,328.0,330.0,-0.75,"135,094.00","44,967,819.40"
7,2026-02-17,335.9,335.9,330.2,332.5,-0.75,"77,189.00","25,702,855.10"
8,2026-02-16,338.1,338.1,330.0,335.0,0.93,"74,537.00","24,888,315.20"
9,2026-02-12,326.0,337.9,325.4,331.9,1.81,"110,590.00","36,789,843.90"
10,2026-02-11,328.0,336.0,324.0,326.0,0.56,"68,954.00","22,529,957.70"
11,2026-02-10,325.0,326.0,323.6,324.2,-0.55,"50,581.00","16,417,672.80"
12,2026-02-09,327.6,329.0,324.0,326.0,-0.91,"203,811.00","66,198,728.60"
13,2026-02-08,327.0,336.0,327.0,329.0,-1.2,"66,785.00","22,108,389.50"
14,2026-02-05,330.0,335.0,323.4,333.0,0.91,"143,899.00","46,911,094.90"
15,2026-02-04,323.4,334.4,323.4,330.0,0.0,"31,418.00","10,372,551.30"
16,2026-02-03,330.0,333.0,328.1,330.0,0.0,"68,791.00","22,722,197.40"
17,2026-02-02,324.6,336.0,324.6,330.0,-0.36,"67,528.00","22,248,579.40"
18,2026-02-01,336.9,336.9,330.2,331.2,-0.6,"67,765.00","22,517,759.90"
19,2026-01-29,341.5,345.0,333.0,333.2,-1.71,"162,087.00","54,374,743.40"
20,2026-01-28,338.0,341.7,336.5,339.0,0.3,"55,251.00","18,708,754.60"
21,2026-01-27,346.0,346.5,338.0,338.0,-2.31,"130,093.00","44,310,205.90"
22,2026-01-26,344.0,350.5,342.0,346.0,0.61,"123,594.00","42,913,847.80"
23,2026-01-25,336.0,346.0,336.0,343.9,0.82,"68,083.00","23,253,545.90"
24,2026-01-22,344.0,344.5,341.0,341.1,-0.84,"47,778.00","16,348,372.70"
25,2026-01-21,340.2,346.0,340.0,344.0,0.58,"129,480.00","44,519,613.30"
26,2026-01-20,339.8,343.9,339.8,342.0,1.48,"72,447.00","24,753,316.50"
27,2026-01-18,336.5,341.0,335.0,337.0,0.0,"81,137.00","27,430,286.10"
28,2026-01-14,332.0,338.6,328.3,337.0,0.6,"74,474.00","25,032,944.20"
