S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,"1,210.20","1,210.20","1,178.00","1,183.00",-4.20,150.00,"178,130.00"
2,2026-02-10,"1,260.00","1,260.00","1,260.00","1,234.80",-2.0,1.00,"1,234.80"
3,2026-01-13,"1,220.00","1,260.00","1,220.00","1,260.00",3.28,251.00,"316,244.40"
4,2026-01-12,"1,220.00","1,220.00","1,220.00","1,220.00",-1.22,25.00,"30,500.00"
5,2026-01-07,"1,235.10","1,236.00","1,235.10","1,235.10",1.07,60.00,"74,128.50"
6,2026-01-06,"1,222.00","1,222.00","1,222.00","1,222.00",-0.08,50.00,"61,100.00"
7,2026-01-05,"1,220.00","1,223.00","1,220.00","1,223.00",-1.37,50.00,"61,075.00"
8,2026-01-04,"1,240.00","1,240.00","1,240.00","1,240.00",-1.98,25.00,"31,000.00"
9,2026-01-01,"1,245.00","1,265.00","1,245.00","1,265.00",1.61,30.00,"37,949.50"
10,2025-12-31,"1,245.00","1,245.00","1,245.00","1,245.00",0.0,25.00,"31,125.00"
11,2025-12-29,"1,245.00","1,257.00","1,241.10","1,245.00",0.0,521.00,"652,866.00"
12,2025-12-28,"1,245.00","1,245.00","1,245.00","1,245.00",-0.01,25.00,"31,125.00"
13,2025-12-24,"1,238.10","1,246.00","1,238.10","1,245.10",1.15,180.00,"223,833.00"
14,2025-12-22,"1,233.50","1,233.50","1,231.00","1,231.00",-0.2,150.00,"184,775.00"
15,2025-12-21,"1,233.50","1,233.50","1,233.50","1,233.50",0.37,25.00,"30,837.50"
16,2025-12-16,"1,229.00","1,229.00","1,229.00","1,229.00",-1.99,25.00,"30,725.00"
17,2025-12-14,"1,211.00","1,254.00","1,211.00","1,254.00",3.55,241.00,"302,195.20"
18,2025-12-11,"1,211.00","1,211.00","1,211.00","1,211.00",-1.94,25.00,"30,275.00"
19,2025-12-07,"1,235.00","1,235.00","1,235.00","1,235.00",0.0,6.00,"7,410.00"
20,2025-12-03,"1,235.00","1,235.00","1,235.00","1,235.00",-0.35,25.00,"30,875.00"
21,2025-12-02,"1,230.00","1,239.30","1,230.00","1,239.30",2.0,60.00,"74,125.50"
22,2025-12-01,"1,226.00","1,226.00","1,215.00","1,215.00",-2.88,50.00,"61,025.00"
23,2025-11-30,"1,216.00","1,251.00","1,216.00","1,251.00",2.88,161.00,"201,400.30"
24,2025-11-27,"1,216.00","1,216.00","1,216.00","1,216.00",0.0,40.00,"48,640.00"
25,2025-11-26,"1,211.00","1,216.00","1,211.00","1,216.00",-0.65,50.00,"60,675.00"
26,2025-11-25,"1,224.00","1,224.00","1,224.00","1,224.00",2.0,35.00,"42,840.00"
27,2025-11-24,"1,200.00","1,200.00","1,200.00","1,200.00",-1.72,25.00,"30,000.00"
28,2025-11-23,"1,221.00","1,221.00","1,221.00","1,221.00",-0.73,25.00,"30,525.00"
29,2025-11-19,"1,250.00","1,250.00","1,230.00","1,230.00",-1.6,26.00,"31,975.00"
30,2025-11-18,"1,250.00","1,250.00","1,250.00","1,250.00",0.0,25.00,"31,250.00"
31,2025-11-17,"1,248.00","1,250.00","1,248.00","1,250.00",1.2,985.00,"1,229,390.00"
32,2025-11-16,"1,235.20","1,235.20","1,235.20","1,235.20",2.0,25.00,"30,880.00"
33,2025-11-11,"1,188.00","1,211.00","1,188.00","1,211.00",0.91,220.00,"265,845.00"
34,2025-11-10,"1,224.00","1,224.00","1,224.00","1,200.10",0.01,51.00,"62,400.10"
35,2025-11-04,"1,245.00","1,245.00","1,245.00","1,200.00",-3.61,2.00,"2,421.10"
36,2025-11-03,"1,224.00","1,245.00","1,224.00","1,245.00",3.75,822.00,"1,022,865.00"
37,2025-11-02,"1,200.00","1,220.00","1,200.00","1,200.00",-0.92,205.00,"247,100.00"
38,2025-10-29,"1,235.00","1,235.00","1,235.00","1,211.10",-1.94,77.00,"95,071.10"
39,2025-10-28,"1,225.00","1,235.00","1,205.00","1,235.00",1.56,525.00,"644,125.00"
40,2025-10-26,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94,100.00,"121,600.00"
41,2025-10-19,"1,240.00","1,240.00","1,240.00","1,240.00",1.81,74.00,"91,760.00"
42,2025-10-16,"1,218.00","1,218.00","1,218.00","1,218.00",1.92,100.00,"121,800.00"
43,2025-10-15,"1,195.00","1,195.00","1,195.00","1,195.00",-1.81,50.00,"59,750.00"
44,2025-10-14,"1,217.00","1,217.00","1,217.00","1,217.00",-1.93,25.00,"30,425.00"
45,2025-10-13,"1,180.00","1,241.00","1,180.00","1,241.00",5.17,"1,226.00","1,521,414.00"
46,2025-10-12,"1,180.00","1,180.00","1,180.00","1,180.00",0.0,5.00,"5,900.00"
47,2025-10-09,"1,200.00","1,200.00","1,180.00","1,180.00",-1.75,825.00,"989,500.00"
48,2025-10-08,"1,216.00","1,216.00","1,201.00","1,201.00",-3.15,125.00,"151,625.00"
49,2025-10-07,"1,240.00","1,245.00","1,240.00","1,240.00",1.22,"1,150.00","1,426,620.00"
50,2025-09-28,"1,225.00","1,225.00","1,225.00","1,225.00",-0.97,50.00,"61,250.00"
51,2025-09-25,"1,202.00","1,237.00","1,202.00","1,237.00",4.37,"1,449.00","1,776,167.30"
52,2025-09-24,"1,185.00","1,185.20","1,185.00","1,185.20",2.0,380.00,"450,370.00"
53,2025-09-23,"1,126.00","1,162.00","1,126.00","1,162.00",1.93,425.00,"492,650.00"
54,2025-09-21,"1,128.00","1,140.00","1,128.00","1,140.00",1.97,75.00,"85,200.00"
55,2025-09-07,"1,118.00","1,118.00","1,118.00","1,118.00",-0.27,25.00,"27,950.00"
56,2025-09-04,"1,121.00","1,121.00","1,121.00","1,121.00",0.0,25.00,"28,025.00"
57,2025-09-03,"1,121.00","1,121.00","1,121.00","1,121.00",-0.27,25.00,"28,025.00"
58,2025-09-02,"1,124.00","1,124.00","1,124.00","1,124.00",0.0,25.00,"28,100.00"
59,2025-09-01,"1,118.00","1,124.00","1,115.00","1,124.00",0.99,555.00,"620,740.00"
60,2025-08-31,"1,116.00","1,116.00","1,113.00","1,113.00",-0.2,75.00,"83,551.10"
61,2025-08-28,"1,115.00","1,115.20","1,115.00","1,115.20",0.02,50.00,"55,755.00"
62,2025-08-27,"1,115.00","1,115.00","1,115.00","1,115.00",0.31,25.00,"27,875.00"
63,2025-08-24,"1,110.00","1,115.00","1,108.00","1,111.58",-0.49,175.00,"194,658.00"
64,2025-08-20,"1,109.30","1,117.00","1,109.30","1,117.00",-0.71,50.00,"55,657.50"
65,2025-08-19,"1,125.00","1,125.00","1,125.00","1,125.00",0.36,25.00,"28,125.00"
66,2025-08-17,"1,121.00","1,121.00","1,121.00","1,121.00",0.0,25.00,"28,025.00"
67,2025-08-14,"1,121.00","1,121.00","1,121.00","1,121.00",-1.51,50.00,"56,050.00"
68,2025-08-12,"1,138.20","1,138.20","1,138.20","1,138.20",2.0,50.00,"56,910.00"
69,2025-08-11,"1,111.00","1,133.00","1,111.00","1,115.90",-0.45,89.00,"100,101.50"
70,2025-08-06,"1,120.90","1,120.90","1,120.90","1,120.90",-0.84,25.00,"28,022.50"
71,2025-08-05,"1,112.90","1,130.40","1,112.90","1,130.40",0.18,125.00,"140,377.50"
72,2025-08-04,"1,143.00","1,143.00","1,122.90","1,128.34",-3.25,180.00,"203,102.50"
73,2025-08-03,"1,190.00","1,190.00","1,190.00","1,166.20",-3.22,21.00,"24,966.20"
74,2025-07-16,"1,198.00","1,198.00","1,198.00","1,205.00",0.58,1.00,"1,205.00"
75,2025-07-15,"1,178.00","1,198.00","1,178.00","1,198.00",1.7,35.00,"41,430.00"
76,2025-07-03,"1,178.00","1,178.00","1,178.00","1,178.00",0.0,50.00,"58,900.00"
77,2025-06-29,"1,135.00","1,178.00","1,135.00","1,178.00",3.79,175.00,"206,129.70"
78,2025-06-26,"1,117.50","1,135.00","1,117.00","1,135.00",0.0,48.00,"54,062.00"
79,2025-06-25,"1,135.00","1,135.00","1,135.00","1,135.00",-1.73,50.00,"56,750.00"
80,2025-06-24,"1,155.00","1,155.00","1,155.00","1,155.00",-1.95,25.00,"28,875.00"
81,2025-06-23,"1,178.00","1,178.00","1,178.00","1,178.00",1.55,200.00,"235,600.00"
82,2025-06-22,"1,149.50","1,160.00","1,127.00","1,160.00",2.93,125.00,"143,375.00"
83,2025-06-19,"1,127.00","1,127.00","1,127.00","1,127.00",0.09,50.00,"56,350.00"
84,2025-06-18,"1,126.00","1,126.00","1,126.00","1,126.00",-0.35,25.00,"28,150.00"
85,2025-06-17,"1,130.00","1,130.00","1,130.00","1,130.00",-0.62,25.00,"28,250.00"
86,2025-06-16,"1,160.00","1,160.00","1,137.00","1,137.00",-1.98,75.00,"85,850.00"
87,2025-06-15,"1,170.00","1,170.00","1,160.00","1,160.00",-1.53,50.00,"58,250.00"
88,2025-06-09,"1,170.00","1,178.00","1,170.00","1,178.00",2.57,250.00,"294,300.00"
89,2025-06-08,"1,148.50","1,148.50","1,148.50","1,148.50",2.0,25.00,"28,712.50"
90,2025-06-05,"1,126.00","1,126.00","1,126.00","1,126.00",-0.45,100.00,"112,600.00"
91,2025-06-03,"1,131.10","1,131.10","1,131.10","1,131.10",-0.79,30.00,"33,933.00"
92,2025-06-02,"1,140.10","1,140.10","1,140.10","1,140.10",-1.8,50.00,"57,005.00"
93,2025-05-28,"1,146.00","1,161.00","1,146.00","1,161.00",1.75,75.00,"86,700.00"
94,2025-05-27,"1,141.00","1,141.00","1,141.00","1,141.00",-1.89,25.00,"28,525.00"
95,2025-05-26,"1,178.00","1,178.00","1,163.00","1,163.00",-0.01,657.00,"772,446.00"
96,2025-05-25,"1,178.00","1,178.00","1,163.10","1,163.10",-0.59,75.00,"87,977.50"
97,2025-05-22,"1,170.00","1,170.00","1,170.00","1,170.00",1.47,100.00,"117,000.00"
98,2025-05-21,"1,153.00","1,153.00","1,153.00","1,153.00",-1.87,25.00,"28,825.00"
99,2025-05-19,"1,131.00","1,178.00","1,131.00","1,175.00",3.89,987.00,"1,160,072.80"
100,2025-05-15,"1,131.00","1,131.00","1,131.00","1,131.00",0.0,25.00,"28,275.00"
101,2025-05-13,"1,126.00","1,131.00","1,126.00","1,131.00",-0.62,50.00,"56,425.00"
102,2025-05-07,"1,138.50","1,138.50","1,138.00","1,138.00",-1.9,228.00,"259,476.50"
103,2025-05-06,"1,160.00","1,160.00","1,160.00","1,160.00",1.84,100.00,"116,000.00"
104,2025-05-05,"1,139.00","1,139.00","1,139.00","1,139.00",0.35,100.00,"113,900.00"
105,2025-05-04,"1,151.00","1,151.00","1,151.00","1,135.00",-0.61,29.00,"33,315.00"
106,2025-04-30,"1,142.00","1,142.00","1,142.00","1,142.00",-1.08,65.00,"74,230.00"
107,2025-04-29,"1,154.50","1,154.50","1,154.50","1,154.50",-1.99,50.00,"57,725.00"
108,2025-04-28,"1,135.10","1,178.00","1,135.10","1,178.00",3.78,333.00,"392,253.00"
109,2025-04-27,"1,135.10","1,135.10","1,135.10","1,135.10",-0.43,25.00,"28,377.50"
110,2025-04-24,"1,140.00","1,140.00","1,140.00","1,140.00",0.0,25.00,"28,500.00"
111,2025-04-22,"1,156.00","1,156.00","1,140.00","1,140.00",-3.31,35.00,"40,300.00"
112,2025-04-20,"1,134.00","1,179.00","1,134.00","1,179.00",3.97,652.00,"760,231.60"
113,2025-04-16,"1,134.00","1,134.00","1,134.00","1,134.00",-1.78,25.00,"28,350.00"
114,2025-04-15,"1,154.60","1,154.60","1,154.60","1,154.60",0.0,100.00,"115,460.00"
115,2025-04-10,"1,132.00","1,132.00","1,132.00","1,154.60",2.0,7.00,"8,082.20"
116,2025-04-09,"1,132.00","1,132.00","1,132.00","1,132.00",0.09,26.00,"29,432.00"
117,2025-04-08,"1,130.50","1,131.00","1,130.50","1,131.00",0.27,52.00,"58,799.50"
118,2025-04-03,"1,128.00","1,128.00","1,128.00","1,128.00",0.18,75.00,"84,600.00"
119,2025-04-02,"1,126.00","1,126.00","1,126.00","1,126.00",-1.23,25.00,"28,150.00"
120,2025-04-01,"1,131.00","1,131.00","1,131.00","1,140.00",1.33,27.00,"30,555.00"
121,2025-03-30,"1,125.00","1,125.00","1,121.10","1,125.00",0.0,51.00,"57,277.50"
122,2025-03-25,"1,118.70","1,125.00","1,118.70","1,125.00",0.38,80.00,"89,842.50"
123,2025-03-24,"1,120.80","1,120.80","1,120.80","1,120.70",-0.01,6.00,"6,724.20"
124,2025-03-23,"1,120.70","1,120.70","1,120.70","1,120.80",0.16,37.00,"41,466.30"
125,2025-03-19,"1,125.40","1,125.40","1,117.00","1,119.00",-0.39,110.00,"123,331.50"
126,2025-03-18,"1,118.40","1,123.40","1,118.40","1,123.40",0.33,50.00,"56,045.00"
127,2025-03-17,"1,119.70","1,119.70","1,119.70","1,119.70",-0.06,30.00,"33,541.00"
128,2025-03-16,"1,120.40","1,120.40","1,120.40","1,120.40",0.04,25.00,"28,013.00"
129,2025-03-12,"1,118.50","1,120.40","1,118.50","1,120.00",0.13,134.00,"150,062.90"
130,2025-03-11,"1,118.50","1,118.50","1,118.50","1,118.50",0.0,3.00,"3,355.50"
131,2025-03-09,"1,118.80","1,118.80","1,118.50","1,118.50",-0.35,25.00,"27,967.00"
132,2025-03-06,"1,130.00","1,130.00","1,122.40","1,122.40",0.21,50.00,"56,310.00"
133,2025-03-05,"1,120.10","1,120.10","1,120.00","1,120.00",-1.93,100.00,"112,001.00"
134,2025-03-04,"1,142.00","1,142.00","1,142.00","1,142.00",1.8,25.00,"28,550.00"
135,2025-03-03,"1,130.00","1,130.00","1,121.30","1,121.80",-0.86,75.00,"84,327.50"
136,2025-02-23,"1,143.00","1,143.00","1,131.00","1,131.50",-1.61,191.00,"217,840.50"
137,2025-02-17,"1,150.00","1,150.00","1,150.00","1,150.00",1.58,100.00,"115,000.00"
138,2025-02-16,"1,132.10","1,132.10","1,132.10","1,132.10",-0.43,25.00,"28,302.50"
139,2025-02-12,"1,137.00","1,137.00","1,137.00","1,137.00",-1.98,25.00,"28,425.00"
140,2025-02-10,"1,160.00","1,160.00","1,160.00","1,160.00",-3.62,177.00,"205,339.60"
141,2025-02-06,"1,203.00","1,203.60","1,203.00","1,203.60",4.03,"2,389.00","2,875,182.00"
142,2025-02-05,"1,157.00","1,157.00","1,157.00","1,157.00",-1.95,25.00,"28,925.00"
143,2025-02-03,"1,134.00","1,180.00","1,104.50","1,180.00",1.98,"3,565.00","3,984,821.60"
144,2025-02-02,"1,157.10","1,157.10","1,157.10","1,157.10",-7.74,7.00,"8,362.70"
145,2025-01-26,"1,229.70","1,254.20","1,229.70","1,254.20",6.11,"2,059.00","2,581,666.80"
146,2025-01-23,"1,137.00","1,182.00","1,116.00","1,182.00",1.9,120.00,"138,104.70"
147,2025-01-22,"1,160.00","1,160.00","1,118.10","1,160.00",2.0,"2,055.00","2,297,905.00"
148,2025-01-21,"1,115.00","1,137.30","1,115.00","1,137.30",0.65,50.00,"56,307.50"
149,2025-01-19,"1,130.00","1,130.00","1,130.00","1,130.00",-0.88,"1,730.00","1,954,900.00"
150,2025-01-15,"1,125.00","1,140.00","1,125.00","1,140.00",1.33,105.00,"118,949.50"
151,2025-01-13,"1,151.00","1,151.00","1,125.00","1,125.00",-3.85,"10,670.00","12,244,997.50"
152,2025-01-08,"1,170.00","1,170.00","1,170.00","1,170.00",-0.09,25.00,"29,250.00"
153,2025-01-07,"1,171.00","1,171.00","1,171.00","1,171.00",0.0,"1,000.00","1,171,000.00"
154,2025-01-06,"1,171.00","1,171.00","1,171.00","1,171.00",-0.51,30.00,"35,120.00"
155,2025-01-05,"1,165.00","1,200.00","1,154.00","1,177.00",2.97,745.00,"885,694.00"
156,2025-01-02,"1,160.00","1,160.00","1,143.00","1,143.00",-0.61,50.00,"57,575.00"
157,2024-12-31,"1,138.10","1,150.00","1,138.10","1,150.00",-0.95,75.00,"85,952.50"
158,2024-12-26,"1,161.00","1,161.00","1,161.00","1,161.00",-1.98,25.00,"29,025.00"
159,2024-12-24,"1,184.50","1,184.50","1,184.50","1,184.50",0.02,25.00,"29,612.50"
160,2024-12-23,"1,184.00","1,185.00","1,162.00","1,184.30",3.67,685.00,"810,749.50"
161,2024-12-18,"1,142.40","1,142.40","1,142.40","1,142.40",2.0,10.00,"11,424.00"
162,2024-12-16,"1,120.00","1,120.00","1,120.00","1,120.00",0.0,5.00,"5,600.00"
163,2024-12-12,"1,140.00","1,140.00","1,120.00","1,120.00",-0.88,125.00,"141,000.00"
164,2024-12-10,"1,142.40","1,142.40","1,130.00","1,130.00",0.89,130.00,"148,192.00"
165,2024-12-09,"1,120.00","1,120.00","1,120.00","1,120.00",-1.5,25.00,"28,000.00"
166,2024-12-08,"1,115.00","1,137.00","1,115.00","1,137.00",2.34,50.00,"56,300.00"
167,2024-12-05,"1,111.00","1,111.00","1,111.00","1,111.00",0.0,50.00,"55,550.00"
168,2024-12-04,"1,111.00","1,111.00","1,111.00","1,111.00",-1.68,25.00,"27,775.00"
169,2024-12-03,"1,120.00","1,141.00","1,119.00","1,130.00",-0.73,155.00,"175,115.00"
170,2024-12-02,"1,125.00","1,138.30","1,125.00","1,138.30",2.0,35.00,"39,508.00"
171,2024-11-28,"1,116.00","1,116.00","1,116.00","1,116.00",-0.89,25.00,"27,900.00"
172,2024-11-27,"1,126.00","1,126.00","1,126.00","1,126.00",0.45,50.00,"56,300.00"
173,2024-11-26,"1,137.00","1,137.00","1,121.00","1,121.00",-3.36,50.00,"56,450.00"
174,2024-11-24,"1,102.70","1,187.90","1,102.70","1,164.20",7.69,757.00,"894,743.50"
175,2024-11-20,"1,124.10","1,124.10","1,081.10","1,081.10",-5.75,640.00,"692,540.00"
176,2024-11-17,"1,147.00","1,147.00","1,147.00","1,147.00",0.92,120.00,"137,640.00"
177,2024-11-13,"1,133.00","1,136.50","1,133.00","1,136.50",-1.64,55.00,"62,402.50"
178,2024-11-12,"1,169.00","1,178.90","1,155.40","1,155.40",-2.15,655.00,"771,431.00"
179,2024-11-10,"1,135.00","1,180.80","1,135.00","1,180.80",6.11,675.00,"796,351.00"
180,2024-11-06,"1,080.20","1,112.80","1,080.20","1,112.80",2.55,675.00,"731,095.00"
181,2024-11-05,"1,126.60","1,126.60","1,083.00","1,085.10",-5.6,725.00,"785,877.00"
182,2024-10-28,"1,127.00","1,149.50","1,127.00","1,149.50",0.22,160.00,"182,232.50"
183,2024-10-27,"1,147.00","1,147.00","1,147.00","1,147.00",2.41,50.00,"57,325.00"
184,2024-10-24,"1,120.00","1,120.00","1,120.00","1,120.00",-0.44,30.00,"33,600.00"
185,2024-10-22,"1,125.00","1,125.00","1,125.00","1,125.00",0.0,25.00,"28,125.00"
186,2024-10-21,"1,147.00","1,147.00","1,125.00","1,125.00",0.9,129.00,"147,373.00"
187,2024-10-20,"1,141.00","1,183.00","1,136.30","1,136.30",-0.45,710.00,"837,603.50"
188,2024-10-17,"1,119.00","1,120.00","1,119.00","1,120.00",-1.75,280.00,"313,575.00"
189,2024-10-16,"1,147.00","1,163.00","1,100.10","1,140.00",4.59,"1,375.00","1,534,089.50"
190,2024-10-15,"1,100.00","1,100.00","1,090.00","1,090.00",-1.0,75.00,"82,250.00"
191,2024-10-09,"1,101.00","1,101.00","1,101.00","1,101.00",-0.63,54.00,"59,450.00"
192,2024-10-08,"1,108.00","1,108.00","1,108.00","1,108.00",0.73,25.00,"27,700.00"
193,2024-10-06,"1,110.00","1,110.00","1,100.00","1,100.00",0.0,225.00,"247,870.00"
194,2024-10-02,"1,100.00","1,100.00","1,100.00","1,100.00",-0.27,150.00,"165,000.00"
195,2024-10-01,"1,103.00","1,103.00","1,103.00","1,103.00",-1.96,30.00,"33,090.00"
196,2024-09-30,"1,147.00","1,147.00","1,125.00","1,125.00",2.74,475.00,"544,075.00"
197,2024-09-29,"1,095.00","1,095.00","1,095.00","1,095.00",-1.97,25.00,"27,375.00"
198,2024-09-26,"1,117.00","1,117.00","1,117.00","1,117.00",0.0,100.00,"111,700.00"
199,2024-09-25,"1,095.00","1,117.00","1,095.00","1,117.00",1.92,150.00,"166,575.00"
200,2024-09-24,"1,116.00","1,116.00","1,096.00","1,096.00",-3.69,380.00,"417,975.50"
201,2024-09-23,"1,138.00","1,138.00","1,138.00","1,138.00",5.81,857.00,"974,961.00"
202,2024-09-18,"1,075.00","1,096.50","1,075.00","1,075.50",-0.42,75.00,"81,175.00"
203,2024-09-16,"1,080.00","1,080.00","1,080.00","1,080.00",0.19,50.00,"54,000.00"
204,2024-09-15,"1,075.00","1,075.00","1,075.00","1,075.00",-0.28,30.00,"32,265.00"
205,2024-09-12,"1,076.00","1,100.00","1,076.00","1,078.00",-1.55,487.00,"533,659.00"
206,2024-09-11,"1,080.00","1,095.00","1,080.00","1,095.00",2.82,100.00,"108,725.00"
207,2024-09-10,"1,051.00","1,072.00","1,051.00","1,065.00",0.0,205.00,"217,800.00"
208,2024-09-09,"1,075.00","1,075.00","1,065.00","1,065.00",-0.05,50.00,"53,500.00"
209,2024-09-08,"1,068.90","1,068.90","1,065.50","1,065.50",1.67,75.00,"80,082.50"
210,2024-09-05,"1,048.00","1,048.00","1,048.00","1,048.00",0.37,25.00,"26,200.00"
211,2024-09-04,"1,063.00","1,063.00","1,044.10","1,044.10",-1.96,125.00,"131,885.00"
212,2024-09-03,"1,065.00","1,065.00","1,065.00","1,065.00",-0.65,35.00,"37,275.00"
213,2024-09-02,"1,072.00","1,072.00","1,072.00","1,072.00",2.0,175.00,"187,600.00"
214,2024-09-01,"1,050.00","1,082.00","1,040.00","1,051.00",0.43,545.00,"578,690.00"
215,2024-08-29,"1,046.50","1,046.50","1,046.50","1,046.50",-1.27,25.00,"26,162.50"
216,2024-08-28,"1,060.00","1,060.00","1,060.00","1,060.00",0.0,50.00,"53,000.00"
217,2024-08-27,"1,060.00","1,060.00","1,060.00","1,060.00",-0.05,100.00,"106,000.00"
218,2024-08-25,"1,050.00","1,060.50","1,050.00","1,060.50",0.14,115.00,"121,355.00"
219,2024-08-22,"1,060.00","1,060.00","1,058.00","1,059.00",1.34,126.00,"133,434.00"
220,2024-08-21,"1,044.00","1,045.00","1,044.00","1,045.00",0.48,175.00,"182,750.00"
