S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,"1,100.00","1,100.00","1,100.00","1,100.00",0.82,80.00,"88,000.00"
2,2026-02-25,"1,091.10","1,091.10","1,091.00","1,091.00",0.46,125.00,"136,377.50"
3,2026-02-24,"1,086.00","1,086.00","1,086.00","1,086.00",0.37,25.00,"27,150.00"
4,2026-02-23,"1,095.00","1,095.00","1,082.00","1,082.00",-1.64,165.00,"179,024.00"
5,2026-02-22,"1,100.00","1,100.00","1,095.10","1,100.00",0.0,75.00,"82,306.50"
6,2026-02-17,"1,110.00","1,110.00","1,100.00","1,100.00",0.36,"1,763.00","1,949,966.00"
7,2026-02-16,"1,096.10","1,096.10","1,096.10","1,096.10",-0.81,25.00,"27,402.50"
8,2026-02-12,"1,090.10","1,105.00","1,090.10","1,105.00",1.86,138.00,"151,845.00"
9,2026-02-11,"1,084.30","1,084.80","1,084.30","1,084.80",-1.38,75.00,"81,347.50"
10,2026-02-10,"1,070.00","1,100.00","1,070.00","1,100.00",1.23,150.00,"163,750.00"
11,2026-02-09,"1,091.00","1,091.00","1,065.30","1,086.60",-0.4,100.00,"107,822.50"
12,2026-02-08,"1,108.00","1,108.00","1,091.00","1,091.00",-0.68,748.00,"827,934.00"
13,2026-02-05,"1,075.00","1,098.50","1,075.00","1,098.50",0.23,205.00,"223,432.50"
14,2026-02-04,"1,085.00","1,096.00","1,085.00","1,096.00",1.95,85.00,"92,675.00"
15,2026-02-03,"1,081.00","1,085.00","1,075.00","1,075.00",-0.56,190.00,"204,825.00"
16,2026-02-02,"1,099.00","1,107.00","1,081.00","1,081.00",-1.55,"1,823.00","2,015,861.00"
17,2026-02-01,"1,069.00","1,098.00","1,069.00","1,098.00",0.73,490.00,"533,577.50"
18,2026-01-29,"1,056.30","1,090.00","1,054.00","1,090.00",1.96,288.00,"306,294.50"
19,2026-01-28,"1,062.00","1,084.20","1,061.00","1,069.00",1.21,150.00,"161,150.00"
20,2026-01-27,"1,060.00","1,081.00","1,051.00","1,056.20",0.72,341.00,"362,013.50"
21,2026-01-26,"1,070.00","1,070.00","1,048.60","1,048.60",-2.0,30.00,"31,481.40"
22,2026-01-25,"1,076.00","1,080.00","1,070.00","1,070.00",-1.88,125.00,"134,315.00"
