S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,"1,070.00","1,070.00","1,070.00","1,070.00",-0.95,25.00,"26,750.00"
2,2026-02-01,"1,080.30","1,080.30","1,080.30","1,080.30",1.99,60.0,"64,818.00"
3,2026-01-28,"1,059.20","1,059.20","1,059.20","1,059.20",0.0,10.0,"10,592.00"
4,2026-01-27,"1,059.20","1,059.20","1,059.20","1,059.20",0.02,25.0,"26,480.00"
5,2026-01-22,"1,059.10","1,059.10","1,059.00","1,059.00",-0.4,100.0,"105,906.00"
6,2026-01-13,"1,063.30","1,063.30","1,063.30","1,063.30",-1.91,25.0,"26,582.50"
7,2026-01-08,"1,084.00","1,084.00","1,084.00","1,084.00",0.09,25.0,"27,100.00"
8,2026-01-05,"1,083.00","1,083.00","1,083.00","1,083.00",-1.29,25.0,"27,075.00"
9,2026-01-01,"1,097.10","1,097.10","1,097.10","1,097.10",-1.86,100.0,"109,710.00"
10,2025-12-31,"1,117.90","1,117.90","1,117.90","1,117.90",2.0,123.0,"137,501.70"
11,2025-12-29,"1,095.00","1,096.00","1,095.00","1,096.00",1.01,75.0,"82,175.00"
12,2025-12-24,"1,085.00","1,085.00","1,085.00","1,085.00",-1.14,25.0,"27,125.00"
13,2025-12-23,"1,087.00","1,087.00","1,087.00","1,097.50",2.0,39.0,"42,487.50"
14,2025-12-22,"1,095.00","1,095.00","1,076.00","1,076.00",-3.67,75.0,"81,177.50"
15,2025-12-21,"1,084.00","1,117.00","1,084.00","1,117.00",3.04,164.0,"183,176.00"
16,2025-12-18,"1,084.00","1,084.00","1,084.00","1,084.00",-0.2,25.0,"27,100.00"
17,2025-12-17,"1,065.00","1,065.00","1,065.00","1,086.20",1.99,9.0,"9,775.80"
18,2025-12-11,"1,085.10","1,085.10","1,085.10","1,065.00",-1.85,1.0,"1,065.00"
19,2025-12-10,"1,085.10","1,085.10","1,085.10","1,085.10",-0.67,25.0,"27,127.50"
20,2025-11-30,"1,092.40","1,092.40","1,092.40","1,092.40",2.0,27.0,"29,494.80"
21,2025-11-23,"1,071.00","1,071.00","1,071.00","1,071.00",-1.56,25.0,"26,775.00"
22,2025-11-20,"1,110.00","1,110.00","1,110.00","1,088.00",-1.98,1.0,"1,088.00"
23,2025-11-18,"1,110.00","1,110.00","1,110.00","1,110.00",1.83,30.0,"33,300.00"
24,2025-11-16,"1,090.00","1,090.00","1,090.00","1,090.00",0.0,25.0,"27,250.00"
25,2025-11-13,"1,090.00","1,090.00","1,090.00","1,090.00",1.87,25.0,"27,250.00"
26,2025-11-05,"1,070.00","1,070.00","1,070.00","1,070.00",-1.47,27.0,"28,890.00"
27,2025-11-04,"1,086.00","1,086.00","1,086.00","1,086.00",-1.99,25.0,"27,150.00"
28,2025-11-03,"1,054.00","1,108.00","1,054.00","1,108.00",5.12,254.0,"281,279.00"
29,2025-10-28,"1,054.00","1,054.00","1,054.00","1,054.00",-1.86,25.0,"26,350.00"
30,2025-10-19,"1,070.00","1,074.00","1,070.00","1,074.00",-1.47,75.0,"80,450.00"
31,2025-10-13,"1,045.00","1,104.00","1,045.00","1,090.00",4.31,385.0,"423,923.10"
32,2025-10-12,"1,045.00","1,045.00","1,045.00","1,045.00",0.29,25.0,"26,125.00"
33,2025-10-07,"1,062.00","1,062.30","1,041.10","1,042.00",0.05,135.0,"142,891.00"
34,2025-09-28,"1,041.50","1,041.50","1,041.50","1,041.50",1.87,100.0,"104,150.00"
35,2025-09-25,"1,022.40","1,022.40","1,022.40","1,022.40",2.0,25.0,"25,560.00"
36,2025-09-23,"1,002.40","1,002.40","1,002.40","1,002.40",-0.78,25.0,"25,060.00"
37,2025-09-07,"1,006.10","1,006.10","1,006.10","1,010.30",0.42,3.0,"3,030.90"
38,2025-09-04,"1,006.10","1,006.10","1,006.10","1,006.10",0.31,25.0,"25,152.50"
39,2025-09-03,"1,003.00","1,003.00","1,003.00","1,003.00",-0.69,25.0,"25,075.00"
40,2025-09-01,"1,010.00","1,010.00","1,010.00","1,010.00",0.0,25.0,"25,250.00"
41,2025-08-28,"1,010.00","1,010.00","1,010.00","1,010.00",0.55,25.0,"25,250.00"
42,2025-08-25,"1,004.50","1,004.50","1,004.50","1,004.50",0.0,25.0,"25,112.50"
43,2025-08-18,"1,004.50","1,004.50","1,004.50","1,004.50",-2.0,25.0,"25,112.50"
44,2025-08-13,"1,010.00","1,025.00","1,010.00","1,025.00",2.9,50.0,"50,875.00"
45,2025-08-12,996.10,996.10,996.10,996.10,-0.89,25.0,"24,902.50"
