S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,"1,071.00","1,071.00","1,071.00","1,071.00",0.04,25.00,"26,775.00"
2,2026-02-10,"1,071.00","1,071.00","1,070.60","1,070.60",0.04,25.00,"26,769.00"
3,2026-02-09,"1,070.10","1,070.20","1,070.10","1,070.20",-0.55,50.00,"53,507.50"
4,2026-02-08,"1,075.10","1,076.10","1,075.10","1,076.10",0.28,130.00,"139,835.50"
5,2026-02-05,"1,070.40","1,073.10","1,070.40","1,073.10",0.14,75.00,"80,367.50"
6,2026-02-04,"1,073.00","1,073.00","1,073.00","1,071.60",-1.24,25.00,"26,818.00"
7,2026-02-03,"1,085.00","1,085.00","1,085.00","1,085.00",0.46,50.00,"54,250.00"
8,2026-02-02,"1,070.00","1,083.00","1,070.00","1,080.00",-0.92,150.00,"161,620.00"
9,2026-02-01,"1,071.00","1,090.00","1,070.10","1,090.00",1.84,175.00,"189,777.50"
10,2026-01-28,"1,090.00","1,091.40","1,070.10","1,070.30",0.03,571.00,"621,025.30"
11,2026-01-27,"1,070.00","1,070.00","1,070.00","1,070.00",0.18,25.00,"26,750.00"
12,2026-01-26,"1,070.00","1,070.00","1,068.10","1,068.10",-0.18,75.00,"80,155.00"
13,2026-01-25,"1,065.00","1,075.00","1,065.00","1,070.00",0.46,623.00,"666,820.00"
14,2026-01-22,"1,065.10","1,065.10","1,065.10","1,065.10",-0.27,90.00,"95,859.00"
15,2026-01-21,"1,068.00","1,068.00","1,068.00","1,068.00",1.38,25.00,"26,700.00"
16,2026-01-20,"1,053.00","1,065.00","1,052.10","1,053.50",-1.38,467.00,"495,167.50"
17,2026-01-18,"1,068.20","1,068.20","1,068.20","1,068.20",-2.0,65.00,"69,433.00"
18,2026-01-14,"1,075.30","1,090.00","1,075.30","1,090.00",0.28,50.00,"54,132.50"
19,2026-01-13,"1,090.00","1,090.00","1,087.00","1,087.00",0.0,35.00,"38,120.00"
20,2026-01-12,"1,103.10","1,103.10","1,085.10","1,087.00",-1.45,267.00,"291,586.20"
21,2026-01-08,"1,101.20","1,103.00","1,101.20","1,103.00",-1.34,85.00,"93,692.00"
22,2026-01-07,"1,102.20","1,118.00","1,102.20","1,118.00",2.0,75.00,"83,130.00"
23,2026-01-06,"1,096.10","1,096.10","1,096.10","1,096.10",-1.25,25.00,"27,402.50"
24,2026-01-05,"1,110.00","1,110.00","1,110.00","1,110.00",0.73,25.00,"27,750.00"
25,2026-01-04,"1,103.40","1,103.40","1,102.00","1,102.00",-1.8,50.00,"55,135.00"
26,2026-01-01,"1,100.20","1,122.20","1,100.20","1,122.20",0.2,95.00,"105,121.50"
27,2025-12-29,"1,120.00","1,120.00","1,120.00","1,120.00",1.5,595.00,"666,400.00"
28,2025-12-28,"1,102.80","1,103.40","1,102.80","1,103.40",-0.59,130.00,"143,386.50"
