S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,"1,165.00","1,165.00","1,165.00","1,165.00",0.00,25.00,"29,125.00"
2,2026-02-03,"1,183.00","1,183.00","1,165.00","1,165.00",0.43,70.00,"82,110.00"
3,2026-02-02,"1,178.10","1,185.00","1,160.00","1,160.00",0.43,110.00,"129,047.00"
4,2026-02-01,"1,156.00","1,156.00","1,155.00","1,155.00",-2.04,50.00,"57,776.00"
5,2026-01-29,"1,179.10","1,179.10","1,179.10","1,179.10",2.0,57.00,"67,208.70"
6,2026-01-28,"1,156.00","1,156.00","1,156.00","1,156.00",-1.2,25.00,"28,900.00"
7,2026-01-27,"1,170.00","1,170.00","1,170.00","1,170.00",0.0,25.00,"29,250.00"
8,2026-01-26,"1,150.00","1,170.00","1,150.00","1,170.00",0.0,395.00,"461,150.00"
9,2026-01-22,"1,163.00","1,170.00","1,151.00","1,170.00",0.0,235.00,"273,460.00"
10,2026-01-21,"1,170.00","1,170.00","1,170.00","1,170.00",-1.28,14.00,"16,380.00"
11,2026-01-13,"1,185.20","1,185.20","1,185.20","1,185.20",2.0,10.00,"11,852.00"
12,2026-01-12,"1,162.00","1,162.00","1,162.00","1,162.00",-1.19,50.00,"58,100.00"
13,2026-01-06,"1,177.00","1,177.00","1,176.00","1,176.00",-2.0,548.00,"644,458.00"
14,2026-01-05,"1,195.00","1,200.00","1,195.00","1,200.00",0.42,"1,500.00","1,795,000.00"
15,2026-01-01,"1,172.00","1,195.00","1,172.00","1,195.00",0.0,350.00,"416,900.00"
16,2025-12-31,"1,193.00","1,200.00","1,193.00","1,195.00",0.13,428.00,"512,300.00"
17,2025-12-29,"1,190.00","1,193.40","1,190.00","1,193.40",2.0,120.00,"143,140.00"
18,2025-12-24,"1,170.00","1,170.00","1,170.00","1,170.00",0.0,285.00,"333,450.00"
19,2025-12-23,"1,170.00","1,170.00","1,170.00","1,170.00",0.86,50.00,"58,500.00"
20,2025-12-15,"1,160.00","1,160.00","1,160.00","1,160.00",0.77,130.00,"150,800.00"
21,2025-12-11,"1,151.10","1,151.10","1,151.10","1,151.10",-1.62,25.00,"28,777.50"
22,2025-12-10,"1,170.00","1,170.00","1,170.00","1,170.00",-1.54,100.00,"117,000.00"
23,2025-12-08,"1,188.30","1,188.30","1,188.30","1,188.30",2.0,100.00,"118,830.00"
24,2025-12-07,"1,165.00","1,165.00","1,165.00","1,165.00",1.75,50.00,"58,250.00"
25,2025-12-03,"1,165.00","1,165.00","1,145.00","1,145.00",-1.46,73.00,"84,545.00"
26,2025-12-01,"1,162.00","1,162.00","1,162.00","1,162.00",0.37,25.00,"29,050.00"
27,2025-11-27,"1,157.70","1,157.70","1,157.70","1,157.70",0.0,25.00,"28,942.50"
28,2025-11-23,"1,157.70","1,157.70","1,157.70","1,157.70",2.0,25.00,"28,942.50"
29,2025-11-20,"1,136.00","1,136.00","1,136.00","1,135.00",-1.94,15.00,"17,035.00"
30,2025-11-19,"1,157.40","1,157.40","1,157.40","1,157.40",-2.0,10.00,"11,574.00"
31,2025-11-18,"1,160.00","1,181.00","1,158.40","1,181.00",-0.08,297.00,"346,416.80"
32,2025-11-11,"1,182.00","1,182.00","1,182.00","1,182.00",0.42,"1,000.00","1,182,000.00"
33,2025-11-09,"1,160.00","1,177.00","1,151.10","1,177.00",1.94,390.00,"455,542.50"
34,2025-11-05,"1,132.00","1,132.00","1,132.00","1,154.60",0.01,33.00,"37,536.80"
