S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,"1,025.40","1,025.40","1,024.30","1,024.00",-0.87,56.00,"57,386.50"
2,2026-02-04,"1,033.00","1,033.00","1,033.00","1,033.00",-1.99,50.00,"51,650.00"
3,2026-01-27,"1,054.00","1,054.00","1,054.00","1,054.00",-1.95,250.00,"263,500.00"
4,2025-12-28,"1,075.00","1,075.00","1,075.00","1,075.00",-0.19,500.00,"537,500.00"
5,2025-12-23,"1,077.00","1,077.00","1,077.00","1,077.00",0.94,25.00,"26,925.00"
6,2025-11-30,"1,070.00","1,070.00","1,067.00","1,067.00",-1.2,45.00,"48,090.00"
7,2025-11-19,"1,078.00","1,080.00","1,078.00","1,080.00",-1.82,45.00,"48,530.00"
8,2025-11-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,25.00,"27,500.00"
9,2025-11-13,"1,100.00","1,100.00","1,100.00","1,100.00",-0.13,25.00,"27,500.00"
10,2025-08-18,"1,095.00","1,111.00","1,095.00","1,101.40",0.49,75.00,"82,605.00"
11,2025-08-12,"1,088.00","1,096.00","1,088.00","1,096.00",0.05,565.00,"618,591.50"
12,2025-07-29,"1,095.50","1,095.50","1,095.50","1,095.50",1.14,10.00,"10,955.00"
13,2025-07-06,"1,083.20","1,083.20","1,083.20","1,083.20",0.0,55.00,"59,576.00"
14,2025-06-25,"1,083.20","1,083.20","1,083.20","1,083.20",2.0,50.00,"54,160.00"
15,2025-06-18,"1,062.00","1,062.00","1,062.00","1,062.00",0.16,25.00,"26,550.00"
16,2025-06-16,"1,060.30","1,060.30","1,060.30","1,060.30",0.22,30.00,"31,809.00"
17,2025-06-10,"1,059.20","1,059.20","1,059.20","1,058.00",-0.11,2.00,"2,116.00"
18,2025-05-26,"1,060.20","1,060.20","1,060.20","1,059.20",-0.09,2.00,"2,118.40"
19,2025-05-25,"1,060.50","1,060.50","1,060.50","1,060.20",-0.03,1.00,"1,060.20"
20,2025-05-06,"1,060.50","1,060.50","1,060.50","1,060.50",-0.51,25.00,"26,512.50"
21,2025-04-16,"1,065.33","1,065.33","1,065.33","1,065.90",0.05,1.00,"1,065.90"
22,2025-04-08,"1,048.10","1,048.10","1,048.10","1,065.33",-0.25,31.00,"32,594.50"
23,2025-04-01,"1,047.10","1,047.10","1,047.10","1,068.00",2.0,3.00,"3,204.00"
24,2025-03-25,"1,047.00","1,047.00","1,047.00","1,047.10",0.01,2.00,"2,094.20"
25,2025-03-24,"1,049.10","1,049.10","1,049.10","1,047.00",-0.2,2.00,"2,094.00"
26,2025-03-23,"1,060.00","1,060.00","1,060.00","1,049.10",-1.03,1.00,"1,049.10"
27,2025-03-09,"1,060.00","1,060.00","1,060.00","1,060.00",0.0,25.00,"26,500.00"
28,2025-02-25,"1,060.00","1,060.00","1,060.00","1,060.00",-1.85,50.00,"53,000.00"
29,2025-02-03,"1,061.00","1,080.00","1,061.00","1,080.00",0.0,67.00,"71,800.00"
30,2025-02-02,"1,058.70","1,059.70","1,058.70","1,059.70",-1.42,60.00,"63,759.80"
31,2025-01-26,"1,075.00","1,075.00","1,075.00","1,075.00",-0.01,25.00,"26,875.00"
32,2025-01-16,"1,075.10","1,075.10","1,075.10","1,075.10",-2.0,25.00,"26,877.50"
33,2025-01-02,"1,097.00","1,097.00","1,097.00","1,097.00",2.0,4.00,"4,388.00"
34,2024-11-27,"1,075.50","1,075.50","1,075.50","1,075.50",-1.33,25.00,"26,887.50"
35,2024-11-10,"1,090.00","1,090.00","1,090.00","1,090.00",1.87,25.00,"27,250.00"
36,2024-11-06,"1,070.00","1,070.00","1,070.00","1,070.00",0.47,25.00,"26,750.00"
37,2024-10-30,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,25.00,"26,625.00"
38,2024-10-29,"1,065.00","1,065.00","1,065.00","1,065.00",0.75,25.00,"26,625.00"
39,2024-10-24,"1,057.10","1,057.10","1,057.10","1,057.10",0.08,25.00,"26,427.50"
40,2024-10-23,"1,056.30","1,056.30","1,056.30","1,056.30",0.03,25.00,"26,407.50"
41,2024-10-17,"1,056.00","1,056.00","1,056.00","1,056.00",0.38,25.00,"26,400.00"
42,2024-10-09,"1,052.00","1,052.00","1,052.00","1,052.00",-0.14,25.00,"26,300.00"
43,2024-09-25,"1,053.50","1,053.50","1,053.50","1,053.50",-1.82,25.00,"26,337.50"
44,2024-09-18,"1,073.00","1,073.00","1,073.00","1,073.00",2.0,80.00,"85,840.00"
45,2024-09-11,"1,052.00","1,052.00","1,052.00","1,052.00",-1.68,50.00,"52,600.00"
46,2024-09-10,"1,070.00","1,070.00","1,070.00","1,070.00",1.9,25.00,"26,750.00"
47,2024-09-02,"1,050.00","1,050.00","1,050.00","1,050.00",0.0,175.00,"183,750.00"
48,2024-09-01,"1,050.00","1,050.00","1,050.00","1,050.00",0.48,25.00,"26,250.00"
49,2024-08-22,"1,045.00","1,045.00","1,045.00","1,045.00",0.0,65.00,"67,925.00"
