S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,"1,130.00","1,143.00","1,130.00","1,141.00",0.97,218.00,"248,712.30"
2,2026-02-16,"1,120.00","1,141.00","1,120.00","1,130.00",0.38,209.0,"235,965.00"
3,2026-02-12,"1,125.70","1,125.80","1,125.60","1,125.70",0.37,200.0,"225,140.00"
4,2026-02-11,"1,125.00","1,125.00","1,120.00","1,121.60",-0.3,150.0,"168,540.00"
5,2026-02-10,"1,121.50","1,129.00","1,121.50","1,125.00",0.4,109.0,"122,462.50"
6,2026-02-09,"1,118.00","1,120.50","1,118.00","1,120.50",0.04,125.0,"139,962.50"
7,2026-02-08,"1,120.10","1,120.10","1,120.10","1,120.10",0.01,25.0,"28,002.50"
8,2026-02-05,"1,120.00","1,120.00","1,120.00","1,120.00",0.0,50.0,"56,000.00"
9,2026-02-04,"1,115.00","1,120.00","1,115.00","1,120.00",0.0,75.0,"83,875.00"
10,2026-02-03,"1,125.00","1,125.00","1,120.00","1,120.00",-0.44,50.0,"56,125.00"
11,2026-01-29,"1,115.00","1,115.00","1,103.00","1,125.00",-1.06,51.0,"56,575.00"
12,2026-01-28,"1,137.00","1,137.00","1,137.00","1,137.00",0.0,50.0,"56,850.00"
13,2026-01-27,"1,115.00","1,137.00","1,115.00","1,137.00",2.71,150.0,"168,535.00"
14,2026-01-26,"1,115.00","1,115.00","1,107.00","1,107.00",0.35,62.0,"68,930.00"
15,2026-01-25,"1,103.00","1,103.10","1,103.00","1,103.10",-0.62,48.0,"52,946.30"
16,2026-01-22,"1,100.00","1,110.00","1,100.00","1,110.00",0.91,75.0,"83,000.00"
17,2026-01-20,"1,106.00","1,111.00","1,083.90","1,100.00",-0.9,490.0,"538,761.50"
18,2026-01-18,"1,130.00","1,130.00","1,110.00","1,110.00",-2.73,100.0,"112,000.00"
19,2026-01-14,"1,160.00","1,160.00","1,141.10","1,141.10",-3.3,100.0,"115,527.50"
20,2026-01-13,"1,170.00","1,180.00","1,170.00","1,180.00",1.04,225.0,"264,500.00"
21,2026-01-12,"1,165.00","1,167.90","1,145.00","1,167.90",0.25,80.0,"92,672.50"
22,2026-01-08,"1,150.00","1,165.00","1,150.00","1,165.00",1.39,50.0,"57,950.00"
23,2026-01-07,"1,142.00","1,150.00","1,142.00","1,149.00",-0.64,75.0,"86,025.00"
24,2026-01-06,"1,156.40","1,156.40","1,156.40","1,156.40",-1.99,50.0,"57,820.00"
25,2026-01-04,"1,160.00","1,179.90","1,160.00","1,179.90",0.08,44.0,"51,418.10"
26,2026-01-01,"1,157.00","1,179.00","1,156.00","1,179.00",0.77,35.0,"40,700.00"
27,2025-12-31,"1,170.00","1,170.00","1,170.00","1,170.00",0.69,60.0,"70,200.00"
28,2025-12-29,"1,151.00","1,162.00","1,151.00","1,162.00",0.96,130.0,"150,957.00"
29,2025-12-28,"1,167.90","1,174.00","1,150.00","1,151.00",-3.42,125.0,"144,847.50"
30,2025-12-24,"1,216.00","1,216.00","1,216.00","1,191.70",-2.0,1.0,"1,191.70"
31,2025-12-22,"1,200.00","1,215.00","1,200.00","1,216.00",0.6,405.0,"488,745.80"
32,2025-12-21,"1,136.00","1,208.70","1,136.00","1,208.70",6.03,264.0,"309,041.80"
33,2025-12-18,"1,132.00","1,140.00","1,132.00","1,140.00",0.0,65.0,"73,780.00"
34,2025-12-17,"1,138.00","1,140.00","1,138.00","1,140.00",0.26,75.0,"85,400.00"
35,2025-12-15,"1,150.00","1,160.00","1,137.00","1,137.00",-0.09,100.0,"114,600.00"
36,2025-12-10,"1,150.00","1,150.00","1,138.00","1,138.00",-1.04,95.0,"108,950.00"
37,2025-12-09,"1,178.00","1,183.20","1,150.00","1,150.00",-0.86,180.0,"210,731.50"
38,2025-12-08,"1,160.00","1,160.00","1,160.00","1,160.00",-0.24,100.0,"116,000.00"
39,2025-12-07,"1,123.00","1,162.80","1,123.00","1,162.80",3.82,310.0,"358,561.00"
40,2025-12-03,"1,120.00","1,120.00","1,120.00","1,120.00",-0.88,25.0,"28,000.00"
41,2025-12-02,"1,130.10","1,130.10","1,130.00","1,130.00",0.0,75.0,"84,752.50"
42,2025-12-01,"1,120.00","1,153.00","1,120.00","1,130.00",0.44,160.0,"182,574.00"
43,2025-11-30,"1,125.30","1,138.00","1,125.10","1,125.10",-0.02,100.0,"113,160.00"
44,2025-11-27,"1,125.00","1,125.00","1,125.00","1,125.30",1.99,28.0,"31,500.90"
45,2025-11-26,"1,125.00","1,125.00","1,103.30","1,103.30",-2.36,75.0,"83,832.50"
46,2025-11-25,"1,130.00","1,130.00","1,130.00","1,130.00",0.44,25.0,"28,250.00"
47,2025-11-24,"1,117.20","1,125.00","1,117.00","1,125.00",-1.32,75.0,"83,980.00"
48,2025-11-23,"1,140.00","1,140.00","1,140.00","1,140.00",-0.88,25.0,"28,500.00"
49,2025-11-20,"1,150.10","1,150.10","1,150.10","1,150.10",0.01,25.0,"28,752.50"
50,2025-11-19,"1,150.00","1,150.00","1,150.00","1,150.00",-1.96,25.0,"28,750.00"
