S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,"1,270.00","1,270.00","1,270.00","1,270.00",1.93,50.00,"63,500.00"
2,2026-02-05,"1,246.00","1,246.00","1,246.00","1,246.00",0.31,10.00,"12,460.00"
3,2026-02-04,"1,249.00","1,249.00","1,249.00","1,242.10",-0.55,8.00,"9,936.80"
4,2026-02-02,"1,249.00","1,249.00","1,249.00","1,249.00",-0.01,25.00,"31,225.00"
5,2026-01-28,"1,249.10","1,249.10","1,249.10","1,249.10",-1.95,25.00,"31,227.50"
6,2026-01-22,"1,274.00","1,274.00","1,274.00","1,274.00",-1.92,25.00,"31,850.00"
7,2026-01-18,"1,299.00","1,299.00","1,299.00","1,299.00",-1.96,100.00,"129,900.00"
8,2026-01-14,"1,325.00","1,325.00","1,325.00","1,325.00",0.0,25.00,"33,125.00"
9,2026-01-12,"1,325.00","1,325.00","1,325.00","1,325.00",-0.75,25.00,"33,125.00"
10,2025-12-31,"1,335.00","1,335.00","1,335.00","1,335.00",0.0,86.00,"114,810.00"
11,2025-11-27,"1,269.10","1,335.00","1,269.10","1,335.00",3.09,185.00,"242,942.50"
12,2025-11-25,"1,270.00","1,295.00","1,270.00","1,295.00",0.39,70.00,"90,025.00"
13,2025-11-23,"1,290.00","1,290.00","1,290.00","1,290.00",0.62,25.00,"32,250.00"
14,2025-11-19,"1,304.00","1,304.00","1,282.00","1,282.00",-3.61,150.00,"194,500.00"
15,2025-11-09,"1,320.00","1,330.00","1,320.00","1,330.00",2.51,245.00,"324,900.00"
16,2025-11-04,"1,297.00","1,297.00","1,297.00","1,297.40",0.03,6.00,"7,759.00"
17,2025-11-03,"1,260.00","1,297.00","1,260.00","1,297.00",1.79,211.00,"272,710.00"
18,2025-10-29,"1,300.00","1,300.00","1,300.00","1,274.20",-1.98,1.00,"1,274.20"
19,2025-10-28,"1,300.00","1,300.00","1,300.00","1,300.00",1.56,75.00,"97,500.00"
20,2025-10-26,"1,280.00","1,280.00","1,280.00","1,280.00",0.07,30.00,"38,400.00"
21,2025-10-16,"1,279.10","1,279.10","1,279.10","1,279.10",-1.95,56.00,"71,629.60"
22,2025-10-13,"1,254.00","1,254.00","1,254.00","1,304.50",6.06,106.00,"133,099.50"
23,2025-10-12,"1,244.00","1,244.00","1,244.00","1,230.00",-1.13,5.00,"6,150.00"
24,2025-10-08,"1,230.00","1,244.00","1,230.00","1,244.00",-0.16,38.00,"46,922.00"
25,2025-10-07,"1,246.00","1,246.00","1,246.00","1,246.00",1.88,175.00,"218,050.00"
26,2025-09-03,"1,223.00","1,223.00","1,223.00","1,223.00",1.92,100.00,"122,300.00"
27,2025-08-28,"1,200.00","1,200.00","1,200.00","1,200.00",-1.64,60.00,"72,000.00"
28,2025-08-27,"1,220.00","1,220.00","1,220.00","1,220.00",0.0,50.00,"61,000.00"
29,2025-08-24,"1,220.00","1,220.00","1,220.00","1,220.00",0.0,50.00,"61,000.00"
30,2025-08-18,"1,221.00","1,221.00","1,220.00","1,220.00",0.0,225.00,"274,700.00"
31,2025-08-13,"1,220.00","1,220.00","1,220.00","1,220.00",-1.36,25.00,"30,500.00"
32,2025-08-04,"1,200.00","1,244.00","1,200.00","1,236.81",3.07,69.00,"85,276.00"
33,2025-08-03,"1,200.00","1,200.00","1,200.00","1,200.00",-0.3,25.00,"30,000.00"
34,2025-07-30,"1,180.00","1,203.60","1,180.00","1,203.60",0.0,200.00,"238,360.00"
35,2025-07-27,"1,180.00","1,203.60","1,180.00","1,203.60",2.0,56.00,"67,401.00"
36,2025-07-24,"1,180.00","1,180.00","1,180.00","1,180.00",-1.67,175.00,"206,500.00"
37,2025-07-22,"1,200.00","1,200.00","1,200.00","1,200.00",0.84,50.00,"60,000.00"
38,2025-07-20,"1,200.00","1,200.00","1,190.00","1,190.00",-0.76,60.00,"71,500.00"
39,2025-07-17,"1,223.50","1,223.50","1,199.10","1,199.10",-3.95,45.00,"54,447.50"
40,2025-07-16,"1,224.00","1,224.00","1,224.00","1,248.40",4.03,138.00,"168,936.40"
41,2025-07-14,"1,200.00","1,200.00","1,200.00","1,200.00",-0.41,75.00,"90,000.00"
42,2025-06-30,"1,205.00","1,205.00","1,205.00","1,205.00",-0.66,25.00,"30,125.00"
43,2025-06-29,"1,213.00","1,213.00","1,213.00","1,213.00",1.99,63.00,"76,419.00"
44,2025-06-26,"1,166.00","1,189.30","1,166.00","1,189.30",2.0,40.00,"46,989.50"
45,2025-06-23,"1,166.10","1,166.10","1,166.00","1,166.00",0.29,25.00,"29,151.50"
46,2025-06-16,"1,163.00","1,163.00","1,162.60","1,162.60",-1.63,100.00,"116,270.00"
47,2025-06-11,"1,206.00","1,206.00","1,206.00","1,181.90",-2.0,1.00,"1,181.90"
48,2025-06-08,"1,230.00","1,230.00","1,206.00","1,206.00",-1.95,25.00,"30,150.10"
49,2025-06-03,"1,230.00","1,230.00","1,230.00","1,230.00",1.32,20.00,"24,600.00"
50,2025-05-21,"1,224.70","1,224.70","1,224.70","1,214.00",-0.87,5.00,"6,070.00"
51,2025-05-19,"1,224.70","1,224.70","1,224.70","1,224.70",1.55,50.00,"61,235.00"
52,2025-05-13,"1,206.00","1,206.00","1,206.00","1,206.00",-1.95,25.00,"30,150.00"
53,2025-05-07,"1,207.00","1,230.00","1,207.00","1,230.00",0.43,125.00,"153,175.00"
54,2025-04-28,"1,193.00","1,224.70","1,193.00","1,224.70",2.66,55.00,"67,350.60"
55,2025-04-22,"1,193.00","1,193.00","1,193.00","1,193.00",0.0,25.00,"29,825.00"
56,2025-04-21,"1,193.00","1,193.00","1,193.00","1,193.00",-0.75,25.00,"29,825.00"
57,2025-04-16,"1,224.70","1,224.70","1,224.70","1,202.00",-1.85,4.00,"4,808.00"
58,2025-04-15,"1,224.70","1,224.70","1,224.70","1,224.70",1.63,284.00,"347,814.80"
59,2025-04-13,"1,203.00","1,203.00","1,203.00","1,205.00",0.17,1.00,"1,205.00"
60,2025-04-10,"1,203.00","1,203.00","1,203.00","1,203.00",0.17,25.00,"30,075.00"
61,2025-04-08,"1,201.00","1,201.00","1,201.00","1,201.00",0.0,1.00,"1,201.00"
62,2025-04-07,"1,198.00","1,224.70","1,198.00","1,201.00",0.25,"4,816.00","5,896,763.60"
63,2025-04-03,"1,198.00","1,198.00","1,198.00","1,198.00",-0.1,200.00,"239,600.00"
64,2025-04-02,"1,199.20","1,199.20","1,199.20","1,199.20",0.77,"4,646.00","5,571,483.20"
65,2025-04-01,"1,190.00","1,190.00","1,190.00","1,190.00",-1.65,25.00,"29,750.00"
66,2025-03-30,"1,224.70","1,224.70","1,210.00","1,210.00",-0.98,"18,651.00","22,840,085.10"
67,2025-03-25,"1,195.90","1,222.00","1,195.90","1,222.00",4.22,"18,727.00","22,453,611.90"
68,2025-03-16,"1,172.50","1,172.50","1,172.50","1,172.50",1.95,44.00,"51,590.00"
69,2025-03-09,"1,150.10","1,150.10","1,150.10","1,150.10",-0.85,25.00,"28,752.50"
70,2025-03-06,"1,160.00","1,160.00","1,160.00","1,160.00",0.43,"3,300.00","3,828,000.00"
71,2025-03-04,"1,155.00","1,155.00","1,155.00","1,155.00",-0.43,28.00,"32,314.00"
72,2025-02-25,"1,160.00","1,160.00","1,160.00","1,160.00",0.0,25.00,"29,000.00"
73,2025-02-24,"1,160.00","1,160.00","1,160.00","1,160.00",1.95,51.00,"59,160.50"
74,2025-02-23,"1,137.80","1,137.80","1,137.80","1,137.80",-2.0,1.00,"1,137.80"
75,2025-02-20,"1,161.00","1,161.00","1,161.00","1,161.00",-1.44,1.00,"1,161.00"
76,2025-02-18,"1,178.00","1,178.00","1,178.00","1,178.00",-1.67,1.00,"1,178.00"
77,2025-02-12,"1,193.70","1,198.00","1,193.70","1,198.00",2.37,138.00,"165,147.10"
78,2025-02-11,"1,170.30","1,170.30","1,170.30","1,170.30",1.77,26.00,"30,430.50"
