S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,"1,270.00","1,270.00","1,245.10","1,245.10",-1.96,150.00,"187,387.50"
2,2026-02-10,"1,270.00","1,270.00","1,270.00","1,270.00",0.0,25.00,"31,750.00"
3,2026-01-27,"1,277.00","1,277.00","1,270.00","1,270.00",1.44,55.00,"70,025.00"
4,2026-01-26,"1,252.00","1,252.00","1,252.00","1,252.00",-1.96,25.00,"31,300.00"
5,2026-01-22,"1,277.00","1,277.00","1,277.00","1,277.00",0.23,100.00,"127,700.00"
6,2026-01-21,"1,274.10","1,274.10","1,274.10","1,274.10",-1.99,25.00,"31,852.50"
7,2026-01-18,"1,308.00","1,308.00","1,300.00","1,300.00",-0.76,55.00,"71,740.00"
8,2026-01-14,"1,310.00","1,310.00","1,310.00","1,310.00",-0.38,25.00,"32,750.00"
9,2026-01-05,"1,315.00","1,315.00","1,315.00","1,315.00",-1.96,25.00,"32,875.00"
10,2025-12-29,"1,315.00","1,346.00","1,315.00","1,341.30",2.0,435.00,"584,993.00"
11,2025-12-17,"1,314.00","1,315.00","1,314.00","1,315.00",0.0,75.00,"98,600.00"
12,2025-12-09,"1,315.00","1,315.00","1,315.00","1,315.00",-1.87,50.00,"65,750.00"
13,2025-12-01,"1,340.00","1,340.00","1,340.00","1,340.00",0.75,308.00,"412,720.00"
14,2025-11-27,"1,320.00","1,330.00","1,320.00","1,330.00",2.3,280.00,"372,285.00"
15,2025-11-26,"1,300.10","1,300.10","1,300.10","1,300.10",-1.81,100.00,"130,010.00"
16,2025-11-25,"1,324.00","1,324.00","1,324.00","1,324.00",0.05,18.00,"23,832.00"
17,2025-11-23,"1,272.00","1,338.00","1,272.00","1,323.30",4.03,"1,197.00","1,592,754.80"
18,2025-11-20,"1,272.00","1,272.00","1,272.00","1,272.00",0.55,10.00,"12,720.00"
19,2025-11-19,"1,280.00","1,280.00","1,260.00","1,265.00",-2.69,180.00,"227,475.00"
20,2025-11-18,"1,300.00","1,300.00","1,300.00","1,300.00",-1.89,20.00,"26,000.00"
21,2025-11-17,"1,300.50","1,325.00","1,300.50","1,325.00",3.92,350.00,"462,252.10"
22,2025-11-16,"1,299.90","1,300.00","1,275.00","1,275.00",0.0,178.00,"228,904.00"
23,2025-11-12,"1,275.00","1,275.00","1,275.00","1,275.00",2.0,20.00,"25,500.00"
24,2025-11-04,"1,226.00","1,226.00","1,226.00","1,250.00",1.96,5.00,"6,250.00"
25,2025-11-03,"1,226.00","1,226.00","1,226.00","1,226.00",0.0,10.00,"12,260.00"
