S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,"1,144.00","1,165.00","1,144.00","1,165.00",1.80,415.00,"479,273.50"
2,2026-02-24,"1,144.00","1,144.40","1,144.00","1,144.40",2.0,80.00,"91,542.00"
3,2026-02-17,"1,100.00","1,122.00","1,100.00","1,122.00",2.0,100.00,"111,100.00"
4,2026-02-16,"1,131.90","1,131.90","1,100.00","1,100.00",-4.76,418.00,"464,764.20"
5,2026-01-22,"1,155.00","1,155.00","1,155.00","1,155.00",0.35,25.00,"28,875.00"
6,2026-01-06,"1,151.00","1,151.00","1,151.00","1,151.00",1.81,50.00,"57,550.00"
7,2026-01-05,"1,130.50","1,130.50","1,130.50","1,130.50",-1.99,25.00,"28,262.50"
8,2026-01-01,"1,153.50","1,153.50","1,153.50","1,153.50",-2.0,100.00,"115,350.00"
9,2025-12-31,"1,177.00","1,177.00","1,177.00","1,177.00",-2.0,100.00,"117,700.00"
10,2025-12-23,"1,189.00","1,189.00","1,189.00","1,201.00",1.01,1.00,"1,201.00"
11,2025-12-22,"1,177.00","1,177.00","1,177.00","1,189.00",1.02,1.00,"1,189.00"
12,2025-12-17,"1,170.00","1,170.00","1,170.00","1,177.00",0.6,1.00,"1,177.00"
13,2025-12-11,"1,168.50","1,168.50","1,168.50","1,170.00",0.13,1.00,"1,170.00"
14,2025-12-09,"1,159.90","1,159.90","1,159.90","1,168.50",1.2,165.00,"191,392.10"
15,2025-12-02,"1,110.00","1,110.00","1,110.00","1,154.70",4.03,10.00,"11,434.50"
16,2025-11-30,"1,110.00","1,110.00","1,110.00","1,110.00",-0.45,20.00,"22,200.00"
17,2025-11-18,"1,155.00","1,159.70","1,115.00","1,115.00",-1.93,169.00,"194,738.70"
18,2025-11-16,"1,137.00","1,137.00","1,137.00","1,137.00",1.8,30.00,"34,110.00"
19,2025-11-13,"1,095.00","1,116.90","1,095.00","1,116.90",0.17,50.00,"55,297.50"
20,2025-10-30,"1,115.00","1,115.00","1,115.00","1,115.00",0.45,100.00,"111,500.00"
21,2025-10-29,"1,110.00","1,110.00","1,110.00","1,110.00",-1.77,50.00,"55,500.00"
