S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,"1,133.00","1,133.50","1,133.00","1,133.50",-1.95,100.00,"113,325.00"
2,2026-02-25,"1,156.00","1,156.00","1,156.00","1,156.00",-1.7,25.00,"28,900.00"
3,2026-01-26,"1,176.00","1,176.00","1,176.00","1,176.00",-2.0,25.00,"29,400.00"
4,2026-01-18,"1,156.00","1,180.00","1,156.00","1,200.00",3.81,80.00,"94,339.50"
5,2026-01-13,"1,156.00","1,156.00","1,156.00","1,156.00",0.0,50.00,"57,800.00"
6,2026-01-05,"1,156.00","1,156.00","1,156.00","1,156.00",-1.88,25.00,"28,900.00"
7,2026-01-01,"1,178.10","1,178.10","1,178.10","1,178.10",0.0,19.00,"22,383.90"
8,2025-12-31,"1,155.00","1,155.00","1,155.00","1,178.10",2.0,1.00,"1,178.10"
9,2025-12-29,"1,155.00","1,155.00","1,155.00","1,155.00",-0.43,25.00,"28,875.00"
10,2025-12-28,"1,160.00","1,160.00","1,160.00","1,160.00",-1.28,25.00,"29,000.00"
11,2025-12-23,"1,175.00","1,175.00","1,175.00","1,175.00",1.56,100.00,"117,500.00"
12,2025-12-22,"1,168.00","1,168.00","1,157.00","1,157.00",1.04,50.00,"58,020.00"
13,2025-12-18,"1,145.10","1,145.10","1,145.10","1,145.10",0.62,25.00,"28,627.50"
14,2025-12-08,"1,138.00","1,138.00","1,138.00","1,138.00",-0.39,25.00,"28,450.00"
15,2025-12-03,"1,142.50","1,142.50","1,142.50","1,142.50",-1.68,25.00,"28,562.50"
16,2025-11-30,"1,131.10","1,162.00","1,131.10","1,162.00",2.73,185.00,"214,961.70"
17,2025-11-27,"1,131.10","1,131.10","1,131.10","1,131.10",0.1,25.00,"28,277.50"
18,2025-11-26,"1,146.00","1,150.00","1,144.00","1,130.00",-1.4,50.00,"57,230.00"
19,2025-11-23,"1,146.10","1,146.10","1,146.00","1,146.00",-0.48,100.00,"114,605.00"
20,2025-11-20,"1,129.00","1,129.00","1,129.00","1,151.50",1.99,1.00,"1,151.50"
21,2025-11-10,"1,129.00","1,129.00","1,129.00","1,129.00",-0.96,25.00,"28,225.00"
22,2025-11-09,"1,127.00","1,140.00","1,127.00","1,140.00",3.16,105.00,"119,375.00"
23,2025-10-30,"1,105.10","1,105.10","1,105.10","1,105.10",-0.8,25.00,"27,627.50"
24,2025-10-26,"1,114.00","1,114.00","1,114.00","1,114.00",-1.68,25.00,"27,850.00"
25,2025-10-13,"1,111.00","1,152.00","1,111.00","1,133.00",1.98,265.00,"303,380.00"
26,2025-10-08,"1,128.00","1,128.00","1,111.00","1,111.00",-3.48,65.00,"72,865.00"
27,2025-10-07,"1,151.00","1,151.00","1,151.00","1,151.00",0.26,231.00,"265,881.00"
28,2025-09-25,"1,148.00","1,148.00","1,148.00","1,148.00",1.59,420.00,"482,160.00"
29,2025-09-23,"1,100.00","1,130.00","1,100.00","1,130.00",0.72,203.00,"227,840.00"
30,2025-09-21,"1,100.00","1,122.00","1,100.00","1,121.91",1.71,305.00,"338,677.00"
31,2025-09-08,"1,103.00","1,103.00","1,103.00","1,103.00",1.94,10.00,"11,030.00"
32,2025-09-07,"1,082.00","1,082.00","1,082.00","1,082.00",1.6,25.00,"27,050.00"
33,2025-08-31,"1,065.10","1,065.10","1,065.00","1,065.00",-0.47,100.00,"106,502.50"
34,2025-08-26,"1,070.00","1,070.00","1,070.00","1,070.00",0.94,50.00,"53,500.00"
35,2025-08-25,"1,060.00","1,060.00","1,060.00","1,060.00",0.47,25.00,"26,500.00"
36,2025-08-20,"1,060.00","1,060.00","1,055.00","1,055.00",-0.47,80.00,"84,675.00"
37,2025-08-19,"1,060.00","1,060.00","1,060.00","1,060.00",-1.4,25.00,"26,500.00"
38,2025-08-13,"1,070.00","1,075.00","1,070.00","1,075.00",1.34,50.00,"53,625.00"
39,2025-08-11,"1,060.80","1,060.80","1,060.80","1,060.80",2.0,25.00,"26,520.00"
40,2025-08-04,"1,040.10","1,040.10","1,040.00","1,040.02",-0.2,100.00,"104,002.50"
41,2025-08-03,"1,042.10","1,042.10","1,042.10","1,042.10",-1.22,25.00,"26,052.50"
42,2025-07-30,"1,045.50","1,055.00","1,045.10","1,055.00",0.48,50.00,"52,508.50"
43,2025-07-29,"1,050.00","1,050.00","1,050.00","1,050.00",0.71,50.00,"52,500.00"
44,2025-07-28,"1,042.60","1,042.60","1,042.60","1,042.60",-1.6,25.00,"26,065.00"
45,2025-07-27,"1,059.50","1,059.50","1,059.50","1,059.50",-1.9,15.00,"15,892.50"
46,2025-07-16,"1,080.00","1,080.00","1,080.00","1,080.00",0.37,25.00,"27,000.00"
47,2025-07-10,"1,076.10","1,076.10","1,076.10","1,076.00",0.09,30.00,"32,282.50"
48,2025-07-06,"1,075.00","1,075.00","1,075.00","1,075.00",-1.83,30.00,"32,250.00"
49,2025-07-03,"1,095.00","1,095.00","1,095.00","1,095.00",0.0,25.00,"27,375.00"
50,2025-06-29,"1,095.00","1,095.00","1,095.00","1,095.00",0.37,34.00,"37,230.00"
