S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-01-29,"1,150.00","1,150.00","1,150.00","1,150.00",-1.71,35.00,"40,250.00"
2,2026-01-13,"1,180.00","1,180.00","1,170.00","1,170.00",-0.85,89.00,"104,130.00"
3,2026-01-12,"1,180.00","1,180.00","1,180.00","1,180.00",-1.99,291.00,"343,380.00"
4,2026-01-08,"1,186.30","1,204.00","1,186.30","1,204.00",3.52,30.00,"35,766.00"
5,2026-01-01,"1,164.00","1,164.00","1,164.00","1,163.10",-1.68,12.00,"13,967.10"
6,2025-12-29,"1,149.00","1,183.00","1,149.00","1,183.00",2.96,54.00,"63,135.10"
7,2025-12-28,"1,135.00","1,135.00","1,135.00","1,149.00",1.23,1.00,"1,149.00"
8,2025-12-18,"1,159.70","1,206.30","1,159.70","1,135.00",-0.18,209.00,"248,282.20"
9,2025-12-15,"1,137.00","1,137.00","1,137.00","1,137.00",-0.82,25.00,"28,425.00"
10,2025-12-09,"1,146.40","1,146.40","1,146.40","1,146.40",0.02,50.00,"57,320.00"
11,2025-12-08,"1,146.20","1,146.20","1,146.20","1,146.20",1.25,25.00,"28,655.00"
12,2025-11-30,"1,132.00","1,132.00","1,132.00","1,132.00",0.79,39.00,"44,148.00"
13,2025-11-23,"1,123.10","1,123.10","1,123.10","1,123.10",-0.71,25.00,"28,077.50"
14,2025-11-19,"1,150.10","1,150.10","1,150.10","1,131.10",-1.65,1.00,"1,131.10"
15,2025-11-17,"1,150.10","1,150.10","1,150.10","1,150.10",-1.70,25.00,"28,752.50"
16,2025-11-04,"1,170.00","1,170.00","1,170.00","1,170.00",0.26,85.00,"99,450.00"
17,2025-11-03,"1,130.00","1,167.00","1,130.00","1,167.00",3.27,120.00,"140,024.60"
18,2025-11-02,"1,130.00","1,130.00","1,130.00","1,130.00",0.79,15.00,"16,950.00"
19,2025-10-30,"1,121.10","1,121.10","1,121.10","1,121.10",-0.96,10.00,"11,211.00"
20,2025-10-16,"1,130.00","1,132.00","1,130.00","1,132.00",-1.68,60.00,"67,900.00"
21,2025-10-08,"1,175.00","1,175.00","1,151.40","1,151.40",-2.01,15.00,"17,388.00"
22,2025-09-24,"1,138.30","1,175.00","1,138.30","1,175.00",5.29,40.00,"46,126.00"
23,2025-09-21,"1,116.00","1,116.00","1,116.00","1,116.00",1.92,75.00,"83,700.00"
24,2025-08-21,"1,095.00","1,095.00","1,095.00","1,095.00",1.08,25.00,"27,375.00"
25,2025-08-20,"1,083.30","1,083.30","1,083.30","1,083.30",0.03,25.00,"27,082.50"
26,2025-08-14,"1,083.00","1,083.00","1,083.00","1,083.00",0.00,25.00,"27,075.00"
27,2025-08-06,"1,078.60","1,083.00","1,078.60","1,083.00",0.08,125.00,"135,265.00"
28,2025-08-03,"1,082.10","1,082.10","1,082.10","1,082.10",0.10,25.00,"27,052.50"
29,2025-07-30,"1,081.00","1,081.00","1,081.00","1,081.00",0.00,25.00,"27,025.00"
30,2025-07-29,"1,081.00","1,081.00","1,081.00","1,081.00",-1.73,10.00,"10,810.00"
31,2025-07-27,"1,100.00","1,100.00","1,100.00","1,100.00",-0.86,15.00,"16,500.00"
32,2025-07-15,"1,109.50","1,109.50","1,109.50","1,109.50",-0.05,25.00,"27,737.50"
33,2025-07-13,"1,110.00","1,110.00","1,110.00","1,110.00",-1.85,25.00,"27,750.00"
34,2025-06-18,"1,108.80","1,108.80","1,108.80","1,130.90",1.99,12.00,"13,327.70"
35,2025-06-15,"1,109.50","1,109.50","1,108.80","1,108.80",-0.41,39.00,"43,260.70"
36,2025-05-27,"1,113.20","1,113.20","1,113.20","1,113.40",0.02,1.00,"1,113.40"
37,2025-05-26,"1,113.50","1,113.50","1,113.50","1,113.20",-0.34,30.00,"33,403.50"
38,2025-05-21,"1,117.40","1,117.40","1,117.40","1,117.00",-0.04,1.00,"1,117.00"
39,2025-05-15,"1,117.00","1,117.00","1,117.00","1,117.40",0.04,2.00,"2,234.80"
40,2025-05-14,"1,118.30","1,118.30","1,118.30","1,117.00",-0.12,6.00,"6,702.00"
41,2025-05-07,"1,118.90","1,118.90","1,118.90","1,118.30",0.10,27.00,"30,209.10"
42,2025-05-06,"1,117.30","1,117.30","1,117.30","1,117.20",0.06,27.00,"30,166.90"
43,2025-05-04,"1,116.20","1,116.20","1,116.20","1,116.50",0.03,5.00,"5,582.50"
44,2025-04-30,"1,116.50","1,116.50","1,116.50","1,116.20",-0.03,3.00,"3,348.60"
45,2025-04-29,"1,116.50","1,116.50","1,116.50","1,116.50",-0.03,25.00,"27,912.50"
46,2025-04-27,"1,110.30","1,110.30","1,110.30","1,116.82",0.59,5.00,"5,584.10"
47,2025-04-20,"1,110.30","1,110.30","1,110.30","1,110.30",-1.93,25.00,"27,757.50"
48,2025-04-17,"1,132.20","1,132.20","1,132.20","1,132.20",2.00,100.00,"113,220.00"
49,2025-04-15,"1,101.10","1,110.00","1,101.00","1,110.00",0.00,277.00,"305,880.50"
50,2025-04-10,"1,110.00","1,110.00","1,110.00","1,110.00",1.22,50.00,"55,500.00"
51,2025-04-08,"1,096.60","1,096.60","1,096.60","1,096.60",-0.13,25.00,"27,415.00"
52,2025-04-03,"1,094.00","1,094.00","1,094.00","1,098.00",0.37,4.00,"4,392.00"
53,2025-04-02,"1,094.00","1,094.00","1,094.00","1,094.00",0.14,25.00,"27,350.00"
54,2025-04-01,"1,099.10","1,099.10","1,099.10","1,092.50",-0.60,4.00,"4,370.00"
55,2025-03-25,"1,119.20","1,119.20","1,119.20","1,099.10",-1.80,8.00,"8,786.20"
56,2025-03-17,"1,119.20","1,119.20","1,119.20","1,119.20",-2.00,3.00,"3,357.60"
57,2025-02-27,"1,142.00","1,142.00","1,142.00","1,142.00",-1.92,15.00,"17,130.00"
58,2025-02-20,"1,164.30","1,164.30","1,164.30","1,164.30",0.00,19.00,"22,121.70"
59,2025-02-18,"1,164.30","1,164.30","1,164.30","1,164.30",0.00,25.00,"29,107.50"
60,2025-02-16,"1,164.30","1,164.30","1,164.30","1,164.30",-1.99,106.00,"123,415.80"
61,2025-01-13,"1,176.00","1,187.90","1,176.00","1,187.90",-1.00,"50,210.00","59,049,459.00"
62,2024-11-20,"1,195.00","1,195.00","1,195.00","1,199.00",1.69,15.00,"17,949.50"
63,2024-11-19,"1,180.00","1,180.00","1,180.00","1,180.00",0.85,45.00,"53,100.00"
64,2024-11-14,"1,100.00","1,170.00","1,100.00","1,170.00",6.85,"10,030.00","11,732,236.00"
65,2024-11-10,"1,095.00","1,095.00","1,095.00","1,095.00",0.00,50.00,"54,750.00"
66,2024-10-29,"1,095.00","1,095.00","1,095.00","1,095.00",1.30,25.00,"27,375.00"
67,2024-10-27,"1,081.10","1,081.10","1,081.00","1,081.00",-1.73,25.00,"27,026.50"
68,2024-10-24,"1,100.00","1,100.00","1,100.00","1,100.00",0.00,30.00,"33,000.00"
69,2024-10-23,"1,100.00","1,100.00","1,100.00","1,100.00",0.00,25.00,"27,500.00"
70,2024-10-20,"1,100.00","1,100.00","1,100.00","1,100.00",0.00,50.00,"55,000.00"
71,2024-10-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.00,50.00,"55,000.00"
72,2024-10-07,"1,100.00","1,100.00","1,100.00","1,100.00",-0.90,25.00,"27,500.00"
73,2024-10-01,"1,110.00","1,110.00","1,110.00","1,110.00",-0.80,75.00,"83,250.00"
74,2024-09-29,"1,119.00","1,119.00","1,119.00","1,119.00",-0.04,25.00,"27,975.00"
75,2024-09-26,"1,119.40","1,119.40","1,119.40","1,119.40",2.00,100.00,"111,940.00"
76,2024-09-23,"1,097.50","1,097.50","1,097.50","1,097.50",2.00,100.00,"109,750.00"
77,2024-09-15,"1,076.00","1,076.00","1,076.00","1,076.00",-1.65,25.00,"26,900.00"
78,2024-09-09,"1,094.00","1,094.00","1,094.00","1,094.00",1.48,400.00,"437,600.00"
79,2024-09-08,"1,075.00","1,078.00","1,075.00","1,078.00",0.84,40.00,"43,075.00"
80,2024-09-05,"1,069.00","1,069.00","1,069.00","1,069.00",0.09,40.00,"42,760.00"
81,2024-09-04,"1,068.00","1,068.00","1,068.00","1,068.00",0.09,25.00,"26,700.00"
82,2024-09-03,"1,066.00","1,067.00","1,066.00","1,067.00",0.09,50.00,"53,325.00"
83,2024-09-02,"1,065.00","1,066.00","1,065.00","1,066.00",0.28,150.00,"159,800.00"
84,2024-09-01,"1,062.00","1,063.00","1,062.00","1,063.00",-1.22,85.00,"90,330.00"
85,2024-08-29,"1,076.10","1,076.10","1,076.10","1,076.10",2.00,25.00,"26,902.50"
86,2024-08-27,"1,055.00","1,055.00","1,055.00","1,055.00",0.19,210.00,"221,550.00"
87,2024-08-25,"1,112.00","1,112.00","1,051.00","1,053.00",-7.19,105.00,"111,635.00"
88,2024-08-22,"1,157.70","1,157.70","1,134.60","1,134.60",-3.95,20.00,"22,923.00"
89,2024-08-18,"1,181.30","1,181.30","1,181.30","1,181.30",-2.00,100.00,"118,130.00"
90,2024-07-28,"1,205.40","1,205.40","1,205.40","1,205.40",1.21,10.00,"12,054.00"
91,2024-07-15,"1,191.00","1,191.00","1,191.00","1,191.00",-1.98,35.00,"42,075.00"
92,2024-06-04,"1,215.00","1,215.00","1,215.00","1,215.00",-0.02,15.00,"18,225.00"
93,2024-06-03,"1,215.20","1,215.20","1,215.20","1,215.20",-2.00,70.00,"85,064.00"
94,2024-06-02,"1,230.00","1,230.00","1,230.00","1,230.00",-0.81,25.00,"30,800.00"
95,2024-05-13,"1,240.00","1,240.00","1,240.00","1,240.00",-0.80,10.00,"12,400.00"
96,2024-04-09,"1,250.00","1,250.00","1,250.00","1,250.00",-0.17,10.00,"12,500.00"
97,2023-12-19,995.00,995.00,990.00,990.00,0.00,"49,400.00","49,106,000.00"
98,2023-08-15,"1,076.00","1,076.00","1,076.00","1,076.00",0.00,"5,465.00","5,880,340.00"
99,2023-07-16,"1,180.00","1,252.10","1,180.00","1,252.10",8.06,125.00,"149,933.00"
100,2023-07-13,"1,158.70","1,158.70","1,158.70","1,158.70",2.00,10.00,"11,587.00"
101,2023-07-10,"1,091.90","1,136.00","1,091.90","1,136.00",1.97,575.00,"630,097.50"
102,2023-07-09,"1,114.00","1,114.00","1,114.00","1,114.00",2.00,25.00,"27,850.00"
103,2023-07-02,"1,070.80","1,092.20","1,070.80","1,092.20",4.03,50.00,"54,075.00"
104,2023-06-18,"1,004.00","1,049.90","1,004.00","1,049.90",4.02,390.00,"397,581.00"
105,2023-06-12,989.60,"1,009.30",989.60,"1,009.30",4.03,40.00,"39,781.00"
106,2023-05-21,990.00,990.00,970.20,970.20,-3.94,40.00,"39,303.00"
107,2023-04-26,"1,010.00","1,010.00","1,010.00","1,010.00",0.00,25.00,"25,250.00"
108,2023-04-24,"1,010.00","1,010.00","1,010.00","1,010.00",0.00,100.00,"101,000.00"
109,2023-04-13,"1,010.00","1,010.00","1,010.00","1,010.00",0.00,50.00,"50,500.00"
110,2023-04-06,"1,030.00","1,030.00","1,010.00","1,010.00",-3.60,100.00,"101,200.00"
111,2023-03-01,"1,047.70","1,047.70","1,047.70","1,047.70",-1.99,25.00,"26,192.50"
112,2022-05-18,"1,069.00","1,069.00","1,069.00","1,069.00",-0.65,25.00,"26,725.00"
