S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,"1,116.00","1,116.00","1,115.50","1,115.50",0.04,50.00,"55,787.50"
2,2026-02-05,"1,115.00","1,115.00","1,115.00","1,115.00",-1.33,25.00,"27,875.00"
3,2026-01-29,"1,130.00","1,130.00","1,130.00","1,130.00",-1.88,25.00,"28,250.00"
4,2026-01-28,"1,151.60","1,151.60","1,151.60","1,151.60",-2.0,76.00,"87,521.60"
5,2026-01-20,"1,175.10","1,175.10","1,175.10","1,175.10",-1.99,10.00,"11,751.00"
6,2025-12-31,"1,199.00","1,199.00","1,199.00","1,199.00",0.42,144.00,"172,656.00"
7,2025-12-28,"1,194.00","1,194.00","1,194.00","1,194.00",-1.97,50.00,"59,700.00"
8,2025-12-21,"1,199.90","1,218.00","1,199.90","1,218.00",1.54,670.00,"813,908.00"
9,2025-12-18,"1,199.50","1,199.50","1,199.50","1,199.50",2.0,27.00,"32,386.50"
10,2025-12-17,"1,176.00","1,176.00","1,176.00","1,176.00",-2.0,10.00,"11,760.00"
11,2025-12-15,"1,200.00","1,200.00","1,200.00","1,200.00",-1.96,50.00,"60,000.00"
12,2025-12-14,"1,224.00","1,224.00","1,224.00","1,224.00",-0.49,10.00,"12,240.00"
13,2025-12-11,"1,210.00","1,230.00","1,209.00","1,230.00",1.65,521.00,"638,366.00"
14,2025-12-10,"1,208.00","1,210.00","1,208.00","1,210.00",0.83,70.00,"84,660.00"
15,2025-12-09,"1,181.00","1,230.00","1,181.00","1,200.00",1.61,710.00,"862,160.80"
16,2025-12-08,"1,181.00","1,181.00","1,181.00","1,181.00",0.0,400.00,"472,400.00"
17,2025-12-03,"1,181.00","1,181.00","1,181.00","1,181.00",1.92,50.00,"59,050.00"
18,2025-12-02,"1,158.80","1,158.80","1,158.80","1,158.80",2.0,50.00,"57,940.00"
19,2025-12-01,"1,157.70","1,157.70","1,136.10","1,136.10",0.1,106.00,"122,176.20"
20,2025-11-30,"1,135.00","1,135.00","1,135.00","1,135.00",1.69,25.00,"28,375.00"
21,2025-11-13,"1,116.10","1,116.10","1,116.10","1,116.10",-1.93,25.00,"27,902.50"
22,2025-11-04,"1,161.00","1,161.00","1,161.00","1,138.10",-1.97,1.00,"1,138.10"
23,2025-11-03,"1,161.00","1,161.00","1,161.00","1,161.00",0.0,50.00,"58,050.00"
24,2025-09-25,"1,180.00","1,180.00","1,160.00","1,161.00",-0.36,"1,130.00","1,331,020.00"
25,2025-09-21,"1,120.00","1,180.00","1,120.00","1,165.20",2.45,"1,954.00","2,287,923.20"
26,2025-09-08,"1,100.00","1,142.00","1,100.00","1,137.37",4.35,"1,318.00","1,477,160.00"
27,2025-09-02,"1,085.00","1,090.00","1,085.00","1,090.00",1.87,200.00,"217,500.00"
28,2025-08-06,"1,060.10","1,070.00","1,060.10","1,070.00",0.74,90.00,"96,151.50"
29,2025-08-05,"1,062.10","1,062.10","1,062.10","1,062.10",-0.41,25.00,"26,552.50"
30,2025-08-04,"1,070.00","1,071.00","1,061.00","1,066.52",-0.97,395.00,"421,279.00"
31,2025-07-30,"1,077.00","1,077.00","1,077.00","1,077.00",0.0,100.00,"107,700.00"
32,2025-07-28,"1,077.00","1,077.00","1,077.00","1,077.00",-1.91,35.00,"37,695.00"
33,2025-07-24,"1,098.00","1,098.00","1,098.00","1,098.00",0.0,30.00,"32,940.00"
34,2025-07-23,"1,098.00","1,098.00","1,098.00","1,098.00",-1.96,50.00,"54,900.00"
35,2025-07-21,"1,120.00","1,120.00","1,120.00","1,120.00",0.0,75.00,"84,000.00"
36,2025-07-20,"1,120.00","1,120.00","1,120.00","1,120.00",0.0,238.00,"266,560.00"
37,2025-07-14,"1,120.00","1,120.00","1,120.00","1,120.00",1.73,25.00,"28,000.00"
38,2025-07-10,"1,101.00","1,101.00","1,101.00","1,101.00",1.94,50.00,"55,050.00"
39,2025-07-07,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82,25.00,"27,000.00"
40,2025-06-22,"1,100.00","1,100.00","1,100.00","1,100.00",0.09,50.00,"55,000.00"
41,2025-06-12,"1,078.00","1,099.00","1,078.00","1,099.02",1.95,29.00,"31,871.80"
42,2025-06-11,"1,078.00","1,078.00","1,078.00","1,078.00",-1.73,50.00,"53,900.00"
43,2025-05-28,"1,118.40","1,118.40","1,118.40","1,097.00",-1.91,2.00,"2,194.00"
44,2025-05-20,"1,118.40","1,118.40","1,118.40","1,118.40",-2.0,35.00,"39,144.00"
45,2025-05-19,"1,141.20","1,141.20","1,141.20","1,141.20",0.55,563.00,"642,495.60"
46,2025-05-13,"1,121.00","1,135.00","1,121.00","1,135.00",1.34,229.00,"257,546.60"
47,2025-05-11,"1,120.00","1,120.00","1,120.00","1,120.00",-0.81,50.00,"56,000.00"
48,2025-05-08,"1,129.00","1,129.00","1,129.00","1,129.10",2.0,78.00,"88,062.30"
49,2025-05-07,"1,121.00","1,121.00","1,121.00","1,107.00",-1.25,2.00,"2,214.00"
50,2025-05-06,"1,121.00","1,121.00","1,121.00","1,121.00",0.0,100.00,"112,100.00"
51,2025-05-05,"1,122.10","1,125.00","1,122.10","1,121.00",-2.1,302.00,"339,452.00"
52,2025-05-04,"1,145.00","1,145.00","1,145.00","1,145.00",1.87,100.00,"114,500.00"
53,2025-04-30,"1,145.00","1,145.00","1,145.00","1,124.00",-1.83,2.00,"2,248.00"
54,2025-04-17,"1,141.20","1,141.20","1,141.20","1,145.00",0.33,1.00,"1,145.00"
55,2025-04-15,"1,095.00","1,141.20","1,095.00","1,141.20",4.22,343.00,"391,373.30"
56,2025-04-09,"1,095.00","1,095.00","1,095.00","1,095.00",-1.96,25.00,"27,375.00"
57,2025-04-08,"1,105.00","1,116.90","1,105.00","1,116.90",2.0,83.00,"92,048.20"
58,2025-04-07,"1,095.00","1,095.00","1,095.00","1,095.00",-1.35,100.00,"109,500.00"
59,2025-04-02,"1,110.00","1,110.00","1,110.00","1,110.00",-0.8,60.00,"66,600.00"
60,2025-04-01,"1,119.00","1,119.00","1,119.00","1,119.00",-1.95,10.00,"11,190.00"
61,2025-03-30,"1,130.00","1,141.20","1,130.00","1,141.20",2.81,"22,543.00","25,725,530.60"
62,2025-03-27,"1,105.00","1,110.00","1,105.00","1,110.00",0.45,105.00,"116,550.00"
63,2025-03-26,"1,105.00","1,106.00","1,105.00","1,105.00",0.45,"3,022.00","3,339,329.40"
64,2025-03-25,"1,052.40","1,119.70","1,052.40","1,100.00",4.52,"23,965.00","26,332,827.50"
65,2025-03-24,"1,052.40","1,052.40","1,052.40","1,052.40",-1.97,100.00,"105,240.00"
66,2025-03-20,"1,073.50","1,073.50","1,073.50","1,073.50",0.0,2.00,"2,147.00"
67,2025-03-17,"1,073.50","1,073.50","1,073.50","1,073.50",1.27,55.00,"59,000.50"
68,2025-03-12,"1,060.00","1,060.00","1,060.00","1,060.00",-0.84,135.00,"143,100.00"
69,2025-03-05,"1,069.00","1,069.00","1,069.00","1,069.00",0.0,100.00,"106,900.00"
70,2025-03-04,"1,066.00","1,069.00","1,066.00","1,069.00",1.76,35.00,"37,385.00"
71,2025-03-03,"1,050.50","1,050.50","1,050.50","1,050.50",0.99,50.00,"52,525.00"
72,2025-03-02,"1,050.20","1,060.00","1,040.20","1,040.20",-1.41,465.00,"487,410.40"
73,2025-02-27,"1,065.00","1,065.00","1,055.10","1,055.10",-2.31,85.00,"89,970.00"
74,2025-02-25,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82,325.00,"351,000.00"
