S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,"1,057.10","1,057.10","1,050.00","1,050.00",-0.48,200.00,"211,057.50"
2,2026-02-24,"1,050.00","1,055.10","1,050.00","1,055.10",-0.57,55.00,"57,877.50"
3,2026-02-23,"1,061.19","1,061.19","1,061.19","1,061.19",-0.36,25.00,"26,529.75"
4,2026-02-22,"1,065.00","1,065.00","1,065.00","1,065.00",-1.93,26.00,"27,690.00"
5,2026-02-12,"1,086.00","1,086.00","1,086.00","1,086.00",-1.93,25.00,"27,150.00"
6,2026-01-27,"1,107.40","1,107.40","1,107.40","1,107.40",-2.0,70.00,"77,518.00"
7,2025-12-02,"1,130.00","1,130.00","1,130.00","1,130.00",0.27,15.00,"16,950.00"
8,2025-11-27,"1,105.00","1,127.00","1,105.00","1,127.00",1.94,321.00,"359,880.50"
9,2025-11-24,"1,104.50","1,105.50","1,104.50","1,105.50",1.98,40.00,"44,205.00"
10,2025-11-18,"1,064.00","1,084.00","1,063.60","1,084.00",-0.09,50.00,"53,696.00"
11,2025-11-17,"1,085.00","1,085.00","1,085.00","1,085.00",0.35,25.00,"27,125.00"
12,2025-11-16,"1,081.20","1,081.20","1,081.20","1,081.20",2.0,30.00,"32,436.00"
13,2025-11-13,"1,046.30","1,060.10","1,046.30","1,060.00",-0.12,75.00,"79,160.00"
14,2025-11-06,"1,061.30","1,061.30","1,061.30","1,061.30",-0.35,25.00,"26,532.50"
15,2025-11-05,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,25.00,"26,625.00"
16,2025-11-02,"1,065.00","1,065.00","1,065.00","1,065.00",0.95,25.00,"26,625.00"
17,2025-10-29,"1,055.00","1,055.00","1,055.00","1,055.00",-0.48,25.00,"26,375.00"
18,2025-10-26,"1,060.10","1,060.10","1,060.10","1,060.10",0.01,25.00,"26,502.50"
19,2025-10-19,"1,060.00","1,060.00","1,060.00","1,060.00",0.86,15.00,"15,900.00"
