S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,"1,056.00","1,060.00","1,056.00","1,060.00",-1.58,50.00,"52,900.00"
2,2026-02-17,"1,077.00","1,077.00","1,077.00","1,077.00",1.22,"1,075.00","1,157,775.00"
3,2026-02-12,"1,064.10","1,064.10","1,064.00","1,064.00",0.8,250.00,"266,005.00"
4,2026-02-11,"1,055.70","1,055.70","1,055.60","1,055.60",-0.88,100.00,"105,565.00"
5,2026-02-10,"1,065.00","1,065.00","1,065.00","1,065.00",-1.02,25.00,"26,625.00"
6,2026-02-09,"1,057.19","1,076.00","1,057.10","1,076.00",1.03,380.00,"406,005.25"
7,2026-02-08,"1,065.00","1,065.00","1,065.00","1,065.00",1.61,212.00,"225,780.00"
8,2026-02-04,"1,048.10","1,048.10","1,048.10","1,048.10",0.78,25.00,"26,202.50"
9,2026-02-03,"1,040.00","1,040.00","1,040.00","1,040.00",-1.89,25.00,"26,000.00"
10,2026-02-02,"1,060.00","1,060.00","1,060.00","1,060.00",0.19,50.00,"53,000.00"
11,2026-02-01,"1,045.00","1,058.00","1,045.00","1,058.00",-0.26,125.00,"131,925.00"
12,2026-01-29,"1,057.50","1,060.80","1,057.50","1,060.80",0.35,218.00,"231,072.90"
13,2026-01-28,"1,054.00","1,057.10","1,054.00","1,057.10",-1.02,50.00,"52,777.50"
14,2026-01-27,"1,053.00","1,068.00","1,053.00","1,068.00",2.17,75.00,"79,675.00"
15,2026-01-26,"1,041.10","1,045.30","1,041.10","1,045.30",-1.39,65.00,"67,776.50"
16,2026-01-25,"1,071.00","1,071.00","1,060.00","1,060.00",0.0,"1,015.00","1,086,790.00"
17,2026-01-22,"1,055.00","1,060.00","1,055.00","1,060.00",0.38,120.00,"126,700.00"
18,2026-01-21,"1,056.00","1,056.00","1,056.00","1,056.00",0.09,25.00,"26,400.00"
19,2026-01-20,"1,048.00","1,058.00","1,048.00","1,055.10",1.16,"1,075.00","1,135,267.50"
20,2026-01-18,"1,055.00","1,055.00","1,043.00","1,043.00",-2.83,300.00,"313,830.00"
