S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-12-15,"1,128.00","1,128.00","1,128.00","1,128.00",0.36,451.00,"508,728.00"
2,2025-12-08,"1,102.00","1,102.00","1,102.00","1,124.00",2.00,1.00,"1,124.00"
3,2025-12-07,"1,102.00","1,102.00","1,102.00","1,102.00",-1.92,25.00,"27,550.00"
4,2025-12-03,"1,099.90","1,123.60","1,099.90","1,123.60",4.04,401.00,"446,537.60"
5,2025-12-02,"1,080.00","1,080.00","1,080.00","1,080.00",1.32,26.00,"28,080.00"
6,2025-11-30,"1,041.00","1,065.90","1,035.30","1,065.90",2.39,105.00,"109,855.50"
7,2025-11-27,"1,040.80","1,041.00","1,040.80","1,041.00",-1.98,50.00,"52,045.00"
8,2025-11-24,"1,042.00","1,062.00","1,042.00","1,062.00",0.19,50.00,"52,600.00"
9,2025-11-20,"1,044.10","1,060.00","1,044.10","1,060.00",-0.19,50.00,"52,602.50"
10,2025-11-19,"1,046.00","1,062.00","1,046.00","1,062.00",-0.28,49.00,"51,638.00"
11,2025-11-18,"1,065.00","1,065.00","1,065.00","1,065.00",0.47,25.00,"26,625.00"
12,2025-11-17,"1,060.00","1,060.00","1,060.00","1,060.00",0.19,77.00,"81,620.00"
13,2025-11-13,"1,055.00","1,055.00","1,055.00","1,058.00",1.53,26.00,"27,433.00"
14,2025-11-11,"1,045.00","1,045.00","1,042.10","1,042.10",-0.28,55.00,"57,388.00"
15,2025-11-05,"1,045.00","1,045.00","1,045.00","1,045.00",0.00,26.00,"27,170.00"
16,2025-11-03,"1,045.00","1,045.00","1,045.00","1,045.00",0.76,25.00,"26,125.00"
17,2025-10-29,"1,035.00","1,037.10","1,035.00","1,037.10",-1.23,50.00,"51,802.50"
18,2025-10-28,"1,050.00","1,050.00","1,050.00","1,050.00",0.00,15.00,"15,750.00"
19,2025-10-19,"1,050.00","1,050.00","1,050.00","1,050.00",1.92,25.00,"26,250.00"
20,2025-10-14,"1,030.20","1,030.20","1,030.20","1,030.20",2.00,25.00,"25,755.00"
21,2025-09-23,"1,010.00","1,010.00","1,010.00","1,010.00",-1.94,30.00,"30,300.00"
22,2025-08-28,"1,030.00","1,030.00","1,030.00","1,030.00",0.98,25.00,"25,750.00"
23,2025-08-27,"1,020.00","1,020.00","1,020.00","1,020.00",-0.97,46.00,"46,920.00"
24,2025-08-26,"1,030.00","1,050.00","1,030.00","1,030.00",-1.98,724.00,"746,720.00"
25,2025-08-25,"1,010.00","1,050.80","1,010.00","1,050.80",4.06,100.00,"103,341.00"
26,2025-08-24,"1,009.00","1,009.80","1,009.00","1,009.80",2.00,40.00,"40,380.00"
27,2025-08-13,990.00,990.00,990.00,990.00,-1.00,50.00,"49,500.00"
28,2025-08-05,"1,000.00","1,000.00","1,000.00","1,000.00",-1.17,15.00,"15,000.00"
29,2025-07-23,"1,000.00","1,011.80","1,000.00","1,011.80",1.18,81.00,"81,263.80"
30,2025-07-20,"1,000.00","1,000.00","1,000.00","1,000.00",0.81,45.00,"45,000.00"
31,2025-07-17,994.70,995.00,980.00,992.00,-2.27,256.00,"254,305.70"
32,2025-07-16,"1,015.00","1,015.00","1,015.00","1,015.00",1.50,59.00,"59,885.00"
33,2025-07-15,"1,020.00","1,020.00","1,000.00","1,000.00",-0.01,57.00,"57,345.00"
34,2025-07-07,"1,000.10","1,000.10","1,000.10","1,000.10",0.01,25.00,"25,002.50"
35,2025-06-26,"1,000.00","1,000.00","1,000.00","1,000.00",1.51,45.00,"45,000.00"
36,2025-06-23,985.10,985.10,985.10,985.10,-1.59,25.00,"24,627.50"
37,2025-06-18,"1,001.00","1,001.00","1,001.00","1,001.00",-1.86,25.00,"25,025.00"
38,2025-06-12,"1,020.00","1,020.00","1,020.00","1,020.00",2.00,25.00,"25,500.00"
39,2025-06-04,"1,000.00","1,000.00","1,000.00","1,000.00",-1.86,25.00,"25,000.00"
40,2025-06-02,"1,019.00","1,019.00","1,019.00","1,019.00",1.94,105.00,"106,995.00"
41,2025-05-20,999.60,999.60,999.60,999.60,-0.34,25.00,"24,990.00"
42,2025-05-14,"1,003.00","1,003.00","1,003.00","1,003.00",1.99,50.00,"50,150.00"
43,2025-05-13,983.40,983.40,983.40,983.40,-1.76,100.00,"98,340.00"
44,2025-05-11,"1,001.00","1,001.00","1,001.00","1,001.00",0.10,30.00,"30,030.00"
45,2025-05-08,"1,000.00","1,000.00","1,000.00","1,000.00",0.82,25.00,"25,000.00"
