S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,"1,201.00","1,201.00","1,201.00","1,201.00",-0.83,100.00,"120,100.00"
2,2026-02-05,"1,211.00","1,211.00","1,211.00","1,211.00",-1.62,25.00,"30,275.00"
3,2026-02-03,"1,231.00","1,231.00","1,231.00","1,231.00",0.0,25.00,"30,775.00"
4,2026-02-02,"1,231.00","1,231.00","1,231.00","1,231.00",0.08,25.00,"30,775.00"
5,2026-01-28,"1,230.00","1,230.00","1,230.00","1,230.00",0.24,25.00,"30,750.00"
6,2026-01-26,"1,227.10","1,230.00","1,227.10","1,227.00",-0.01,31.00,"38,112.00"
7,2026-01-25,"1,227.10","1,227.10","1,227.10","1,227.10",0.01,17.00,"20,860.70"
8,2026-01-22,"1,251.00","1,251.00","1,251.00","1,227.00",-1.92,8.00,"9,816.00"
9,2026-01-21,"1,251.00","1,251.00","1,251.00","1,251.00",0.0,6.00,"7,506.00"
10,2026-01-20,"1,276.00","1,276.00","1,251.00","1,251.00",-1.96,20.00,"25,020.00"
11,2026-01-18,"1,302.00","1,302.00","1,302.00","1,276.00",-2.0,5.00,"6,380.00"
12,2026-01-13,"1,210.00","1,302.00","1,210.00","1,302.00",6.2,451.00,"584,772.90"
13,2026-01-07,"1,226.00","1,226.00","1,226.00","1,226.00",0.0,25.00,"30,650.00"
14,2026-01-05,"1,226.00","1,226.00","1,226.00","1,226.00",-1.96,25.00,"30,650.00"
15,2026-01-01,"1,251.00","1,251.00","1,226.00","1,250.50",-2.0,80.00,"99,442.50"
16,2025-12-29,"1,270.00","1,276.00","1,251.00","1,276.00",2.24,239.00,"304,111.50"
17,2025-12-28,"1,248.00","1,248.00","1,248.00","1,248.00",-1.96,50.00,"62,400.00"
18,2025-12-22,"1,298.00","1,298.00","1,273.00","1,273.00",-1.93,101.00,"128,600.00"
19,2025-12-21,"1,235.00","1,298.00","1,235.00","1,298.00",5.1,154.00,"199,839.70"
20,2025-12-17,"1,265.00","1,265.00","1,235.00","1,235.00",-2.37,"49,703.00","61,383,238.00"
