S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-23,"1,058.00","1,058.00","1,058.00","1,058.00",0.00,50.00,"52,900.00"
2,2026-02-17,"1,050.00","1,058.00","1,050.00","1,058.00",1.71,125.00,"132,050.00"
3,2026-02-16,"1,051.00","1,051.00","1,040.20","1,040.20",-1.03,75.00,"78,555.00"
4,2026-02-12,"1,051.00","1,051.00","1,051.00","1,051.00",-0.03,100.00,"105,100.00"
5,2026-02-11,"1,050.00","1,051.30","1,050.00","1,051.30",0.0,75.00,"78,782.50"
6,2026-02-10,"1,051.30","1,051.30","1,051.30","1,051.30",0.0,20.00,"21,026.00"
7,2026-02-09,"1,050.50","1,051.30","1,050.50","1,051.30",-0.35,50.00,"52,545.00"
8,2026-02-08,"1,046.30","1,055.00","1,046.30","1,055.00",0.48,50.00,"52,532.50"
9,2026-02-05,"1,060.00","1,060.00","1,050.00","1,050.00",0.0,50.00,"52,750.00"
10,2026-02-04,"1,050.00","1,050.00","1,050.00","1,050.00",0.1,25.00,"26,250.00"
11,2026-02-03,"1,049.00","1,049.00","1,049.00","1,049.00",-0.57,25.00,"26,225.00"
12,2026-02-02,"1,055.00","1,055.00","1,055.00","1,055.00",0.0,25.00,"26,375.00"
13,2026-02-01,"1,060.00","1,060.00","1,055.00","1,055.00",-0.46,300.00,"317,750.00"
14,2026-01-29,"1,058.00","1,059.90","1,058.00","1,059.90",0.35,375.00,"397,272.50"
15,2026-01-28,"1,060.00","1,060.00","1,055.00","1,056.20",-0.36,75.00,"79,280.00"
16,2026-01-26,"1,054.00","1,060.00","1,054.00","1,060.00",0.66,175.00,"185,212.50"
17,2026-01-25,"1,053.10","1,053.10","1,053.10","1,053.10",-0.65,25.00,"26,327.50"
18,2026-01-21,"1,040.00","1,060.00","1,040.00","1,060.00",0.81,75.00,"79,000.00"
19,2026-01-20,"1,036.90","1,057.70","1,036.90","1,051.50",-0.61,550.00,"580,475.00"
20,2026-01-18,"1,055.00","1,058.00","1,055.00","1,058.00",-1.58,75.00,"79,275.00"
21,2026-01-14,"1,075.00","1,080.00","1,070.00","1,075.00",0.0,105.00,"112,875.00"
22,2026-01-12,"1,080.00","1,080.00","1,075.00","1,075.00",-0.19,75.00,"80,750.00"
23,2026-01-08,"1,077.10","1,077.10","1,077.10","1,077.10",-0.28,50.00,"53,855.00"
24,2026-01-07,"1,085.00","1,085.00","1,080.10","1,080.10",-0.46,100.00,"108,255.00"
25,2026-01-06,"1,085.10","1,085.10","1,085.10","1,085.10",0.01,42.00,"45,574.20"
26,2026-01-05,"1,083.00","1,100.00","1,077.00","1,085.00",0.18,125.00,"136,125.00"
