S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,"1,151.00","1,155.00","1,151.00","1,155.00",1.94,50.00,"57,667.50"
2,2026-02-01,"1,133.00","1,133.00","1,133.00","1,133.00",0.0,100.00,"113,300.00"
3,2026-01-28,"1,133.00","1,133.00","1,133.00","1,133.00",1.98,25.00,"28,325.00"
4,2026-01-27,"1,111.00","1,111.00","1,111.00","1,111.00",-1.68,25.00,"27,775.00"
5,2026-01-22,"1,130.00","1,130.00","1,130.00","1,130.00",-1.77,25.00,"28,250.00"
6,2026-01-08,"1,147.10","1,150.40","1,147.10","1,150.40",-0.57,75.00,"86,115.00"
7,2026-01-01,"1,157.00","1,157.00","1,157.00","1,157.00",-1.95,25.00,"28,925.00"
8,2025-12-23,"1,180.00","1,180.00","1,180.00","1,180.00",1.95,25.00,"29,500.00"
9,2025-12-22,"1,157.40","1,157.40","1,157.40","1,157.40",0.21,100.00,"115,740.00"
10,2025-12-21,"1,152.00","1,155.00","1,152.00","1,155.00",0.43,295.00,"340,190.00"
11,2025-12-03,"1,150.00","1,150.00","1,150.00","1,150.00",0.0,50.00,"57,500.00"
12,2025-11-25,"1,150.00","1,150.00","1,150.00","1,150.00",1.15,150.00,"172,500.00"
13,2025-11-24,"1,136.90","1,136.90","1,136.90","1,136.90",-0.71,50.00,"56,845.00"
14,2025-11-23,"1,145.00","1,145.00","1,145.00","1,145.00",-0.02,100.00,"114,500.00"
15,2025-11-20,"1,145.20","1,145.20","1,145.20","1,145.20",-1.28,25.00,"28,630.00"
16,2025-11-18,"1,170.00","1,173.00","1,160.00","1,160.00",0.87,180.00,"209,690.00"
17,2025-11-17,"1,150.00","1,150.00","1,150.00","1,150.00",-0.31,100.00,"115,000.00"
18,2025-11-16,"1,153.60","1,153.60","1,153.60","1,153.60",2.0,25.00,"28,840.00"
19,2025-11-13,"1,131.00","1,131.00","1,131.00","1,131.00",0.0,25.00,"28,275.00"
