S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,"1,079.00","1,079.00","1,079.00","1,079.00",1.60,"1,078.00","1,163,162.00"
2,2026-02-26,"1,062.00","1,062.00","1,062.00","1,062.00",-0.75,30.00,"31,860.00"
3,2026-02-25,"1,058.40","1,070.00","1,058.40","1,070.00",0.93,800.00,"855,430.00"
4,2026-02-17,"1,076.60","1,077.00","1,060.10","1,060.10",0.44,"1,127.00","1,212,924.00"
5,2026-02-11,"1,052.00","1,055.50","1,052.00","1,055.50",-0.52,75.00,"79,017.50"
6,2026-02-10,"1,061.00","1,061.00","1,061.00","1,061.00",-1.75,200.00,"212,200.00"
7,2026-02-08,"1,078.00","1,079.90","1,078.00","1,079.90",1.88,200.00,"215,885.00"
8,2026-02-05,"1,050.10","1,060.00","1,050.10","1,060.00",-0.74,225.00,"238,252.50"
9,2026-02-04,"1,047.00","1,047.00","1,047.00","1,067.90",2.0,5.00,"5,339.50"
10,2026-02-01,"1,046.00","1,052.00","1,045.00","1,047.00",-0.66,330.00,"345,825.00"
11,2026-01-28,"1,054.00","1,054.00","1,054.00","1,054.00",0.67,25.00,"26,350.00"
12,2026-01-26,"1,050.00","1,050.00","1,044.00","1,047.00",-0.3,75.00,"78,525.00"
13,2026-01-25,"1,050.20","1,050.20","1,050.20","1,050.20",-0.46,25.00,"26,255.00"
14,2026-01-22,"1,045.20","1,055.10","1,045.20","1,055.10",-0.39,50.00,"52,507.50"
15,2026-01-20,"1,059.20","1,059.20","1,059.20","1,059.20",-2.0,25.00,"26,480.00"
16,2026-01-18,"1,080.80","1,080.80","1,080.80","1,080.80",-1.99,10.00,"10,808.00"
17,2026-01-13,"1,060.00","1,106.00","1,060.00","1,102.80",4.04,384.00,"424,570.40"
18,2026-01-12,"1,072.00","1,072.00","1,060.00","1,060.00",-0.93,50.00,"53,300.00"
19,2026-01-05,"1,070.00","1,070.00","1,070.00","1,070.00",-1.38,25.00,"26,750.00"
20,2026-01-04,"1,085.00","1,085.00","1,085.00","1,085.00",0.0,25.00,"27,125.00"
21,2026-01-01,"1,085.00","1,085.00","1,085.00","1,085.00",-1.63,100.00,"108,500.00"
22,2025-12-31,"1,080.00","1,103.00","1,080.00","1,103.00",2.41,474.00,"521,155.00"
23,2025-12-23,"1,077.00","1,077.00","1,077.00","1,077.00",0.0,25.00,"26,925.00"
24,2025-12-22,"1,064.00","1,085.00","1,064.00","1,077.00",-0.74,85.00,"91,395.00"
25,2025-12-21,"1,070.00","1,107.00","1,070.00","1,085.00",1.12,956.00,"1,052,683.00"
26,2025-12-18,"1,073.10","1,073.10","1,073.00","1,073.00",-1.55,25.00,"26,826.00"
27,2025-12-17,"1,088.00","1,088.00","1,088.00","1,089.90",1.2,31.00,"33,739.40"
28,2025-12-15,"1,077.00","1,077.00","1,077.00","1,077.00",0.19,25.00,"26,925.00"
29,2025-12-14,"1,077.00","1,077.00","1,072.00","1,075.00",-0.46,100.00,"107,450.00"
30,2025-12-11,"1,082.00","1,082.00","1,077.00","1,080.00",-0.22,175.00,"189,175.00"
31,2025-12-10,"1,080.00","1,082.40","1,080.00","1,082.40",0.77,230.00,"248,760.00"
32,2025-12-08,"1,074.00","1,074.10","1,074.00","1,074.10",0.38,50.00,"53,702.50"
33,2025-12-07,"1,069.00","1,070.00","1,069.00","1,070.00",0.0,50.00,"53,475.00"
34,2025-12-02,"1,082.00","1,082.00","1,068.00","1,070.00",-1.11,100.00,"107,250.00"
35,2025-12-01,"1,080.00","1,082.00","1,079.00","1,082.00",-1.46,50.00,"54,040.00"
36,2025-11-30,"1,098.00","1,098.00","1,098.00","1,098.00",0.88,"1,280.00","1,405,440.00"
37,2025-11-26,"1,067.10","1,088.40","1,067.10","1,088.40",2.28,475.00,"516,181.50"
38,2025-11-24,"1,076.00","1,076.00","1,064.10","1,064.10",-1.02,125.00,"134,202.50"
39,2025-11-23,"1,065.00","1,075.10","1,065.00","1,075.10",1.14,150.00,"160,680.00"
40,2025-11-20,"1,063.00","1,063.00","1,063.00","1,063.00",0.38,50.00,"53,150.00"
41,2025-11-19,"1,060.00","1,060.00","1,057.00","1,059.00",-0.94,150.00,"158,825.00"
42,2025-11-18,"1,069.00","1,069.00","1,069.00","1,069.00",-0.47,55.00,"58,795.00"
43,2025-11-17,"1,067.00","1,095.00","1,067.00","1,074.00",0.66,"1,101.00","1,203,488.00"
44,2025-11-13,"1,067.00","1,086.20","1,067.00","1,067.00",0.19,451.00,"488,669.70"
45,2025-11-12,"1,064.00","1,085.20","1,064.00","1,065.00",0.09,198.00,"213,814.60"
46,2025-11-11,"1,066.10","1,066.10","1,055.00","1,064.00",-0.2,162.00,"171,922.90"
47,2025-11-10,"1,000.00","1,066.10","1,000.00","1,066.10",0.0,106.00,"110,687.60"
