S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-01-06,"1,097.60","1,097.60","1,045.10","1,045.20",-4.77,35.00,"36,781.50"
2,2025-12-21,"1,097.60","1,097.60","1,097.60","1,097.60",-2.00,100.00,"109,760.00"
3,2025-12-09,"1,050.00","1,050.00","1,050.00","1,120.00",7.69,220.00,"231,900.00"
4,2025-11-24,"1,041.00","1,041.00","1,040.00","1,040.00",-0.44,50.00,"52,025.00"
5,2025-11-18,"1,045.50","1,045.50","1,044.60","1,044.60",-2.00,50.00,"52,252.50"
6,2025-11-16,"1,065.00","1,065.90","1,065.00","1,065.90",2.00,210.00,"223,659.00"
7,2025-11-13,"1,045.00","1,045.00","1,045.00","1,045.00",0.19,100.00,"104,500.00"
8,2025-11-11,"1,042.00","1,043.00","1,041.00","1,043.00",-0.10,65.00,"67,740.00"
9,2025-11-09,"1,044.00","1,044.00","1,044.00","1,044.00",-0.62,150.00,"156,600.00"
10,2025-11-03,"1,060.00","1,060.00","1,050.50","1,050.50",-1.20,100.00,"105,525.00"
11,2025-11-02,"1,063.30","1,063.30","1,063.30","1,063.30",-2.00,10.00,"10,633.00"
12,2025-10-30,"1,085.00","1,085.00","1,085.00","1,085.00",-1.99,200.00,"217,000.00"
13,2025-10-08,"1,107.00","1,107.00","1,107.00","1,107.00",1.93,50.00,"55,350.00"
14,2025-07-30,"1,086.00","1,086.00","1,086.00","1,086.00",-0.05,50.00,"54,300.00"
15,2025-07-28,"1,086.50","1,086.50","1,086.50","1,086.50",1.07,575.00,"624,737.50"
16,2025-07-27,"1,095.00","1,095.00","1,075.00","1,075.00",-3.76,500.00,"539,500.00"
17,2025-07-21,"1,078.00","1,117.00","1,078.00","1,117.00",1.55,"1,088.00","1,182,753.00"
18,2025-07-09,"1,090.00","1,100.00","1,090.00","1,100.00",0.01,710.00,"779,941.00"
19,2025-07-02,"1,099.90","1,099.90","1,099.90","1,099.90",1.00,10.00,"10,999.00"
20,2025-06-30,"1,089.00","1,089.00","1,089.00","1,089.00",1.78,28.00,"30,492.00"
21,2025-06-24,"1,070.00","1,070.00","1,070.00","1,070.00",-0.71,20.00,"21,400.00"
22,2025-06-09,"1,080.00","1,099.50","1,077.60","1,077.60",-0.22,32.00,"34,768.90"
23,2025-05-28,"1,061.20","1,080.00","1,061.20","1,080.00",1.77,25.00,"27,000.00"
