S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,"1,207.00","1,207.00","1,207.00","1,207.00",-1.94,25.00,"30,175.00"
2,2026-01-13,"1,160.00","1,236.00","1,160.00","1,230.90",6.11,500.00,"617,163.20"
3,2026-01-07,"1,160.00","1,160.00","1,160.00","1,160.00",-1.69,100.00,"116,000.00"
4,2026-01-05,"1,195.00","1,195.00","1,180.00","1,180.00",-2.49,200.00,"237,500.00"
5,2026-01-01,"1,210.10","1,210.10","1,210.10","1,210.10",-1.71,50.00,"60,505.00"
6,2025-12-29,"1,231.10","1,231.10","1,231.10","1,231.10",2.0,100.00,"123,110.00"
7,2025-12-23,"1,207.00","1,207.00","1,207.00","1,207.00",0.0,25.00,"30,175.00"
8,2025-12-22,"1,207.00","1,207.00","1,207.00","1,207.00",-1.95,75.00,"90,525.00"
9,2025-12-21,"1,230.00","1,231.00","1,230.00","1,231.00",2.07,335.00,"412,310.00"
10,2025-12-17,"1,206.00","1,206.00","1,206.00","1,206.00",0.0,25.00,"30,150.00"
11,2025-12-15,"1,206.00","1,206.00","1,206.00","1,206.00",0.42,25.00,"30,150.00"
12,2025-12-10,"1,201.00","1,201.00","1,201.00","1,201.00",0.5,25.00,"30,025.00"
13,2025-12-09,"1,195.00","1,195.00","1,195.00","1,195.00",0.42,50.00,"59,750.00"
14,2025-12-08,"1,190.00","1,190.00","1,190.00","1,190.00",0.0,25.00,"29,750.00"
15,2025-11-30,"1,186.00","1,190.00","1,186.00","1,190.00",-1.24,60.00,"71,300.00"
16,2025-11-18,"1,227.00","1,227.00","1,205.00","1,205.00",0.17,50.00,"60,800.00"
17,2025-11-11,"1,203.00","1,203.00","1,203.00","1,203.00",-1.64,100.00,"120,300.00"
18,2025-11-10,"1,223.00","1,223.00","1,223.00","1,223.00",0.01,550.00,"672,650.00"
19,2025-11-09,"1,222.90","1,222.90","1,222.90","1,222.90",1.99,"2,000.00","2,445,800.00"
20,2025-11-06,"1,199.00","1,199.00","1,199.00","1,199.00",1.96,25.00,"29,975.00"
21,2025-11-05,"1,176.00","1,176.00","1,176.00","1,176.00",-2.0,25.00,"29,400.00"
22,2025-11-04,"1,177.00","1,200.00","1,177.00","1,200.00",-0.04,"2,500.00","2,997,700.00"
23,2025-11-03,"1,177.00","1,221.00","1,177.00","1,200.50",2.0,220.00,"268,160.00"
24,2025-10-29,"1,177.00","1,177.00","1,177.00","1,177.00",-1.92,100.00,"117,700.00"
25,2025-10-08,"1,200.00","1,200.00","1,200.00","1,200.00",-1.32,25.00,"30,000.00"
26,2025-10-07,"1,115.00","1,216.00","1,115.00","1,216.00",9.06,912.00,"1,108,814.50"
27,2025-09-21,"1,115.00","1,115.00","1,115.00","1,115.00",-1.33,25.00,"27,875.00"
28,2025-09-08,"1,130.00","1,130.00","1,130.00","1,130.00",-1.74,112.00,"126,560.00"
29,2025-09-04,"1,165.00","1,165.00","1,150.00","1,150.00",-1.71,125.00,"145,250.00"
30,2025-09-03,"1,193.40","1,193.40","1,170.00","1,170.00",-1.96,125.00,"148,590.00"
31,2025-09-02,"1,170.00","1,193.40","1,170.00","1,193.40",3.77,250.00,"294,957.00"
32,2025-08-31,"1,150.00","1,150.00","1,150.00","1,150.00",-1.63,100.00,"115,000.00"
33,2025-08-25,"1,169.00","1,169.00","1,169.00","1,169.00",-0.05,40.00,"46,760.00"
34,2025-08-13,"1,169.60","1,169.60","1,169.60","1,169.60",1.95,50.00,"58,480.00"
35,2025-08-12,"1,127.00","1,149.50","1,127.00","1,147.25",1.8,133.00,"152,584.30"
36,2025-08-07,"1,127.00","1,127.00","1,127.00","1,127.00",-2.0,35.00,"39,445.00"
37,2025-08-05,"1,150.00","1,150.00","1,150.00","1,150.00",-0.17,40.00,"46,000.00"
38,2025-08-04,"1,152.00","1,152.00","1,152.00","1,152.00",0.16,10.00,"11,520.00"
39,2025-07-29,"1,150.20","1,150.20","1,150.20","1,150.20",1.4,20.00,"23,004.00"
40,2025-07-24,"1,134.30","1,134.30","1,134.30","1,134.30",1.98,112.00,"127,041.60"
41,2025-07-23,"1,112.30","1,112.30","1,112.30","1,112.30",-2.0,25.00,"27,807.50"
42,2025-07-16,"1,157.00","1,157.30","1,135.00","1,135.00",0.0,145.00,"165,569.50"
43,2025-07-15,"1,135.00","1,135.00","1,135.00","1,135.00",0.0,40.00,"45,400.00"
44,2025-07-13,"1,135.00","1,135.00","1,135.00","1,135.00",-0.2,40.00,"45,400.00"
45,2025-07-10,"1,137.30","1,137.30","1,137.30","1,137.30",2.0,25.00,"28,432.50"
46,2025-07-09,"1,115.00","1,115.00","1,115.00","1,115.00",-0.18,25.00,"27,875.00"
47,2025-07-08,"1,117.00","1,117.00","1,117.00","1,117.00",1.94,10.00,"11,170.00"
48,2025-07-06,"1,090.90","1,095.80","1,090.90","1,095.79",0.53,80.00,"87,541.00"
49,2025-07-01,"1,090.40","1,090.40","1,090.00","1,090.00",-0.96,30.00,"32,704.00"
50,2025-06-25,"1,100.60","1,100.60","1,100.60","1,100.60",-1.73,25.00,"27,515.00"
51,2025-06-24,"1,120.00","1,120.00","1,120.00","1,120.00",-0.44,25.00,"28,000.00"
52,2025-06-11,"1,125.00","1,125.00","1,125.00","1,125.00",1.59,25.00,"28,125.00"
53,2025-05-28,"1,107.40","1,107.40","1,107.40","1,107.40",-2.0,25.00,"27,685.00"
54,2025-05-26,"1,125.00","1,130.00","1,125.00","1,129.99",0.44,50.00,"56,499.50"
55,2025-05-20,"1,125.00","1,125.00","1,125.00","1,125.00",0.89,25.00,"28,125.00"
56,2025-05-13,"1,109.10","1,109.10","1,109.10","1,115.10",-1.32,26.00,"28,842.60"
57,2025-05-05,"1,132.20","1,132.20","1,125.00","1,130.00",1.8,65.00,"73,380.00"
58,2025-05-04,"1,110.00","1,110.00","1,110.00","1,110.00",-0.17,25.00,"27,750.00"
59,2025-04-28,"1,111.90","1,111.90","1,111.90","1,111.90",2.0,150.00,"166,785.00"
60,2025-04-22,"1,090.10","1,090.10","1,090.10","1,090.10",0.93,100.00,"109,010.00"
61,2025-04-20,"1,080.10","1,080.10","1,080.10","1,080.10",-1.83,25.00,"27,002.50"
62,2025-04-16,"1,100.20","1,100.20","1,100.20","1,100.20",-0.62,25.00,"27,505.00"
63,2025-04-10,"1,107.10","1,107.10","1,107.10","1,107.10",2.0,25.00,"27,677.50"
64,2025-04-08,"1,085.40","1,085.40","1,085.40","1,085.40",-1.32,25.00,"27,135.00"
65,2025-04-03,"1,092.20","1,092.20","1,092.20","1,099.90",0.7,1.00,"1,099.90"
66,2025-03-30,"1,092.20","1,092.20","1,092.20","1,092.20",2.0,25.00,"27,305.00"
67,2025-03-26,"1,070.80","1,070.80","1,070.80","1,070.80",0.26,25.00,"26,770.00"
68,2025-03-24,"1,068.00","1,068.00","1,068.00","1,068.00",-0.19,100.00,"106,800.00"
69,2025-03-16,"1,070.00","1,070.00","1,070.00","1,070.00",0.0,25.00,"26,750.00"
70,2025-03-12,"1,070.00","1,070.00","1,070.00","1,070.00",0.56,1.00,"1,070.00"
71,2025-02-25,"1,064.10","1,064.10","1,064.00","1,064.00",-0.05,25.00,"26,601.50"
72,2025-02-20,"1,064.50","1,064.50","1,064.50","1,064.50",-1.89,25.00,"26,612.50"
73,2025-02-04,"1,080.00","1,085.00","1,080.00","1,085.00",-0.12,125.00,"135,500.00"
74,2025-02-03,"1,086.30","1,086.30","1,086.30","1,086.30",0.0,25.00,"27,157.50"
75,2025-01-23,"1,086.30","1,086.30","1,086.30","1,086.30",0.49,26.00,"27,711.80"
76,2025-01-22,"1,060.90","1,081.00","1,060.90","1,081.00",1.79,48.00,"51,385.50"
77,2025-01-21,"1,081.10","1,081.10","1,062.00","1,062.00",-1.68,100.00,"107,586.00"
78,2025-01-20,"1,100.00","1,100.00","1,080.00","1,080.10",-2.69,125.00,"135,756.00"
79,2025-01-19,"1,110.00","1,110.00","1,110.00","1,110.00",-3.26,27.00,"29,999.00"
80,2025-01-06,"1,147.40","1,147.40","1,147.40","1,147.40",1.99,1.00,"1,147.40"
81,2025-01-02,"1,125.00","1,125.00","1,125.00","1,125.00",0.0,25.00,"28,125.00"
82,2025-01-01,"1,103.00","1,125.00","1,103.00","1,125.00",1.35,78.00,"87,199.70"
83,2024-12-29,"1,110.00","1,110.00","1,110.00","1,110.00",-1.25,100.00,"111,000.00"
84,2024-12-26,"1,124.10","1,124.10","1,124.10","1,124.10",2.0,6.00,"6,744.60"
85,2024-12-23,"1,102.20","1,102.20","1,102.10","1,102.10",0.37,100.00,"110,211.50"
86,2024-12-12,"1,098.00","1,098.00","1,098.00","1,098.00",-1.96,25.00,"27,450.00"
87,2024-12-10,"1,120.00","1,120.00","1,120.00","1,120.00",-1.52,25.00,"28,000.00"
88,2024-12-09,"1,120.00","1,137.30","1,120.00","1,137.30",2.0,70.00,"78,623.00"
89,2024-12-08,"1,115.00","1,115.00","1,115.00","1,115.00",-0.45,25.00,"27,875.00"
90,2024-12-05,"1,120.00","1,120.00","1,120.00","1,120.00",0.09,15.00,"16,800.00"
91,2024-12-03,"1,119.00","1,119.00","1,119.00","1,119.00",0.0,25.00,"27,975.00"
92,2024-11-21,"1,119.00","1,119.00","1,119.00","1,119.00",-0.09,25.00,"27,975.00"
93,2024-11-13,"1,120.00","1,120.00","1,120.00","1,120.00",0.0,75.00,"84,000.00"
94,2024-11-10,"1,115.00","1,120.00","1,115.00","1,120.00",0.81,125.00,"139,500.00"
95,2024-10-23,"1,111.00","1,111.00","1,111.00","1,111.00",0.54,30.00,"33,330.00"
96,2024-10-21,"1,100.00","1,105.00","1,100.00","1,105.00",0.45,75.00,"82,750.00"
97,2024-10-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,50.00,"55,000.00"
98,2024-10-15,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,30.00,"33,000.00"
99,2024-10-08,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,25.00,"27,500.00"
100,2024-10-01,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,250.00,"275,000.00"
101,2024-09-26,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,100.00,"110,000.00"
102,2024-09-25,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,50.00,"55,000.00"
103,2024-09-23,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,25.00,"27,500.00"
104,2024-09-22,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,25.00,"27,500.00"
105,2024-09-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,125.00,"137,500.00"
106,2024-09-15,"1,100.00","1,100.00","1,100.00","1,100.00",-0.05,70.00,"77,000.00"
107,2024-09-12,"1,100.50","1,100.50","1,100.50","1,100.50",-0.41,"1,000.00","1,100,500.00"
108,2024-09-11,"1,105.00","1,105.00","1,105.00","1,105.00",-1.52,25.00,"27,625.00"
109,2024-09-10,"1,100.00","1,122.00","1,100.00","1,122.00",2.0,100.00,"110,550.00"
110,2024-09-08,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,25.00,"27,500.00"
111,2024-09-04,"1,100.00","1,100.00","1,100.00","1,100.00",-0.27,100.00,"110,000.00"
112,2024-09-03,"1,103.00","1,103.00","1,103.00","1,103.00",0.18,25.00,"27,575.00"
113,2024-09-02,"1,101.00","1,101.00","1,101.00","1,101.00",-1.26,25.00,"27,525.00"
114,2024-08-28,"1,115.00","1,115.00","1,115.00","1,115.00",0.36,125.00,"139,375.00"
115,2024-08-27,"1,111.00","1,111.00","1,111.00","1,111.00",0.0,225.00,"249,975.00"
116,2024-08-25,"1,111.00","1,111.00","1,111.00","1,111.00",1.0,100.00,"111,100.00"
117,2024-08-22,"1,100.00","1,100.00","1,100.00","1,100.00",-1.79,25.00,"27,500.00"
118,2024-08-21,"1,110.00","1,120.00","1,110.00","1,120.00",0.81,35.00,"38,950.00"
119,2024-08-15,"1,111.00","1,111.00","1,111.00","1,111.00",0.09,100.00,"111,100.00"
120,2024-08-14,"1,110.00","1,110.00","1,110.00","1,110.00",0.0,75.00,"83,250.00"
121,2024-08-13,"1,115.00","1,115.00","1,110.00","1,110.00",-0.45,75.00,"83,500.00"
122,2024-08-12,"1,115.00","1,115.00","1,115.00","1,115.00",-0.62,75.00,"83,625.00"
123,2024-08-11,"1,120.00","1,122.00","1,120.00","1,122.00",2.0,140.00,"157,025.00"
124,2024-08-06,"1,100.00","1,100.00","1,100.00","1,100.00",0.92,25.00,"27,500.00"
125,2024-08-05,"1,090.00","1,090.00","1,090.00","1,090.00",0.0,75.00,"81,750.00"
126,2024-08-01,"1,090.00","1,090.00","1,090.00","1,090.00",-0.91,50.00,"54,500.00"
127,2024-07-31,"1,090.00","1,100.00","1,090.00","1,100.00",1.85,50.00,"54,750.00"
128,2024-07-30,"1,100.00","1,100.00","1,080.00","1,080.00",-0.92,52.00,"56,660.00"
129,2024-07-29,"1,100.00","1,100.00","1,090.00","1,090.00",-0.91,50.00,"54,700.00"
130,2024-07-25,"1,105.00","1,105.00","1,100.00","1,100.00",-0.41,205.00,"225,625.00"
131,2024-07-23,"1,104.50","1,104.50","1,104.50","1,104.50",-2.0,100.00,"110,450.00"
132,2024-07-16,"1,127.00","1,127.00","1,127.00","1,127.00",-2.0,100.00,"112,700.00"
133,2024-07-15,"1,150.00","1,150.00","1,150.00","1,150.00",0.44,20.00,"23,000.00"
134,2024-07-11,"1,122.50","1,145.00","1,122.50","1,145.00",4.0,200.00,"227,362.50"
135,2024-07-10,"1,081.19","1,102.00","1,081.19","1,101.00",3.87,175.00,"192,204.75"
136,2024-07-07,"1,060.00","1,060.00","1,060.00","1,060.00",0.18,25.00,"26,500.00"
137,2024-07-04,"1,058.50","1,058.50","1,058.10","1,058.10",-1.67,50.00,"52,915.00"
138,2024-07-01,"1,076.10","1,076.10","1,076.10","1,076.10",2.0,15.00,"16,141.50"
139,2024-06-26,"1,050.10","1,055.00","1,050.00","1,055.00",0.29,125.00,"131,377.50"
140,2024-06-25,"1,052.00","1,052.00","1,052.00","1,052.00",-0.75,100.00,"105,200.00"
141,2024-06-24,"1,060.00","1,060.00","1,060.00","1,060.00",-0.93,25.00,"26,500.00"
142,2024-06-19,"1,070.00","1,070.00","1,070.00","1,070.00",0.43,25.00,"26,750.00"
143,2024-06-18,"1,065.40","1,065.40","1,065.40","1,065.40",0.0,100.00,"106,540.00"
144,2024-06-16,"1,065.40","1,065.40","1,065.40","1,065.40",1.99,25.00,"26,635.00"
145,2024-06-12,"1,045.50","1,045.50","1,044.60","1,044.60",-2.0,50.00,"52,252.50"
146,2024-06-10,"1,065.90","1,065.90","1,065.90","1,065.90",2.0,10.00,"10,659.00"
147,2024-06-05,"1,045.00","1,045.00","1,045.00","1,045.00",-0.95,25.00,"26,125.00"
148,2024-06-04,"1,055.00","1,055.00","1,055.00","1,055.00",-0.92,25.00,"26,375.00"
149,2024-05-29,"1,064.80","1,064.80","1,064.80","1,064.80",1.99,10.00,"10,648.00"
150,2024-05-22,"1,044.00","1,044.00","1,044.00","1,044.00",0.0,25.00,"26,100.00"
151,2024-05-21,"1,042.00","1,044.00","1,042.00","1,044.00",0.17,50.00,"52,150.00"
152,2024-05-20,"1,050.00","1,050.00","1,041.50","1,042.20",-0.74,125.00,"130,642.50"
153,2024-05-19,"1,040.10","1,050.00","1,040.10","1,050.00",-0.94,75.00,"78,257.00"
154,2024-05-14,"1,035.00","1,060.00","1,035.00","1,060.00",2.9,175.00,"183,122.50"
155,2024-05-13,"1,030.00","1,030.10","1,030.00","1,030.10",-0.07,50.00,"51,502.50"
156,2024-05-09,"1,030.10","1,030.80","1,030.00","1,030.80",-0.88,105.00,"108,176.00"
157,2024-05-07,"1,040.00","1,040.00","1,040.00","1,040.00",0.0,25.00,"26,000.00"
158,2024-05-06,"1,040.00","1,040.00","1,040.00","1,040.00",1.21,25.00,"26,000.00"
159,2024-05-05,"1,000.00","1,028.50","1,000.00","1,027.60",2.76,205.00,"207,703.00"
