S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-08,"1,120.00","1,147.00","1,120.00","1,142.40",2.00,"1,105.00","1,266,055.00"
2,2026-02-05,"1,138.00","1,139.30","1,120.00","1,120.00",0.27,130.00,"147,162.50"
3,2026-02-04,"1,117.00","1,117.00","1,117.00","1,117.00",0.0,150.00,"167,550.00"
4,2026-02-03,"1,124.00","1,130.00","1,117.00","1,117.00",-2.53,220.00,"248,190.00"
5,2026-02-02,"1,146.00","1,146.00","1,146.00","1,146.00",1.87,935.00,"1,071,510.00"
6,2026-02-01,"1,131.00","1,131.00","1,125.00","1,125.00",-2.51,435.00,"489,585.00"
7,2026-01-28,"1,137.00","1,159.70","1,137.00","1,154.00",3.5,625.00,"721,147.50"
8,2026-01-27,"1,135.00","1,135.00","1,115.00","1,115.00",-0.45,175.00,"196,625.00"
9,2026-01-26,"1,120.00","1,130.00","1,110.00","1,120.00",-0.88,250.00,"280,750.00"
10,2026-01-25,"1,113.20","1,130.00","1,113.20","1,130.00",1.51,425.00,"479,830.00"
11,2026-01-22,"1,115.00","1,115.00","1,113.20","1,113.20",-0.7,75.00,"83,535.00"
12,2026-01-21,"1,121.00","1,121.00","1,121.00","1,121.00",-0.97,35.00,"39,235.00"
13,2026-01-20,"1,132.00","1,132.00","1,132.00","1,132.00",-2.0,25.00,"28,300.00"
14,2026-01-14,"1,158.40","1,158.40","1,155.00","1,155.10",-2.28,260.00,"300,478.00"
15,2026-01-13,"1,190.00","1,190.00","1,182.00","1,182.00",0.6,"1,115.00","1,319,530.00"
16,2026-01-12,"1,165.00","1,185.00","1,161.30","1,175.00",0.86,120.00,"139,990.00"
17,2026-01-07,"1,131.00","1,165.00","1,131.00","1,165.00",0.99,275.00,"317,672.50"
18,2026-01-06,"1,131.00","1,153.60","1,131.00","1,153.60",1.19,110.00,"126,670.00"
19,2026-01-05,"1,140.00","1,164.00","1,140.00","1,140.00",-0.18,86.00,"98,868.00"
20,2026-01-04,"1,142.00","1,142.00","1,142.00","1,142.00",-1.79,25.00,"28,550.00"
21,2026-01-01,"1,140.00","1,162.80","1,140.00","1,162.80",-0.03,50.00,"57,570.00"
22,2025-12-31,"1,156.30","1,179.00","1,156.00","1,163.10",-0.5,"1,410.00","1,656,320.00"
23,2025-12-28,"1,168.00","1,169.00","1,168.00","1,169.00",0.0,150.00,"175,325.00"
24,2025-12-24,"1,170.00","1,170.00","1,169.00","1,169.00",-0.09,215.00,"251,407.50"
25,2025-12-23,"1,165.50","1,170.00","1,165.50","1,170.00",1.3,300.00,"350,780.00"
26,2025-12-22,"1,175.00","1,175.00","1,155.00","1,155.00",-1.7,51.00,"58,902.00"
27,2025-12-21,"1,151.00","1,175.00","1,151.00","1,175.00",1.73,"5,060.00","5,939,520.50"
28,2025-12-18,"1,151.00","1,155.00","1,151.00","1,155.00",0.35,110.00,"126,950.00"
29,2025-12-17,"1,149.00","1,151.00","1,149.00","1,151.00",-1.19,325.00,"373,925.00"
30,2025-12-16,"1,150.00","1,164.90","1,150.00","1,164.90",0.42,"1,070.00","1,239,823.00"
31,2025-12-15,"1,151.00","1,160.00","1,151.00","1,160.00",0.43,200.00,"231,325.00"
32,2025-12-14,"1,140.00","1,155.00","1,140.00","1,155.00",-0.01,200.00,"230,500.00"
33,2025-12-11,"1,160.00","1,200.00","1,155.10","1,155.10",-0.42,"2,456.00","2,934,401.50"
34,2025-12-10,"1,189.90","1,189.90","1,160.00","1,160.00",-2.52,96.00,"111,964.10"
35,2025-12-09,"1,174.00","1,200.00","1,153.20","1,190.00",2.15,"4,043.00","4,825,490.00"
36,2025-12-07,"1,151.10","1,165.00","1,148.00","1,165.00",1.21,"1,839.00","2,132,776.60"
37,2025-12-03,"1,151.10","1,151.10","1,151.10","1,151.10",0.0,150.00,"172,665.00"
38,2025-12-02,"1,151.10","1,165.00","1,151.10","1,151.10",-0.85,"1,287.00","1,496,674.80"
39,2025-12-01,"1,151.10","1,161.00","1,151.10","1,161.00",0.86,295.00,"340,601.50"
40,2025-11-30,"1,171.00","1,171.00","1,151.10","1,151.10",-0.77,"9,426.00","11,029,689.60"
41,2025-11-27,"1,159.90","1,160.00","1,159.00","1,160.00",0.0,165.00,"191,371.00"
42,2025-11-26,"1,152.00","1,164.80","1,152.00","1,160.00",-0.09,"5,595.00","6,464,779.80"
43,2025-11-25,"1,165.00","1,171.00","1,150.20","1,161.00",-0.34,"1,370.00","1,599,331.50"
44,2025-11-24,"1,160.00","1,165.00","1,150.20","1,165.00",0.43,"2,116.00","2,456,725.00"
45,2025-11-23,"1,150.20","1,171.00","1,150.20","1,160.00",0.0,"5,740.00","6,708,982.50"
46,2025-11-20,"1,151.10","1,160.00","1,150.20","1,160.00",0.77,575.00,"664,897.50"
47,2025-11-19,"1,170.90","1,170.90","1,151.10","1,151.10",-0.35,"9,114.00","10,659,207.60"
48,2025-11-18,"1,128.00","1,171.00","1,128.00","1,155.10",0.43,"14,343.00","16,683,046.00"
49,2025-11-17,"1,168.00","1,171.00","1,150.00","1,150.10",0.0,"4,720.00","5,500,496.00"
50,2025-11-16,"1,130.00","1,171.00","1,110.00","1,150.10",2.23,"35,619.00","41,440,156.00"
51,2025-11-13,"1,101.00","1,125.00","1,101.00","1,125.00",0.35,"4,060.00","4,532,265.00"
52,2025-11-12,"1,101.00","1,130.00","1,101.00","1,121.10",1.92,"7,988.00","8,967,975.50"
53,2025-11-11,"1,000.00","1,100.00","1,000.00","1,100.00",10.0,"13,610.00","14,967,125.00"
