S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,"1,075.00","1,075.00","1,075.00","1,075.00",1.90,10.00,"10,750.00"
2,2026-02-04,"1,055.00","1,055.00","1,055.00","1,055.00",-0.47,25.00,"26,375.00"
3,2026-01-27,"1,060.00","1,060.00","1,060.00","1,060.00",0.95,50.00,"53,000.00"
4,2026-01-26,"1,050.00","1,050.00","1,050.00","1,050.00",0.14,50.00,"52,500.00"
5,2026-01-22,"1,048.50","1,048.50","1,048.50","1,048.50",-1.55,25.00,"26,212.50"
6,2026-01-18,"1,082.90","1,082.90","1,065.00","1,065.00",-3.62,70.00,"75,033.00"
7,2026-01-08,"1,105.00","1,125.00","1,105.00","1,105.00",-1.78,155.00,"172,275.00"
8,2026-01-07,"1,125.00","1,125.00","1,125.00","1,125.00",0.45,90.00,"101,250.00"
9,2026-01-04,"1,120.00","1,120.00","1,120.00","1,120.00",-0.32,10.00,"11,200.00"
10,2026-01-01,"1,101.60","1,123.60","1,101.60","1,123.60",2.0,95.00,"106,175.00"
11,2025-12-01,"1,101.50","1,101.60","1,101.50","1,101.60",2.0,25.00,"27,538.50"
12,2025-11-24,"1,090.00","1,090.00","1,080.00","1,080.00",-2.7,160.00,"173,345.00"
13,2025-10-07,"1,110.00","1,110.00","1,110.00","1,110.00",0.91,200.00,"222,000.00"
14,2025-09-25,"1,100.00","1,100.00","1,100.00","1,100.00",0.92,25.00,"27,500.00"
15,2025-09-07,"1,090.00","1,090.00","1,090.00","1,090.00",0.93,25.00,"27,250.00"
16,2025-09-04,"1,065.10","1,080.00","1,065.10","1,080.00",1.88,50.00,"53,627.50"
17,2025-08-28,"1,057.00","1,060.10","1,057.00","1,060.10",-1.31,115.00,"121,756.50"
18,2025-08-17,"1,074.20","1,074.20","1,074.20","1,074.20",1.99,50.00,"53,710.00"
19,2025-08-11,"1,053.10","1,053.20","1,053.10","1,053.20",-1.75,50.00,"52,657.50"
20,2025-08-04,"1,072.00","1,072.00","1,072.00","1,072.00",-1.52,25.00,"26,800.00"
21,2025-07-28,"1,075.00","1,088.50","1,075.00","1,088.50",1.26,64.00,"69,137.50"
22,2025-07-27,"1,053.50","1,075.00","1,053.50","1,075.00",0.0,377.00,"403,737.50"
23,2025-07-24,"1,075.00","1,075.00","1,075.00","1,075.00",-1.92,205.00,"220,375.00"
24,2025-07-23,"1,065.10","1,065.10","1,065.10","1,096.00",1.17,26.00,"27,723.50"
25,2025-07-22,"1,075.00","1,095.00","1,075.00","1,083.33",-0.25,"2,150.00","2,347,498.50"
26,2025-07-21,"1,080.10","1,086.00","1,080.10","1,086.00",2.45,230.00,"249,619.50"
27,2025-07-20,"1,103.50","1,103.50","1,038.80","1,060.00",-5.86,865.00,"917,398.00"
28,2025-07-09,"1,126.00","1,126.00","1,126.00","1,126.00",1.15,10.00,"11,260.00"
29,2025-06-30,"1,113.20","1,113.20","1,113.20","1,113.20",2.0,10.00,"11,132.00"
30,2025-06-26,"1,091.40","1,091.40","1,091.40","1,091.40",2.0,25.00,"27,285.00"
31,2025-06-25,"1,074.00","1,074.00","1,070.10","1,070.00",0.0,38.00,"40,702.50"
32,2025-06-02,"1,070.00","1,070.00","1,070.00","1,070.00",-0.1,15.00,"16,050.00"
33,2025-05-26,"1,066.00","1,071.10","1,066.00","1,071.10",0.48,52.00,"55,697.20"
34,2025-05-25,"1,066.10","1,066.10","1,066.00","1,066.00",0.41,25.00,"26,651.00"
35,2025-05-08,"1,059.00","1,059.00","1,059.00","1,061.70",0.25,2.00,"2,123.40"
36,2025-05-06,"1,082.90","1,082.90","1,059.00","1,059.00",-4.16,800.00,"858,715.00"
37,2025-04-28,"1,105.00","1,105.00","1,105.00","1,105.00",0.0,38.00,"41,990.00"
38,2025-04-21,"1,101.00","1,101.00","1,100.00","1,105.00",1.84,100.00,"110,085.90"
39,2025-03-30,"1,085.00","1,085.00","1,085.00","1,085.00",0.0,136.00,"147,560.00"
40,2025-03-27,"1,075.00","1,085.00","1,075.00","1,085.00",-0.09,500.00,"540,820.00"
41,2025-03-26,"1,077.00","1,086.00","1,077.00","1,086.00",2.82,43.00,"46,536.90"
42,2025-03-24,"1,055.10","1,055.10","1,055.10","1,056.20",-0.45,124.00,"130,833.50"
43,2025-03-19,"1,061.00","1,061.00","1,061.00","1,061.00",0.09,2.00,"2,122.00"
44,2025-03-18,"1,060.00","1,060.00","1,060.00","1,060.00",0.19,1.00,"1,060.00"
45,2025-03-12,"1,058.00","1,058.00","1,058.00","1,058.00",2.0,2.00,"2,116.00"
46,2025-03-10,"1,043.50","1,043.50","1,037.30","1,037.30",-1.21,100.00,"103,962.50"
47,2025-03-04,"1,050.00","1,050.00","1,050.00","1,050.00",-0.71,25.00,"26,250.00"
48,2025-02-23,"1,057.50","1,057.50","1,057.50","1,057.50",-1.99,15.00,"15,862.50"
49,2025-02-16,"1,079.00","1,079.00","1,079.00","1,079.00",0.84,10.00,"10,790.00"
50,2025-02-10,"1,070.00","1,070.00","1,070.00","1,070.00",0.19,100.00,"107,000.00"
51,2025-02-09,"1,071.00","1,071.00","1,068.00","1,068.00",1.71,65.00,"69,570.00"
52,2025-02-04,"1,050.00","1,050.00","1,050.00","1,050.00",0.96,20.00,"21,000.00"
53,2025-02-03,"1,053.00","1,053.00","1,040.00","1,040.00",-0.79,700.00,"734,503.00"
54,2025-02-02,"1,055.00","1,055.00","1,048.30","1,048.30",-1.94,50.00,"52,570.00"
55,2025-01-28,"1,048.00","1,069.00","1,047.70","1,069.00",0.85,75.00,"79,134.50"
56,2025-01-27,"1,060.00","1,060.00","1,060.00","1,060.00",0.86,25.00,"26,500.00"
57,2025-01-26,"1,069.10","1,070.00","1,051.00","1,051.00",-3.49,"1,195.00","1,268,665.60"
58,2025-01-23,"1,089.00","1,089.00","1,089.00","1,089.00",-1.89,30.00,"32,670.00"
59,2025-01-08,"1,110.00","1,110.00","1,110.00","1,110.00",-1.77,190.00,"210,900.00"
60,2025-01-05,"1,130.00","1,130.00","1,130.00","1,130.00",1.35,20.00,"22,600.00"
61,2025-01-02,"1,115.00","1,115.00","1,115.00","1,115.00",-1.85,7.00,"7,805.00"
62,2024-12-31,"1,138.00","1,138.00","1,116.00","1,136.00",-1.44,850.00,"952,140.00"
63,2024-12-26,"1,150.00","1,152.60","1,150.00","1,152.60",0.71,50.00,"57,565.00"
64,2024-12-24,"1,135.00","1,144.50","1,135.00","1,144.50",1.28,77.00,"87,884.80"
65,2024-12-19,"1,130.00","1,130.00","1,130.00","1,130.00",0.36,100.00,"113,000.00"
66,2024-12-18,"1,130.00","1,130.00","1,126.00","1,126.00",0.18,300.00,"338,795.00"
67,2024-12-17,"1,123.50","1,124.00","1,123.50","1,124.00",2.0,50.00,"56,191.00"
68,2024-12-16,"1,081.00","1,102.00","1,081.00","1,102.00",0.02,330.00,"358,830.00"
69,2024-12-09,"1,100.00","1,101.80","1,100.00","1,101.80",2.0,150.00,"165,087.50"
70,2024-11-27,"1,080.20","1,080.20","1,080.20","1,080.20",0.03,10.00,"10,802.00"
71,2024-11-25,"1,082.00","1,082.00","1,082.00","1,082.00",-0.19,5.00,"5,399.50"
72,2024-11-24,"1,100.00","1,100.00","1,078.00","1,082.00",-3.57,320.00,"349,760.00"
73,2024-11-20,"1,122.00","1,122.00","1,122.00","1,122.00",0.0,50.00,"56,100.00"
74,2024-11-19,"1,082.00","1,122.00","1,082.00","1,122.00",3.78,480.00,"528,980.00"
75,2024-11-17,"1,081.10","1,081.10","1,081.00","1,081.10",-1.72,225.00,"243,229.50"
76,2024-11-14,"1,124.00","1,124.00","1,100.00","1,100.00",-1.03,"6,035.00","6,639,300.00"
77,2024-11-12,"1,111.40","1,111.40","1,111.40","1,111.40",-1.99,50.00,"55,570.00"
78,2024-11-10,"1,104.00","1,134.00","1,100.00","1,134.00",4.04,730.00,"816,998.50"
79,2024-11-06,"1,093.00","1,093.00","1,090.00","1,090.00",1.68,75.00,"81,900.00"
80,2024-10-30,"1,072.00","1,072.00","1,072.00","1,072.00",0.66,25.00,"26,800.00"
81,2024-10-23,"1,065.00","1,065.00","1,065.00","1,065.00",-0.93,275.00,"292,875.00"
82,2024-10-21,"1,075.00","1,075.00","1,075.00","1,075.00",0.18,200.00,"215,000.00"
83,2024-10-15,"1,073.10","1,073.10","1,073.10","1,073.10",2.0,25.00,"26,827.50"
84,2024-10-08,"1,052.10","1,052.10","1,052.10","1,052.10",0.12,25.00,"26,302.50"
85,2024-10-02,"1,055.00","1,055.60","1,050.50","1,050.80",-0.21,905.00,"952,369.50"
86,2024-09-30,"1,053.50","1,055.00","1,053.00","1,053.00",-0.94,420.00,"442,432.50"
87,2024-09-29,"1,063.00","1,063.00","1,063.00","1,063.00",-1.76,25.00,"26,575.00"
88,2024-09-24,"1,069.00","1,082.00","1,069.00","1,082.00",3.05,960.00,"1,033,037.50"
89,2024-09-23,"1,050.00","1,050.00","1,050.00","1,050.00",-1.13,150.00,"157,500.00"
90,2024-09-22,"1,062.00","1,062.00","1,062.00","1,062.00",1.91,10.00,"10,620.00"
91,2024-09-11,"1,039.10","1,039.10","1,039.10","1,039.10",0.29,9.00,"9,378.90"
