S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,586.30,590.00,586.00,590.00,0.00,"12,482.00","7,324,722.90"
2,2026-02-16,590.00,599.00,583.00,590.00,0.67,"15,445.00","9,156,192.00"
3,2026-02-12,588.00,598.00,580.00,586.10,1.23,"8,725.00","5,135,818.20"
4,2026-02-11,579.00,590.00,579.00,579.00,0.0,"15,167.00","8,853,627.50"
5,2026-02-10,581.00,587.00,576.20,579.00,-1.16,"22,658.00","13,169,494.90"
6,2026-02-09,591.50,596.00,585.30,585.80,-1.79,"18,566.00","10,945,051.90"
7,2026-02-08,610.00,613.00,596.00,596.50,-0.42,"20,167.00","12,112,628.60"
8,2026-02-05,607.00,607.00,594.40,599.00,0.6,"20,303.00","12,153,385.90"
9,2026-02-04,612.00,612.00,595.40,595.40,-0.93,"18,211.00","10,942,942.20"
10,2026-02-03,601.00,611.80,600.00,601.00,0.13,"23,563.00","14,202,641.50"
11,2026-02-02,610.00,610.00,600.20,600.20,0.03,"14,091.00","8,506,770.70"
12,2026-02-01,612.00,617.90,600.00,600.00,-1.96,"26,806.00","16,283,115.10"
13,2026-01-29,619.00,619.00,606.90,612.00,0.82,"56,406.00","34,533,406.90"
14,2026-01-28,611.10,622.00,607.00,607.00,-1.72,"65,812.00","40,241,414.00"
15,2026-01-27,615.50,630.00,609.00,617.60,-1.66,"40,793.00","25,371,748.80"
16,2026-01-26,622.30,672.00,622.30,628.00,-1.1,"145,881.00","91,220,296.50"
17,2026-01-25,655.00,655.00,606.00,635.00,-4.94,"210,310.00","130,802,140.10"
18,2026-01-22,595.90,668.00,595.90,668.00,9.87,"69,558.00","42,505,992.30"
19,2026-01-21,625.00,625.00,602.00,608.00,-0.98,"14,239.00","8,668,797.20"
20,2026-01-20,615.00,623.00,603.00,614.00,1.66,"59,615.00","36,510,105.90"
21,2026-01-18,604.90,604.90,595.00,604.00,1.51,"17,755.00","10,648,918.50"
22,2026-01-14,594.10,597.90,592.50,595.00,-0.67,"8,015.00","4,757,502.10"
23,2026-01-13,591.10,600.00,591.10,599.00,0.5,"3,135.00","1,867,447.90"
24,2026-01-12,600.10,605.00,594.10,596.00,-0.83,"27,789.00","16,688,487.60"
25,2026-01-08,590.00,601.00,587.10,601.00,1.01,"13,155.00","7,806,810.30"
26,2026-01-07,608.00,608.00,593.00,595.00,-0.82,"11,266.00","6,730,069.10"
27,2026-01-06,595.00,604.00,590.00,599.90,1.68,"16,770.00","9,999,287.10"
28,2026-01-05,571.20,595.00,571.00,590.00,2.97,"10,357.00","6,056,249.00"
29,2026-01-04,572.00,579.50,572.00,573.00,-0.68,"7,370.00","4,232,625.40"
30,2026-01-01,586.90,586.90,570.30,576.90,-0.09,"7,840.00","4,492,644.50"
31,2025-12-31,590.00,590.00,577.40,577.40,-1.97,"23,582.00","13,733,646.60"
32,2025-12-29,580.10,590.00,577.00,589.00,0.68,"6,214.00","3,606,682.00"
33,2025-12-28,578.00,587.00,575.00,585.00,2.99,"12,014.00","6,994,216.50"
34,2025-12-24,577.00,577.00,566.10,568.00,0.0,"2,670.00","1,521,700.00"
35,2025-12-23,571.00,571.00,561.10,568.00,1.43,"5,242.00","2,969,154.80"
36,2025-12-22,570.00,570.00,560.00,560.00,-1.46,"8,576.00","4,820,767.40"
37,2025-12-21,575.00,575.00,566.20,568.30,-1.51,"14,715.00","8,367,767.70"
38,2025-12-18,585.00,585.00,574.20,577.00,-0.35,"29,523.00","17,000,826.40"
39,2025-12-17,584.00,591.00,575.00,579.00,-0.34,"9,359.00","5,441,631.00"
40,2025-12-16,584.00,584.00,575.00,581.00,0.92,"4,975.00","2,882,105.30"
41,2025-12-15,576.00,580.00,575.70,575.70,0.23,"5,036.00","2,904,703.10"
42,2025-12-14,575.00,580.90,568.50,574.40,-0.97,"9,807.00","5,613,861.50"
43,2025-12-11,570.00,580.00,570.00,580.00,0.28,"9,664.00","5,538,517.90"
44,2025-12-10,589.90,589.90,578.40,578.40,-1.95,"6,331.00","3,666,296.40"
