S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,397.10,401.00,396.00,398.70,0.45,"30,100.00","12,034,688.00"
2,2026-02-11,402.0,402.0,390.0,396.9,0.28,"32,349.00","12,853,419.50"
3,2026-02-10,394.0,400.0,384.0,395.8,0.18,"29,129.00","11,428,060.50"
4,2026-02-09,397.0,399.9,395.1,395.1,-0.48,"29,379.00","11,644,119.90"
5,2026-02-08,404.4,404.4,396.2,397.0,-0.95,"39,941.00","15,967,245.20"
6,2026-02-05,395.0,402.0,395.0,400.8,0.96,"34,261.00","13,675,822.50"
7,2026-02-04,404.0,404.0,397.0,397.0,-0.2,"25,585.00","10,198,345.30"
8,2026-02-03,398.0,402.9,397.8,397.8,-0.05,"23,161.00","9,237,997.50"
9,2026-02-02,397.1,400.0,396.0,398.0,0.25,"27,260.00","10,835,213.20"
10,2026-02-01,396.3,400.5,395.1,397.0,0.25,"24,432.00","9,729,837.20"
11,2026-01-29,398.0,402.0,395.0,396.0,-0.5,"30,564.00","12,195,623.90"
12,2026-01-28,408.0,408.0,396.0,398.0,-0.5,"29,026.00","11,574,566.50"
13,2026-01-27,406.1,407.9,395.0,400.0,-1.5,"41,979.00","16,876,534.70"
14,2026-01-26,410.9,415.0,405.0,406.1,-0.95,"53,787.00","21,976,265.00"
15,2026-01-25,405.0,411.0,405.0,410.0,1.74,"49,856.00","20,395,248.00"
16,2026-01-22,400.0,403.5,396.0,403.0,0.75,"31,996.00","12,778,346.30"
17,2026-01-21,411.0,411.0,398.9,400.0,-1.72,"31,303.00","12,594,541.80"
18,2026-01-20,404.8,412.0,400.0,407.0,1.37,"56,392.00","23,018,101.90"
19,2026-01-18,391.0,401.9,391.0,401.5,2.69,"72,221.00","28,738,832.70"
20,2026-01-14,394.3,400.0,390.1,391.0,-0.46,"25,721.00","10,166,396.50"
21,2026-01-13,395.0,395.0,388.0,392.8,0.2,"10,794.00","4,215,686.70"
22,2026-01-12,394.5,394.5,390.2,392.0,0.44,"17,327.00","6,804,124.80"
23,2026-01-08,386.0,390.5,385.0,390.3,0.59,"29,761.00","11,596,193.70"
24,2026-01-07,386.1,392.0,385.9,388.0,-0.51,"24,063.00","9,385,411.50"
25,2026-01-06,386.0,390.6,385.6,390.0,1.04,"40,520.00","15,720,845.40"
26,2026-01-05,376.7,386.0,376.7,386.0,1.85,"21,370.00","8,186,231.50"
27,2026-01-04,383.0,383.0,377.3,379.0,-1.04,"13,923.00","5,286,273.50"
28,2026-01-01,385.0,385.7,381.6,383.0,-1.29,"10,599.00","4,064,980.00"
29,2025-12-31,375.1,389.4,375.1,388.0,1.41,"26,147.00","10,130,018.30"
30,2025-12-29,385.7,387.9,382.0,382.6,0.16,"41,809.00","16,080,886.40"
31,2025-12-28,378.0,382.0,376.1,382.0,2.14,"20,222.00","7,657,988.80"
32,2025-12-24,374.5,378.0,373.8,374.0,-0.8,"21,696.00","8,137,378.70"
33,2025-12-23,380.0,380.0,374.6,377.0,0.29,"7,746.00","2,909,329.30"
34,2025-12-22,374.2,378.9,373.8,375.9,-0.21,"18,216.00","6,844,381.10"
35,2025-12-21,374.8,380.0,374.8,376.7,-1.05,"27,149.00","10,226,435.50"
36,2025-12-18,380.0,382.0,378.4,380.7,-0.34,"9,660.00","3,669,535.30"
37,2025-12-17,378.3,384.9,378.3,382.0,1.06,"17,084.00","6,517,195.00"
38,2025-12-16,382.0,384.0,378.0,378.0,0.0,"19,875.00","7,573,288.50"
39,2025-12-15,378.0,378.1,374.2,378.0,0.24,"19,032.00","7,169,348.30"
40,2025-12-14,378.0,378.1,375.1,377.1,-0.21,"20,993.00","7,910,435.60"
41,2025-12-11,379.9,379.9,376.0,377.9,0.51,"19,407.00","7,307,482.70"
42,2025-12-10,375.3,380.0,375.1,376.0,0.0,"7,565.00","2,849,932.70"
43,2025-12-09,375.0,380.0,374.9,376.0,-0.27,"12,512.00","4,721,354.80"
44,2025-12-08,375.3,380.0,375.2,377.0,-0.26,"8,266.00","3,118,605.70"
45,2025-12-07,383.0,383.0,376.8,378.0,-0.74,"18,193.00","6,886,228.40"
46,2025-12-03,381.0,381.0,378.3,380.8,-0.05,"20,031.00","7,604,231.60"
47,2025-12-02,385.0,388.0,380.0,381.0,-0.26,"22,429.00","8,541,635.50"
48,2025-12-01,384.0,385.9,381.1,382.0,-0.78,"6,602.00","2,527,450.50"
49,2025-11-30,388.0,392.9,381.6,385.0,-0.49,"24,845.00","9,631,624.00"
50,2025-11-27,385.6,390.0,385.0,386.9,-0.41,"22,844.00","8,849,304.70"
51,2025-11-26,383.5,389.0,383.5,388.5,0.39,"16,980.00","6,560,301.70"
52,2025-11-25,388.0,390.0,384.1,387.0,-0.41,"16,887.00","6,517,874.40"
53,2025-11-24,383.0,388.6,383.0,388.6,1.99,"53,478.00","20,547,609.70"
54,2025-11-23,376.0,382.0,372.4,381.0,2.04,"21,928.00","8,286,838.00"
55,2025-11-20,372.3,374.0,368.0,373.4,-0.16,"27,745.00","10,286,945.50"
56,2025-11-19,378.0,380.0,372.1,374.0,-0.27,"16,556.00","6,189,939.20"
57,2025-11-18,374.0,378.4,370.0,375.0,1.11,"36,662.00","13,676,128.50"
58,2025-11-17,371.0,374.0,367.4,370.9,-0.03,"38,796.00","14,356,246.30"
59,2025-11-16,369.0,372.0,368.0,371.0,0.27,"22,495.00","8,316,488.10"
60,2025-11-13,374.0,374.9,368.0,370.0,-0.8,"26,601.00","9,855,725.80"
61,2025-11-12,380.0,380.0,370.0,373.0,-0.8,"24,064.00","8,970,827.90"
62,2025-11-11,384.9,385.0,373.0,376.0,-1.29,"37,017.00","13,918,016.30"
63,2025-11-10,385.0,385.9,377.0,380.9,-0.55,"21,783.00","8,286,145.70"
64,2025-11-09,394.2,394.2,382.2,383.0,-0.91,"20,641.00","7,933,230.90"
65,2025-11-06,390.0,392.0,379.3,386.5,-0.13,"31,796.00","12,234,662.00"
66,2025-11-05,387.1,392.0,385.0,387.0,-1.3,"21,710.00","8,402,103.50"
67,2025-11-04,393.4,402.9,389.0,392.1,-0.33,"37,516.00","14,783,192.10"
68,2025-11-03,422.9,422.9,416.2,417.0,0.46,"71,195.00","29,780,952.50"
69,2025-11-02,423.8,425.0,413.1,415.1,-0.22,"66,309.00","27,792,589.00"
70,2025-10-30,422.6,422.6,412.0,416.0,0.24,"46,354.00","19,275,411.00"
71,2025-10-29,419.7,424.3,415.0,415.0,0.22,"44,443.00","18,592,801.60"
72,2025-10-28,404.0,418.0,402.0,414.1,2.5,"35,629.00","14,636,588.90"
73,2025-10-26,397.0,404.4,397.0,404.0,-0.22,"31,682.00","12,665,371.70"
74,2025-10-19,404.0,408.0,400.0,404.9,0.47,"27,160.00","10,940,064.90"
75,2025-10-16,410.0,415.0,401.8,403.0,-1.71,"50,045.00","20,462,168.10"
76,2025-10-15,417.0,422.9,405.0,410.0,-1.18,"24,986.00","10,267,616.60"
77,2025-10-14,416.0,420.0,411.0,414.9,-0.74,"31,779.00","13,128,671.00"
78,2025-10-13,406.0,418.0,406.0,418.0,1.98,"24,213.00","10,021,780.90"
79,2025-10-12,412.6,418.0,405.0,409.9,-2.38,"85,262.00","34,826,622.20"
80,2025-10-09,425.4,441.0,417.1,419.9,0.67,"39,313.00","16,763,480.40"
81,2025-10-08,421.0,425.0,412.9,417.1,-1.63,"48,034.00","20,113,885.50"
82,2025-10-07,428.0,430.0,422.1,424.0,-1.62,"28,695.00","12,186,836.10"
83,2025-09-28,430.0,433.0,428.0,431.0,0.94,"13,886.00","5,965,339.10"
84,2025-09-25,426.0,432.0,425.1,427.0,0.0,"33,594.00","14,341,700.50"
85,2025-09-24,432.5,439.4,426.0,427.0,-1.39,"30,583.00","13,127,991.60"
86,2025-09-23,420.0,437.0,420.0,433.0,2.46,"28,135.00","12,171,081.60"
87,2025-09-21,395.0,428.0,395.0,422.61,6.99,"52,934.00","21,870,254.00"
88,2025-09-18,418.0,418.0,395.0,395.0,-7.38,"1,898.00","786,612.00"
89,2025-09-08,430.1,434.9,423.0,426.47,-0.93,"56,215.00","24,037,745.50"
90,2025-09-07,428.1,435.8,428.1,430.46,0.25,"28,322.00","12,227,426.40"
91,2025-09-04,430.0,436.8,425.1,429.4,-0.69,"53,248.00","22,878,648.20"
92,2025-09-03,433.0,436.0,428.0,432.37,0.21,"74,056.00","32,063,223.10"
93,2025-09-02,431.0,435.0,427.0,431.45,0.91,"28,738.00","12,356,139.00"
94,2025-09-01,425.0,432.9,422.0,427.56,0.35,"63,901.00","27,321,759.20"
95,2025-08-31,435.0,435.0,425.2,426.06,-1.68,"26,896.00","11,502,153.40"
96,2025-08-28,441.0,446.0,432.1,433.32,-1.45,"119,069.00","52,310,941.10"
97,2025-08-27,433.9,441.9,431.7,439.68,2.78,"74,294.00","32,375,886.10"
98,2025-08-26,430.0,430.0,425.3,427.78,0.58,"14,268.00","6,098,496.30"
99,2025-08-25,425.0,427.8,421.1,425.33,0.43,"39,674.00","16,830,383.60"
100,2025-08-24,428.1,432.0,422.0,423.52,-0.61,"65,623.00","27,871,671.30"
101,2025-08-21,428.0,429.1,426.0,426.14,-0.5,"30,225.00","12,898,828.80"
102,2025-08-20,436.6,436.6,428.0,428.26,-1.11,"42,534.00","18,326,182.20"
103,2025-08-19,437.9,438.0,432.0,433.08,0.29,"43,166.00","18,747,262.80"
104,2025-08-18,435.0,438.0,425.0,431.82,0.17,"53,867.00","23,204,657.10"
105,2025-08-17,431.5,449.4,430.1,431.09,1.76,"94,627.00","41,059,744.90"
106,2025-08-14,426.0,431.9,422.0,423.64,-0.32,"31,920.00","13,531,958.10"
107,2025-08-13,430.0,430.0,424.0,425.0,0.17,"31,968.00","13,623,510.20"
