S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-24,469.50,473.00,463.00,472.00,1.72,"23,070.00","10,796,413.00"
2,2026-02-23,460.0,467.5,459.0,464.0,0.87,"42,913.00","19,789,618.00"
3,2026-02-22,468.2,470.0,458.2,460.0,-2.95,"88,565.00","40,975,820.30"
4,2026-02-17,478.3,478.3,472.0,474.0,-1.86,"70,127.00","33,278,208.10"
5,2026-02-16,485.9,485.9,476.0,483.0,1.28,"57,040.00","27,379,218.40"
6,2026-02-12,480.4,487.0,470.0,476.9,1.25,"81,436.00","38,770,716.00"
7,2026-02-11,477.0,480.0,467.1,471.0,-0.21,"45,891.00","21,699,219.40"
8,2026-02-10,482.0,492.0,467.1,472.0,-0.21,"65,123.00","30,616,360.60"
9,2026-02-09,480.0,485.0,470.5,473.0,-1.46,"87,812.00","41,638,784.50"
10,2026-02-08,493.8,493.9,479.0,480.0,-1.03,"76,440.00","36,993,415.50"
11,2026-02-05,482.9,486.9,475.0,485.0,1.04,"83,073.00","40,093,410.40"
12,2026-02-04,481.0,483.4,473.1,480.0,1.27,"109,659.00","52,223,009.90"
13,2026-02-03,490.0,490.0,474.0,474.0,-2.47,"96,035.00","46,014,482.30"
14,2026-02-02,484.1,490.0,483.8,486.0,0.41,"106,224.00","51,654,301.30"
15,2026-02-01,483.0,490.0,478.0,484.0,-0.41,"149,155.00","72,094,196.20"
16,2026-01-29,508.9,508.9,486.0,486.0,-2.9,"249,106.00","123,096,253.50"
17,2026-01-28,505.0,514.9,492.3,500.5,-0.89,"175,432.00","87,816,144.20"
18,2026-01-27,523.7,555.0,500.0,505.0,-1.94,"400,663.00","206,958,949.30"
19,2026-01-26,527.3,530.0,510.0,515.0,-1.53,"251,990.00","130,645,888.50"
20,2026-01-25,488.1,525.0,488.1,523.0,5.02,"307,178.00","158,543,155.20"
21,2026-01-22,500.0,500.0,491.0,498.0,-0.4,"169,497.00","83,847,521.70"
22,2026-01-21,515.0,515.0,495.1,500.0,-1.19,"222,816.00","111,982,981.10"
23,2026-01-20,504.8,515.0,502.0,506.0,2.22,"253,034.00","128,855,098.80"
24,2026-01-18,487.0,509.0,487.0,495.0,1.68,"337,956.00","168,647,156.00"
25,2026-01-14,486.6,502.0,486.1,486.8,-1.95,"162,085.00","79,986,891.40"
26,2026-01-13,490.1,505.0,489.2,496.5,1.74,"317,450.00","158,284,986.20"
27,2026-01-12,476.1,493.0,476.1,488.0,2.87,"257,595.00","125,351,266.50"
28,2026-01-08,479.0,480.0,469.0,474.4,0.08,"100,927.00","47,903,542.20"
29,2026-01-07,491.0,492.0,471.1,474.0,-2.67,"90,646.00","43,437,264.50"
30,2026-01-06,495.6,502.0,482.0,487.0,0.21,"196,325.00","96,400,359.10"
31,2026-01-05,446.0,486.0,446.0,486.0,6.81,"266,832.00","126,445,832.40"
32,2026-01-04,456.2,464.9,453.0,455.0,-1.09,"80,260.00","36,745,408.30"
33,2026-01-01,463.9,466.0,457.0,460.0,0.44,"91,145.00","42,103,223.10"
34,2025-12-31,466.0,474.0,458.0,458.0,-1.51,"84,420.00","39,256,738.90"
35,2025-12-29,476.0,483.0,463.1,465.0,-2.31,"132,258.00","62,225,435.30"
36,2025-12-28,468.5,479.0,464.2,476.0,3.05,"101,923.00","48,279,961.80"
37,2025-12-24,475.0,481.0,461.9,461.9,-3.57,"84,716.00","39,893,881.70"
38,2025-12-23,489.0,489.0,475.0,479.0,-2.04,"145,724.00","69,640,776.00"
39,2025-12-22,479.0,490.0,470.0,489.0,3.06,"214,366.00","103,089,114.10"
40,2025-12-21,465.0,477.0,460.0,474.5,1.41,"231,541.00","108,880,659.50"
41,2025-12-18,469.0,473.0,461.0,467.9,-0.4,"82,417.00","38,397,426.10"
42,2025-12-17,472.0,479.8,466.0,469.8,-0.45,"170,021.00","80,527,181.40"
43,2025-12-16,450.9,473.0,446.2,471.9,5.81,"221,803.00","103,044,215.20"
44,2025-12-15,444.0,448.7,440.0,446.0,0.79,"63,687.00","28,284,999.00"
45,2025-12-14,440.0,456.0,440.0,442.5,-1.43,"43,198.00","19,176,645.10"
46,2025-12-11,450.0,452.0,446.0,448.9,-0.24,"46,471.00","20,837,444.80"
47,2025-12-10,441.8,456.9,441.8,450.0,-0.18,"73,125.00","32,936,618.90"
48,2025-12-09,450.0,450.9,445.0,450.8,1.49,"86,272.00","38,679,139.20"
49,2025-12-08,445.0,452.5,442.3,444.2,-0.18,"53,366.00","23,886,314.70"
50,2025-12-07,443.0,452.0,441.0,445.0,0.02,"79,534.00","35,339,174.30"
51,2025-12-03,454.0,458.0,442.0,444.9,-1.13,"77,423.00","34,664,688.80"
52,2025-12-02,450.0,458.0,450.0,450.0,-0.55,"50,966.00","23,090,259.60"
53,2025-12-01,449.0,461.0,447.1,452.5,0.78,"61,734.00","27,998,049.90"
54,2025-11-30,458.0,460.0,447.3,449.0,-1.75,"54,645.00","24,733,080.90"
55,2025-11-27,465.0,467.0,455.0,457.0,-1.3,"115,175.00","52,873,148.20"
56,2025-11-26,465.7,472.0,458.1,463.0,-0.64,"66,512.00","30,838,468.30"
57,2025-11-25,482.0,482.0,460.6,466.0,-1.58,"51,737.00","24,104,927.00"
58,2025-11-24,457.0,477.0,457.0,473.5,1.61,"123,676.00","58,226,908.80"
59,2025-11-23,448.0,467.9,448.0,466.0,4.23,"146,758.00","67,630,310.30"
60,2025-11-20,444.0,454.0,444.0,447.1,-1.3,"69,857.00","31,376,293.70"
61,2025-11-19,465.0,465.0,448.0,453.0,-1.29,"66,021.00","29,770,302.10"
62,2025-11-18,453.2,469.5,452.1,458.9,1.96,"114,944.00","52,995,488.30"
63,2025-11-17,444.0,461.0,444.0,450.1,0.92,"94,864.00","43,008,520.30"
64,2025-11-16,459.5,459.5,442.0,446.0,-1.33,"58,391.00","26,072,141.60"
65,2025-11-13,438.4,460.0,438.4,452.0,1.05,"65,070.00","29,486,098.10"
66,2025-11-12,455.0,455.0,446.0,447.3,-0.69,"34,233.00","15,380,081.20"
67,2025-11-11,454.5,459.9,441.0,450.4,-0.99,"98,331.00","44,122,578.10"
68,2025-11-10,465.0,470.0,449.1,454.9,-1.96,"97,245.00","44,433,309.60"
69,2025-11-09,477.1,477.1,460.0,464.0,-4.68,"196,579.00","91,758,880.30"
70,2025-11-06,504.9,504.9,482.0,486.8,-1.66,"93,474.00","46,124,982.70"
71,2025-11-05,478.3,495.7,476.5,495.0,2.68,"99,267.00","48,361,835.30"
72,2025-11-04,492.2,500.0,481.4,482.1,-2.21,"76,167.00","37,305,664.70"
73,2025-11-03,498.0,509.0,489.0,493.0,-0.82,"143,701.00","71,195,740.30"
74,2025-11-02,503.0,518.0,497.1,497.1,-1.37,"236,260.00","120,201,426.30"
75,2025-10-30,479.0,505.0,472.0,504.0,5.22,"178,373.00","88,199,030.80"
76,2025-10-29,492.0,505.0,473.0,479.0,-2.44,"281,839.00","139,331,437.00"
77,2025-10-28,452.0,492.0,452.0,491.0,9.35,"186,814.00","89,419,454.80"
78,2025-10-26,433.0,449.0,433.0,449.0,1.63,"38,357.00","16,962,863.20"
79,2025-10-19,440.0,448.0,435.5,441.8,-0.47,"35,757.00","15,803,404.80"
80,2025-10-16,455.0,455.0,435.0,443.9,-1.14,"72,905.00","32,018,046.20"
81,2025-10-15,447.0,453.0,436.0,449.0,-1.1,"71,917.00","31,913,701.10"
82,2025-10-14,463.5,468.0,445.0,454.0,-2.05,"77,972.00","35,474,387.50"
83,2025-10-13,455.0,465.0,445.6,463.5,2.09,"140,104.00","64,071,982.30"
84,2025-10-12,481.0,481.0,440.0,454.0,-5.36,"229,774.00","104,846,238.10"
85,2025-10-09,475.0,494.0,473.0,479.7,2.94,"153,262.00","73,721,926.40"
86,2025-10-08,494.7,494.7,460.0,466.0,-3.92,"214,608.00","100,525,662.80"
87,2025-10-07,497.0,503.0,478.1,485.0,-3.75,"112,530.00","54,813,867.50"
88,2025-09-28,514.0,514.0,498.0,503.9,-0.42,"69,453.00","35,088,239.40"
89,2025-09-25,502.7,510.0,495.0,506.0,-0.98,"136,389.00","68,258,497.50"
90,2025-09-24,513.0,526.0,501.2,511.0,-1.56,"119,181.00","61,158,807.90"
91,2025-09-23,512.0,529.0,512.0,519.1,0.85,"119,641.00","62,317,373.80"
92,2025-09-21,489.1,522.0,482.0,514.71,3.15,"344,982.00","173,446,697.60"
93,2025-09-18,511.9,511.9,472.0,499.0,-4.46,"38,125.00","18,386,381.70"
94,2025-09-08,519.0,534.0,519.0,522.27,-1.37,"126,211.00","66,314,165.60"
95,2025-09-07,536.0,548.0,520.0,529.53,0.19,"55,765.00","29,776,571.20"
96,2025-09-04,536.9,536.9,521.0,528.5,0.03,"109,015.00","57,350,363.10"
97,2025-09-03,525.9,540.0,525.9,528.32,-1.14,"115,314.00","61,155,728.20"
98,2025-09-02,551.0,551.0,533.0,534.4,-1.08,"93,395.00","50,306,951.40"
99,2025-09-01,544.9,544.9,530.0,540.26,0.91,"111,120.00","59,854,620.00"
100,2025-08-31,550.0,554.6,526.5,535.38,-3.18,"203,508.00","109,394,371.30"
101,2025-08-28,572.0,580.0,550.0,552.99,-4.18,"309,487.00","173,785,033.70"
102,2025-08-27,550.0,579.0,550.0,577.1,5.23,"337,230.00","191,458,765.60"
103,2025-08-26,533.0,550.0,533.0,548.42,2.29,"130,093.00","70,561,259.40"
104,2025-08-25,522.0,539.0,511.8,536.14,2.67,"203,122.00","107,524,591.30"
105,2025-08-24,536.5,543.9,520.9,522.19,-2.47,"112,554.00","59,282,054.20"
106,2025-08-21,531.8,545.0,531.8,535.41,-0.07,"95,376.00","51,193,784.70"
107,2025-08-20,544.0,546.9,532.1,535.77,0.07,"113,713.00","61,301,911.30"
108,2025-08-19,548.0,551.8,534.0,535.4,-0.62,"116,308.00","62,981,829.70"
109,2025-08-18,539.0,548.2,531.0,538.75,0.69,"161,987.00","87,444,810.00"
110,2025-08-17,546.1,561.0,531.0,535.06,-2.99,"216,971.00","118,178,146.50"
111,2025-08-14,568.2,569.5,549.2,551.56,-1.52,"187,650.00","104,411,425.10"
112,2025-08-13,548.7,575.0,548.7,560.08,0.04,"167,198.00","94,465,568.00"
113,2025-08-12,560.0,569.0,540.0,559.88,1.61,"364,104.00","202,642,070.10"
114,2025-08-11,576.0,579.8,548.1,551.03,-4.1,"310,218.00","173,464,495.10"
115,2025-08-07,562.1,584.9,562.1,574.56,1.18,"243,764.00","140,738,332.80"
116,2025-08-06,581.0,592.0,565.5,567.87,-2.39,"364,357.00","210,668,110.60"
117,2025-08-05,627.2,627.2,578.1,581.77,-5.4,"380,973.00","226,821,952.80"
118,2025-08-04,613.5,638.0,612.4,614.96,-1.75,"457,428.00","285,342,037.50"
119,2025-08-03,605.0,633.0,605.0,625.93,2.5,"614,665.00","381,269,261.40"
120,2025-07-31,617.0,628.8,600.0,610.66,-1.0,"672,260.00","412,750,846.80"
121,2025-07-30,635.0,643.0,614.0,616.83,-2.97,"521,491.00","327,902,614.80"
122,2025-07-29,640.0,646.3,623.2,635.68,0.3,"458,362.00","290,572,313.20"
123,2025-07-28,633.0,645.0,610.0,633.81,2.0,"878,200.00","555,356,710.80"
124,2025-07-27,575.0,627.0,575.0,621.39,8.47,"1,256,011.00","754,559,279.30"
125,2025-07-24,558.0,579.0,546.0,572.85,4.05,"1,228,837.00","546,527,742.10"
126,2025-07-23,564.0,564.0,542.1,550.55,-0.45,"486,239.00","266,196,883.10"
127,2025-07-22,555.0,566.0,546.0,553.02,0.61,"466,880.00","260,367,222.80"
128,2025-07-21,500.2,554.0,500.2,549.69,7.7,"779,835.00","421,784,910.90"
129,2025-07-20,493.0,517.0,486.1,510.38,3.59,"712,130.00","362,797,453.70"
130,2025-07-17,490.3,500.0,475.3,492.67,2.49,"282,273.00","138,070,770.90"
131,2025-07-16,458.0,484.0,456.0,480.69,6.26,"723,255.00","342,570,559.90"
132,2025-07-15,455.0,455.0,446.5,452.36,1.12,"77,190.00","34,968,989.30"
133,2025-07-14,447.0,455.0,446.3,447.37,-1.24,"68,332.00","30,729,281.50"
134,2025-07-13,451.2,460.0,444.1,453.0,2.39,"130,918.00","59,369,420.50"
135,2025-07-10,440.0,448.8,434.0,442.44,2.55,"86,537.00","38,444,970.00"
136,2025-07-09,438.0,444.0,429.3,431.43,0.46,"24,532.00","10,603,020.90"
137,2025-07-08,430.0,434.9,427.3,429.47,-0.51,"38,815.00","16,658,656.70"
138,2025-07-07,438.5,443.8,431.1,431.65,-1.52,"30,807.00","13,413,401.30"
139,2025-07-06,443.0,450.0,436.1,438.32,-1.37,"42,651.00","18,845,906.00"
140,2025-07-03,448.9,459.0,441.5,444.4,-0.55,"87,208.00","39,216,153.80"
141,2025-07-02,443.0,455.0,434.0,446.85,2.5,"75,984.00","33,841,646.60"
142,2025-07-01,428.5,440.0,428.5,435.95,1.27,"39,369.00","17,060,896.00"
143,2025-06-30,430.0,438.6,425.0,430.48,1.61,"62,455.00","27,016,298.50"
144,2025-06-29,415.0,426.0,413.2,423.64,1.67,"34,232.00","14,407,837.80"
145,2025-06-26,421.0,426.0,415.2,416.7,-1.47,"47,651.00","20,006,170.50"
146,2025-06-25,413.9,426.7,413.9,422.93,1.09,"29,261.00","12,292,699.20"
