S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,406.20,411.60,406.00,406.50,-1.33,"17,630.00","7,177,382.30"
2,2026-02-17,422.0,422.0,408.0,412.0,-1.2,"31,720.00","13,053,155.10"
3,2026-02-16,416.1,420.0,412.0,417.0,-0.24,"35,402.00","14,745,503.70"
4,2026-02-12,410.2,424.0,409.1,418.0,1.21,"62,079.00","26,029,873.70"
5,2026-02-11,406.0,415.0,405.2,413.0,1.95,"30,261.00","12,421,395.00"
6,2026-02-10,405.2,414.0,405.1,405.1,-1.67,"24,588.00","10,014,310.60"
7,2026-02-09,414.9,415.0,407.3,412.0,-0.72,"35,138.00","14,434,761.20"
8,2026-02-08,417.1,424.0,412.1,415.0,-0.24,"48,148.00","19,976,761.60"
9,2026-02-05,406.0,416.0,404.9,416.0,1.51,"36,425.00","14,996,006.50"
10,2026-02-04,415.0,415.0,407.0,409.8,0.07,"23,207.00","9,490,700.70"
11,2026-02-03,405.1,411.0,405.1,409.5,-0.12,"20,980.00","8,566,768.60"
12,2026-02-02,415.0,415.0,407.0,410.0,0.49,"33,445.00","13,664,791.90"
13,2026-02-01,408.7,413.0,407.1,408.0,-1.92,"39,605.00","16,226,929.90"
14,2026-01-29,412.0,422.0,411.0,416.0,-0.69,"63,922.00","26,582,955.00"
15,2026-01-28,416.0,420.9,410.5,418.9,-0.02,"42,356.00","17,532,585.70"
16,2026-01-27,425.0,430.0,410.0,419.0,-2.1,"75,964.00","31,742,398.80"
17,2026-01-26,439.5,439.5,421.7,428.0,-0.93,"96,826.00","41,242,398.00"
18,2026-01-25,427.3,435.0,422.0,432.0,3.1,"103,429.00","44,596,982.10"
19,2026-01-22,420.0,420.0,412.6,419.0,0.24,"27,800.00","11,554,256.40"
20,2026-01-21,426.2,426.2,416.0,418.0,-1.65,"70,214.00","29,457,660.10"
21,2026-01-20,418.0,430.0,418.0,425.0,2.16,"74,422.00","31,619,893.90"
22,2026-01-18,408.0,416.9,406.0,416.0,3.59,"41,157.00","17,012,396.50"
23,2026-01-14,397.0,411.9,397.0,401.6,-0.72,"31,866.00","12,878,312.50"
24,2026-01-13,398.0,409.8,398.0,404.5,0.42,"18,403.00","7,455,665.20"
25,2026-01-12,406.2,408.0,400.3,402.8,-0.54,"35,806.00","14,419,153.80"
26,2026-01-08,404.1,406.9,403.0,405.0,0.25,"17,744.00","7,185,039.90"
27,2026-01-07,404.7,412.0,403.0,404.0,-0.98,"39,567.00","16,088,011.20"
28,2026-01-06,412.0,415.0,406.0,408.0,0.0,"45,154.00","18,521,581.10"
29,2026-01-05,400.0,410.0,395.0,408.0,3.26,"47,142.00","18,967,704.90"
30,2026-01-04,399.0,399.0,393.4,395.1,-1.23,"18,172.00","7,193,659.20"
31,2026-01-01,395.5,402.0,395.1,400.0,0.5,"39,691.00","15,807,762.40"
32,2025-12-31,398.9,403.7,393.5,398.0,1.27,"77,938.00","31,158,186.70"
33,2025-12-29,395.0,398.0,393.0,393.0,-0.48,"27,686.00","10,955,355.80"
34,2025-12-28,385.0,394.9,384.0,394.9,3.65,"42,425.00","16,499,254.70"
35,2025-12-24,380.0,387.0,380.0,381.0,0.18,"12,495.00","4,761,062.10"
36,2025-12-23,381.0,385.0,379.2,380.3,-1.22,"17,245.00","6,570,314.00"
37,2025-12-22,380.0,387.6,380.0,385.0,-0.67,"8,996.00","3,451,272.50"
38,2025-12-21,386.0,390.0,384.0,387.6,-0.33,"8,989.00","3,464,368.00"
39,2025-12-18,394.0,395.0,387.0,388.9,-0.99,"14,602.00","5,677,918.90"
40,2025-12-17,389.8,396.9,388.5,392.8,0.77,"31,729.00","12,461,027.50"
41,2025-12-16,378.0,390.0,377.8,389.8,2.61,"46,270.00","17,858,075.40"
42,2025-12-15,380.0,380.0,376.0,379.9,-0.03,"34,562.00","13,094,255.90"
43,2025-12-14,379.0,383.0,378.0,380.0,0.05,"10,069.00","3,824,142.50"
44,2025-12-11,377.0,382.0,377.0,379.8,-1.09,"15,586.00","5,908,333.00"
45,2025-12-10,383.7,387.0,382.5,384.0,0.0,"16,535.00","6,344,867.70"
46,2025-12-09,385.0,387.5,380.0,384.0,-0.64,"26,575.00","10,207,478.00"
47,2025-12-08,407.2,411.0,403.0,405.8,-1.0,"70,282.00","28,507,905.20"
48,2025-12-07,413.0,413.0,407.0,409.9,0.0,"25,143.00","10,263,823.50"
49,2025-12-03,418.0,418.0,407.0,409.9,-0.97,"30,941.00","12,683,976.50"
50,2025-12-02,401.7,426.0,401.7,413.9,1.0,"48,818.00","20,039,262.80"
51,2025-12-01,408.6,410.0,406.2,409.8,0.29,"18,305.00","7,473,252.60"
52,2025-11-30,419.0,419.0,408.6,408.6,-2.01,"36,836.00","15,225,378.80"
53,2025-11-27,417.4,417.4,411.6,417.0,0.02,"50,083.00","20,729,929.40"
54,2025-11-26,414.0,418.9,412.0,416.9,0.7,"26,277.00","10,921,863.30"
55,2025-11-25,410.0,415.0,410.0,414.0,0.0,"41,350.00","17,042,734.90"
56,2025-11-24,409.0,416.0,409.0,414.0,1.72,"48,774.00","20,123,339.30"
57,2025-11-23,400.0,409.0,400.0,407.0,2.78,"58,035.00","23,480,752.80"
58,2025-11-20,399.0,400.0,395.1,396.0,-0.75,"17,384.00","6,899,721.20"
59,2025-11-19,402.0,402.0,397.0,399.0,0.13,"18,799.00","7,485,097.30"
60,2025-11-18,398.0,404.7,397.5,398.5,0.89,"19,557.00","7,813,959.60"
61,2025-11-17,397.0,398.5,392.0,395.0,0.77,"20,371.00","8,068,699.10"
62,2025-11-16,395.0,396.9,390.0,392.0,0.23,"28,047.00","10,991,789.30"
63,2025-11-13,387.0,395.0,385.7,391.1,-0.56,"32,606.00","12,725,398.40"
64,2025-11-12,394.0,397.0,390.0,393.3,0.41,"23,545.00","9,219,046.90"
65,2025-11-11,396.0,396.0,389.0,391.7,-0.36,"25,334.00","9,918,309.70"
66,2025-11-10,391.0,400.0,390.1,393.1,-0.96,"10,252.00","4,035,228.80"
67,2025-11-09,405.0,405.0,395.0,396.9,-2.0,"43,017.00","17,081,256.30"
68,2025-11-06,411.0,411.0,400.0,405.0,0.0,"19,534.00","7,882,175.60"
69,2025-11-05,397.2,407.0,397.2,405.0,0.5,"25,385.00","10,198,644.30"
70,2025-11-04,410.0,414.0,402.0,403.0,-1.83,"39,288.00","15,928,358.60"
71,2025-11-03,410.0,419.9,406.0,410.5,-0.82,"35,765.00","14,696,497.00"
72,2025-11-02,408.0,420.0,407.0,413.9,1.45,"43,769.00","18,145,667.20"
73,2025-10-30,396.9,409.9,395.2,408.0,1.49,"51,353.00","20,854,335.70"
74,2025-10-29,402.2,413.9,401.2,402.0,-0.74,"60,231.00","24,535,386.70"
75,2025-10-28,390.0,410.0,390.0,405.0,5.33,"44,847.00","18,042,036.30"
76,2025-10-26,381.0,390.0,380.0,384.5,-0.39,"12,766.00","4,887,736.30"
77,2025-10-19,390.6,396.8,384.0,386.0,0.78,"8,367.00","3,232,069.10"
78,2025-10-16,387.0,387.1,380.1,383.0,-0.85,"36,262.00","13,893,881.00"
79,2025-10-15,390.0,390.0,385.1,386.3,-1.18,"17,791.00","6,897,158.00"
80,2025-10-14,388.9,398.0,388.2,390.9,-0.99,"27,802.00","10,860,337.40"
81,2025-10-13,390.0,397.9,385.1,394.8,0.74,"33,673.00","13,189,512.10"
82,2025-10-12,399.0,410.0,385.3,391.9,-3.71,"85,007.00","33,223,518.60"
83,2025-10-09,413.5,434.9,406.0,407.0,0.39,"62,178.00","25,764,196.80"
84,2025-10-08,417.0,417.0,400.2,405.4,-0.93,"60,695.00","24,471,679.40"
85,2025-10-07,426.0,426.0,408.0,409.2,-2.32,"30,620.00","12,584,411.50"
86,2025-09-28,419.0,420.0,412.1,418.9,1.85,"20,712.00","8,616,941.80"
87,2025-09-25,415.0,419.0,411.0,411.3,0.24,"35,263.00","14,586,131.90"
88,2025-09-24,418.0,423.0,410.2,410.3,-3.41,"45,994.00","19,172,577.90"
89,2025-09-23,406.1,425.1,406.0,424.8,2.61,"54,309.00","22,870,916.60"
90,2025-09-21,392.0,417.0,392.0,413.99,4.02,"119,080.00","48,284,162.40"
91,2025-09-18,407.9,407.9,384.0,398.0,-4.37,"9,510.00","3,685,500.00"
92,2025-09-08,420.0,427.0,412.2,416.19,-1.05,"44,821.00","18,671,952.50"
93,2025-09-07,425.0,427.8,420.0,420.6,-0.17,"35,812.00","15,124,904.40"
94,2025-09-04,416.0,425.5,416.0,421.33,-0.09,"50,053.00","21,021,690.20"
95,2025-09-03,424.0,428.9,421.2,421.69,-0.52,"32,977.00","13,952,142.80"
96,2025-09-02,438.1,438.1,423.1,423.91,-1.31,"32,799.00","14,022,360.20"
97,2025-09-01,425.0,431.0,420.6,429.55,1.16,"43,948.00","18,804,650.80"
98,2025-08-31,434.5,434.5,422.8,424.64,-1.56,"88,547.00","37,640,527.60"
99,2025-08-28,445.0,453.0,430.0,431.39,-3.87,"120,640.00","53,141,804.80"
100,2025-08-27,434.0,450.0,431.0,448.75,4.29,"100,510.00","44,763,149.10"
101,2025-08-26,439.0,439.0,427.4,430.27,-0.07,"15,758.00","6,790,811.00"
