S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,400.00,405.00,398.10,401.20,-0.20,"21,256.00","8,513,767.70"
2,2026-02-25,406.0,406.0,398.5,402.0,0.02,"12,331.00","4,947,414.40"
3,2026-02-24,400.0,402.0,398.1,401.9,0.5,"14,669.00","5,862,641.30"
4,2026-02-23,397.1,403.0,397.0,399.9,0.93,"30,515.00","12,163,152.10"
5,2026-02-22,403.0,403.0,396.1,396.2,-1.81,"43,153.00","17,199,039.70"
6,2026-02-17,407.0,407.0,400.0,403.5,-0.84,"29,362.00","11,818,180.30"
7,2026-02-16,410.0,415.9,404.0,406.9,-0.27,"36,512.00","14,857,439.30"
8,2026-02-12,398.0,409.7,398.0,408.0,2.33,"69,045.00","27,978,341.40"
9,2026-02-11,403.0,407.0,396.1,398.7,0.91,"24,806.00","9,921,280.20"
10,2026-02-10,400.0,405.0,395.1,395.1,-2.44,"24,032.00","9,616,269.50"
11,2026-02-09,405.8,405.8,392.8,405.0,-0.2,"97,507.00","38,963,925.80"
12,2026-02-08,403.0,410.0,403.0,405.8,0.69,"16,839.00","6,832,838.90"
13,2026-02-05,404.0,405.0,400.0,403.0,0.62,"39,410.00","15,841,006.50"
14,2026-02-04,405.0,409.9,400.1,400.5,-0.62,"18,789.00","7,538,770.10"
15,2026-02-03,405.0,407.0,400.0,403.0,-0.62,"35,045.00","14,121,559.20"
16,2026-02-02,405.0,411.0,403.5,405.5,0.37,"29,089.00","11,838,530.90"
17,2026-02-01,405.1,413.0,404.0,404.0,-1.46,"23,169.00","9,408,419.40"
18,2026-01-29,410.0,417.0,407.0,410.0,-0.68,"14,992.00","6,142,670.20"
19,2026-01-28,405.1,414.0,405.1,412.8,0.44,"21,402.00","8,780,264.60"
20,2026-01-27,420.0,420.0,409.0,411.0,-1.67,"58,534.00","24,205,719.50"
21,2026-01-26,430.2,430.2,416.0,418.0,-0.9,"49,096.00","20,538,372.10"
22,2026-01-25,417.8,422.0,412.0,421.8,2.38,"76,910.00","32,160,031.60"
23,2026-01-22,413.0,415.0,410.0,412.0,-0.24,"16,996.00","6,987,304.80"
24,2026-01-21,419.0,419.0,412.0,413.0,0.0,"35,235.00","14,559,948.90"
25,2026-01-20,415.0,420.0,408.2,413.0,0.81,"48,264.00","19,997,981.60"
26,2026-01-18,403.4,410.0,403.4,409.7,1.56,"34,252.00","13,979,673.30"
27,2026-01-14,402.0,406.0,401.1,403.4,0.07,"21,546.00","8,712,140.80"
28,2026-01-13,401.0,408.0,401.0,403.1,-0.44,"19,315.00","7,816,260.00"
29,2026-01-12,401.0,408.0,401.0,404.9,0.42,"20,810.00","8,398,020.90"
30,2026-01-08,402.6,407.9,400.0,403.2,0.15,"49,873.00","20,055,469.90"
31,2026-01-07,407.0,407.5,402.6,402.6,-1.56,"22,594.00","9,174,057.80"
