S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,370.00,375.00,365.10,367.00,-1.34,"16,641.00","6,121,389.20"
2,2026-02-17,383.8,383.8,371.0,372.0,-1.85,"10,781.00","4,027,079.90"
3,2026-02-16,383.0,384.5,375.0,379.0,0.29,"13,229.00","5,030,673.90"
4,2026-02-12,382.0,382.0,370.0,377.9,0.77,"28,197.00","10,534,085.20"
5,2026-02-11,380.0,380.0,373.0,375.0,0.0,"11,245.00","4,217,970.50"
6,2026-02-10,372.0,382.0,371.5,375.0,-1.06,"10,059.00","3,779,489.70"
7,2026-02-09,388.9,388.9,367.5,379.0,-1.22,"21,102.00","7,948,611.30"
8,2026-02-08,377.5,391.0,377.5,383.7,-0.34,"18,089.00","6,998,598.30"
9,2026-02-05,384.9,389.0,377.0,385.0,0.26,"13,392.00","5,122,711.40"
10,2026-02-04,389.0,389.0,378.0,384.0,0.52,"15,995.00","6,083,977.70"
11,2026-02-03,390.0,390.0,380.1,382.0,-0.78,"14,580.00","5,599,195.00"
12,2026-02-02,391.0,392.0,384.0,385.0,0.0,"34,213.00","13,261,241.40"
13,2026-02-01,383.0,392.6,380.5,385.0,2.53,"79,808.00","30,924,113.80"
14,2026-01-29,368.5,390.9,368.5,375.5,-0.13,"30,254.00","11,601,641.70"
15,2026-01-28,378.0,385.5,372.0,376.0,-1.83,"32,401.00","12,288,564.90"
16,2026-01-27,400.0,400.0,381.0,383.0,-2.79,"23,035.00","8,909,012.00"
17,2026-01-26,403.9,403.9,387.1,394.0,-1.5,"31,703.00","12,425,821.40"
18,2026-01-25,389.0,405.0,381.1,400.0,3.63,"78,677.00","31,112,031.30"
19,2026-01-22,382.0,387.0,375.0,386.0,2.39,"12,862.00","4,903,048.60"
20,2026-01-21,384.0,391.0,373.1,377.0,-1.82,"21,465.00","8,165,728.10"
21,2026-01-20,384.0,395.0,374.4,384.0,1.32,"34,828.00","13,481,561.00"
22,2026-01-18,365.0,383.0,360.0,379.0,5.31,"37,934.00","14,060,555.40"
23,2026-01-14,355.0,366.0,355.0,359.9,1.32,"12,549.00","4,522,316.60"
24,2026-01-13,363.8,363.8,352.8,355.2,-0.75,"12,061.00","4,292,053.30"
25,2026-01-12,367.0,367.0,356.1,357.9,-0.61,"6,389.00","2,290,536.70"
26,2026-01-08,368.0,368.0,355.8,360.1,-1.34,"18,518.00","6,677,229.30"
27,2026-01-07,365.9,370.0,358.0,365.0,0.55,"14,169.00","5,172,098.70"
28,2026-01-06,355.0,365.0,355.0,363.0,2.25,"20,422.00","7,373,936.40"
29,2026-01-05,360.0,363.0,354.0,355.0,-1.33,"28,825.00","10,259,104.80"
30,2026-01-04,360.0,364.0,356.9,359.8,-0.06,"4,453.00","1,599,959.50"
31,2026-01-01,364.0,364.0,357.0,360.0,-1.1,"6,228.00","2,239,450.50"
32,2025-12-31,368.9,368.9,361.6,364.0,0.0,"5,653.00","2,054,099.70"
33,2025-12-29,369.0,369.0,362.1,364.0,0.0,"6,204.00","2,266,087.40"
34,2025-12-28,363.0,365.0,359.0,364.0,1.68,"6,718.00","2,437,752.30"
35,2025-12-24,360.0,364.9,356.1,358.0,0.79,"3,224.00","1,155,077.50"
36,2025-12-23,370.0,370.0,355.2,355.2,-2.68,"14,630.00","5,248,357.20"
37,2025-12-22,373.8,373.8,363.5,365.0,-0.41,"8,396.00","3,070,901.00"
38,2025-12-21,363.9,372.0,363.7,366.5,-1.21,"4,855.00","1,781,297.20"
39,2025-12-18,372.6,375.0,369.0,371.0,-1.59,"3,005.00","1,112,746.70"
40,2025-12-17,377.0,377.0,373.0,377.0,1.07,"4,542.00","1,706,001.70"
41,2025-12-16,370.0,377.0,370.0,373.0,1.36,"5,270.00","1,966,161.50"
42,2025-12-15,363.3,371.0,363.3,368.0,0.55,"3,933.00","1,442,288.80"
43,2025-12-14,371.0,372.0,365.0,366.0,-0.27,"8,329.00","3,053,847.20"
44,2025-12-11,377.0,377.0,367.0,367.0,-1.61,"11,668.00","4,302,806.10"
45,2025-12-10,378.0,378.0,370.0,373.0,-0.51,"4,996.00","1,859,232.10"
46,2025-12-09,379.0,379.0,372.1,374.9,-0.03,"4,471.00","1,668,454.50"
47,2025-12-08,374.0,379.5,370.0,375.0,-0.53,"9,009.00","3,368,498.20"
48,2025-12-07,380.0,383.0,374.1,377.0,-0.26,"6,803.00","2,562,386.90"
49,2025-12-03,376.0,391.0,374.0,378.0,2.02,"12,821.00","4,885,147.60"
50,2025-12-02,376.2,383.0,369.1,370.5,-2.5,"13,140.00","4,920,657.90"
51,2025-12-01,383.0,384.0,376.0,380.0,0.26,"7,763.00","2,963,108.50"
52,2025-11-30,385.0,387.0,376.0,379.0,-1.3,"15,943.00","6,067,236.90"
53,2025-11-27,388.0,388.6,380.0,384.0,-1.03,"11,145.00","4,276,819.80"
54,2025-11-26,388.0,388.0,382.0,388.0,0.78,"6,193.00","2,388,917.80"
55,2025-11-25,386.0,388.0,384.0,385.0,-0.77,"3,568.00","1,376,609.20"
56,2025-11-24,387.0,388.3,382.0,388.0,1.49,"8,763.00","3,380,397.60"
57,2025-11-23,378.0,386.0,378.0,382.3,2.22,"10,050.00","3,846,981.10"
58,2025-11-20,374.0,381.4,374.0,374.0,-0.93,"5,537.00","2,078,250.30"
59,2025-11-19,384.9,384.9,377.5,377.5,-0.66,"5,230.00","1,976,805.50"
60,2025-11-18,381.0,388.6,378.1,380.0,1.06,"7,794.00","2,966,695.30"
61,2025-11-17,378.0,380.0,373.0,376.0,0.29,"7,310.00","2,762,209.20"
62,2025-11-16,383.9,383.9,373.0,374.9,-1.34,"10,605.00","4,003,429.80"
63,2025-11-13,380.0,383.0,378.0,380.0,0.0,"3,765.00","1,433,704.60"
64,2025-11-12,380.0,383.0,380.0,380.0,-1.43,"10,776.00","4,101,614.80"
65,2025-11-11,396.0,396.0,379.0,385.5,-1.41,"12,605.00","4,834,521.20"
66,2025-11-10,394.0,397.8,383.0,391.0,0.26,"4,942.00","1,924,380.00"
67,2025-11-09,397.0,397.0,387.0,390.0,-0.76,"3,479.00","1,355,943.60"
68,2025-11-06,404.0,405.0,393.0,393.0,-1.01,"29,936.00","11,984,184.00"
69,2025-11-05,394.5,404.0,381.2,397.0,2.14,"8,346.00","3,255,557.40"
70,2025-11-04,403.9,404.0,388.7,388.7,-3.55,"7,598.00","2,991,426.60"
71,2025-11-03,401.0,412.8,397.2,403.0,-0.49,"13,608.00","5,528,369.10"
72,2025-11-02,389.9,411.0,385.0,405.0,4.65,"18,988.00","7,604,167.00"
73,2025-10-30,373.0,396.0,370.8,387.0,3.75,"7,801.00","2,960,572.10"
74,2025-10-29,385.9,386.0,373.0,373.0,-2.1,"6,088.00","2,306,287.20"
75,2025-10-28,373.5,381.0,370.1,381.0,2.97,"7,020.00","2,640,501.10"
76,2025-10-26,365.0,372.0,365.0,370.0,-0.54,"4,529.00","1,672,366.40"
77,2025-10-19,372.0,373.0,368.5,372.0,1.36,"1,759.00","651,332.00"
