S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,564.00,600.00,564.00,591.00,2.78,"36,033.00","21,245,055.30"
2,2026-02-11,564.0,609.0,564.0,575.0,0.0,"19,622.00","11,349,280.60"
3,2026-02-10,576.0,598.0,573.0,575.0,-2.14,"40,873.00","23,913,310.30"
4,2026-02-09,599.2,611.0,587.6,587.6,-3.89,"90,611.00","53,959,643.10"
5,2026-02-08,630.0,638.8,595.0,611.4,-2.63,"61,587.00","37,563,270.20"
6,2026-02-05,640.0,640.0,621.9,627.9,-1.12,"46,025.00","28,984,423.80"
7,2026-02-04,628.0,644.0,620.1,635.0,2.42,"82,902.00","52,218,607.40"
8,2026-02-03,645.0,648.5,620.0,620.0,-2.52,"103,617.00","65,288,260.50"
9,2026-02-02,637.0,660.0,635.0,636.0,-2.15,"115,363.00","73,942,469.00"
10,2026-02-01,640.0,687.4,631.0,650.0,0.31,"111,598.00","72,010,049.20"
11,2026-01-29,650.0,650.0,624.3,648.0,-1.52,"146,345.00","93,159,445.70"
12,2026-01-28,600.0,667.0,593.0,658.0,8.4,"152,844.00","94,812,244.60"
13,2026-01-27,615.0,628.0,596.0,607.0,-1.46,"150,925.00","91,648,777.30"
14,2026-01-26,609.9,616.0,580.2,616.0,2.67,"194,914.00","116,250,043.80"
15,2026-01-25,587.0,605.0,586.0,600.0,0.33,"112,934.00","67,068,153.00"
16,2026-01-22,552.0,608.0,546.0,598.0,7.69,"111,833.00","63,932,588.00"
17,2026-01-21,561.0,567.1,550.0,555.3,-1.02,"93,094.00","51,959,483.70"
18,2026-01-20,549.0,566.1,542.0,561.0,3.13,"89,979.00","49,868,949.10"
19,2026-01-18,517.7,544.0,515.0,544.0,6.46,"88,259.00","46,717,019.40"
20,2026-01-14,501.0,514.0,496.1,511.0,3.23,"32,198.00","16,384,127.70"
21,2026-01-13,501.0,501.0,494.0,495.0,-0.8,"8,627.00","4,293,627.00"
22,2026-01-12,503.0,510.0,493.0,499.0,-1.19,"18,407.00","9,192,817.20"
23,2026-01-08,508.0,511.1,503.0,505.0,-0.59,"13,754.00","6,949,707.30"
24,2026-01-07,515.0,518.9,505.0,508.0,-0.78,"19,332.00","9,903,001.70"
25,2026-01-06,507.5,515.1,500.0,512.0,2.4,"28,739.00","14,628,221.80"
26,2026-01-05,495.0,501.4,492.5,500.0,1.21,"11,643.00","5,801,475.60"
27,2026-01-04,493.0,500.0,492.0,494.0,-1.18,"3,719.00","1,834,182.00"
28,2026-01-01,507.9,507.9,496.1,499.9,-0.22,"6,235.00","3,107,517.90"
29,2025-12-31,512.9,512.9,500.0,501.0,-0.4,"5,517.00","2,781,572.50"
30,2025-12-29,510.9,510.9,502.0,503.0,-0.42,"7,280.00","3,686,864.30"
31,2025-12-28,500.0,509.9,496.3,505.1,2.58,"7,093.00","3,575,554.80"
32,2025-12-24,500.0,500.0,490.3,492.4,-1.42,"2,919.00","1,439,601.40"
33,2025-12-23,490.0,500.0,490.0,499.5,0.2,"2,896.00","1,424,152.20"
34,2025-12-22,491.0,503.8,489.8,498.5,0.91,"7,843.00","3,876,097.40"
35,2025-12-21,490.0,505.1,490.0,494.0,-1.06,"3,161.00","1,565,120.90"
36,2025-12-18,508.0,512.8,499.3,499.3,-1.75,"13,795.00","6,984,960.50"
37,2025-12-17,500.0,512.9,495.3,508.2,3.08,"25,552.00","12,973,940.20"
38,2025-12-16,500.0,509.0,491.2,493.0,-0.24,"7,867.00","3,931,532.60"
39,2025-12-15,496.0,498.0,490.0,494.2,0.86,"3,661.00","1,812,656.10"
40,2025-12-14,510.1,511.0,490.0,490.0,-3.35,"11,512.00","5,714,846.60"
41,2025-12-11,504.3,511.9,503.1,507.0,-0.2,"7,318.00","3,693,515.70"
42,2025-12-10,507.0,517.1,500.0,508.0,0.2,"17,447.00","8,810,956.30"
43,2025-12-09,500.1,507.0,500.1,507.0,0.42,"11,531.00","5,805,392.70"
44,2025-12-08,519.0,519.0,499.9,504.9,-1.58,"18,803.00","9,457,765.20"
45,2025-12-07,530.4,530.4,509.2,513.0,-1.35,"13,261.00","6,834,416.80"
46,2025-12-03,506.7,534.0,506.0,520.0,1.76,"42,452.00","22,160,624.30"
47,2025-12-02,510.0,520.0,510.0,511.0,-0.58,"9,840.00","5,069,579.50"
48,2025-12-01,504.1,519.0,503.0,514.0,1.38,"23,079.00","11,870,575.70"
49,2025-11-30,500.0,516.1,500.0,507.0,0.2,"39,368.00","19,975,069.60"
50,2025-11-27,507.0,510.0,498.1,506.0,1.2,"15,172.00","7,685,987.90"
51,2025-11-26,508.0,508.0,494.0,500.0,-0.4,"6,774.00","3,390,317.30"
52,2025-11-25,505.0,505.9,496.1,502.0,0.8,"6,595.00","3,297,687.80"
53,2025-11-24,501.0,501.0,494.0,498.0,0.63,"4,990.00","2,484,997.40"
54,2025-11-23,494.9,494.9,486.0,494.9,2.0,"10,994.00","5,403,988.60"
55,2025-11-20,485.0,490.0,485.0,485.2,-0.94,"3,588.00","1,744,003.70"
56,2025-11-19,493.0,493.0,485.0,489.8,-0.79,"2,381.00","1,158,080.50"
57,2025-11-18,491.0,510.9,485.0,493.7,1.79,"9,722.00","4,787,702.40"
58,2025-11-17,485.0,493.0,485.0,485.0,0.0,"5,026.00","2,454,492.90"
59,2025-11-16,482.2,485.3,481.0,485.0,-0.82,"5,134.00","2,480,137.00"
60,2025-11-13,492.9,492.9,482.0,489.0,-0.2,"4,687.00","2,271,438.20"
61,2025-11-12,488.0,495.0,485.0,490.0,-0.71,"5,815.00","2,828,990.90"
62,2025-11-11,490.0,497.0,485.0,493.5,0.71,"6,085.00","2,972,837.00"
63,2025-11-10,496.0,496.0,480.0,490.0,0.2,"6,836.00","3,305,781.40"
64,2025-11-09,507.0,507.0,488.7,489.0,-2.24,"9,045.00","4,451,802.60"
65,2025-11-06,510.0,518.0,500.2,500.2,-0.16,"13,366.00","6,807,140.20"
66,2025-11-05,497.0,511.0,482.0,501.0,2.24,"17,669.00","8,784,159.50"
67,2025-11-04,510.0,510.0,490.0,490.0,-2.95,"9,398.00","4,663,797.60"
68,2025-11-03,518.0,522.2,498.0,504.9,-1.39,"17,322.00","8,826,173.40"
69,2025-11-02,490.0,515.0,483.0,512.0,6.2,"34,290.00","17,311,760.10"
70,2025-10-30,482.0,490.0,475.0,482.1,1.49,"7,605.00","3,677,656.00"
71,2025-10-29,490.0,491.0,475.0,475.0,-2.16,"11,644.00","5,618,979.60"
72,2025-10-28,471.0,507.0,471.0,485.5,3.96,"3,047.00","1,464,800.30"
73,2025-10-26,463.0,469.0,460.0,467.0,0.65,"1,562.00","721,987.90"
74,2025-10-19,465.0,470.0,463.0,464.0,1.09,726.00,"339,378.00"
75,2025-10-16,479.0,479.0,459.0,459.0,-2.88,"15,343.00","7,120,983.70"
76,2025-10-15,487.0,487.0,470.1,472.6,-1.23,"7,046.00","3,347,901.00"
77,2025-10-14,493.0,493.0,478.5,478.5,-1.54,"5,871.00","2,821,381.00"
78,2025-10-13,487.0,487.0,472.4,486.0,0.83,"7,476.00","3,582,508.90"
79,2025-10-12,505.0,505.0,480.3,482.0,-3.56,"26,797.00","13,194,211.00"
80,2025-10-09,506.8,525.0,499.8,499.8,0.58,"14,009.00","7,144,658.10"
81,2025-10-08,504.0,504.9,486.0,496.9,-1.99,"12,015.00","5,918,984.40"
82,2025-10-07,508.0,508.0,500.2,507.0,-0.59,"12,886.00","6,491,838.70"
83,2025-09-28,503.0,510.0,502.0,510.0,-0.2,"4,148.00","2,101,198.90"
84,2025-09-25,516.9,516.9,502.0,511.0,0.2,"9,766.00","4,947,109.70"
85,2025-09-24,512.0,523.5,502.0,510.0,-1.9,"7,754.00","3,949,247.20"
86,2025-09-23,517.0,525.0,506.7,519.9,1.83,"16,344.00","8,472,974.00"
87,2025-09-21,491.0,519.0,471.6,510.54,1.91,"26,452.00","13,383,568.00"
88,2025-09-08,496.0,503.0,494.4,500.99,0.55,"7,123.00","3,554,376.90"
89,2025-09-07,500.0,503.9,495.0,498.27,-0.66,"9,431.00","4,687,565.00"
90,2025-09-04,507.0,508.0,499.5,501.6,-0.08,"20,170.00","10,109,060.60"
91,2025-09-03,501.0,508.0,501.0,501.99,0.01,"11,796.00","5,932,418.80"
92,2025-09-02,512.0,512.0,500.1,501.94,-0.99,"15,301.00","7,709,847.00"
93,2025-09-01,503.6,511.0,503.0,506.95,-0.06,"5,711.00","2,897,589.60"
