S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-04-21,875.00,899.00,860.00,879.50,0.51,"37,663.00","33,300,412.30"
2,2026-04-20,927.00,927.00,865.40,875.00,-0.91,"22,829.00","19,946,168.90"
3,2026-04-17,880.00,896.00,872.00,883.00,-0.55,"40,034.00","35,172,487.00"
4,2026-04-16,900.00,904.00,882.20,887.90,-1.78,"52,856.00","47,007,148.20"
5,2026-04-15,889.00,927.90,887.10,904.00,1.69,"74,798.00","67,807,251.10"
6,2026-04-13,900.00,910.00,884.20,889.00,-1.45,"56,402.00","50,351,646.20"
7,2026-04-10,942.40,942.40,891.20,902.10,-2.37,"83,512.00","75,735,552.20"
8,2026-04-09,890.00,949.00,890.00,924.00,1.87,"94,954.00","88,456,341.20"
9,2026-04-08,845.00,908.00,840.00,907.00,8.18,"111,596.00","98,249,630.60"
10,2026-04-07,840.00,865.00,835.00,838.40,-0.19,"57,172.00","48,444,744.60"
11,2026-04-06,800.00,852.00,800.00,840.00,5.13,"58,017.00","48,036,734.50"
12,2026-04-05,872.00,872.00,799.00,799.00,-8.37,"107,665.00","88,665,143.90"
13,2026-04-02,878.00,883.00,861.20,872.00,-0.68,"60,460.00","52,718,615.00"
14,2026-04-01,920.00,920.00,875.00,878.00,-4.78,"75,225.00","67,275,602.80"
15,2026-03-31,915.00,935.00,900.50,922.10,-0.1,"42,381.00","38,779,871.00"
16,2026-03-30,936.00,953.00,920.00,923.00,-1.91,"73,956.00","68,790,508.90"
17,2026-03-29,985.00,985.00,939.00,941.00,-4.47,"81,178.00","77,706,732.20"
18,2026-03-26,970.00,999.90,969.00,985.00,1.23,"95,093.00","93,907,925.20"
19,2026-03-25,967.00,985.00,940.00,973.00,2.53,"112,278.00","108,486,617.10"
20,2026-03-24,944.90,955.00,937.00,949.00,0.43,"50,303.00","47,393,472.70"
21,2026-03-23,950.00,970.00,940.00,944.90,-1.47,"85,731.00","81,261,536.30"
22,2026-03-22,943.00,973.90,943.00,959.00,1.7,"121,031.00","115,914,247.40"
23,2026-03-19,930.00,954.00,930.00,943.00,0.43,"109,303.00","102,881,817.20"
24,2026-03-17,926.00,950.00,926.00,939.00,-0.42,"45,505.00","42,443,501.90"
25,2026-03-16,930.00,962.00,925.30,943.00,0.34,"55,222.00","52,005,484.10"
26,2026-03-15,960.00,969.00,926.10,939.80,-2.61,"108,492.00","102,120,541.80"
27,2026-03-12,964.40,"1,003.00",959.90,965.00,-1.93,"85,676.00","83,557,913.40"
28,2026-03-11,"1,037.00","1,037.00",980.10,984.00,-3.24,"62,790.00","62,596,197.50"
29,2026-03-10,"1,058.00","1,058.00","1,000.00","1,017.00",-2.02,"168,640.00","172,871,614.60"
30,2026-03-09,984.30,"1,050.00",984.30,"1,038.00",7.56,"6,402.00","6,625,037.00"
31,2026-03-03,940.00,968.20,931.20,965.00,2.66,"75,394.00","72,268,426.00"
32,2026-03-01,919.20,951.00,902.00,940.00,0.22,"59,901.00","55,921,868.70"
33,2026-02-26,957.00,957.00,935.00,937.90,-2.0,"59,677.00","56,321,271.30"
34,2026-02-25,966.90,980.00,936.00,957.00,0.95,"108,341.00","104,210,526.40"
35,2026-02-24,860.00,948.00,860.00,948.00,8.34,"73,914.00","66,967,620.70"
36,2026-02-23,887.00,902.00,862.80,875.00,-1.35,"65,484.00","57,524,638.30"
37,2026-02-22,938.20,938.20,885.00,887.00,-3.59,"77,375.00","69,365,360.30"
38,2026-02-17,952.00,969.90,919.40,920.00,-4.17,"74,333.00","69,513,545.70"
39,2026-02-16,935.00,972.00,935.00,960.00,2.67,"74,723.00","71,443,083.40"
