S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-12,495.10,503.00,488.10,491.50,-1.11,"41,181.00","20,255,981.80"
2,2026-02-11,505.9,507.0,494.0,497.0,0.2,"10,898.00","5,418,893.50"
3,2026-02-10,504.9,504.9,494.6,496.0,-0.2,"18,543.00","9,191,926.60"
4,2026-02-09,495.0,499.0,490.0,497.0,-0.2,"25,082.00","12,421,323.90"
5,2026-02-08,500.0,504.0,496.0,498.0,-1.09,"27,063.00","13,556,734.90"
6,2026-02-05,494.0,504.0,494.0,503.5,0.9,"16,517.00","8,260,825.10"
7,2026-02-04,500.0,505.0,495.0,499.0,0.4,"25,371.00","12,600,694.70"
8,2026-02-03,493.2,513.0,493.1,497.0,0.79,"38,791.00","19,438,733.60"
9,2026-02-02,500.0,500.0,490.1,493.1,-0.6,"10,981.00","5,444,531.30"
10,2026-02-01,501.5,504.9,490.0,496.1,-1.08,"30,983.00","15,420,343.70"
11,2026-01-29,499.0,513.0,499.0,501.5,-0.32,"27,785.00","13,980,637.00"
12,2026-01-28,505.0,507.1,493.0,503.1,-0.77,"22,435.00","11,276,366.10"
13,2026-01-27,515.0,523.0,499.2,507.0,-1.17,"62,156.00","31,757,447.60"
14,2026-01-26,507.0,514.4,498.5,513.0,0.88,"33,023.00","16,844,456.10"
15,2026-01-25,499.9,515.2,495.0,508.5,1.34,"40,572.00","20,664,383.00"
16,2026-01-22,500.0,510.0,495.0,501.8,-0.04,"17,717.00","8,889,773.60"
17,2026-01-21,509.0,512.0,500.0,502.0,-2.52,"31,970.00","16,162,396.10"
18,2026-01-20,502.0,515.2,499.0,515.0,3.41,"99,453.00","50,724,250.10"
19,2026-01-18,502.0,502.0,497.3,498.0,0.0,"29,400.00","14,676,960.50"
20,2026-01-14,499.0,503.0,487.7,498.0,0.46,"46,757.00","23,218,898.20"
21,2026-01-13,486.0,497.9,486.0,495.7,0.55,"16,894.00","8,375,052.30"
22,2026-01-12,492.2,498.9,483.2,493.0,-0.8,"62,815.00","30,884,732.10"
23,2026-01-08,491.1,500.0,491.1,497.0,0.4,"11,547.00","5,714,462.00"
24,2026-01-07,500.0,500.0,490.0,495.0,-0.98,"14,764.00","7,335,405.50"
25,2026-01-06,494.0,510.0,490.0,499.9,1.19,"58,331.00","29,179,110.60"
26,2026-01-05,485.0,496.0,485.0,494.0,1.02,"42,684.00","21,019,331.80"
27,2026-01-04,487.9,493.0,475.0,489.0,0.23,"17,633.00","8,606,685.60"
28,2026-01-01,490.0,494.0,480.0,487.9,-0.83,"14,998.00","7,316,628.40"
29,2025-12-31,493.0,493.0,485.0,492.0,0.8,"25,981.00","12,713,319.80"
30,2025-12-29,485.0,493.0,480.0,488.1,-0.08,"29,177.00","14,280,950.50"
31,2025-12-28,470.9,490.1,470.9,488.5,1.66,"12,144.00","5,920,904.60"
32,2025-12-24,479.5,486.0,475.0,480.5,0.21,"11,182.00","5,374,158.50"
33,2025-12-23,478.0,485.0,471.0,479.5,0.19,"15,466.00","7,425,662.40"
34,2025-12-22,477.0,485.7,470.0,478.6,-1.52,"34,104.00","16,321,420.20"
35,2025-12-21,488.0,493.0,480.0,486.0,-1.76,"9,156.00","4,450,123.00"
36,2025-12-18,491.0,494.8,486.0,494.7,0.63,"15,109.00","7,386,285.00"
37,2025-12-17,495.0,496.0,485.0,491.6,-0.69,"14,580.00","7,169,711.20"
38,2025-12-16,487.0,495.0,483.0,495.0,1.85,"13,058.00","6,386,912.40"
39,2025-12-15,487.0,497.0,480.0,486.0,-0.21,"10,782.00","5,235,756.70"
40,2025-12-14,485.0,487.8,475.9,487.0,0.31,"11,193.00","5,439,543.00"
41,2025-12-11,485.0,489.8,475.3,485.5,-0.72,"8,582.00","4,175,941.50"
42,2025-12-10,488.0,490.0,479.3,489.0,0.93,"19,935.00","9,706,571.70"
43,2025-12-09,480.0,487.8,475.0,484.5,1.0,"13,710.00","6,632,780.90"
44,2025-12-08,470.4,485.1,470.4,479.7,-0.06,"11,295.00","5,421,434.20"
45,2025-12-07,491.2,491.2,478.0,480.0,-0.83,"17,710.00","8,515,783.90"
46,2025-12-03,481.0,496.7,478.2,484.0,-0.7,"16,548.00","8,098,602.70"
47,2025-12-02,495.0,496.0,486.0,487.4,-1.14,"11,361.00","5,551,747.50"
48,2025-12-01,491.3,500.0,488.0,493.0,-1.08,"24,408.00","12,001,564.30"
49,2025-11-30,495.0,500.0,487.2,498.4,0.69,"63,990.00","31,749,248.50"
50,2025-11-27,494.0,496.5,490.0,495.0,0.41,"24,097.00","11,879,985.10"
51,2025-11-26,479.0,494.0,477.9,493.0,3.16,"50,083.00","24,439,262.50"
52,2025-11-25,477.5,479.7,470.0,477.9,0.19,"15,265.00","7,267,733.60"
53,2025-11-24,472.0,480.0,471.9,477.0,1.08,"30,245.00","14,388,696.00"
54,2025-11-23,480.0,481.0,464.0,471.9,-0.61,"46,349.00","21,923,022.90"
55,2025-11-20,550.0,552.0,544.0,546.0,0.04,"96,431.00","52,624,320.20"
56,2025-11-19,552.0,552.0,542.0,545.8,0.15,"28,517.00","15,527,139.90"
57,2025-11-18,540.0,550.9,540.0,545.0,0.37,"28,435.00","15,535,525.90"
58,2025-11-17,540.0,550.0,533.0,543.0,1.31,"28,431.00","15,372,045.40"
