S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-22,757.80,757.80,740.00,747.90,0.66,"1,834.00","1,366,621.40"
2,2026-02-17,745.00,745.00,740.00,743.00,-0.93,"1,978.00","1,465,180.60"
3,2026-02-16,748.10,752.00,748.00,750.00,-0.92,"3,757.00","2,818,931.00"
4,2026-02-12,766.00,766.00,750.00,757.00,0.8,"2,019.00","1,523,376.00"
5,2026-02-11,742.00,756.00,742.00,751.00,1.21,"1,666.00","1,253,489.00"
6,2026-02-10,742.50,748.00,740.00,742.00,-0.8,"2,870.00","2,128,604.00"
7,2026-02-09,750.00,755.00,748.00,748.00,-1.84,"2,322.00","1,743,056.20"
8,2026-02-08,764.10,777.50,751.00,762.00,-0.26,"3,228.00","2,454,320.30"
9,2026-02-05,755.10,768.00,755.10,764.00,0.5,"2,202.00","1,676,845.50"
10,2026-02-04,756.10,775.00,756.10,760.20,-0.5,"3,624.00","2,792,920.00"
11,2026-02-03,754.00,784.00,742.10,764.00,3.09,"10,012.00","7,645,920.80"
12,2026-02-02,753.00,754.00,739.50,741.10,-0.67,"3,203.00","2,385,209.50"
13,2026-02-01,740.00,757.00,740.00,746.10,-1.05,"4,091.00","3,054,775.60"
14,2026-01-29,753.90,773.00,752.00,754.00,0.01,"3,828.00","2,901,249.00"
15,2026-01-28,742.00,754.90,736.10,753.90,1.59,"2,213.00","1,644,442.50"
16,2026-01-27,746.50,772.00,740.00,742.10,-2.1,"5,374.00","4,052,399.40"
17,2026-01-26,763.20,774.00,754.00,758.00,-0.28,"5,480.00","4,176,140.70"
18,2026-01-25,773.10,778.00,760.00,760.10,0.28,"4,420.00","3,394,820.60"
19,2026-01-22,760.20,762.00,746.10,758.00,-1.94,"4,363.00","3,295,234.50"
20,2026-01-21,780.00,780.00,767.40,773.00,-1.28,"4,463.00","3,433,009.10"
21,2026-01-20,742.50,783.90,742.50,783.00,6.34,"12,659.00","9,665,176.00"
22,2026-01-18,728.00,736.30,720.00,736.30,2.26,"5,820.00","4,240,191.30"
23,2026-01-14,712.00,720.00,710.10,720.00,0.91,"3,660.00","2,607,419.80"
24,2026-01-13,716.10,722.90,710.00,713.50,-0.28,"1,835.00","1,311,908.00"
25,2026-01-12,720.10,720.10,715.10,715.50,-1.04,"2,638.00","1,892,498.50"
26,2026-01-08,708.10,727.90,708.10,723.00,0.42,"1,721.00","1,244,158.00"
27,2026-01-07,726.00,730.00,720.00,720.00,0.0,"3,160.00","2,287,915.40"
28,2026-01-06,719.00,729.90,719.00,720.00,0.7,"3,533.00","2,550,289.30"
29,2026-01-05,710.00,717.80,702.40,715.00,0.7,"3,571.00","2,552,698.50"
30,2026-01-04,710.00,710.00,699.00,710.00,0.0,"2,126.00","1,490,392.10"
31,2026-01-01,705.00,710.90,704.00,710.00,0.69,"1,115.00","790,956.90"
32,2025-12-31,709.00,715.00,705.00,705.10,-0.55,"2,206.00","1,565,899.30"
33,2025-12-29,719.00,719.00,705.00,709.00,0.41,272.00,"192,713.00"
34,2025-12-28,698.00,710.00,698.00,706.10,-0.27,"1,732.00","1,226,147.10"
35,2025-12-24,718.60,718.60,699.00,708.00,0.28,"1,080.00","764,758.00"
36,2025-12-23,708.50,708.50,692.00,706.00,1.0,958.00,"673,035.40"
37,2025-12-22,700.00,714.00,696.00,699.00,-1.55,"2,731.00","1,910,274.00"
38,2025-12-21,718.00,718.00,700.00,710.00,-1.11,"4,237.00","2,988,782.50"
39,2025-12-18,712.00,720.00,704.00,718.00,1.61,"4,702.00","3,359,287.30"
40,2025-12-17,709.00,713.00,705.00,706.60,-0.34,"2,000.00","1,417,149.30"
41,2025-12-16,706.00,710.00,698.10,709.00,0.57,"2,327.00","1,647,248.50"
42,2025-12-15,700.00,705.00,689.00,705.00,0.57,"6,427.00","4,465,892.10"
43,2025-12-14,705.00,709.00,691.10,701.00,-0.14,"2,454.00","1,710,492.10"
44,2025-12-11,685.20,707.90,685.10,702.00,0.82,"1,500.00","1,047,973.20"
45,2025-12-10,700.00,702.00,686.00,696.30,-1.5,"2,895.00","2,010,146.20"
46,2025-12-09,713.90,713.90,700.00,706.90,0.99,"2,865.00","2,010,732.70"
47,2025-12-08,704.00,704.00,696.10,700.00,-0.44,"2,351.00","1,644,482.40"
48,2025-12-07,703.50,707.00,702.10,703.10,-0.13,"3,948.00","2,777,733.40"
49,2025-12-03,706.40,708.00,700.00,704.00,-0.83,"2,976.00","2,097,970.20"
50,2025-12-02,706.00,715.00,705.00,709.90,-1.22,"2,525.00","1,786,008.10"
51,2025-12-01,719.90,719.90,711.10,718.70,1.23,"2,740.00","1,957,507.90"
52,2025-11-30,716.00,730.00,710.00,710.00,-2.41,"6,491.00","4,671,309.90"
53,2025-11-27,715.10,734.00,715.00,727.50,0.62,"12,697.00","9,211,003.40"
54,2025-11-26,718.10,724.90,714.00,723.00,0.7,"3,769.00","2,704,113.60"
55,2025-11-25,705.00,722.00,702.20,718.00,1.84,"5,086.00","3,623,571.20"
56,2025-11-24,705.00,705.00,693.10,705.00,1.44,"6,902.00","4,818,716.30"
57,2025-11-23,695.00,706.00,692.00,695.00,0.29,"5,566.00","3,888,679.30"
58,2025-11-20,694.00,695.00,685.00,693.00,0.84,"5,768.00","3,964,980.90"
