S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,586.00,586.00,565.00,578.00,-1.28,"9,993.00","5,778,458.00"
2,2026-02-08,587.5,595.0,585.0,585.5,1.65,"24,768.00","14,569,449.00"
3,2026-02-05,563.0,578.0,563.0,576.0,1.96,"14,549.00","8,346,404.40"
4,2026-02-04,563.0,585.6,550.0,564.9,2.34,"5,931.00","3,330,905.10"
5,2026-02-03,563.0,566.0,552.0,552.0,-1.94,"5,921.00","3,287,368.00"
6,2026-02-02,562.1,569.0,546.9,562.9,-1.73,"11,953.00","6,655,411.00"
7,2026-02-01,569.0,579.0,550.0,572.8,-1.07,"4,169.00","2,372,145.00"
8,2026-01-29,599.0,608.9,576.0,579.0,-3.16,"15,247.00","9,028,024.80"
9,2026-01-28,552.1,601.0,551.5,597.9,6.58,"22,893.00","13,237,403.90"
10,2026-01-27,563.2,574.0,560.0,561.0,-0.36,"12,492.00","7,099,460.30"
11,2026-01-26,556.0,565.0,555.0,563.0,-0.51,"11,459.00","6,445,367.30"
12,2026-01-25,552.0,570.0,541.0,565.9,2.52,"18,538.00","10,428,545.40"
13,2026-01-22,536.0,561.0,536.0,552.0,1.06,"6,755.00","3,743,808.20"
14,2026-01-21,555.0,562.5,546.2,546.2,-1.23,"5,407.00","2,995,885.50"
15,2026-01-20,555.0,569.9,552.3,553.0,0.55,"9,680.00","5,397,461.60"
16,2026-01-18,543.0,554.0,543.0,550.0,1.48,"5,302.00","2,911,402.40"
17,2026-01-14,539.1,549.5,539.1,542.0,0.31,"5,395.00","2,932,338.90"
18,2026-01-13,555.0,555.9,538.0,540.3,-1.1,"7,605.00","4,126,007.20"
19,2026-01-12,551.0,556.0,545.5,546.3,-0.85,"2,193.00","1,202,423.90"
20,2026-01-08,569.3,569.3,550.0,551.0,-2.29,"7,287.00","4,049,782.00"
21,2026-01-07,565.0,572.0,555.0,563.9,-0.19,"6,549.00","3,678,749.10"
22,2026-01-06,570.8,572.9,555.0,565.0,0.89,"10,691.00","6,044,731.70"
23,2026-01-05,540.0,561.0,532.0,560.0,5.01,"14,572.00","8,013,960.10"
24,2026-01-04,553.8,553.8,533.0,533.3,-1.79,"5,955.00","3,190,561.80"
25,2026-01-01,548.0,550.0,535.0,543.0,-1.27,"10,546.00","5,697,829.80"
26,2025-12-31,552.0,558.0,548.0,550.0,0.55,"4,440.00","2,451,783.10"
27,2025-12-29,573.2,573.2,547.0,547.0,-2.67,"6,671.00","3,700,137.80"
28,2025-12-28,571.2,576.0,556.2,562.0,0.36,"3,506.00","1,968,766.20"
29,2025-12-24,550.0,560.0,550.0,560.0,1.82,"3,941.00","2,188,264.00"
30,2025-12-23,544.2,550.0,544.2,550.0,-0.04,"2,216.00","1,214,098.00"
31,2025-12-22,555.0,557.0,545.1,550.2,-1.22,"12,467.00","6,851,817.90"
32,2025-12-21,565.0,570.0,556.0,557.0,-2.62,"9,937.00","5,605,827.00"
33,2025-12-18,583.0,583.0,571.3,572.0,-1.41,"9,929.00","5,711,323.70"
