S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-11,300.00,300.00,288.20,298.00,1.19,"609,216.00","180,285,772.50"
2,2026-02-10,281.0,303.9,280.0,294.5,5.18,"1,530,888.00","452,842,492.80"
3,2026-02-09,279.9,284.0,271.1,280.0,1.67,"284,914.00","79,310,038.60"
4,2026-02-08,280.0,290.0,275.0,275.4,-0.58,"409,323.00","115,493,339.60"
5,2026-02-05,267.0,282.5,262.6,277.0,5.68,"310,697.00","85,364,638.50"
6,2026-02-04,265.0,267.9,261.0,262.1,-0.72,"83,481.00","22,001,941.80"
7,2026-02-03,267.0,270.0,264.0,264.0,-0.79,"90,441.00","24,025,950.30"
8,2026-02-02,272.7,273.0,266.0,266.1,-1.52,"83,788.00","22,492,812.80"
9,2026-02-01,272.1,275.0,270.0,270.2,-0.66,"84,613.00","23,000,878.10"
10,2026-01-29,270.0,278.9,269.5,272.0,1.3,"312,612.00","85,905,008.90"
11,2026-01-28,265.6,270.0,263.7,268.5,-0.19,"81,947.00","21,893,089.00"
12,2026-01-27,275.0,280.0,265.6,269.0,-1.68,"275,716.00","75,446,481.80"
13,2026-01-26,273.5,282.0,273.0,273.6,-1.94,"184,642.00","51,039,172.30"
14,2026-01-25,270.0,279.0,268.0,279.0,4.49,"220,235.00","60,481,510.80"
15,2026-01-22,265.0,268.0,262.0,267.0,0.11,"90,545.00","24,011,505.30"
16,2026-01-21,269.0,270.9,265.4,266.7,-0.63,"108,567.00","29,014,631.80"
17,2026-01-20,267.0,270.0,266.0,268.4,1.67,"186,761.00","50,068,046.10"
18,2026-01-18,261.0,266.1,258.1,264.0,2.13,"125,046.00","32,947,379.10"
19,2026-01-14,255.0,260.0,255.0,258.5,0.58,"43,036.00","11,079,131.80"
20,2026-01-13,250.1,257.0,250.1,257.0,1.18,"107,332.00","27,334,329.00"
21,2026-01-12,259.8,259.8,254.0,254.0,-1.21,"88,049.00","22,496,658.30"
22,2026-01-08,256.0,262.0,255.0,257.1,0.08,"82,839.00","21,264,929.30"
23,2026-01-07,261.0,261.0,256.0,256.9,-0.58,"84,299.00","21,659,037.60"
24,2026-01-06,263.1,263.1,258.0,258.4,-0.81,"143,661.00","37,307,863.60"
25,2026-01-05,260.9,261.6,258.0,260.5,0.58,"63,265.00","16,469,471.60"
26,2026-01-04,265.0,265.0,256.0,259.0,-0.71,"152,539.00","39,646,787.50"
27,2026-01-01,278.0,278.0,273.6,273.9,-1.26,"143,554.00","39,457,287.70"
28,2025-12-31,277.9,279.0,275.0,277.4,0.87,"135,284.00","37,470,804.70"
29,2025-12-29,283.5,283.5,274.1,275.0,-1.08,"93,875.00","26,014,615.70"
30,2025-12-28,277.6,278.8,270.1,278.0,2.09,"93,951.00","26,011,799.20"
31,2025-12-24,272.0,274.0,269.0,272.3,-0.4,"96,682.00","26,289,889.80"
32,2025-12-23,278.0,278.0,271.0,273.4,0.29,"80,001.00","21,789,152.30"
33,2025-12-22,281.0,281.0,272.0,272.6,-1.2,"76,466.00","20,877,250.20"
34,2025-12-21,278.0,278.9,275.8,275.9,-0.97,"55,253.00","15,302,862.30"
