S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,361.20,372.30,351.00,352.80,-0.40,"1,125,013.00","405,550,959.40"
2,2026-02-04,317.00,354.20,317.00,354.20,10.00,"2,346,577.00","800,077,405.90"
3,2026-02-03,320.4,333.0,320.4,322.0,-1.5,"1,258,177.00","410,043,718.00"
4,2026-02-02,319.9,338.0,319.9,326.9,0.15,"1,252,669.00","414,999,662.10"
5,2026-02-01,311.5,341.0,305.0,326.4,4.62,"1,746,924.00","555,240,761.80"
6,2026-01-29,305.0,321.0,300.0,312.0,2.4,"1,254,601.00","394,771,445.10"
7,2026-01-28,280.0,304.7,268.3,304.7,10.0,"2,919,410.00","835,751,328.30"
8,2026-01-27,285.0,300.0,277.0,277.0,-1.84,"1,780,888.00","514,367,844.90"
9,2026-01-26,273.7,291.0,269.0,282.2,5.14,"2,013,923.00","561,638,267.00"
10,2026-01-25,245.0,268.4,245.0,268.4,10.0,"1,668,005.00","435,933,162.60"
11,2026-01-22,235.0,244.5,232.1,244.0,5.13,"1,694,796.00","408,256,845.80"
12,2026-01-21,230.6,241.0,230.0,232.1,2.65,"1,840,454.00","433,636,413.80"
13,2026-01-20,211.0,229.5,210.2,226.1,8.13,"1,149,972.00","253,721,330.60"
14,2026-01-18,201.1,211.5,201.1,209.1,3.11,"404,482.00","84,153,092.00"
15,2026-01-14,202.0,203.5,200.0,202.8,0.45,"113,795.00","22,924,069.50"
16,2026-01-13,200.0,203.0,200.0,201.9,0.95,"145,948.00","29,364,227.70"
17,2026-01-12,210.0,210.0,198.1,200.0,-2.87,"166,196.00","33,355,354.90"
18,2026-01-08,202.1,209.9,199.3,205.9,3.88,"297,985.00","60,861,885.20"
19,2026-01-07,198.9,202.1,196.9,198.2,0.61,"218,322.00","43,578,352.00"
20,2026-01-06,194.9,199.8,193.1,197.0,2.28,"215,922.00","42,510,795.70"
21,2026-01-05,190.1,193.5,190.0,192.6,0.94,"89,437.00","17,199,884.30"
22,2026-01-04,195.0,195.0,190.0,190.8,-1.14,"71,231.00","13,623,363.40"
23,2026-01-01,196.0,196.0,191.2,193.0,0.31,"85,837.00","16,538,937.40"
24,2025-12-31,188.0,195.0,188.0,192.4,2.94,"172,436.00","33,190,542.10"
25,2025-12-29,188.0,190.6,186.5,186.9,0.11,"142,362.00","26,876,677.70"
26,2025-12-28,184.0,188.1,184.0,186.7,2.19,"55,433.00","10,335,620.80"
27,2025-12-24,185.0,185.0,181.6,182.7,-0.16,"52,107.00","9,565,052.80"
28,2025-12-23,184.0,185.1,182.1,183.0,-0.54,"37,248.00","6,850,992.40"
29,2025-12-22,190.6,190.6,183.4,184.0,-1.55,"30,365.00","5,632,711.10"
30,2025-12-21,182.0,187.9,180.4,186.9,2.47,"118,955.00","21,997,234.10"
31,2025-12-18,183.2,185.0,182.0,182.4,-0.44,"42,178.00","7,697,745.70"
32,2025-12-17,184.1,185.0,183.2,183.2,-0.43,"56,720.00","10,438,783.70"
33,2025-12-16,185.0,186.0,183.0,184.0,0.55,"38,330.00","7,062,089.70"
34,2025-12-15,185.0,185.0,182.0,183.0,0.0,"18,667.00","3,426,263.40"
35,2025-12-14,185.0,186.0,182.7,183.0,-0.76,"36,775.00","6,758,480.60"
36,2025-12-11,184.0,185.9,184.0,184.4,-0.05,"39,013.00","7,207,969.80"
37,2025-12-10,186.0,186.8,184.5,184.5,-0.7,"39,735.00","7,361,102.50"
38,2025-12-09,185.0,188.0,185.0,185.8,-0.11,"33,270.00","6,174,552.00"
39,2025-12-08,186.0,187.8,184.1,186.0,-0.48,"46,839.00","8,681,616.20"
