S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,312.40,321.00,308.00,316.00,1.15,"1,049,844.00","332,175,622.10"
2,2026-02-26,296.9,315.0,296.9,312.4,3.44,"1,054,543.00","326,832,574.00"
3,2026-02-25,300.7,304.0,295.0,302.0,1.68,"271,738.00","81,394,139.60"
4,2026-02-24,291.9,299.0,291.9,297.0,-0.27,"116,135.00","34,478,375.20"
5,2026-02-23,290.5,297.8,290.4,297.8,2.34,"173,416.00","50,921,171.00"
6,2026-02-22,295.0,299.0,290.0,291.0,-1.36,"191,264.00","55,946,148.10"
7,2026-02-17,297.0,301.4,292.1,295.0,-1.5,"233,251.00","68,999,719.30"
8,2026-02-16,306.0,306.0,297.3,299.5,-1.16,"266,669.00","79,978,858.30"
9,2026-02-12,309.0,309.0,302.2,303.0,0.0,"409,062.00","124,964,568.30"
10,2026-02-11,305.0,311.0,300.1,303.0,0.33,"276,403.00","83,819,180.70"
11,2026-02-10,297.0,309.3,297.0,302.0,1.68,"416,755.00","126,983,523.50"
12,2026-02-09,307.9,307.9,296.0,297.0,-1.62,"448,876.00","133,801,963.50"
13,2026-02-08,305.0,311.0,299.6,301.9,-0.36,"585,301.00","179,233,038.10"
14,2026-02-05,301.0,312.1,296.2,303.0,2.36,"536,969.00","163,266,501.90"
15,2026-02-04,298.0,299.0,293.0,296.0,-0.17,"132,476.00","39,081,669.30"
16,2026-02-03,300.0,300.0,292.1,296.5,-0.5,"124,815.00","36,809,129.80"
17,2026-02-02,297.0,301.0,296.0,298.0,0.34,"136,059.00","40,427,164.50"
18,2026-02-01,300.1,300.1,295.0,297.0,-0.9,"196,511.00","58,417,035.30"
19,2026-01-29,296.0,305.0,294.0,299.7,0.57,"318,879.00","95,825,008.20"
20,2026-01-28,296.2,301.0,291.0,298.0,0.17,"334,494.00","98,624,792.20"
21,2026-01-27,307.0,308.9,297.4,297.5,-3.03,"423,362.00","128,095,043.40"
22,2026-01-26,312.0,312.0,300.0,306.8,-0.39,"604,511.00","184,560,613.60"
23,2026-01-25,299.5,309.5,299.5,308.0,3.36,"603,653.00","184,148,587.50"
24,2026-01-22,294.8,300.5,292.0,298.0,0.71,"216,291.00","64,396,082.20"
25,2026-01-21,299.0,301.4,293.2,295.9,-1.33,"213,242.00","63,336,737.20"
26,2026-01-20,294.0,299.9,290.3,299.9,3.41,"295,108.00","87,465,380.40"
27,2026-01-18,295.0,295.0,288.0,290.0,0.24,"68,116.00","19,744,960.50"
28,2026-01-14,289.9,291.0,287.0,289.3,-0.03,"50,519.00","14,604,516.90"
29,2026-01-13,288.0,292.0,287.0,289.4,0.21,"51,673.00","14,914,405.00"
30,2026-01-12,284.5,289.0,284.5,288.8,1.16,"152,308.00","43,735,111.30"
31,2026-01-08,285.9,289.0,284.2,285.5,-0.14,"74,785.00","21,397,572.30"
32,2026-01-07,283.1,287.0,282.0,285.9,0.67,"102,029.00","29,047,212.60"
33,2026-01-06,286.8,289.0,283.2,284.0,0.0,"203,231.00","58,219,457.50"
34,2026-01-05,283.0,285.0,281.2,284.0,1.0,"79,148.00","22,469,560.00"
35,2026-01-04,280.0,283.4,276.0,281.2,0.43,"80,581.00","22,686,786.20"
36,2026-01-01,295.5,296.0,291.0,294.0,-0.34,"224,858.00","65,982,660.40"
37,2025-12-31,298.3,298.3,292.6,295.0,0.85,"175,971.00","51,883,554.60"
38,2025-12-29,299.8,299.8,291.6,292.5,-1.08,"144,967.00","42,475,441.10"
39,2025-12-28,292.5,296.0,289.0,295.7,2.32,"161,296.00","47,214,331.30"
40,2025-12-24,290.1,290.1,286.5,289.0,0.35,"62,486.00","18,021,385.60"
41,2025-12-23,286.0,289.0,285.0,288.0,0.7,"177,114.00","50,837,829.60"
42,2025-12-22,293.0,293.0,284.0,286.0,-0.69,"79,278.00","22,658,615.60"
43,2025-12-21,288.0,288.8,285.0,288.0,0.0,"99,202.00","28,469,182.60"
44,2025-12-18,290.0,290.8,287.0,288.0,-0.69,"103,102.00","29,649,141.30"
45,2025-12-17,289.9,291.0,288.0,290.0,0.55,"97,365.00","28,184,788.40"
46,2025-12-16,285.5,289.0,285.5,288.4,1.02,"93,849.00","26,986,829.60"
47,2025-12-15,286.0,286.9,281.4,285.5,0.18,"62,377.00","17,742,580.60"
48,2025-12-14,285.0,285.5,282.0,285.0,0.81,"101,266.00","28,767,047.20"
49,2025-12-11,281.0,285.9,281.0,282.7,-0.11,"77,387.00","21,883,165.90"
50,2025-12-10,284.0,287.9,282.0,283.0,-0.53,"46,990.00","13,333,736.70"
51,2025-12-09,286.0,287.9,284.3,284.5,0.18,"45,685.00","13,041,189.10"
52,2025-12-08,285.3,288.7,282.5,284.0,-0.39,"79,735.00","22,719,213.80"
53,2025-12-07,288.0,288.2,284.7,285.1,-1.01,"72,320.00","20,666,255.90"
54,2025-12-03,291.0,293.7,284.9,288.0,-1.03,"118,277.00","34,172,255.60"
55,2025-12-02,283.5,293.0,283.5,291.0,0.69,"114,052.00","33,190,892.20"
56,2025-12-01,283.0,291.1,283.0,289.0,0.35,"81,123.00","23,369,848.40"
57,2025-11-30,295.0,298.0,287.3,288.0,-1.71,"197,101.00","57,747,269.30"
58,2025-11-27,292.7,298.0,291.8,293.0,0.1,"157,671.00","46,376,995.20"
59,2025-11-26,285.1,295.0,285.1,292.7,2.13,"244,015.00","71,190,168.20"
60,2025-11-25,292.0,292.0,284.2,286.6,0.03,"76,856.00","21,997,843.60"
61,2025-11-24,285.0,288.0,284.5,286.5,1.42,"97,848.00","28,004,135.50"
62,2025-11-23,281.0,284.0,280.4,282.5,1.11,"52,037.00","14,708,505.90"
63,2025-11-20,280.0,283.4,278.1,279.4,-0.75,"54,780.00","15,306,697.80"
64,2025-11-19,283.9,285.0,278.7,281.5,-0.18,"71,908.00","20,140,063.60"
65,2025-11-18,280.0,284.0,280.0,282.0,0.71,"70,131.00","19,749,104.90"
66,2025-11-17,278.2,282.0,278.2,280.0,0.21,"52,109.00","14,626,174.60"
67,2025-11-16,279.0,283.5,278.0,279.4,0.14,"39,873.00","11,147,685.90"
68,2025-11-13,277.0,282.0,277.0,279.0,0.0,"76,950.00","21,483,915.40"
69,2025-11-12,282.9,283.5,277.0,279.0,0.36,"67,951.00","18,975,532.40"
70,2025-11-11,281.0,281.0,275.5,278.0,0.0,"51,845.00","14,418,727.60"
71,2025-11-10,277.0,280.0,275.1,278.0,0.36,"49,196.00","13,625,960.30"
72,2025-11-09,280.0,281.9,275.0,277.0,-0.72,"78,651.00","21,802,167.80"
73,2025-11-06,279.3,286.0,276.1,279.0,-2.11,"202,266.00","56,532,879.60"
74,2025-11-05,289.0,289.0,279.0,285.0,0.35,"81,456.00","22,937,627.50"
75,2025-11-04,286.0,290.5,284.0,284.0,-1.39,"62,787.00","17,970,410.70"
76,2025-11-03,295.8,295.8,286.5,288.0,-1.37,"94,495.00","27,403,349.40"
77,2025-11-02,290.0,295.0,284.0,292.0,2.49,"185,519.00","53,973,350.80"
78,2025-10-30,281.9,287.6,276.1,284.9,2.11,"99,728.00","28,180,543.00"
79,2025-10-29,282.0,286.8,278.0,279.0,-1.06,"52,858.00","14,892,917.50"
80,2025-10-28,272.0,282.0,272.0,282.0,3.71,"71,226.00","19,838,646.00"
81,2025-10-26,270.1,272.0,270.1,271.9,-0.69,"24,429.00","6,617,357.20"
82,2025-10-19,275.0,275.0,269.0,273.8,1.33,"39,985.00","10,826,247.70"
83,2025-10-16,275.0,275.0,269.0,270.2,-0.66,"60,777.00","16,477,477.40"
84,2025-10-15,275.0,277.0,271.0,272.0,-1.23,"60,586.00","16,563,105.80"
85,2025-10-14,282.0,282.0,275.0,275.4,-1.64,"54,458.00","15,137,601.10"
86,2025-10-13,278.2,280.0,272.8,280.0,0.72,"71,584.00","19,847,014.10"
87,2025-10-12,280.0,282.0,274.5,278.0,-1.45,"149,572.00","41,363,253.30"
88,2025-10-09,285.6,300.0,281.0,282.1,0.75,"114,738.00","32,943,659.00"
89,2025-10-08,285.0,290.0,276.1,280.0,-1.93,"155,349.00","43,447,641.10"
90,2025-10-07,295.0,295.0,285.0,285.5,-2.23,"87,576.00","25,117,130.60"
91,2025-09-28,295.0,295.0,289.1,292.0,0.69,"54,704.00","15,903,603.40"
92,2025-09-25,286.2,291.0,286.2,290.0,0.69,"65,656.00","19,026,027.60"
93,2025-09-24,294.0,294.0,286.0,288.0,-1.34,"55,215.00","15,974,377.30"
94,2025-09-23,291.8,297.0,287.0,291.9,2.03,"127,915.00","37,123,117.80"
95,2025-09-21,260.5,286.1,260.1,286.1,10.0,"228,050.00","64,018,334.10"
96,2025-09-18,281.6,281.6,258.8,260.1,-9.46,"22,003.00","5,758,713.80"
97,2025-09-08,286.1,292.0,284.2,287.28,-0.78,"104,913.00","30,174,814.80"
98,2025-09-07,288.3,291.0,288.3,289.54,-0.3,"50,916.00","14,750,857.00"
99,2025-09-04,290.6,293.0,288.0,290.42,-0.28,"103,704.00","30,038,732.00"
100,2025-09-03,292.0,293.0,291.0,291.24,-0.43,"62,539.00","18,233,036.70"
101,2025-09-02,292.0,294.0,291.0,292.49,0.23,"76,495.00","22,344,331.00"
102,2025-09-01,296.0,296.0,289.0,291.82,0.07,"105,523.00","30,696,265.10"
103,2025-08-31,292.1,295.0,290.6,291.63,-1.06,"102,618.00","30,004,784.70"
104,2025-08-28,299.0,300.0,293.6,294.75,-1.39,"141,601.00","41,966,757.20"
105,2025-08-27,294.5,300.0,291.1,298.89,2.31,"82,744.00","24,517,510.80"
106,2025-08-26,288.0,294.9,288.0,292.15,0.18,"61,205.00","17,854,893.60"
107,2025-08-25,292.0,294.7,289.2,291.62,0.2,"111,248.00","32,325,587.40"
108,2025-08-24,287.1,296.0,287.1,291.03,-0.65,"91,001.00","26,598,054.20"
109,2025-08-21,289.0,300.0,289.0,292.93,-0.52,"102,652.00","30,211,041.40"
110,2025-08-20,294.0,299.1,293.0,294.47,-0.65,"101,467.00","29,998,228.20"
111,2025-08-19,301.0,301.0,296.1,296.4,-0.18,"73,996.00","21,999,103.50"
112,2025-08-18,296.1,299.0,292.9,296.94,0.77,"135,668.00","40,185,238.90"
113,2025-08-17,305.0,305.0,294.2,294.68,-1.54,"129,103.00","38,225,126.70"
114,2025-08-14,300.0,301.7,296.7,299.29,0.44,"110,325.00","33,028,395.40"
115,2025-08-13,295.0,300.0,295.0,297.99,1.04,"182,396.00","54,435,645.60"
116,2025-08-12,299.9,300.0,294.5,294.91,-1.01,"204,350.00","60,543,413.80"
117,2025-08-11,301.0,305.0,297.6,297.92,-0.93,"120,347.00","36,031,402.60"
118,2025-08-07,299.0,301.9,296.0,300.73,1.35,"130,922.00","39,219,468.20"
119,2025-08-06,301.0,301.0,296.2,296.72,-0.75,"178,000.00","53,096,360.30"
120,2025-08-05,306.0,306.9,298.0,298.95,-1.16,"234,095.00","70,286,249.00"
121,2025-08-04,306.9,307.0,299.0,302.46,0.0,"220,706.00","66,600,412.40"
122,2025-08-03,300.3,311.0,300.3,302.47,-1.29,"232,409.00","70,432,386.20"
123,2025-07-31,308.0,312.0,305.6,306.41,-1.26,"316,348.00","97,551,228.60"
124,2025-07-30,318.0,320.0,309.7,310.32,-2.27,"419,018.00","130,941,622.40"
125,2025-07-29,324.0,327.0,315.5,317.53,-0.71,"294,080.00","94,216,222.30"
126,2025-07-28,324.0,324.0,313.2,319.79,-0.21,"516,878.00","163,989,494.20"
127,2025-07-27,330.0,335.0,319.0,320.46,-1.89,"847,098.00","276,667,916.60"
