S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,510.00,517.90,510.00,517.90,0.78,"5,407.00","2,771,995.10"
2,2026-02-26,510.00,515.00,507.0,513.90,0.76,"14,763.00","7,547,934.80"
3,2026-02-25,518.00,519.00,509.0,510.00,0.2,"8,148.00","4,173,449.70"
4,2026-02-24,525.10,534.00,509.0,509.00,-1.15,"5,807.00","2,970,400.70"
5,2026-02-23,507.10,535.50,507.1,514.90,0.16,"6,660.00","3,433,950.60"
6,2026-02-22,515.00,520.00,513.0,514.10,-1.51,"7,617.00","3,930,535.50"
7,2026-02-17,508.00,540.00,508.0,522.00,2.15,"17,349.00","9,024,794.80"
8,2026-02-16,517.00,520.00,505.0,511.00,-1.64,"16,163.00","8,258,018.60"
9,2026-02-12,525.00,530.00,519.0,519.50,-1.63,"20,791.00","10,880,740.50"
10,2026-02-11,531.00,539.00,524.0,528.10,-1.09,"6,621.00","3,510,954.90"
11,2026-02-10,539.00,539.00,528.1,533.90,0.36,"11,909.00","6,318,844.80"
12,2026-02-09,549.50,549.50,531.2,532.00,-1.48,"14,026.00","7,507,513.10"
13,2026-02-08,540.00,549.90,538.0,540.00,0.37,"16,845.00","9,131,800.80"
14,2026-02-05,535.10,545.00,534.0,538.00,0.56,"16,212.00","8,737,246.00"
15,2026-02-04,535.00,542.00,530.0,535.00,0.0,"19,914.00","10,633,278.30"
16,2026-02-03,545.00,549.00,530.0,535.00,-0.94,"14,287.00","7,668,504.80"
17,2026-02-02,551.00,551.00,533.0,540.10,-2.32,"14,863.00","8,080,097.90"
18,2026-02-01,555.00,561.00,543.0,552.90,0.53,"19,415.00","10,674,315.90"
19,2026-01-29,550.00,554.50,545.0,550.00,1.29,"43,787.00","24,136,366.80"
20,2026-01-28,537.00,548.50,535.0,543.00,0.93,"28,880.00","15,649,675.50"
21,2026-01-27,550.30,555.00,537.0,538.00,-1.47,"33,545.00","18,420,798.40"
22,2026-01-26,540.00,550.40,537.0,546.00,1.87,"32,125.00","17,475,418.40"
23,2026-01-25,527.00,538.90,527.0,536.00,1.42,"21,079.00","11,290,718.70"
24,2026-01-22,526.00,535.90,526.0,528.50,-0.28,"22,141.00","11,693,988.50"
25,2026-01-21,539.90,539.90,528.5,530.00,-0.38,"11,527.00","6,125,663.70"
26,2026-01-20,539.50,542.90,529.0,532.00,0.57,"22,259.00","11,936,668.70"
27,2026-01-18,540.00,540.00,525.1,529.00,-0.38,"17,309.00","9,165,669.30"
28,2026-01-14,532.00,556.00,530.1,531.00,0.19,"43,261.00","23,357,323.40"
29,2026-01-13,527.00,537.00,514.0,530.00,-1.3,"66,857.00","34,851,711.30"
30,2026-01-12,547.00,547.00,530.0,537.00,-0.52,"4,964.00","2,649,916.00"
31,2026-01-08,523.00,539.80,523.0,539.80,1.24,"6,117.00","3,256,324.20"
32,2026-01-07,530.00,539.90,528.0,533.20,-0.15,"10,485.00","5,585,702.80"
