S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,785.50,785.50,763.50,770.00,-0.03,"1,373.00","1,055,149.60"
2,2026-02-09,774.00,780.00,770.00,770.20,-0.75,"4,265.00","3,302,352.00"
3,2026-02-08,763.20,782.00,763.20,776.00,0.13,"2,520.00","1,955,000.00"
4,2026-02-05,760.10,784.80,755.00,775.00,0.65,"4,292.00","3,276,352.00"
5,2026-02-04,766.00,780.00,766.00,770.00,0.5,"3,058.00","2,366,408.00"
6,2026-02-03,766.00,791.00,763.00,766.20,-1.64,"5,283.00","4,093,213.10"
7,2026-02-02,774.00,779.90,770.30,779.00,0.65,677.00,"523,733.00"
8,2026-02-01,783.10,790.00,770.00,774.00,-2.4,"6,140.00","4,781,254.80"
9,2026-01-29,793.70,803.00,790.00,793.00,-0.09,"7,306.00","5,818,179.60"
10,2026-01-28,788.00,794.00,780.00,793.70,0.72,"3,214.00","2,532,817.00"
11,2026-01-27,783.00,806.00,783.00,788.00,0.64,"12,535.00","9,972,618.30"
12,2026-01-26,804.00,804.00,780.20,783.00,-1.14,"3,081.00","2,422,616.30"
13,2026-01-25,768.00,806.00,768.00,792.00,2.19,"4,781.00","3,808,730.20"
14,2026-01-22,778.00,791.00,775.00,775.00,-1.27,"7,519.00","5,851,733.40"
15,2026-01-21,801.00,810.00,777.00,785.00,-1.88,"5,126.00","4,062,287.90"
16,2026-01-20,787.00,802.50,759.00,800.00,2.83,"9,577.00","7,526,075.60"
17,2026-01-18,771.10,780.00,770.10,778.00,0.13,"1,947.00","1,510,259.60"
18,2026-01-14,775.00,778.30,762.00,777.00,0.26,"3,275.00","2,522,485.40"
19,2026-01-13,760.00,775.00,760.00,775.00,1.57,"1,067.00","817,597.50"
20,2026-01-12,762.00,774.00,762.00,763.00,0.12,"3,775.00","2,893,954.10"
21,2026-01-08,765.00,770.00,762.00,762.10,-0.7,"2,118.00","1,617,944.30"
22,2026-01-07,778.00,779.00,760.00,767.50,-1.35,"3,080.00","2,360,619.00"
23,2026-01-06,767.00,782.50,767.00,778.00,0.39,"2,742.00","2,127,314.00"
24,2026-01-05,763.00,775.00,760.00,775.00,1.97,"4,934.00","3,775,216.70"
25,2026-01-04,753.10,771.00,753.10,760.00,-0.65,"1,327.00","1,009,698.10"
26,2026-01-01,765.00,780.30,760.00,765.00,0.0,927.00,"710,326.30"
27,2025-12-31,790.50,790.50,765.00,765.00,-1.29,"1,238.00","952,904.00"
28,2025-12-29,751.20,790.00,751.20,775.00,1.83,"6,343.00","4,926,270.40"
29,2025-12-28,775.20,775.20,760.00,761.10,0.14,"1,397.00","1,065,459.20"
30,2025-12-24,785.40,785.40,750.00,760.00,-1.3,"2,855.00","2,159,028.80"
31,2025-12-23,762.00,770.00,755.00,770.00,-0.9,576.00,"439,489.10"
32,2025-12-22,760.00,777.00,750.00,777.00,0.27,"1,406.00","1,071,389.50"
33,2025-12-21,765.10,775.00,761.10,774.90,0.22,"2,497.00","1,922,239.20"
34,2025-12-18,776.00,783.00,772.00,773.20,-1.5,"2,730.00","2,113,689.50"
35,2025-12-17,794.00,809.00,779.00,785.00,0.77,"4,085.00","3,224,560.00"
36,2025-12-16,771.00,780.00,771.00,779.00,-0.63,876.00,"680,790.00"
37,2025-12-15,760.00,783.90,757.10,783.90,1.79,"2,698.00","2,077,279.90"
38,2025-12-14,770.00,777.00,764.00,770.10,-0.89,956.00,"734,953.00"
39,2025-12-11,785.90,798.50,776.10,777.00,-1.13,"3,874.00","3,043,654.80"
