S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,206.00,210.00,203.00,207.90,1.61,"422,129.00","87,395,218.90"
2,2026-02-08,206.0,209.8,204.2,204.6,0.29,"419,827.00","86,917,056.30"
3,2026-02-05,202.0,207.0,198.1,204.0,2.41,"356,998.00","73,017,706.80"
4,2026-02-04,197.0,201.1,195.1,199.2,1.37,"208,207.00","41,164,714.50"
5,2026-02-03,205.0,205.0,196.2,196.5,-3.2,"329,580.00","65,584,536.70"
6,2026-02-02,207.0,209.2,202.2,203.0,-1.46,"200,896.00","41,102,633.30"
7,2026-02-01,207.5,215.0,205.8,206.0,-0.72,"487,787.00","101,953,347.60"
8,2026-01-29,198.0,214.0,198.0,207.5,4.8,"1,237,374.00","258,547,452.90"
9,2026-01-28,193.1,199.7,193.0,198.0,0.51,"259,574.00","50,939,702.80"
10,2026-01-27,202.0,210.0,196.6,197.0,-4.37,"375,868.00","75,622,541.40"
11,2026-01-26,210.0,213.0,200.3,206.0,-0.72,"604,579.00","124,753,779.50"
12,2026-01-25,187.7,208.0,187.7,207.5,8.36,"557,069.00","112,546,358.60"
13,2026-01-22,187.0,192.0,184.6,191.5,3.23,"257,754.00","48,746,191.40"
14,2026-01-21,190.7,190.7,185.0,185.5,-0.8,"202,038.00","37,775,735.90"
15,2026-01-20,182.0,187.5,181.0,187.0,3.89,"288,256.00","53,391,553.30"
16,2026-01-18,182.1,182.1,179.0,180.0,0.78,"98,159.00","17,672,437.60"
17,2026-01-14,178.5,181.0,177.1,178.6,-0.5,"81,935.00","14,713,579.40"
18,2026-01-13,180.0,181.9,178.4,179.5,-0.22,"82,778.00","14,871,567.50"
19,2026-01-12,184.4,184.4,178.4,179.9,-0.5,"95,741.00","17,261,911.40"
20,2026-01-08,177.4,182.0,174.4,180.8,2.49,"151,089.00","26,965,151.80"
21,2026-01-07,177.0,177.8,174.0,176.4,-0.28,"184,821.00","32,477,383.00"
22,2026-01-06,179.0,179.0,176.3,176.9,-0.34,"62,785.00","11,131,266.60"
23,2026-01-05,177.9,178.2,175.5,177.5,0.28,"58,747.00","10,382,858.00"
24,2026-01-04,174.0,180.9,174.0,177.0,-0.06,"57,352.00","10,119,309.20"
25,2026-01-01,178.8,179.0,177.0,177.1,-0.95,"44,697.00","7,925,658.30"
26,2025-12-31,179.0,180.0,176.0,178.8,0.45,"81,675.00","14,642,286.20"
27,2025-12-29,179.9,180.0,177.5,178.0,-0.28,"41,415.00","7,377,249.40"
28,2025-12-28,175.2,179.0,175.2,178.5,2.0,"87,278.00","15,529,860.40"
29,2025-12-24,174.0,176.0,172.1,175.0,0.57,"39,145.00","6,837,498.50"
30,2025-12-23,174.1,175.7,173.2,174.0,-0.51,"47,689.00","8,309,044.30"
31,2025-12-22,177.0,177.0,174.1,174.9,-1.19,"52,785.00","9,234,280.30"
32,2025-12-21,179.0,179.0,175.1,177.0,-0.06,"62,279.00","10,954,062.50"
33,2025-12-18,179.0,179.0,176.1,177.1,-0.34,"51,680.00","9,152,381.10"
34,2025-12-17,178.5,179.0,176.6,177.7,0.11,"86,068.00","15,290,866.20"
35,2025-12-16,179.0,179.0,174.1,177.5,0.91,"73,456.00","12,977,529.50"
36,2025-12-15,177.9,177.9,174.9,175.9,-0.17,"43,601.00","7,653,856.20"
37,2025-12-14,178.0,178.0,175.2,176.2,-0.28,"46,768.00","8,234,048.80"
38,2025-12-11,174.0,177.8,174.0,176.7,-0.11,"63,995.00","11,287,714.70"
39,2025-12-10,179.0,179.1,176.0,176.9,-0.62,"49,908.00","8,848,988.50"
40,2025-12-09,180.0,180.0,176.8,178.0,0.0,"60,455.00","10,739,551.30"
41,2025-12-08,177.3,180.0,176.4,178.0,-0.5,"87,285.00","15,547,572.30"
42,2025-12-07,180.0,182.0,178.0,178.9,-1.16,"89,621.00","16,055,004.80"
43,2025-12-03,185.3,185.3,180.2,181.0,-0.39,"78,853.00","14,261,972.10"
44,2025-12-02,180.0,182.6,180.0,181.7,0.22,"68,188.00","12,366,898.20"
45,2025-12-01,180.0,182.9,180.0,181.3,0.11,"66,062.00","11,983,632.80"
46,2025-11-30,181.0,185.0,178.8,181.1,-0.66,"124,853.00","22,743,995.00"
47,2025-11-27,178.1,182.8,178.1,182.3,0.39,"182,994.00","33,332,417.10"
48,2025-11-26,183.5,183.5,180.0,181.6,-0.22,"105,931.00","19,230,088.10"
49,2025-11-25,185.6,185.6,180.1,182.0,0.0,"120,571.00","21,853,216.30"
50,2025-11-24,182.0,184.4,181.5,182.0,0.55,"102,250.00","18,687,990.00"
51,2025-11-23,179.0,182.5,179.0,181.0,1.74,"149,180.00","26,982,822.90"
52,2025-11-20,181.0,181.0,176.1,177.9,-0.95,"89,992.00","16,063,862.70"
53,2025-11-19,180.5,182.0,178.6,179.6,-0.77,"80,077.00","14,372,838.30"
54,2025-11-18,180.0,182.0,180.0,181.0,1.4,"60,578.00","10,967,066.60"
55,2025-11-17,178.0,180.7,178.0,178.5,0.28,"63,737.00","11,439,561.40"
56,2025-11-16,175.0,180.0,175.0,178.0,0.56,"86,074.00","15,407,744.90"
57,2025-11-13,176.0,178.9,175.0,177.0,0.0,"65,759.00","11,636,415.20"
58,2025-11-12,181.0,181.0,176.5,177.0,-1.12,"75,582.00","13,440,369.50"
59,2025-11-11,180.0,181.0,177.0,179.0,0.56,"52,389.00","9,392,943.10"
60,2025-11-10,180.0,180.0,177.0,178.0,-0.34,"51,758.00","9,230,633.80"
61,2025-11-09,183.0,183.0,178.5,178.6,-1.33,"57,202.00","10,256,343.00"
62,2025-11-06,183.5,183.5,180.0,181.0,-0.66,"86,482.00","15,649,937.80"
63,2025-11-05,183.0,185.0,181.5,182.2,-0.87,"38,790.00","7,074,061.60"
64,2025-11-04,187.0,187.0,182.3,183.8,-1.08,"52,318.00","9,616,981.20"
65,2025-11-03,190.0,190.0,184.2,185.8,-0.64,"101,233.00","18,895,276.90"
66,2025-11-02,182.5,189.7,182.0,187.0,2.52,"106,629.00","19,856,724.60"
67,2025-10-30,185.0,185.0,177.8,182.4,0.05,"78,958.00","14,365,389.00"
68,2025-10-29,185.0,186.7,180.0,182.3,-0.11,"92,829.00","17,086,986.90"
69,2025-10-28,176.0,183.0,175.0,182.5,3.69,"81,081.00","14,585,938.60"
70,2025-10-26,177.0,178.0,173.5,176.0,-0.56,"54,992.00","9,599,342.90"
71,2025-10-19,179.0,179.0,174.7,177.0,0.85,"48,174.00","8,518,686.60"
72,2025-10-16,178.0,180.0,175.5,175.5,-1.4,"55,863.00","9,860,537.00"
73,2025-10-15,180.0,180.0,175.7,178.0,-0.67,"77,118.00","13,681,842.00"
74,2025-10-14,181.5,183.9,179.2,179.2,-1.48,"59,481.00","10,754,029.00"
75,2025-10-13,182.0,184.3,178.5,181.9,-0.05,"89,376.00","16,249,119.80"
76,2025-10-12,186.0,187.0,180.0,182.0,-2.15,"129,206.00","23,496,441.90"
77,2025-10-09,184.6,195.7,184.6,186.0,2.76,"127,902.00","24,088,865.20"
78,2025-10-08,188.9,189.0,180.0,181.0,-4.23,"228,636.00","41,587,295.10"
79,2025-10-07,190.0,192.0,186.0,189.0,-2.33,"133,187.00","25,081,209.70"
80,2025-09-28,194.0,195.8,191.1,193.5,0.78,"66,858.00","12,845,900.10"
81,2025-09-25,193.0,195.0,190.0,192.0,-0.83,"72,903.00","14,005,027.90"
82,2025-09-24,200.0,200.0,190.0,193.6,-2.81,"107,851.00","20,964,577.40"
83,2025-09-23,187.3,199.2,186.0,199.2,8.44,"283,139.00","55,311,305.40"
84,2025-09-21,164.0,183.7,164.0,183.7,10.0,"300,743.00","53,908,480.90"
85,2025-09-18,180.5,180.5,167.0,167.0,-9.29,"40,058.00","6,838,818.10"
86,2025-09-08,188.7,189.0,184.0,184.1,-2.03,"122,783.00","22,713,241.20"
87,2025-09-07,185.2,190.0,185.2,187.91,-0.53,"217,764.00","40,983,714.50"
88,2025-09-04,192.0,192.0,187.9,188.92,-0.86,"184,613.00","34,818,733.10"
89,2025-09-03,195.0,195.0,190.2,190.56,-1.38,"148,580.00","28,475,787.00"
90,2025-09-02,199.0,199.0,193.0,193.23,-1.13,"147,169.00","28,600,508.90"
91,2025-09-01,198.6,198.6,195.0,195.44,-0.61,"127,488.00","24,932,177.50"
92,2025-08-31,198.5,199.5,196.1,196.64,-0.95,"136,945.00","27,041,131.70"
93,2025-08-28,201.0,202.0,198.0,198.52,-0.39,"141,798.00","28,261,387.40"
94,2025-08-27,201.0,201.0,197.6,199.29,0.36,"194,173.00","38,601,253.90"
95,2025-08-26,200.0,201.0,198.2,198.58,-0.18,"84,326.00","16,786,061.10"
96,2025-08-25,197.1,200.0,197.1,198.93,0.82,"120,674.00","23,969,375.30"
97,2025-08-24,202.0,202.0,197.0,197.31,-1.14,"207,247.00","41,242,137.40"
98,2025-08-21,199.0,206.0,196.0,199.59,-1.37,"714,789.00","141,955,069.30"
99,2025-08-20,205.0,207.0,202.0,202.37,-0.29,"122,174.00","24,784,862.80"
100,2025-08-19,204.5,207.0,202.0,202.96,-0.67,"205,440.00","41,923,619.80"
101,2025-08-18,203.6,210.0,197.9,204.33,2.32,"587,716.00","119,483,246.50"
102,2025-08-17,202.0,204.3,199.0,199.69,-0.35,"547,124.00","109,909,192.60"
103,2025-08-14,205.0,206.0,195.0,200.4,-0.96,"1,853,556.00","368,418,918.10"
104,2025-08-13,212.7,212.7,201.0,202.35,-3.45,"1,667,514.00","341,121,096.40"
105,2025-08-12,212.0,215.5,209.0,209.59,-0.8,"261,460.00","55,075,548.30"
106,2025-08-11,222.3,222.3,209.0,211.27,-3.09,"784,628.00","167,118,504.10"
107,2025-08-07,220.9,229.0,217.3,218.01,0.66,"468,475.00","102,975,250.60"
108,2025-08-06,214.0,227.0,211.9,216.57,2.5,"1,057,048.00","232,065,947.30"
109,2025-08-05,212.0,215.9,211.0,211.29,-0.78,"127,522.00","27,064,759.00"
110,2025-08-04,210.0,215.0,210.0,212.96,0.04,"137,028.00","29,197,687.30"
111,2025-08-03,215.0,216.8,212.0,212.87,-1.48,"315,598.00","67,496,064.00"
112,2025-07-31,215.8,219.4,215.5,216.06,-0.72,"216,653.00","46,950,453.50"
113,2025-07-30,216.3,223.0,216.3,217.63,-1.36,"219,904.00","48,145,135.00"
114,2025-07-29,224.0,224.0,220.0,220.63,0.44,"252,478.00","56,037,372.20"
115,2025-07-28,221.0,222.0,216.7,219.66,-0.45,"277,281.00","60,698,296.20"
116,2025-07-27,224.5,228.9,220.0,220.66,-1.7,"561,935.00","125,982,128.50"
117,2025-07-24,228.0,229.0,223.0,224.48,-0.23,"465,492.00","104,861,438.90"
118,2025-07-23,221.0,227.4,219.0,224.99,2.58,"717,381.00","160,588,391.40"
119,2025-07-22,220.0,222.0,217.0,219.33,0.32,"411,124.00","90,078,459.00"
120,2025-07-21,220.0,220.9,216.2,218.63,-0.4,"200,063.00","43,770,592.60"
121,2025-07-20,216.0,224.0,215.2,219.5,1.75,"763,891.00","168,785,412.80"
122,2025-07-17,214.9,217.0,211.0,215.73,2.37,"337,693.00","72,630,294.40"
123,2025-07-16,214.0,214.0,210.0,210.74,-0.01,"244,488.00","51,486,182.30"
124,2025-07-15,214.5,214.5,209.4,210.77,0.2,"125,509.00","26,457,645.40"
125,2025-07-14,213.0,213.0,210.0,210.35,-0.59,"109,737.00","23,139,140.10"
126,2025-07-13,214.6,218.8,211.0,211.59,0.55,"175,776.00","37,441,236.60"
127,2025-07-10,212.0,213.8,210.1,210.44,-0.71,"150,162.00","31,698,217.10"
128,2025-07-09,213.0,213.0,210.1,211.94,0.34,"89,102.00","18,890,242.30"
129,2025-07-08,212.0,212.0,210.0,211.23,0.16,"113,249.00","23,850,293.90"
130,2025-07-07,209.0,216.0,209.0,210.89,-0.87,"103,100.00","21,844,633.20"
131,2025-07-06,216.0,216.0,212.0,212.75,-0.49,"219,360.00","46,903,843.90"
132,2025-07-03,216.0,218.0,213.5,213.79,-1.29,"198,509.00","42,679,208.40"
133,2025-07-02,215.3,224.0,215.3,216.59,-1.37,"308,411.00","67,687,230.90"
134,2025-07-01,217.0,220.3,215.0,219.6,2.16,"597,248.00","130,862,406.50"
135,2025-06-30,202.2,217.0,202.2,214.95,4.2,"703,021.00","147,387,602.60"
136,2025-06-29,209.0,210.0,205.5,206.28,-0.61,"185,443.00","38,322,295.40"
137,2025-06-26,208.0,210.0,206.6,207.55,0.26,"179,182.00","37,299,168.20"
138,2025-06-25,206.0,209.5,206.0,207.02,-0.45,"143,366.00","29,715,048.00"
139,2025-06-24,210.5,210.9,207.5,207.96,-0.21,"194,579.00","40,587,190.40"
140,2025-06-23,210.1,211.0,208.0,208.39,-0.53,"145,123.00","30,311,863.90"
141,2025-06-22,214.8,214.8,209.1,209.5,-0.92,"251,321.00","52,836,221.60"
142,2025-06-19,213.9,214.8,211.0,211.44,-0.46,"272,986.00","57,969,878.40"
143,2025-06-18,212.0,215.5,210.1,212.41,0.35,"196,163.00","41,739,305.70"
144,2025-06-17,215.0,215.0,211.1,211.66,-0.16,"133,195.00","28,284,269.70"
145,2025-06-16,215.0,215.0,211.5,212.0,-0.49,"237,108.00","50,586,283.80"
146,2025-06-15,214.0,218.0,212.7,213.04,-0.59,"244,959.00","52,530,145.20"
147,2025-06-12,214.0,218.9,213.0,214.31,0.76,"337,002.00","72,895,305.10"
148,2025-06-11,214.0,215.0,211.2,212.7,-0.3,"181,039.00","38,481,780.60"
149,2025-06-10,213.4,214.6,212.0,213.34,0.88,"233,063.00","49,694,264.10"
150,2025-06-09,213.0,213.3,210.0,211.48,0.41,"239,330.00","50,699,473.80"
151,2025-06-08,211.0,212.5,209.6,210.62,0.53,"235,382.00","49,646,000.60"
152,2025-06-05,210.5,213.7,209.0,209.51,-0.82,"251,658.00","52,931,464.30"
153,2025-06-04,214.0,214.0,210.0,211.25,-0.77,"170,281.00","36,030,821.50"
154,2025-06-03,215.0,216.5,211.9,212.88,-0.8,"208,007.00","44,359,111.00"
155,2025-06-02,218.8,218.8,213.6,214.6,0.04,"273,991.00","58,904,612.00"
156,2025-05-28,218.0,218.0,213.0,214.52,-0.5,"484,935.00","103,842,926.70"
157,2025-05-27,212.5,219.6,212.5,215.6,-0.53,"146,409.00","31,628,975.80"
158,2025-05-26,220.9,225.0,216.0,216.74,0.04,"141,844.00","30,973,661.30"
159,2025-05-25,217.9,220.0,215.0,216.65,-0.54,"237,541.00","51,445,922.30"
160,2025-05-22,220.0,221.2,217.1,217.82,-0.34,"203,827.00","44,515,246.30"
161,2025-05-21,225.6,230.1,218.0,218.57,-1.22,"253,165.00","56,438,155.70"
162,2025-05-20,215.0,222.3,215.0,221.27,2.77,"234,258.00","51,178,015.30"
163,2025-05-19,215.0,218.8,214.0,215.3,-0.11,"273,979.00","59,063,503.20"
164,2025-05-18,221.4,221.4,215.2,215.54,-0.7,"206,505.00","44,661,221.90"
165,2025-05-15,220.0,220.0,216.3,217.07,-0.52,"250,905.00","54,588,029.90"
166,2025-05-14,215.2,222.0,215.2,218.2,-0.59,"349,529.00","76,318,620.90"
167,2025-05-13,220.0,226.0,219.0,219.49,-0.94,"308,252.00","68,085,940.10"
168,2025-05-11,229.0,230.0,221.0,221.58,-2.32,"391,155.00","87,788,887.80"
169,2025-05-08,229.0,229.9,223.0,226.85,1.04,"623,183.00","141,321,868.60"
170,2025-05-07,219.9,227.9,219.0,224.52,2.59,"601,632.00","134,797,779.90"
171,2025-05-06,220.0,221.0,217.9,218.85,0.18,"337,105.00","73,821,596.50"
172,2025-05-05,223.0,224.0,218.0,218.46,-0.93,"327,861.00","71,792,556.40"
173,2025-05-04,225.0,225.3,220.0,220.51,-0.23,"394,641.00","87,722,880.00"
174,2025-04-30,218.0,223.0,216.5,221.02,1.5,"479,296.00","105,683,335.00"
175,2025-04-29,227.0,227.0,217.3,217.76,-2.37,"482,378.00","106,056,534.80"
176,2025-04-28,220.0,227.0,220.0,223.04,1.25,"588,236.00","131,972,382.00"
177,2025-04-27,220.8,227.0,219.0,220.29,1.28,"728,854.00","162,233,839.40"
178,2025-04-24,215.0,220.9,213.6,217.51,0.63,"642,792.00","139,622,024.40"
179,2025-04-23,222.0,224.9,214.7,216.15,-2.71,"1,004,689.00","219,280,233.40"
180,2025-04-22,225.0,227.0,222.0,222.17,-1.1,"691,652.00","154,921,773.10"
181,2025-04-21,228.0,232.0,224.1,224.64,-1.25,"1,205,420.00","273,187,482.90"
182,2025-04-20,240.5,240.5,220.8,227.49,-7.27,"2,483,763.00","566,793,809.60"
183,2025-04-17,258.5,266.1,244.0,245.32,-3.23,"990,972.00","251,946,555.50"
