S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,351.20,378.80,351.20,373.30,8.39,"388,463.00","145,092,526.60"
2,2026-02-16,313.1,344.4,313.1,344.4,10.0,"13,585.00","4,673,758.00"
3,2026-02-12,546.0,547.0,526.0,526.2,-1.83,"183,891.00","97,998,314.10"
4,2026-02-11,543.8,544.2,530.2,536.0,0.45,"33,570.00","17,991,026.90"
5,2026-02-10,530.0,540.0,520.0,533.6,1.06,"39,720.00","21,009,861.90"
6,2026-02-09,552.0,556.0,524.0,528.0,-3.65,"112,250.00","60,244,446.40"
7,2026-02-08,569.1,613.8,548.0,548.0,-1.79,"122,677.00","68,786,311.60"
8,2026-02-05,573.2,599.6,558.0,558.0,-0.71,"323,512.00","187,908,073.50"
9,2026-02-04,565.0,575.0,559.2,562.0,-0.18,"51,564.00","29,241,070.80"
10,2026-02-03,552.0,579.0,541.1,563.0,2.18,"62,141.00","35,027,977.10"
11,2026-02-02,555.1,559.9,538.0,551.0,-2.3,"43,550.00","24,005,776.90"
12,2026-02-01,559.6,572.0,550.5,564.0,-1.23,"73,784.00","41,438,252.70"
13,2026-01-29,580.0,595.0,556.0,571.0,-3.2,"72,419.00","41,581,880.90"
14,2026-01-28,549.0,594.7,535.0,589.9,9.04,"186,260.00","105,816,249.20"
15,2026-01-27,520.1,542.0,520.0,541.0,2.46,"79,174.00","42,344,865.00"
16,2026-01-26,524.0,528.0,515.1,528.0,0.61,"64,914.00","33,843,379.10"
17,2026-01-25,514.0,525.0,507.3,524.8,3.69,"70,069.00","36,373,572.10"
18,2026-01-22,489.0,506.1,483.0,506.1,4.85,"49,458.00","24,670,480.30"
19,2026-01-21,476.3,494.0,475.2,482.7,2.05,"41,365.00","19,881,594.20"
20,2026-01-20,462.0,479.5,461.1,473.0,2.78,"21,332.00","10,087,058.50"
21,2026-01-18,455.0,462.0,455.0,460.2,1.19,"15,983.00","7,337,435.90"
22,2026-01-14,450.0,460.0,448.0,454.8,0.89,"9,788.00","4,439,525.90"
23,2026-01-13,440.0,452.0,440.0,450.8,0.85,"7,412.00","3,322,271.70"
24,2026-01-12,455.0,456.9,445.3,447.0,-0.67,"5,778.00","2,594,695.50"
25,2026-01-08,450.0,454.0,447.6,450.0,-1.1,"10,527.00","4,729,711.80"
26,2026-01-07,460.0,464.0,450.0,455.0,-1.52,"13,090.00","5,947,885.20"
27,2026-01-06,467.0,473.0,458.3,462.0,-0.65,"15,599.00","7,254,277.10"
28,2026-01-05,442.1,470.0,442.1,465.0,4.97,"26,135.00","11,941,244.50"
29,2026-01-04,433.1,446.0,433.1,443.0,0.91,"5,046.00","2,232,218.40"
30,2026-01-01,439.0,447.5,437.1,439.0,-0.45,"5,058.00","2,226,426.80"
31,2025-12-31,445.0,448.6,441.0,441.0,0.23,"3,930.00","1,745,974.00"
32,2025-12-29,450.0,450.0,440.0,440.0,-0.54,"11,787.00","5,239,263.70"
33,2025-12-28,437.1,442.8,437.1,442.4,1.28,"6,339.00","2,794,322.00"
34,2025-12-24,430.3,438.0,430.3,436.8,0.23,"2,812.00","1,225,069.20"
35,2025-12-23,430.5,436.9,430.5,435.8,-0.05,"5,685.00","2,464,573.90"
36,2025-12-22,436.0,437.8,433.0,436.0,-0.48,"4,717.00","2,052,209.00"
37,2025-12-21,436.1,440.0,436.1,438.1,-0.88,"3,773.00","1,652,053.50"
38,2025-12-18,438.0,444.9,437.5,442.0,-0.23,"9,075.00","3,990,779.80"
39,2025-12-17,445.0,445.0,440.0,443.0,0.23,"5,750.00","2,545,220.00"
40,2025-12-16,433.5,443.9,433.5,442.0,0.48,"2,022.00","886,167.00"
41,2025-12-15,430.0,440.0,430.0,439.9,0.87,"1,581.00","689,763.00"
42,2025-12-14,435.1,442.0,435.1,436.1,-1.51,"4,080.00","1,789,559.00"
43,2025-12-11,435.1,442.9,435.0,442.8,0.18,"3,275.00","1,434,560.50"
44,2025-12-10,447.0,447.0,435.8,442.0,0.23,"4,985.00","2,186,791.50"
45,2025-12-09,430.1,450.0,430.1,441.0,0.52,"3,843.00","1,694,053.40"
46,2025-12-08,430.4,439.5,430.4,438.7,-0.07,"2,997.00","1,307,223.20"
47,2025-12-07,443.6,445.1,430.0,439.0,-1.75,"14,405.00","6,279,910.30"
48,2025-12-03,450.0,452.0,443.3,446.8,0.34,"10,087.00","4,498,773.00"
49,2025-12-02,455.0,455.0,442.2,445.3,-1.02,"13,337.00","5,995,105.30"
50,2025-12-01,443.0,454.0,440.2,449.9,-0.46,"5,202.00","2,320,875.70"
51,2025-11-30,442.1,459.0,442.1,452.0,0.22,"7,135.00","3,194,161.60"
52,2025-11-27,451.0,453.0,443.3,451.0,0.22,"16,340.00","7,316,430.30"
53,2025-11-26,437.0,450.0,437.0,450.0,1.81,"7,211.00","3,221,728.10"
54,2025-11-25,446.0,454.9,440.0,442.0,-0.9,"5,681.00","2,514,337.00"
55,2025-11-24,440.0,449.0,440.0,446.0,0.9,"12,470.00","5,553,670.80"
56,2025-11-23,437.9,444.9,429.2,442.0,2.81,"13,920.00","6,115,291.40"
57,2025-11-20,420.6,431.2,420.6,429.9,1.08,"8,765.00","3,741,947.20"
58,2025-11-19,436.0,439.9,423.5,425.3,-1.55,"1,785.00","759,504.50"
59,2025-11-18,430.0,433.9,426.0,432.0,1.89,"5,726.00","2,459,265.50"
60,2025-11-17,420.1,425.0,419.2,424.0,0.95,"6,218.00","2,623,495.50"
61,2025-11-16,420.0,425.0,416.5,420.0,-0.07,"5,605.00","2,356,391.20"
62,2025-11-13,420.0,423.0,414.3,420.3,0.1,"3,408.00","1,428,858.30"
63,2025-11-12,415.6,419.9,414.0,419.9,-0.97,"10,463.00","4,347,159.50"
64,2025-11-11,417.0,426.0,416.0,424.0,0.0,"10,007.00","4,195,846.40"
65,2025-11-10,432.0,432.0,418.4,424.0,-1.05,"5,413.00","2,295,032.10"
66,2025-11-09,428.0,430.0,420.0,428.5,-1.27,"12,993.00","5,479,560.40"
67,2025-11-06,440.6,440.6,426.0,434.0,0.02,"5,699.00","2,442,719.90"
68,2025-11-05,421.2,434.8,421.2,433.9,1.14,"1,660.00","713,859.20"
69,2025-11-04,430.0,440.0,423.1,429.0,-2.19,"16,266.00","6,977,238.00"
70,2025-11-03,435.0,447.0,430.0,438.6,-0.09,"9,654.00","4,229,907.50"
71,2025-11-02,430.0,455.0,430.0,439.0,0.25,"21,830.00","9,621,688.20"
72,2025-10-30,420.5,439.0,412.1,437.9,2.07,"10,658.00","4,599,777.70"
73,2025-10-29,436.9,436.9,415.0,429.0,-0.23,"7,660.00","3,225,647.00"
74,2025-10-28,408.9,431.4,408.9,430.0,7.23,"6,128.00","2,564,030.30"
75,2025-10-26,401.0,403.0,393.0,401.0,-1.6,"3,106.00","1,233,216.00"
76,2025-10-19,411.0,411.0,396.0,407.5,1.12,"2,470.00","989,571.00"
77,2025-10-16,415.0,429.0,395.1,403.0,-4.05,"15,761.00","6,339,744.40"
78,2025-10-15,446.7,446.7,420.0,420.0,-4.11,"5,768.00","2,460,758.50"
79,2025-10-14,444.7,448.9,430.4,438.0,-1.51,"7,122.00","3,072,901.20"
80,2025-10-13,430.0,445.7,430.0,444.7,1.76,"2,306.00","1,013,299.00"
81,2025-10-12,465.0,465.0,431.2,437.0,-6.02,"16,700.00","7,333,005.90"
82,2025-10-09,477.3,480.0,461.3,465.0,-0.64,"15,121.00","7,100,009.90"
83,2025-10-08,492.0,492.0,455.0,468.0,-2.99,"18,014.00","8,367,301.50"
84,2025-10-07,496.7,499.8,472.1,482.4,-0.94,"6,939.00","3,323,871.60"
85,2025-09-28,487.9,495.5,481.0,487.0,-0.18,"7,898.00","3,832,979.00"
86,2025-09-25,485.2,494.9,483.1,487.9,-1.23,"6,000.00","2,921,718.10"
87,2025-09-24,490.0,498.7,485.0,494.0,-0.8,"5,156.00","2,542,479.90"
88,2025-09-23,489.4,498.7,481.1,498.0,3.61,"4,969.00","2,441,295.20"
89,2025-09-21,457.0,492.0,451.0,480.64,4.03,"9,277.00","4,384,166.00"
90,2025-09-18,469.9,469.9,462.0,462.0,-3.64,"1,000.00","468,320.00"
91,2025-09-08,486.0,503.2,477.0,479.46,-2.82,"18,318.00","8,872,585.50"
92,2025-09-07,500.0,503.8,493.0,493.36,-1.26,"13,434.00","6,677,100.60"
93,2025-09-04,482.8,501.9,482.8,499.67,1.42,"6,617.00","3,261,875.40"
94,2025-09-03,505.0,507.0,490.0,492.65,-1.82,"16,612.00","8,270,050.60"
95,2025-09-02,502.4,515.8,500.2,501.8,-0.94,"11,893.00","5,996,733.70"
96,2025-09-01,506.0,512.0,505.0,506.58,0.16,"13,155.00","6,679,933.70"
97,2025-08-31,507.4,517.5,502.0,505.75,-2.31,"14,723.00","7,497,123.60"
98,2025-08-28,511.8,526.0,511.8,517.73,-0.86,"14,074.00","7,294,096.40"
99,2025-08-27,502.9,524.0,502.9,522.2,1.77,"11,055.00","5,737,335.00"
100,2025-08-26,505.7,526.0,505.7,513.13,-0.55,"14,722.00","7,582,559.10"
101,2025-08-25,522.0,526.0,514.5,515.97,-0.58,"12,293.00","6,376,497.50"
102,2025-08-24,519.0,530.0,518.0,519.0,-0.42,"13,197.00","6,866,252.30"
103,2025-08-21,521.2,535.9,517.4,521.18,-1.28,"23,007.00","12,080,377.90"
104,2025-08-20,522.0,540.0,522.0,527.92,-0.87,"11,101.00","5,905,584.90"
105,2025-08-19,544.0,544.0,529.0,532.58,-0.27,"16,154.00","8,619,417.90"
106,2025-08-18,515.0,537.0,515.0,534.0,1.83,"22,624.00","12,057,145.40"
107,2025-08-17,515.0,544.0,515.0,524.39,1.15,"15,603.00","8,227,146.00"
108,2025-08-14,515.7,536.0,515.7,518.42,-1.47,"17,154.00","8,978,279.90"
109,2025-08-13,541.0,549.9,523.0,526.17,-0.92,"17,168.00","9,104,807.40"
110,2025-08-12,530.6,549.3,523.5,531.03,-1.91,"18,570.00","9,944,030.00"
