S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,291.00,293.90,280.20,280.50,-3.61,"89,403.00","25,398,404.20"
2,2026-02-16,298.0,308.0,291.0,291.0,-2.02,"82,442.00","24,279,871.00"
3,2026-02-12,300.0,306.0,295.1,297.0,0.68,"170,303.00","51,324,820.50"
4,2026-02-11,298.6,302.5,292.8,295.0,0.72,"83,679.00","24,731,977.90"
5,2026-02-10,292.9,308.0,287.1,292.9,1.74,"169,091.00","49,989,294.50"
6,2026-02-09,297.8,297.8,285.0,287.9,-2.41,"147,558.00","42,760,098.20"
7,2026-02-08,297.9,309.0,292.4,295.0,-1.01,"137,920.00","41,015,369.60"
8,2026-02-05,285.0,308.0,280.1,298.0,6.43,"354,438.00","105,192,858.80"
9,2026-02-04,282.0,282.0,275.0,280.0,1.08,"51,384.00","14,323,955.40"
10,2026-02-03,280.0,284.0,276.0,277.0,-0.72,"62,358.00","17,382,202.00"
11,2026-02-02,287.0,287.0,278.0,279.0,-1.41,"66,913.00","18,836,073.80"
12,2026-02-01,285.0,292.7,282.0,283.0,-1.39,"60,974.00","17,411,496.80"
13,2026-01-29,288.0,297.8,285.1,287.0,1.45,"195,608.00","57,218,138.00"
14,2026-01-28,278.0,286.9,275.4,282.9,1.4,"84,154.00","23,601,104.70"
15,2026-01-27,291.6,295.0,277.1,279.0,-2.45,"153,123.00","43,739,384.90"
16,2026-01-26,285.0,294.6,282.1,286.0,-1.0,"119,421.00","34,304,006.60"
17,2026-01-25,284.8,294.0,280.0,288.9,3.36,"96,741.00","27,807,054.30"
18,2026-01-22,279.9,283.4,275.1,279.5,0.9,"60,951.00","17,018,675.30"
19,2026-01-21,279.0,282.5,274.5,277.0,1.13,"128,073.00","35,729,521.30"
20,2026-01-20,273.0,277.0,270.5,273.9,2.2,"84,550.00","23,119,289.70"
21,2026-01-18,270.0,275.9,267.7,268.0,-0.45,"60,456.00","16,394,554.70"
22,2026-01-14,270.0,277.0,264.6,269.2,1.62,"128,761.00","35,058,679.10"
23,2026-01-13,258.0,265.0,257.0,264.9,3.15,"82,602.00","21,712,408.40"
24,2026-01-12,257.0,267.3,256.2,256.8,-0.85,"19,695.00","5,095,838.80"
25,2026-01-08,250.0,262.4,250.0,259.0,1.65,"60,322.00","15,610,511.50"
26,2026-01-07,256.0,260.9,252.0,254.8,0.71,"21,628.00","5,522,152.50"
27,2026-01-06,262.1,263.0,253.0,253.0,-1.56,"45,721.00","11,793,545.50"
28,2026-01-05,253.0,259.2,252.2,257.0,1.1,"27,681.00","7,088,929.70"
29,2026-01-04,253.0,260.0,252.9,254.2,-0.97,"10,625.00","2,706,048.00"
30,2026-01-01,264.0,264.0,254.8,256.7,-1.65,"37,493.00","9,617,847.50"
31,2025-12-31,250.4,264.0,250.4,261.0,2.63,"55,493.00","14,474,287.50"
32,2025-12-29,260.0,263.0,254.3,254.3,-2.23,"25,215.00","6,497,490.00"
33,2025-12-28,258.0,261.0,253.6,260.1,2.4,"46,653.00","12,009,125.50"
34,2025-12-24,250.0,257.9,249.1,254.0,2.42,"21,130.00","5,313,199.00"
35,2025-12-23,253.8,253.8,245.0,248.0,-0.8,"30,957.00","7,682,622.20"
36,2025-12-22,250.0,254.0,249.0,250.0,-1.54,"31,283.00","7,837,263.80"
37,2025-12-21,254.0,256.7,249.5,253.9,0.36,"31,969.00","8,076,500.10"
38,2025-12-18,259.1,260.9,253.0,253.0,-2.69,"44,850.00","11,483,902.10"
39,2025-12-17,260.1,264.8,258.0,260.0,-0.42,"38,450.00","10,000,035.80"
40,2025-12-16,263.0,266.0,258.0,261.1,-0.19,"23,744.00","6,185,220.00"
41,2025-12-15,256.0,263.8,256.0,261.6,1.99,"38,554.00","10,022,273.70"
42,2025-12-14,265.5,266.0,256.4,256.5,-2.77,"31,045.00","8,058,369.80"
43,2025-12-11,258.2,265.0,256.1,263.8,2.17,"38,863.00","10,151,335.60"
44,2025-12-10,260.1,265.0,258.2,258.2,-0.73,"26,902.00","7,006,216.50"
45,2025-12-09,266.0,266.0,260.1,260.1,-0.65,"32,766.00","8,586,729.60"
46,2025-12-08,268.6,268.6,261.1,261.8,-0.61,"24,412.00","6,433,002.60"
47,2025-12-07,265.7,268.0,263.0,263.4,-1.31,"34,816.00","9,213,933.60"
48,2025-12-03,277.4,277.4,265.6,266.9,-1.88,"49,110.00","13,228,771.40"
49,2025-12-02,271.3,274.0,268.1,272.0,2.26,"49,683.00","13,496,540.90"
50,2025-12-01,268.1,273.9,263.3,266.0,0.34,"45,439.00","12,177,729.20"
51,2025-11-30,279.0,279.0,265.0,265.1,-3.49,"82,375.00","22,333,699.20"
52,2025-11-27,285.0,285.0,274.7,274.7,-2.52,"69,892.00","19,426,739.50"
53,2025-11-26,283.0,283.9,276.4,281.8,-0.39,"91,975.00","25,757,021.00"
54,2025-11-25,271.5,282.9,270.1,282.9,3.36,"132,344.00","36,880,667.90"
55,2025-11-24,282.5,282.5,270.5,273.7,-1.19,"94,305.00","26,005,521.50"
56,2025-11-23,255.4,279.0,255.4,277.0,6.29,"185,273.00","50,712,994.30"
57,2025-11-20,250.0,263.8,250.0,260.6,2.6,"76,715.00","19,931,618.60"
58,2025-11-19,254.2,262.5,252.6,254.0,-1.93,"37,722.00","9,707,230.50"
59,2025-11-18,250.9,261.9,250.9,259.0,1.17,"49,633.00","12,865,666.50"
60,2025-11-17,246.1,256.9,246.1,256.0,3.77,"44,633.00","11,269,657.90"
61,2025-11-16,248.8,249.0,240.2,246.7,1.11,"25,787.00","6,339,360.20"
62,2025-11-13,240.1,247.4,240.1,244.0,-0.41,"14,090.00","3,454,838.90"
63,2025-11-12,251.4,251.4,243.7,245.0,-1.21,"15,060.00","3,708,331.70"
64,2025-11-11,247.4,249.9,242.2,248.0,2.06,"13,097.00","3,212,873.10"
65,2025-11-10,241.2,249.0,240.0,243.0,-1.22,"43,597.00","10,591,693.20"
66,2025-11-09,252.8,252.8,244.3,246.0,-0.77,"23,841.00","5,896,942.40"
67,2025-11-06,250.0,255.3,246.2,247.9,-0.6,"31,236.00","7,808,714.70"
68,2025-11-05,245.0,254.0,243.0,249.4,-0.24,"35,724.00","8,812,391.90"
69,2025-11-04,258.9,260.0,248.2,250.0,-3.44,"34,321.00","8,659,357.70"
70,2025-11-03,253.1,267.2,253.1,258.9,0.27,"64,554.00","16,670,395.10"
71,2025-11-02,256.9,265.4,250.0,258.2,2.5,"68,113.00","17,584,585.00"
72,2025-10-30,245.8,252.8,239.5,251.9,4.52,"48,602.00","12,065,834.50"
73,2025-10-29,249.3,252.0,240.7,241.0,-1.43,"40,295.00","9,895,307.30"
74,2025-10-28,232.0,244.6,230.0,244.5,5.66,"45,972.00","10,911,196.40"
75,2025-10-26,231.5,231.5,223.4,231.4,0.61,"22,596.00","5,113,812.50"
