S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,736.90,795.00,735.00,738.00,-1.73,"11,613.00","8,686,216.70"
2,2026-02-08,759.3,804.0,751.0,751.0,-2.97,"30,521.00","23,340,274.20"
3,2026-02-05,709.3,774.0,709.3,774.0,7.05,"28,300.00","21,113,997.90"
4,2026-02-04,712.0,785.0,702.0,723.0,-0.34,"11,856.00","8,644,264.50"
5,2026-02-03,729.9,757.0,702.1,725.5,-2.49,"14,490.00","10,520,749.00"
6,2026-02-02,711.6,797.0,698.0,744.0,2.65,"13,747.00","10,247,834.20"
7,2026-02-01,735.2,749.8,714.0,724.8,-3.32,"8,909.00","6,397,710.00"
8,2026-01-29,730.0,792.0,716.0,749.7,2.7,"26,116.00","19,320,435.00"
9,2026-01-28,712.7,748.0,706.0,730.0,0.48,"17,057.00","12,329,118.70"
10,2026-01-27,718.3,735.0,704.0,726.5,-0.82,"33,607.00","24,478,146.20"
11,2026-01-26,702.8,734.8,695.1,732.5,2.25,"20,151.00","14,427,351.40"
12,2026-01-25,664.6,719.0,664.6,716.4,5.82,"35,790.00","24,885,505.00"
13,2026-01-22,660.4,677.0,660.4,677.0,0.59,"5,672.00","3,797,365.00"
14,2026-01-21,663.9,681.0,661.0,673.0,-0.59,"6,449.00","4,332,862.10"
15,2026-01-20,680.0,682.9,667.0,677.0,1.04,"14,559.00","9,831,545.20"
16,2026-01-18,641.5,681.0,641.5,670.0,2.45,"19,413.00","12,983,093.00"
17,2026-01-14,647.3,660.0,647.3,654.0,-0.91,"6,673.00","4,368,495.70"
18,2026-01-13,645.0,665.0,645.0,660.0,1.12,"5,678.00","3,705,052.70"
19,2026-01-12,652.7,671.1,652.7,652.7,-2.0,"3,051.00","2,008,104.30"
20,2026-01-08,644.1,677.0,644.1,666.0,2.29,"7,920.00","5,205,180.00"
21,2026-01-07,649.5,669.3,649.5,651.1,-1.69,"6,307.00","4,175,259.60"
22,2026-01-06,651.0,674.0,651.0,662.3,-0.24,"10,877.00","7,241,335.90"
23,2026-01-05,645.9,671.0,645.9,663.9,0.74,"4,900.00","3,229,560.30"
24,2026-01-04,660.0,660.0,647.0,659.0,-0.9,"7,903.00","5,121,261.30"
25,2026-01-01,665.0,673.0,650.0,665.0,0.0,"3,966.00","2,594,669.10"
26,2025-12-31,637.0,668.0,637.0,665.0,2.31,"10,551.00","6,971,631.80"
27,2025-12-29,638.0,661.0,637.0,650.0,0.0,"4,261.00","2,744,545.30"
28,2025-12-28,627.0,652.8,625.0,650.0,1.72,"9,382.00","6,045,956.50"
29,2025-12-24,637.0,651.0,628.0,639.0,-1.54,"9,557.00","6,091,243.00"
30,2025-12-23,628.0,649.0,628.0,649.0,1.41,"5,334.00","3,412,541.20"
31,2025-12-22,650.0,651.0,623.4,640.0,-1.54,"9,536.00","6,043,496.10"
32,2025-12-21,665.4,673.0,643.1,650.0,-4.26,"17,393.00","11,376,075.70"
33,2025-12-18,690.0,693.4,668.0,678.9,-1.58,"11,937.00","8,113,574.30"
34,2025-12-17,660.0,695.0,653.6,689.8,5.33,"41,053.00","27,920,898.40"
35,2025-12-16,650.0,661.0,650.0,654.9,0.75,"5,124.00","3,353,491.70"
36,2025-12-15,643.0,650.0,635.0,650.0,1.09,"6,169.00","3,953,936.60"
37,2025-12-14,671.0,671.0,640.0,643.0,-2.28,"3,107.00","2,015,582.00"
38,2025-12-11,667.0,668.9,645.4,658.0,-1.48,"6,678.00","4,387,370.20"
39,2025-12-10,657.0,682.0,657.0,667.9,-0.24,"10,157.00","6,760,232.00"
40,2025-12-09,648.0,671.0,648.0,669.5,1.29,"12,297.00","8,126,288.40"
41,2025-12-08,626.0,665.0,626.0,661.0,3.75,"15,467.00","10,143,435.60"
42,2025-12-07,639.4,654.0,637.1,637.1,-1.98,"3,240.00","2,082,137.50"
43,2025-12-03,628.1,660.0,628.1,650.0,1.72,"13,549.00","8,805,645.30"
44,2025-12-02,637.9,642.0,626.1,639.0,1.43,"2,981.00","1,904,659.00"
45,2025-12-01,625.0,633.0,622.2,630.0,1.27,"2,546.00","1,597,932.00"
46,2025-11-30,625.0,649.0,622.1,622.1,-2.2,"6,865.00","4,347,130.80"
47,2025-11-27,628.2,650.0,628.2,636.1,0.33,"9,766.00","6,279,475.70"
48,2025-11-26,629.9,640.0,625.6,634.0,0.97,"3,527.00","2,223,981.00"
49,2025-11-25,635.0,640.0,617.4,627.9,-1.12,"3,666.00","2,293,542.20"
50,2025-11-24,628.0,651.9,628.0,635.0,-0.78,"9,071.00","5,844,428.10"
51,2025-11-23,630.0,645.0,620.0,640.0,1.57,"3,199.00","2,020,241.00"
52,2025-11-20,595.0,636.9,591.0,630.1,6.8,"13,022.00","8,097,712.00"
53,2025-11-19,575.2,591.6,575.0,590.0,2.59,"2,056.00","1,199,943.00"
54,2025-11-18,592.4,598.0,575.1,575.1,-0.98,"3,855.00","2,269,969.40"
55,2025-11-17,566.2,585.0,566.2,580.8,1.13,180.00,"103,725.00"
56,2025-11-16,580.2,592.5,573.5,574.3,-2.92,"2,353.00","1,360,992.00"
57,2025-11-13,577.0,595.0,575.6,591.6,0.78,"1,974.00","1,151,986.60"
58,2025-11-12,597.9,597.9,581.4,587.0,-1.01,"1,305.00","768,317.00"
59,2025-11-11,599.0,599.0,588.0,593.0,0.51,895.00,"528,339.00"
60,2025-11-10,601.8,605.0,583.7,590.0,0.0,"3,333.00","1,973,195.40"
61,2025-11-09,580.0,595.7,579.0,590.0,0.17,"2,777.00","1,622,051.50"
62,2025-11-06,585.2,607.9,584.5,589.0,-1.22,"2,572.00","1,532,037.20"
63,2025-11-05,580.1,597.9,580.1,596.3,1.41,200.00,"118,495.00"
64,2025-11-04,597.9,600.0,587.3,588.0,-3.61,510.00,"301,700.00"
65,2025-11-03,617.0,618.0,590.0,610.0,-1.25,"2,070.00","1,247,293.00"
66,2025-11-02,590.0,624.1,590.0,617.7,2.95,"2,045.00","1,250,004.10"
67,2025-10-30,598.0,623.0,585.0,600.0,2.04,"2,914.00","1,733,838.00"
68,2025-10-29,579.0,607.0,575.0,588.0,-0.34,"3,340.00","1,962,926.40"
69,2025-10-28,562.0,590.0,561.0,590.0,4.59,"1,915.00","1,107,121.50"
70,2025-10-26,558.6,564.2,550.0,564.1,-1.04,"1,495.00","830,262.50"
71,2025-10-19,570.9,582.3,560.9,570.0,-0.35,830.00,"470,642.00"
72,2025-10-16,570.0,578.0,561.2,572.0,-1.21,770.00,"436,375.00"
73,2025-10-15,578.2,579.0,568.8,579.0,-1.85,730.00,"419,143.00"
