S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,714.50,730.00,687.00,725.00,-0.55,"29,714.00","21,246,352.30"
2,2026-02-26,744.6,744.6,710.0,729.0,-0.14,"30,786.00","22,114,281.30"
3,2026-02-25,719.0,730.0,696.0,730.0,1.53,"35,376.00","25,300,303.50"
4,2026-02-24,690.0,719.0,673.1,719.0,5.74,"34,247.00","23,791,550.10"
5,2026-02-23,680.0,693.0,665.0,680.0,-0.44,"36,742.00","24,766,642.00"
6,2026-02-22,720.0,729.0,680.0,683.0,-5.14,"30,816.00","21,347,148.30"
7,2026-02-17,743.5,743.5,698.0,720.0,-1.23,"34,915.00","24,980,547.40"
8,2026-02-16,721.0,740.0,712.0,729.0,1.11,"29,374.00","21,244,215.50"
9,2026-02-12,727.3,739.5,720.0,721.0,-2.83,"47,798.00","34,712,338.10"
10,2026-02-11,756.8,770.0,722.0,742.0,0.0,"21,483.00","15,772,885.10"
11,2026-02-10,716.0,755.0,716.0,742.0,1.64,"35,517.00","26,107,226.90"
12,2026-02-09,735.0,753.0,715.0,730.0,-2.67,"43,473.00","31,745,816.20"
13,2026-02-08,745.0,770.0,740.8,750.0,-1.06,"56,122.00","42,208,711.30"
14,2026-02-05,744.8,774.7,744.8,758.0,-0.26,"49,424.00","37,596,731.30"
15,2026-02-04,789.1,790.0,755.1,760.0,-3.68,"65,853.00","50,488,588.00"
16,2026-02-03,820.0,877.0,784.0,789.0,-3.31,"210,982.00","169,801,116.50"
17,2026-02-02,761.0,820.0,761.0,816.0,7.24,"104,728.00","83,777,906.20"
18,2026-02-01,747.8,777.0,721.0,760.9,-0.28,"74,101.00","55,594,966.20"
19,2026-01-29,825.2,840.0,760.0,763.0,-9.38,"128,908.00","100,974,400.20"
20,2026-01-28,834.0,918.9,794.0,842.0,-1.06,"144,499.00","120,058,539.90"
21,2026-01-27,790.0,860.0,775.0,851.0,8.41,"141,936.00","116,672,838.60"
22,2026-01-26,739.0,813.8,717.0,785.0,6.1,"169,437.00","127,422,478.00"
23,2026-01-25,689.0,753.0,689.0,739.9,7.25,"130,833.00","95,101,832.90"
24,2026-01-22,652.0,700.0,652.0,689.9,4.69,"118,951.00","80,555,293.70"
25,2026-01-21,652.0,678.0,652.0,659.0,-0.9,"58,017.00","38,320,454.30"
26,2026-01-20,670.0,680.3,662.0,665.0,-0.6,"81,375.00","54,666,241.50"
27,2026-01-18,645.0,670.1,641.0,669.0,3.24,"110,938.00","73,525,950.60"
28,2026-01-14,650.0,679.0,642.0,648.0,-1.22,"45,157.00","29,464,711.90"
29,2026-01-13,650.0,679.8,650.0,656.0,-1.06,"106,947.00","71,229,818.60"
30,2026-01-12,662.0,673.2,639.1,663.0,2.03,"135,533.00","89,595,828.90"
31,2026-01-08,615.0,650.0,611.1,649.8,3.64,"85,496.00","54,272,103.00"
32,2026-01-07,642.0,664.0,620.0,627.0,-4.13,"98,577.00","63,049,931.10"
33,2026-01-06,675.0,708.0,642.1,654.0,-1.8,"133,901.00","89,622,919.40"
34,2026-01-05,620.0,666.0,605.0,666.0,9.54,"194,735.00","123,725,328.70"
35,2026-01-04,584.0,608.0,575.1,608.0,3.95,"108,114.00","64,301,403.00"
36,2026-01-01,568.0,589.9,560.0,584.9,2.43,"73,078.00","42,297,867.90"
37,2025-12-31,570.0,576.0,556.0,571.0,1.6,"56,574.00","32,128,390.90"
38,2025-12-29,567.6,576.0,555.0,562.0,-0.99,"38,260.00","21,430,224.70"
39,2025-12-28,547.0,570.0,547.0,567.6,2.45,"42,156.00","23,718,139.10"
40,2025-12-24,555.0,577.0,550.0,554.0,-0.18,"20,131.00","11,183,047.80"
41,2025-12-23,555.0,565.0,546.2,555.0,0.02,"27,206.00","15,046,985.80"
42,2025-12-22,559.0,567.9,547.0,554.9,-0.77,"37,623.00","20,824,463.70"
43,2025-12-21,572.0,573.9,556.0,559.2,-2.32,"34,872.00","19,686,825.20"
44,2025-12-18,565.5,585.0,565.5,572.5,-0.78,"38,804.00","22,398,033.80"
45,2025-12-17,585.1,594.9,576.5,577.0,-1.7,"34,031.00","19,792,114.60"
46,2025-12-16,575.0,599.0,575.0,587.0,1.4,"37,183.00","21,944,726.00"
47,2025-12-15,573.1,579.0,566.0,578.9,1.21,"33,111.00","19,049,805.20"
48,2025-12-14,583.0,590.0,570.0,572.0,-2.22,"38,705.00","22,255,942.20"
49,2025-12-11,585.0,599.0,580.0,585.0,-0.17,"40,600.00","23,810,656.60"
50,2025-12-10,591.1,607.0,584.0,586.0,-2.33,"59,011.00","34,941,300.20"
51,2025-12-09,576.3,609.9,576.3,600.0,2.04,"54,340.00","32,568,089.70"
52,2025-12-08,586.0,600.0,580.2,588.0,-0.34,"53,314.00","31,529,009.30"
53,2025-12-07,630.0,630.0,587.3,590.0,-5.19,"76,902.00","46,113,385.10"
54,2025-12-03,607.0,640.0,605.2,622.3,2.86,"105,304.00","65,835,516.20"
