S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,520.00,530.40,520.00,527.90,0.94,"4,210.00","2,220,691.50"
2,2026-02-04,520.00,540.50,519.00,523.00,0.67,"4,905.00","2,566,018.80"
3,2026-02-03,519.0,529.30,519.0,519.5,-1.42,"7,646.00","3,998,120.90"
4,2026-02-02,520.1,540.00,520.0,527.0,-0.57,"3,106.00","1,632,000.50"
5,2026-02-01,536.5,536.50,525.8,530.0,-2.73,"9,533.00","5,055,285.20"
6,2026-01-29,550.0,550.00,536.5,544.9,0.17,"18,024.00","9,752,667.80"
7,2026-01-28,536.0,546.00,536.0,544.0,0.18,"6,624.00","3,580,533.10"
8,2026-01-27,543.9,560.00,542.1,543.0,-2.16,"21,130.00","11,635,809.00"
9,2026-01-26,530.0,565.00,525.0,555.0,5.71,"51,077.00","27,997,876.60"
10,2026-01-25,510.0,535.90,510.0,525.0,2.14,"16,830.00","8,853,725.80"
11,2026-01-22,509.0,518.70,509.0,514.0,0.0,"4,551.00","2,336,251.00"
12,2026-01-21,518.0,520.00,512.0,514.0,-0.77,"4,969.00","2,560,387.20"
13,2026-01-20,514.0,519.00,511.5,518.0,1.77,"16,076.00","8,278,551.30"
14,2026-01-18,502.1,514.00,502.1,509.0,-0.55,"5,081.00","2,581,199.60"
15,2026-01-14,510.0,512.00,500.6,511.8,0.75,"3,853.00","1,963,777.00"
16,2026-01-13,500.0,510.00,500.0,508.0,0.06,"4,546.00","2,312,584.00"
17,2026-01-12,503.2,515.90,503.2,507.7,-0.43,"3,830.00","1,943,283.30"
18,2026-01-08,507.0,510.00,503.0,509.9,-0.39,"4,901.00","2,480,950.80"
19,2026-01-07,512.0,512.90,507.0,511.9,-0.21,"2,520.00","1,282,924.10"
20,2026-01-06,519.8,519.80,510.0,513.0,-0.06,"5,668.00","2,910,085.40"
21,2026-01-05,500.0,517.80,500.0,513.3,1.04,"7,932.00","4,040,484.20"
22,2026-01-04,500.0,517.90,500.0,508.0,0.0,"6,924.00","3,503,157.50"
23,2026-01-01,510.0,517.80,508.0,508.0,-1.3,"8,219.00","4,193,759.00"
24,2025-12-31,515.0,528.80,510.0,514.7,-0.73,"11,231.00","5,791,549.60"
25,2025-12-29,518.2,521.70,515.0,518.5,0.06,"3,426.00","1,766,969.80"
26,2025-12-28,522.7,523.00,512.3,518.2,1.11,"2,214.00","1,145,129.40"
27,2025-12-24,527.3,527.30,510.3,512.5,-0.87,"1,402.00","718,907.50"
28,2025-12-23,507.0,547.00,505.0,517.0,1.27,"2,666.00","1,373,813.10"
29,2025-12-22,508.0,518.10,508.0,510.5,-0.87,"1,602.00","817,678.20"
30,2025-12-21,520.0,520.00,512.0,515.0,-0.96,"4,335.00","2,227,621.50"
31,2025-12-18,518.0,527.90,518.0,520.0,-1.61,"6,182.00","3,227,481.20"
32,2025-12-17,517.8,539.90,517.8,528.5,0.04,"6,881.00","3,640,203.90"
33,2025-12-16,511.5,529.00,511.5,528.3,1.23,"3,609.00","1,896,170.80"
34,2025-12-15,509.0,523.00,509.0,521.9,0.56,"1,975.00","1,023,448.20"
