S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,435.00,442.50,428.00,436.50,1.51,"84,954.00","37,167,261.00"
2,2026-02-04,434.00,440.00,427.20,430.00,0.23,"51,858.00","22,308,060.30"
3,2026-02-03,426.8,443.0,426.8,429.0,-0.23,"92,241.00","40,133,238.40"
4,2026-02-02,440.0,440.0,427.0,430.0,-1.15,"69,772.00","30,147,543.00"
5,2026-02-01,458.0,458.0,432.0,435.0,-3.29,"63,485.00","27,792,931.10"
6,2026-01-29,441.0,474.0,441.0,449.8,1.79,"195,251.00","89,555,155.80"
7,2026-01-28,423.1,443.1,420.0,441.9,4.34,"106,573.00","45,892,097.60"
8,2026-01-27,435.0,439.0,423.0,423.5,-0.82,"155,434.00","67,135,131.60"
9,2026-01-26,430.0,430.0,419.0,427.0,1.18,"129,822.00","55,060,496.70"
10,2026-01-25,410.1,424.0,410.0,422.0,2.68,"101,184.00","42,511,369.30"
11,2026-01-22,417.8,417.8,408.0,411.0,0.24,"52,174.00","21,418,890.70"
12,2026-01-21,424.0,424.0,407.0,410.0,-1.47,"59,883.00","24,664,081.20"
13,2026-01-20,421.1,423.8,414.0,416.1,-0.34,"67,651.00","28,286,974.10"
14,2026-01-18,425.3,425.3,414.0,417.5,0.12,"52,997.00","22,162,131.40"
15,2026-01-14,415.0,420.0,406.0,417.0,2.23,"65,757.00","27,200,004.00"
16,2026-01-13,408.8,410.0,402.7,407.9,1.47,"39,435.00","16,026,835.00"
17,2026-01-12,397.9,413.0,397.9,402.0,-0.99,"53,976.00","21,936,532.20"
18,2026-01-08,410.0,410.0,400.0,406.0,1.0,"32,623.00","13,191,711.20"
19,2026-01-07,419.2,419.2,402.0,402.0,-2.19,"29,109.00","11,857,840.60"
20,2026-01-06,422.2,422.2,405.9,411.0,-0.72,"43,285.00","17,868,692.70"
21,2026-01-05,398.8,417.0,391.0,414.0,5.88,"63,398.00","25,728,289.60"
22,2026-01-04,390.0,396.4,386.5,391.0,0.26,"37,968.00","14,866,799.80"
23,2026-01-01,402.9,402.9,390.0,390.0,-1.27,"36,417.00","14,283,773.10"
24,2025-12-31,398.0,405.0,393.0,395.0,-0.75,"36,803.00","14,684,021.10"
25,2025-12-29,406.0,410.0,396.0,398.0,-1.73,"24,441.00","9,805,102.40"
26,2025-12-28,398.0,406.0,395.0,405.0,3.05,"32,204.00","12,934,055.80"
27,2025-12-24,397.0,397.0,389.3,393.0,0.49,"14,407.00","5,643,396.10"
28,2025-12-23,396.1,399.8,389.0,391.1,-0.74,"42,745.00","16,732,934.40"
29,2025-12-22,401.0,402.5,393.0,394.0,-1.77,"45,829.00","18,134,843.80"
