S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-17,484.20,488.80,482.00,485.00,-1.02,"56,423.00","27,357,781.70"
2,2026-02-16,495.0,503.9,485.0,490.0,0.76,"31,932.00","15,538,246.50"
3,2026-02-12,474.0,495.5,474.0,486.3,0.7,"71,630.00","34,982,546.30"
4,2026-02-11,485.0,490.0,481.5,482.9,0.29,"32,515.00","15,748,327.20"
5,2026-02-10,488.0,494.5,481.0,481.5,-1.23,"69,172.00","33,564,527.70"
6,2026-02-09,494.1,499.0,487.1,487.5,-1.5,"64,777.00","31,759,661.80"
7,2026-02-08,500.0,503.0,490.0,494.9,0.59,"117,726.00","58,463,947.60"
8,2026-02-05,498.9,501.7,489.5,492.0,0.02,"101,265.00","50,143,423.60"
9,2026-02-04,492.0,503.0,489.0,491.9,-0.83,"114,918.00","56,582,442.40"
10,2026-02-03,499.0,503.0,490.3,496.0,-0.4,"79,175.00","39,188,057.50"
11,2026-02-02,506.0,506.0,495.6,498.0,-0.8,"76,091.00","37,964,498.90"
12,2026-02-01,509.0,509.0,499.0,502.0,-0.99,"86,568.00","43,487,740.10"
13,2026-01-29,506.6,514.9,504.0,507.0,0.08,"145,066.00","73,712,160.30"
14,2026-01-28,499.9,540.0,499.9,506.6,-0.69,"183,514.00","93,570,508.40"
15,2026-01-27,530.0,533.8,508.0,510.1,-3.75,"118,436.00","61,426,980.60"
16,2026-01-26,538.0,538.0,519.0,530.0,-1.12,"163,280.00","85,513,387.70"
17,2026-01-25,505.0,564.0,505.0,536.0,4.08,"769,160.00","397,750,505.50"
18,2026-01-22,522.0,522.0,504.0,515.0,-0.19,"139,871.00","71,036,599.00"
19,2026-01-21,524.0,527.5,512.2,516.0,-1.68,"51,919.00","26,882,854.80"
20,2026-01-20,503.0,530.0,500.0,524.8,4.13,"594,345.00","301,376,764.40"
21,2026-01-18,506.6,506.7,495.0,504.0,0.24,"106,299.00","53,167,610.10"
22,2026-01-14,497.8,504.6,490.0,502.8,1.0,"184,300.00","92,009,509.10"
23,2026-01-13,500.0,505.0,490.1,497.8,0.57,"73,111.00","36,599,807.80"
24,2026-01-12,495.0,502.0,492.0,495.0,-0.6,"59,275.00","29,401,680.50"
25,2026-01-08,497.0,505.0,497.0,498.0,-1.17,"43,591.00","21,795,063.70"
26,2026-01-07,510.0,511.4,497.5,503.9,-1.96,"54,437.00","27,271,555.30"
27,2026-01-06,510.0,517.0,499.0,514.0,0.78,"64,465.00","32,610,394.90"
28,2026-01-05,499.0,512.0,495.0,510.0,2.2,"38,671.00","19,365,141.40"
29,2026-01-04,500.0,500.0,495.0,499.0,-0.4,"12,278.00","6,102,094.00"
30,2026-01-01,501.1,509.9,499.1,501.0,-1.76,"60,355.00","30,285,490.70"
31,2025-12-31,505.0,524.6,499.2,510.0,0.47,"349,744.00","177,903,413.00"
32,2025-12-29,519.0,520.0,507.6,507.6,-2.1,"66,181.00","33,783,564.60"
33,2025-12-28,521.4,521.4,513.0,518.5,1.41,"74,880.00","38,638,911.20"
34,2025-12-24,513.7,523.5,510.0,511.3,-1.1,"55,824.00","28,761,489.20"
35,2025-12-23,520.0,524.0,515.1,517.0,-0.19,"15,509.00","8,036,612.40"
36,2025-12-22,515.1,520.0,513.0,518.0,-0.19,"20,159.00","10,420,754.10"
37,2025-12-21,525.0,525.0,518.0,519.0,-0.63,"22,823.00","11,855,942.60"
38,2025-12-18,524.5,530.0,520.0,522.3,-0.82,"23,777.00","12,452,313.00"
39,2025-12-17,513.1,564.0,513.1,526.6,1.07,"21,535.00","11,360,828.20"
40,2025-12-16,511.0,522.0,511.0,521.0,0.97,"21,739.00","11,291,157.30"
41,2025-12-15,511.3,520.5,511.3,516.0,-0.17,"16,180.00","8,361,795.10"
42,2025-12-14,515.0,523.0,512.0,516.9,-0.21,"30,143.00","15,513,754.10"
43,2025-12-11,515.5,524.9,515.5,518.0,-0.42,"19,644.00","10,187,080.50"
