S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-26,195.00,196.70,192.20,193.90,0.47,"85,128.00","16,580,566.10"
2,2026-02-25,194.0,195.7,191.0,193.0,0.52,"112,114.00","21,659,528.70"
3,2026-02-24,194.0,194.0,190.0,192.0,0.47,"118,305.00","22,614,650.90"
4,2026-02-23,194.0,195.0,190.0,191.1,-0.47,"142,513.00","27,382,652.80"
5,2026-02-22,195.0,198.0,191.2,192.0,-1.59,"183,989.00","35,465,277.50"
6,2026-02-17,204.9,205.9,195.0,195.1,-4.32,"452,811.00","89,812,397.30"
7,2026-02-16,207.0,212.0,203.1,203.9,-2.86,"325,538.00","67,297,941.40"
8,2026-02-12,213.9,216.0,208.0,209.9,-0.76,"631,121.00","133,959,898.30"
9,2026-02-11,210.0,213.0,206.4,211.5,1.24,"254,307.00","53,366,786.70"
10,2026-02-10,215.0,217.9,207.1,208.9,-1.23,"505,899.00","107,929,753.60"
11,2026-02-09,208.0,218.4,204.2,211.5,1.73,"777,735.00","165,273,667.20"
12,2026-02-08,212.0,217.0,206.5,207.9,-0.29,"625,420.00","132,357,947.40"
13,2026-02-05,205.7,216.0,203.4,208.5,1.36,"767,296.00","162,131,236.70"
14,2026-02-04,193.1,205.8,193.1,205.7,4.42,"493,640.00","98,506,066.50"
15,2026-02-03,204.3,209.4,196.0,197.0,-3.57,"566,265.00","114,319,993.20"
16,2026-02-02,205.8,216.6,203.0,204.3,-2.71,"384,572.00","80,330,416.90"
17,2026-02-01,215.0,223.0,204.1,210.0,-1.41,"899,086.00","192,248,496.70"
18,2026-01-29,198.9,214.5,198.0,213.0,9.23,"1,462,951.00","310,717,765.40"
19,2026-01-28,195.0,198.8,188.8,195.0,0.46,"254,986.00","49,183,602.90"
20,2026-01-27,200.0,202.0,192.1,194.1,-2.95,"349,220.00","69,056,176.50"
21,2026-01-26,206.0,206.0,196.0,200.0,-0.99,"657,766.00","132,119,331.80"
22,2026-01-25,198.4,206.0,196.0,202.0,3.7,"500,550.00","101,377,272.90"
23,2026-01-22,185.6,194.9,185.6,194.8,4.17,"331,753.00","63,655,876.00"
24,2026-01-21,193.0,194.8,186.5,187.0,-2.3,"213,970.00","40,732,344.50"
25,2026-01-20,185.0,193.8,183.0,191.4,4.31,"323,700.00","61,214,587.30"
26,2026-01-18,177.0,184.0,177.0,183.5,4.26,"211,269.00","38,225,702.10"
27,2026-01-14,177.0,179.4,175.4,176.0,0.0,"93,752.00","16,555,409.00"
28,2026-01-13,178.0,178.9,175.5,176.0,-0.45,"74,780.00","13,196,470.00"
29,2026-01-12,180.0,182.5,176.4,176.8,-1.78,"46,478.00","8,257,904.60"
30,2026-01-08,175.0,188.0,173.1,180.0,2.86,"185,607.00","33,140,487.40"
31,2026-01-07,175.0,177.7,173.7,175.0,-0.51,"36,125.00","6,319,651.90"
32,2026-01-06,175.3,179.4,175.3,175.9,-0.68,"57,996.00","10,275,361.40"
33,2026-01-05,175.9,177.1,174.0,177.1,1.43,"69,925.00","12,273,207.70"
34,2026-01-04,175.1,175.8,173.2,174.6,-0.23,"41,546.00","7,234,195.20"
35,2026-01-01,180.0,180.5,173.4,175.0,-1.19,"42,974.00","7,537,382.20"
36,2025-12-31,174.0,179.6,174.0,177.1,0.06,"42,014.00","7,460,337.00"
37,2025-12-29,182.0,183.0,172.0,177.0,-1.72,"94,731.00","16,714,554.50"
38,2025-12-28,175.0,180.4,175.0,180.1,3.74,"77,504.00","13,763,911.00"
39,2025-12-24,172.3,175.8,172.0,173.6,-0.29,"28,312.00","4,917,817.00"
40,2025-12-23,177.4,177.4,172.0,174.1,0.06,"25,960.00","4,503,489.70"
41,2025-12-22,174.0,175.0,173.0,174.0,-0.57,"39,728.00","6,903,587.90"
42,2025-12-21,174.1,177.4,174.0,175.0,-0.74,"66,930.00","11,724,813.10"
43,2025-12-18,176.5,177.7,176.3,176.3,-0.84,"41,810.00","7,396,062.40"
44,2025-12-17,180.0,180.0,177.0,177.8,-0.5,"37,965.00","6,752,651.90"
45,2025-12-16,177.0,179.9,176.0,178.7,1.53,"46,634.00","8,270,094.30"
46,2025-12-15,176.0,177.0,174.4,176.0,0.57,"46,593.00","8,176,779.20"
47,2025-12-14,180.4,180.4,175.0,175.0,-1.13,"48,415.00","8,494,409.60"
48,2025-12-11,175.0,179.4,175.0,177.0,0.06,"27,080.00","4,798,804.00"
49,2025-12-10,179.0,179.9,175.7,176.9,-0.51,"60,767.00","10,738,926.20"
50,2025-12-09,179.0,182.0,176.7,177.8,-0.39,"53,868.00","9,598,680.30"
51,2025-12-08,178.6,186.0,177.5,178.5,-0.56,"73,345.00","13,113,270.70"
52,2025-12-07,180.6,182.0,179.1,179.5,-1.27,"47,065.00","8,481,926.60"
53,2025-12-03,183.5,186.0,181.0,181.8,-1.2,"69,433.00","12,696,980.60"
54,2025-12-02,185.0,186.0,181.5,184.0,-0.54,"64,462.00","11,833,197.00"
55,2025-12-01,185.0,187.9,182.0,185.0,-0.43,"104,642.00","19,266,600.60"
56,2025-11-30,193.0,195.9,185.8,185.8,-5.59,"200,013.00","37,905,765.40"
57,2025-11-27,189.0,197.0,182.6,196.8,5.81,"433,031.00","82,689,457.90"
58,2025-11-26,176.4,186.0,176.0,186.0,3.91,"227,264.00","41,296,242.50"
59,2025-11-25,182.3,182.3,176.3,179.0,0.11,"42,962.00","7,626,344.70"
60,2025-11-24,178.0,179.8,177.1,178.8,1.59,"68,665.00","12,271,254.40"
61,2025-11-23,173.0,177.4,173.0,176.0,2.62,"57,661.00","10,158,625.10"
62,2025-11-20,172.0,174.0,170.0,171.5,-0.29,"49,490.00","8,510,060.00"
63,2025-11-19,175.0,175.0,172.0,172.0,-1.09,"24,900.00","4,312,247.70"
64,2025-11-18,175.0,176.0,173.1,173.9,0.4,"38,553.00","6,742,090.70"
65,2025-11-17,170.0,176.0,170.0,173.2,2.18,"41,871.00","7,255,482.00"
66,2025-11-16,173.0,174.0,169.0,169.5,-1.45,"43,589.00","7,440,931.10"
67,2025-11-13,172.0,175.0,171.0,172.0,-0.58,"75,817.00","13,057,491.80"
68,2025-11-12,174.8,174.9,173.0,173.0,-1.03,"15,565.00","2,700,291.30"
69,2025-11-11,173.0,175.0,172.4,174.8,0.46,"22,409.00","3,889,799.40"
70,2025-11-10,176.9,177.5,173.1,174.0,-0.57,"26,000.00","4,539,953.90"
71,2025-11-09,175.0,179.0,173.0,175.0,-1.13,"41,795.00","7,313,418.40"
72,2025-11-06,177.5,180.0,176.9,177.0,-0.56,"36,548.00","6,514,627.80"
73,2025-11-05,176.9,178.0,175.0,178.0,0.62,"26,155.00","4,615,866.40"
