S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-25,255.00,257.40,253.00,256.80,1.10,"101,469.00","25,955,234.00"
2,2026-02-24,243.0,255.3,243.0,254.0,2.5,"106,794.00","26,815,111.00"
3,2026-02-23,252.0,256.8,245.0,247.8,-1.67,"166,121.00","41,231,424.50"
4,2026-02-22,264.0,264.0,251.0,252.0,-4.18,"231,914.00","59,271,702.00"
5,2026-02-17,276.6,278.0,261.0,263.0,-3.02,"429,569.00","115,062,558.90"
6,2026-02-16,284.0,284.0,269.7,271.2,-4.47,"650,748.00","179,370,066.60"
7,2026-02-12,276.5,295.0,276.0,283.9,0.92,"1,085,097.00","313,958,587.20"
8,2026-02-11,275.2,282.3,266.3,281.3,4.22,"804,102.00","220,828,317.40"
9,2026-02-10,270.0,276.0,263.0,269.9,0.37,"627,560.00","169,979,422.70"
10,2026-02-09,263.0,274.9,259.9,268.9,3.58,"895,478.00","241,048,499.90"
11,2026-02-08,259.0,266.9,258.0,259.6,1.76,"571,043.00","150,160,574.40"
12,2026-02-05,240.1,260.9,239.5,255.1,4.55,"460,252.00","117,447,360.20"
13,2026-02-04,249.5,249.5,237.4,244.0,-0.29,"192,774.00","46,505,157.60"
14,2026-02-03,260.1,260.1,244.7,244.7,-4.04,"145,944.00","36,204,780.60"
15,2026-02-02,258.0,259.79,250.0,255.0,-0.78,"198,093.00","50,198,187.30"
16,2026-02-01,249.0,261.0,245.4,257.0,3.63,"476,144.00","121,963,657.00"
17,2026-01-29,239.9,256.4,234.8,248.0,4.64,"596,962.00","148,880,274.60"
18,2026-01-28,232.0,238.8,230.6,237.0,1.2,"100,584.00","23,561,229.70"
19,2026-01-27,247.1,247.1,233.5,234.2,-3.58,"177,624.00","42,319,351.30"
20,2026-01-26,247.1,247.5,239.0,242.9,-1.26,"255,299.00","61,744,346.00"
21,2026-01-25,241.9,247.7,239.0,246.0,3.58,"212,365.00","51,798,135.30"
22,2026-01-22,232.0,237.6,228.6,237.5,3.31,"199,696.00","46,849,590.10"
23,2026-01-21,233.0,234.9,228.7,229.9,-0.69,"98,683.00","22,826,752.40"
24,2026-01-20,230.0,233.0,226.1,231.5,2.52,"129,625.00","29,857,660.00"
25,2026-01-18,224.2,228.0,221.5,225.8,1.71,"63,070.00","14,218,893.80"
26,2026-01-14,224.0,224.0,220.7,222.0,0.41,"53,330.00","11,813,526.40"
27,2026-01-13,224.0,224.1,219.1,221.1,-0.85,"46,908.00","10,395,103.20"
28,2026-01-12,221.1,224.6,221.1,223.0,-0.22,"18,840.00","4,183,806.10"
29,2026-01-08,220.0,224.0,219.7,223.5,1.13,"91,038.00","20,202,470.90"
30,2026-01-07,227.0,227.0,220.2,221.0,-0.81,"33,621.00","7,435,199.30"
31,2026-01-06,220.0,224.6,220.0,222.8,-0.09,"48,330.00","10,738,795.90"
32,2026-01-05,221.0,223.0,218.3,223.0,1.41,"37,302.00","8,236,960.00"
33,2026-01-04,220.0,221.9,218.7,219.9,-0.54,"29,391.00","6,455,176.80"
34,2026-01-01,227.9,227.9,221.1,221.1,-1.51,"21,852.00","4,872,045.30"
35,2025-12-31,226.9,229.9,224.0,224.5,0.22,"53,497.00","12,123,361.30"
36,2025-12-29,224.6,227.0,220.2,224.0,-0.8,"43,596.00","9,783,096.40"
37,2025-12-28,222.9,225.8,221.0,225.8,2.78,"50,244.00","11,213,735.20"
38,2025-12-24,216.3,220.9,216.2,219.7,0.78,"16,640.00","3,635,355.70"
39,2025-12-23,218.0,218.0,215.0,218.0,0.0,"25,739.00","5,556,949.80"
40,2025-12-22,219.0,220.0,216.0,218.0,-0.46,"32,430.00","7,038,902.50"
41,2025-12-21,222.0,222.0,218.1,219.0,-1.35,"34,050.00","7,479,526.60"
42,2025-12-18,226.0,227.0,222.0,222.0,-1.2,"36,719.00","8,253,141.30"
43,2025-12-17,223.0,225.9,223.0,224.7,1.22,"36,445.00","8,177,136.10"
44,2025-12-16,222.0,223.0,220.5,222.0,0.45,"30,714.00","6,799,467.40"
45,2025-12-15,218.6,221.5,218.5,221.0,0.0,"22,220.00","4,892,435.70"
46,2025-12-14,222.0,223.0,219.2,221.0,-0.45,"30,873.00","6,803,035.40"
47,2025-12-11,222.0,222.9,221.0,222.0,-0.22,"23,487.00","5,206,449.20"
48,2025-12-10,222.1,223.8,220.8,222.5,-0.13,"14,083.00","3,125,021.20"
49,2025-12-09,219.4,225.0,219.3,222.8,0.36,"58,406.00","12,922,257.20"
50,2025-12-08,227.9,227.9,220.2,222.0,-0.89,"19,145.00","4,245,706.30"
51,2025-12-07,230.7,230.7,222.4,224.0,-0.97,"31,479.00","7,059,509.30"
52,2025-12-03,223.1,231.5,223.1,226.2,-0.57,"24,060.00","5,451,368.20"
53,2025-12-02,231.5,231.5,226.5,227.5,0.18,"27,514.00","6,250,903.00"
