S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-24,508.00,522.70,507.20,519.00,0.78,"5,884.00","3,020,402.60"
2,2026-02-23,530.4,530.4,512.0,515.0,-0.96,"2,319.00","1,195,615.80"
3,2026-02-22,504.0,522.2,496.0,520.0,2.77,"37,292.00","19,148,376.30"
4,2026-02-17,506.6,514.7,505.0,506.0,-0.78,"9,678.00","4,924,513.10"
5,2026-02-16,511.0,520.5,504.0,510.0,-0.2,"12,245.00","6,237,986.00"
6,2026-02-12,527.4,530.0,508.0,511.0,-1.18,"24,005.00","12,422,286.50"
7,2026-02-11,537.0,538.9,517.1,517.1,-3.35,"17,291.00","9,059,868.00"
8,2026-02-10,533.2,544.3,533.2,535.0,-1.65,"5,552.00","2,977,814.70"
9,2026-02-09,540.2,545.0,534.1,544.0,-0.55,"10,564.00","5,689,164.10"
10,2026-02-08,554.0,559.0,541.0,547.0,-0.8,"24,328.00","13,292,824.10"
11,2026-02-05,563.0,569.0,547.0,551.4,-0.13,"22,227.00","12,277,392.30"
12,2026-02-04,547.8,569.0,547.8,552.1,-1.2,"20,288.00","11,297,397.30"
13,2026-02-03,545.5,564.8,545.5,558.8,0.4,"9,506.00","5,280,891.70"
14,2026-02-02,556.9,569.0,555.0,556.6,-2.01,"15,766.00","8,838,797.00"
15,2026-02-01,575.3,586.9,567.1,568.0,-3.24,"22,199.00","12,676,312.20"
16,2026-01-29,563.6,594.0,563.6,587.0,2.09,"35,796.00","20,936,190.30"
17,2026-01-28,550.0,575.0,550.0,575.0,2.5,"48,767.00","27,320,091.70"
18,2026-01-27,555.0,566.0,551.4,561.0,0.54,"23,057.00","12,892,739.00"
19,2026-01-26,562.0,573.2,555.0,558.0,-0.71,"29,472.00","16,543,832.10"
20,2026-01-25,546.0,568.0,540.0,562.0,3.12,"28,072.00","15,545,764.20"
21,2026-01-22,538.0,550.0,538.0,545.0,-0.55,"18,513.00","10,080,933.40"
22,2026-01-21,549.0,555.0,540.0,548.0,0.18,"14,851.00","8,100,377.20"
23,2026-01-20,551.7,551.8,542.4,547.0,1.11,"17,118.00","9,345,500.40"
24,2026-01-18,553.8,553.8,540.0,541.0,-1.1,"12,684.00","6,895,541.70"
25,2026-01-14,544.0,554.3,529.2,547.0,2.47,"21,955.00","11,982,313.20"
26,2026-01-13,543.9,543.9,524.3,533.8,-0.22,"27,288.00","14,448,085.80"
27,2026-01-12,559.0,559.0,530.0,535.0,-2.5,"26,772.00","14,363,843.70"
28,2026-01-08,554.0,562.0,543.0,548.7,-2.71,"34,045.00","18,748,746.80"
29,2026-01-07,578.7,588.9,558.0,564.0,-2.54,"8,909.00","5,009,373.20"
30,2026-01-06,577.8,588.9,562.1,578.7,-1.83,"21,669.00","12,349,890.70"
31,2026-01-05,560.0,595.0,553.7,589.5,4.34,"27,507.00","15,495,339.90"
32,2026-01-04,557.0,574.0,545.0,565.0,-0.04,"26,136.00","14,465,843.80"
33,2026-01-01,548.8,579.0,548.8,565.2,0.93,"15,551.00","8,819,613.50"
34,2025-12-31,590.9,604.0,555.1,560.0,-3.61,"26,572.00","15,223,849.60"
35,2025-12-29,600.0,600.0,575.0,581.0,-2.02,"8,714.00","5,043,897.10"
36,2025-12-28,589.0,599.9,575.1,593.0,0.53,"20,662.00","12,055,012.80"
37,2025-12-24,584.0,619.0,575.4,589.9,-0.86,"13,567.00","7,953,819.30"
38,2025-12-23,592.1,612.0,580.2,595.0,-1.49,"19,649.00","11,518,153.20"
39,2025-12-22,592.9,628.0,588.0,604.0,-0.17,"30,945.00","18,463,784.70"
40,2025-12-21,611.1,619.8,594.5,605.0,-2.87,"40,395.00","24,472,859.10"
41,2025-12-18,615.0,638.0,610.0,622.9,1.6,"41,113.00","25,611,074.00"
42,2025-12-17,591.0,624.0,591.0,613.1,1.67,"50,499.00","31,049,999.90"
43,2025-12-16,592.0,617.0,581.0,603.0,3.75,"45,247.00","27,240,435.50"
44,2025-12-15,547.9,585.8,547.9,581.2,3.97,"39,465.00","22,760,330.80"
45,2025-12-14,555.0,573.7,546.0,559.0,1.27,"12,907.00","7,238,387.80"
46,2025-12-11,580.5,580.5,550.2,552.0,-3.02,"14,470.00","8,103,563.70"
47,2025-12-10,598.0,598.0,568.4,569.2,-3.53,"20,041.00","11,592,481.00"
48,2025-12-09,577.0,596.0,563.5,590.0,2.68,"36,245.00","21,307,397.20"
49,2025-12-08,521.0,579.5,521.0,574.6,9.03,"53,163.00","29,968,746.30"
50,2025-12-07,539.0,542.0,527.0,527.0,-4.18,"8,200.00","4,355,255.50"
51,2025-12-03,545.0,560.0,540.0,550.0,-0.52,"6,196.00","3,420,299.80"
52,2025-12-02,546.0,557.9,546.0,552.9,-0.74,"3,164.00","1,748,038.70"
53,2025-12-01,549.0,557.0,541.0,557.0,1.44,"9,196.00","5,029,620.60"
54,2025-11-30,548.9,564.0,538.3,549.1,-1.95,"8,393.00","4,593,060.20"
55,2025-11-27,551.0,561.8,548.0,560.0,-0.18,"7,297.00","4,031,288.20"
56,2025-11-26,567.0,567.1,550.0,561.0,0.72,"6,232.00","3,477,987.50"
57,2025-11-25,550.0,564.0,549.1,557.0,0.52,"3,422.00","1,893,896.50"
58,2025-11-24,570.0,570.0,550.0,554.1,-1.41,"9,700.00","5,415,305.20"
59,2025-11-23,550.1,568.0,550.1,562.0,0.18,"5,692.00","3,202,796.60"
60,2025-11-20,530.2,580.0,520.3,561.0,3.7,"23,117.00","12,906,407.40"
61,2025-11-19,530.0,546.8,520.0,541.0,1.62,"8,145.00","4,351,210.60"
62,2025-11-18,510.0,559.0,509.7,532.4,2.36,"2,608.00","1,373,998.50"
63,2025-11-17,526.0,526.0,517.0,520.1,-1.4,925.00,"483,064.90"
64,2025-11-16,520.3,530.0,517.3,527.5,-0.06,"2,593.00","1,356,605.50"
65,2025-11-13,510.2,527.8,510.2,527.8,1.5,"7,092.00","3,727,414.60"
66,2025-11-12,513.6,520.0,513.1,520.0,-0.76,"1,300.00","671,598.50"
67,2025-11-11,506.0,524.0,506.0,524.0,2.93,"2,590.00","1,331,949.00"
68,2025-11-10,510.0,519.4,502.0,509.1,-1.26,"4,765.00","2,440,478.00"
69,2025-11-09,517.0,521.0,515.0,515.6,-1.98,"1,120.00","578,706.50"
70,2025-11-06,515.0,527.0,508.0,526.0,1.54,"4,492.00","2,330,501.00"
71,2025-11-05,510.8,523.0,510.7,518.0,0.14,"7,817.00","4,049,022.00"
