S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,233.00,235.00,221.60,223.00,-3.25,"315,274.00","71,130,721.30"
2,2026-02-12,241.7,241.7,230.0,230.5,-2.74,"520,628.00","122,065,076.60"
3,2026-02-11,233.5,241.1,225.5,237.0,3.49,"694,700.00","162,647,461.00"
4,2026-02-10,242.6,259.0,227.0,229.0,-3.74,"815,589.00","194,835,166.40"
5,2026-02-09,220.6,238.2,220.6,237.9,7.84,"1,586,484.00","370,172,265.80"
6,2026-02-08,222.3,226.0,220.1,220.6,1.19,"430,592.00","96,295,687.30"
7,2026-02-05,214.2,222.0,210.0,218.0,3.81,"420,305.00","91,743,082.20"
8,2026-02-04,211.0,214.0,207.0,210.0,0.67,"141,667.00","29,729,982.20"
9,2026-02-03,216.8,216.8,207.0,208.6,-1.88,"228,750.00","48,053,906.20"
10,2026-02-02,219.7,219.7,211.7,212.6,-1.53,"209,565.00","44,870,460.90"
11,2026-02-01,224.0,226.0,215.6,215.9,-2.75,"222,941.00","48,899,883.60"
12,2026-01-29,220.0,233.0,218.3,222.0,1.93,"653,857.00","149,067,742.00"
13,2026-01-28,216.0,218.0,210.0,217.8,2.64,"244,817.00","52,422,063.10"
14,2026-01-27,221.0,223.0,210.0,212.2,-4.41,"356,404.00","76,878,397.25"
15,2026-01-26,231.0,231.0,217.0,222.0,-1.99,"365,931.00","81,048,393.60"
16,2026-01-25,224.2,227.6,220.0,226.5,3.0,"438,489.00","98,600,683.40"
17,2026-01-22,210.0,220.3,206.8,219.9,6.28,"798,119.00","171,299,860.90"
18,2026-01-21,209.9,210.0,205.4,206.9,-0.05,"211,279.00","43,844,552.40"
19,2026-01-20,204.0,210.0,202.0,207.0,3.5,"248,430.00","51,221,983.10"
20,2026-01-18,200.0,201.8,198.0,200.0,1.06,"110,180.00","21,964,579.10"
21,2026-01-14,202.0,202.0,196.8,197.9,-1.05,"62,589.00","12,395,561.40"
22,2026-01-13,197.0,202.0,196.0,200.0,0.6,"101,628.00","20,214,289.40"
23,2026-01-12,206.0,206.0,196.6,198.8,-1.58,"69,141.00","13,781,436.70"
24,2026-01-08,205.9,205.9,199.0,202.0,0.0,"197,024.00","39,596,603.80"
25,2026-01-07,200.4,206.0,200.0,202.0,0.9,"125,070.00","25,371,775.30"
26,2026-01-06,196.1,203.6,195.0,200.2,2.09,"238,406.00","47,634,885.70"
27,2026-01-05,197.8,197.8,192.2,196.1,1.08,"72,499.00","14,080,318.60"
28,2026-01-04,195.0,196.8,193.0,194.0,-0.77,"52,075.00","10,109,459.50"
29,2026-01-01,194.2,199.0,194.2,195.5,-0.31,"42,478.00","8,352,866.00"
30,2025-12-31,197.0,200.0,196.0,196.1,-0.15,"68,376.00","13,488,961.50"
31,2025-12-29,201.0,201.0,196.4,196.4,-1.6,"46,563.00","9,227,317.70"
32,2025-12-28,195.5,200.0,194.8,199.6,2.62,"100,531.00","19,859,695.00"
33,2025-12-24,199.0,199.0,193.1,194.5,-0.46,"73,296.00","14,247,795.90"
34,2025-12-23,197.0,197.4,193.6,195.4,0.21,"50,321.00","9,839,651.10"
35,2025-12-22,197.8,199.0,191.2,195.0,0.52,"125,454.00","24,497,138.40"
36,2025-12-21,193.2,197.0,193.1,194.0,-0.51,"66,019.00","12,829,501.70"
37,2025-12-18,193.0,199.8,192.3,195.0,0.05,"86,853.00","16,992,871.80"
38,2025-12-17,195.0,198.9,191.2,194.9,1.14,"77,504.00","15,160,457.30"
39,2025-12-16,196.0,196.0,191.5,192.7,-0.36,"40,722.00","7,858,548.40"
40,2025-12-15,191.6,194.0,191.0,193.4,-0.15,"50,097.00","9,634,927.10"
41,2025-12-14,194.1,195.0,192.1,193.7,-0.21,"36,433.00","7,031,440.70"
