S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,558.00,558.00,540.50,545.00,-2.33,"1,990.00","1,083,799.50"
2,2026-02-12,539.2,593.6,539.2,558.0,1.82,"27,881.00","15,541,740.20"
3,2026-02-11,544.1,550.0,540.0,548.0,-1.24,"6,467.00","3,520,900.20"
4,2026-02-10,555.0,562.0,549.0,554.9,-0.64,"3,374.00","1,868,185.50"
5,2026-02-09,556.0,560.0,552.0,558.5,-0.8,"7,815.00","4,338,080.50"
6,2026-02-08,546.3,572.9,546.3,563.0,3.08,"38,970.00","21,952,504.20"
7,2026-02-05,540.0,554.9,540.0,546.2,-0.67,"11,863.00","6,469,480.60"
8,2026-02-04,554.0,555.0,534.3,549.9,-0.92,"9,869.00","5,428,303.60"
9,2026-02-03,569.0,569.0,539.9,555.0,-0.89,"25,498.00","13,910,970.30"
10,2026-02-02,539.1,586.0,539.1,560.0,2.19,"11,444.00","6,400,048.90"
11,2026-02-01,550.1,553.0,543.0,548.0,-1.79,"3,725.00","2,042,169.20"
12,2026-01-29,560.0,575.0,558.0,558.0,-2.07,"20,475.00","11,626,933.00"
13,2026-01-28,545.1,570.0,545.1,569.8,2.67,"15,292.00","8,530,468.00"
14,2026-01-27,562.1,585.0,555.0,555.0,-2.29,"9,440.00","5,368,067.80"
15,2026-01-26,550.1,574.2,541.2,568.0,3.65,"21,567.00","12,006,050.70"
16,2026-01-25,535.1,555.0,535.1,548.0,1.48,"5,158.00","2,816,300.00"
17,2026-01-22,538.5,549.2,535.4,540.0,-1.64,"4,091.00","2,211,997.90"
18,2026-01-21,550.0,553.5,545.1,549.0,-0.9,"6,489.00","3,556,288.50"
19,2026-01-20,544.0,555.0,540.0,554.0,3.55,"14,828.00","8,145,127.00"
20,2026-01-18,515.0,547.9,515.0,535.0,3.04,"12,552.00","6,699,554.80"
21,2026-01-14,525.2,536.0,519.2,519.2,-2.59,"7,138.00","3,762,469.00"
22,2026-01-13,544.0,544.0,520.0,533.0,-0.17,"9,530.00","5,047,085.20"
23,2026-01-12,545.0,545.0,530.0,533.9,-0.76,"9,178.00","4,937,025.60"
24,2026-01-08,530.1,539.8,530.1,538.0,-0.37,"4,367.00","2,342,562.00"
25,2026-01-07,536.0,540.0,534.1,540.0,-0.92,"5,629.00","3,019,688.90"
26,2026-01-06,535.1,549.0,535.1,545.0,0.0,"5,719.00","3,092,607.00"
27,2026-01-05,545.7,545.7,530.0,545.0,1.87,"11,408.00","6,132,868.00"
28,2026-01-04,537.7,540.1,530.1,535.0,-1.83,"8,274.00","4,440,200.80"
29,2026-01-01,546.0,554.8,542.1,545.0,-0.67,"7,335.00","4,008,224.80"
30,2025-12-31,550.0,568.9,548.7,548.7,-1.98,"1,980.00","1,091,582.00"
31,2025-12-29,553.7,562.0,553.7,559.8,-0.92,"3,564.00","1,990,705.00"
32,2025-12-28,541.2,573.3,541.2,565.0,2.32,"3,091.00","1,744,868.30"
