S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,423.60,435.00,422.00,427.00,-0.30,"5,347.00","2,265,662.50"
2,2026-02-12,429.5,437.0,428.3,428.3,-1.99,"10,436.00","4,493,547.50"
3,2026-02-11,434.2,440.0,430.0,437.0,-0.91,"3,883.00","1,675,468.30"
4,2026-02-10,447.0,447.0,429.4,441.0,0.46,"6,029.00","2,613,572.50"
5,2026-02-09,436.1,442.0,434.0,439.0,-1.33,"5,525.00","2,403,225.50"
6,2026-02-08,462.0,462.0,431.2,444.9,-1.79,"12,522.00","5,577,066.60"
7,2026-02-05,450.0,455.0,446.0,453.0,0.42,"9,819.00","4,427,416.50"
8,2026-02-04,432.0,454.9,428.1,451.1,4.42,"19,283.00","8,579,321.20"
9,2026-02-03,431.0,439.0,426.9,432.0,0.21,"6,369.00","2,758,026.90"
10,2026-02-02,448.0,448.0,431.1,431.1,-1.91,"4,618.00","2,006,380.10"
11,2026-02-01,455.0,455.0,438.2,439.5,-2.12,"6,336.00","2,791,982.00"
12,2026-01-29,448.0,465.0,440.0,449.0,1.7,"21,123.00","9,524,033.10"
13,2026-01-28,431.0,448.0,423.2,441.5,2.44,"25,270.00","11,008,350.60"
14,2026-01-27,449.0,449.9,429.1,431.0,-2.49,"13,046.00","5,670,333.50"
15,2026-01-26,443.0,449.0,437.0,442.0,-1.73,"10,668.00","4,707,325.10"
16,2026-01-25,426.0,450.0,420.7,449.8,6.59,"30,530.00","13,438,053.90"
17,2026-01-22,420.1,428.4,420.1,422.0,-1.36,"10,322.00","4,370,294.50"
18,2026-01-21,430.0,431.0,419.4,427.8,0.52,"8,780.00","3,741,985.10"
19,2026-01-20,431.0,431.0,416.5,425.6,-0.33,"13,399.00","5,718,934.30"
20,2026-01-18,428.0,431.0,419.0,427.0,0.71,"8,720.00","3,692,262.90"
21,2026-01-14,434.0,434.0,416.0,424.0,-0.47,"13,365.00","5,645,003.50"
22,2026-01-13,422.0,426.0,413.0,426.0,2.16,"9,347.00","3,922,663.70"
23,2026-01-12,417.1,426.0,415.0,417.0,-1.63,"4,610.00","1,926,553.30"
24,2026-01-08,423.0,429.8,418.1,423.9,0.43,"1,814.00","765,005.80"
25,2026-01-07,430.0,437.9,421.0,422.1,-1.84,"4,187.00","1,790,190.00"
26,2026-01-06,427.3,436.0,412.5,430.0,2.63,"14,713.00","6,320,038.20"
27,2026-01-05,425.0,433.0,416.1,419.0,-1.41,"8,148.00","3,432,505.40"
28,2026-01-04,440.1,440.1,416.7,425.0,-1.51,"5,855.00","2,475,381.50"
29,2026-01-01,428.0,439.0,424.0,431.5,0.09,"8,513.00","3,672,673.20"
30,2025-12-31,440.0,442.0,426.0,431.1,-3.56,"25,570.00","11,060,643.60"
31,2025-12-29,449.8,455.0,447.0,447.0,-2.59,"4,722.00","2,122,697.90"
32,2025-12-28,450.0,463.0,450.0,458.9,0.61,"4,830.00","2,194,925.70"
33,2025-12-24,450.0,472.0,450.0,456.1,0.46,"4,585.00","2,098,864.70"
34,2025-12-23,456.1,456.1,428.6,454.0,-0.46,"4,887.00","2,166,359.80"
35,2025-12-22,462.0,464.0,456.0,456.1,-3.16,"5,743.00","2,635,958.90"
36,2025-12-21,475.0,475.0,463.0,471.0,-1.46,"3,998.00","1,875,386.10"
37,2025-12-18,475.3,487.0,475.3,478.0,-1.42,"2,828.00","1,350,565.60"
38,2025-12-17,470.4,494.0,470.4,484.9,1.02,"1,458.00","697,756.60"
39,2025-12-16,475.5,480.0,475.0,480.0,0.82,"2,478.00","1,181,280.60"
40,2025-12-15,475.0,481.9,475.0,476.1,-0.81,"1,664.00","792,672.80"
41,2025-12-14,481.0,497.6,480.0,480.0,-2.04,"3,095.00","1,502,391.00"
42,2025-12-11,501.8,501.8,482.2,490.0,-0.41,"1,831.00","889,938.00"
43,2025-12-10,483.2,497.6,483.2,492.0,-0.2,"5,721.00","2,801,559.60"
44,2025-12-09,481.2,497.0,472.5,493.0,0.41,"5,846.00","2,876,924.10"
45,2025-12-08,520.2,520.2,481.0,491.0,-3.73,"8,506.00","4,185,432.10"
46,2025-12-07,474.4,512.0,470.0,510.0,5.37,"4,791.00","2,285,043.00"
47,2025-12-03,477.3,486.8,477.3,484.0,-0.62,"1,349.00","648,211.00"
