S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-23,450.90,450.90,431.00,437.90,-1.53,"13,788.00","6,011,149.00"
2,2026-02-22,449.0,455.0,442.1,444.7,-1.4,"17,282.00","7,733,168.80"
3,2026-02-17,463.0,463.0,450.0,451.0,-0.66,"27,145.00","12,348,482.30"
4,2026-02-16,452.0,460.0,450.0,454.0,0.2,"35,422.00","16,102,117.70"
5,2026-02-12,445.0,459.0,445.0,453.1,0.02,"19,184.00","8,716,427.30"
6,2026-02-11,461.0,461.0,448.0,453.0,-0.4,"10,408.00","4,716,434.90"
7,2026-02-10,458.9,458.9,442.0,454.8,0.62,"19,490.00","8,805,578.80"
8,2026-02-09,458.9,459.0,442.0,452.0,0.27,"22,560.00","10,088,239.00"
9,2026-02-08,458.0,460.0,450.0,450.8,0.18,"21,642.00","9,842,572.10"
10,2026-02-05,443.0,462.0,440.2,450.0,0.9,"22,016.00","10,002,520.40"
11,2026-02-04,438.2,451.4,438.2,446.0,0.27,"19,374.00","8,642,520.00"
12,2026-02-03,440.2,451.8,440.1,444.8,-0.27,"16,834.00","7,472,702.50"
13,2026-02-02,445.0,456.8,445.0,446.0,-0.87,"17,282.00","7,749,601.80"
14,2026-02-01,461.9,464.5,445.0,449.9,-0.9,"30,411.00","13,694,049.30"
15,2026-01-29,475.0,479.9,449.0,454.0,-3.67,"47,239.00","22,023,941.40"
16,2026-01-28,431.0,478.0,431.0,471.3,7.24,"91,698.00","42,152,542.90"
17,2026-01-27,445.1,458.0,436.2,439.5,-3.19,"51,847.00","23,244,059.90"
18,2026-01-26,455.0,457.0,442.0,454.0,-0.22,"50,209.00","22,590,333.80"
19,2026-01-25,441.0,460.0,441.0,455.0,1.34,"41,698.00","19,006,368.60"
20,2026-01-22,440.1,449.0,436.2,449.0,2.05,"25,395.00","11,246,288.90"
21,2026-01-21,443.0,448.8,435.0,440.0,-0.23,"35,630.00","15,721,726.00"
22,2026-01-20,430.1,446.2,430.0,441.0,2.82,"69,504.00","30,578,761.30"
23,2026-01-18,423.0,434.8,423.0,428.9,0.68,"23,194.00","9,929,143.90"
24,2026-01-14,425.0,432.9,416.5,426.0,-1.37,"58,105.00","24,503,968.00"
25,2026-01-13,420.0,434.8,420.0,431.9,2.06,"17,131.00","7,394,025.20"
26,2026-01-12,421.2,432.0,421.2,423.2,-1.12,"18,960.00","8,057,028.70"
27,2026-01-08,422.0,431.0,422.0,428.0,-0.47,"17,523.00","7,504,250.60"
28,2026-01-07,430.0,435.0,427.2,430.0,-0.92,"12,016.00","5,182,834.90"
29,2026-01-06,445.0,447.7,433.0,434.0,-1.79,"14,140.00","6,230,260.10"
30,2026-01-05,430.9,443.8,422.6,441.9,4.47,"30,027.00","13,017,915.30"
31,2026-01-04,427.8,431.9,419.3,423.0,-0.94,"19,732.00","8,412,497.90"
32,2026-01-01,426.2,437.8,424.0,427.0,-0.93,"17,738.00","7,589,023.90"
33,2025-12-31,435.0,450.0,428.0,431.0,0.68,"36,017.00","15,535,844.30"
34,2025-12-29,434.0,440.0,428.0,428.1,-0.97,"17,542.00","7,579,538.60"
35,2025-12-28,420.0,440.0,420.0,432.3,1.72,"18,640.00","8,079,138.30"
36,2025-12-24,438.0,438.0,424.1,425.0,-1.16,"19,844.00","8,450,824.70"
37,2025-12-23,422.1,436.0,422.1,430.0,0.0,"23,716.00","10,183,942.30"
38,2025-12-22,440.0,440.0,425.2,430.0,-2.05,"34,160.00","14,639,545.80"
39,2025-12-21,449.9,451.1,426.5,439.0,-4.36,"45,801.00","20,105,213.60"
40,2025-12-18,460.1,464.0,450.1,459.0,-1.27,"36,588.00","16,722,501.30"
41,2025-12-17,451.8,479.0,443.0,464.9,0.85,"104,882.00","49,532,209.80"
42,2025-12-16,445.0,466.0,445.0,461.0,1.54,"14,598.00","6,727,293.80"
43,2025-12-15,474.8,474.8,452.2,454.0,-2.58,"10,603.00","4,897,623.60"
44,2025-12-14,470.1,481.9,465.0,466.0,-1.69,"11,036.00","5,199,132.80"
45,2025-12-11,465.0,476.0,460.0,474.0,1.61,"31,947.00","15,013,255.70"
46,2025-12-10,476.0,482.0,466.5,466.5,-3.62,"17,663.00","8,331,679.60"
47,2025-12-09,485.1,493.0,480.0,484.0,-1.18,"26,077.00","12,671,208.70"
48,2025-12-08,480.0,494.9,480.0,489.8,0.16,"57,948.00","28,405,991.60"
49,2025-12-07,473.9,492.0,472.0,489.0,1.14,"83,573.00","40,369,697.10"
50,2025-12-03,484.2,484.2,457.0,483.5,1.83,"62,265.00","29,692,116.80"
51,2025-12-02,474.3,476.0,456.0,474.8,2.11,"34,182.00","16,039,610.20"
52,2025-12-01,433.0,465.0,432.2,465.0,5.44,"37,803.00","17,013,776.20"
53,2025-11-30,436.0,450.9,431.0,441.0,-0.23,"38,643.00","17,019,346.90"
54,2025-11-27,436.0,445.0,427.0,442.0,0.48,"25,022.00","10,966,296.60"
55,2025-11-26,433.0,441.0,428.0,439.9,-0.02,"11,654.00","5,079,558.40"
56,2025-11-25,442.0,449.8,434.2,440.0,1.03,"26,717.00","11,754,868.00"
57,2025-11-24,421.1,435.5,421.1,435.5,3.69,"31,023.00","13,342,781.40"
