S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-05,279.00,303.60,276.30,303.60,10.00,"173,689.00","51,409,587.80"
2,2026-02-04,275.00,281.90,271.60,276.00,-1.04,"14,908.00","4,108,286.60"
3,2026-02-03,274.6,282.0,272.0,278.9,-0.36,"22,412.00","6,169,441.80"
4,2026-02-02,280.0,285.0,277.0,279.9,-0.74,"15,297.00","4,268,068.50"
5,2026-02-01,290.7,290.7,278.1,282.0,-1.05,"21,471.00","6,019,616.80"
6,2026-01-29,278.4,293.7,278.2,285.0,0.71,"52,996.00","15,296,716.20"
7,2026-01-28,280.0,303.9,272.3,283.0,0.75,"39,934.00","11,276,010.70"
8,2026-01-27,285.0,294.7,278.0,280.9,-3.14,"38,162.00","10,790,914.80"
9,2026-01-26,293.9,305.0,282.6,290.0,0.17,"47,589.00","13,701,481.50"
10,2026-01-25,275.0,300.0,275.0,289.5,3.36,"42,523.00","12,232,014.60"
11,2026-01-22,274.0,283.0,274.0,280.1,0.43,"37,359.00","10,404,981.90"
12,2026-01-21,274.4,279.9,272.0,278.9,1.6,"25,748.00","7,114,835.80"
13,2026-01-20,270.0,278.3,269.0,274.5,2.62,"35,641.00","9,767,860.70"
14,2026-01-18,265.1,271.0,265.1,267.5,0.19,"13,063.00","3,500,711.90"
15,2026-01-14,265.0,272.0,265.0,267.0,-0.3,"13,827.00","3,715,125.80"
16,2026-01-13,270.9,270.9,265.0,267.8,0.83,"13,952.00","3,721,977.40"
17,2026-01-12,263.4,272.8,263.4,265.6,-1.15,"9,498.00","2,550,013.30"
18,2026-01-08,273.9,273.9,266.0,268.7,-0.11,"9,631.00","2,586,346.40"
19,2026-01-07,269.8,272.9,267.0,269.0,-1.47,"16,095.00","4,342,597.90"
20,2026-01-06,267.8,279.9,267.8,273.0,2.52,"37,029.00","10,181,941.30"
21,2026-01-05,265.0,269.5,263.2,266.3,0.49,"15,811.00","4,219,022.10"
22,2026-01-04,265.2,270.0,264.0,265.0,-0.93,"8,432.00","2,237,564.60"
23,2026-01-01,268.0,270.0,266.0,267.5,-0.85,"17,464.00","4,666,972.10"
24,2025-12-31,265.0,279.4,265.0,269.8,-0.04,"15,671.00","4,243,681.50"
25,2025-12-29,267.0,275.9,267.0,269.9,-0.77,"14,072.00","3,809,252.60"
26,2025-12-28,264.1,272.0,264.1,272.0,2.64,"16,062.00","4,327,127.00"
27,2025-12-24,262.1,267.3,262.1,265.0,-0.38,"8,983.00","2,372,393.30"
28,2025-12-23,260.1,268.9,260.0,266.0,0.76,"17,721.00","4,643,176.10"
29,2025-12-22,265.0,267.0,261.1,264.0,-0.38,"17,209.00","4,529,707.40"
30,2025-12-21,271.5,275.0,255.0,265.0,-1.89,"52,774.00","13,993,928.70"
31,2025-12-18,275.0,279.7,270.0,270.1,-3.02,"59,513.00","16,287,879.10"
32,2025-12-17,280.0,282.0,275.5,278.5,-0.89,"22,171.00","6,161,993.30"
33,2025-12-16,272.6,293.0,272.6,281.0,1.04,"48,498.00","13,742,846.00"
34,2025-12-15,279.5,284.0,276.4,278.1,-0.32,"10,043.00","2,801,385.50"
35,2025-12-14,279.0,286.0,278.0,279.0,-1.41,"9,912.00","2,776,851.40"
36,2025-12-11,281.7,289.0,280.0,283.0,-0.28,"31,424.00","8,899,590.50"
37,2025-12-10,284.2,290.0,281.5,283.8,-1.11,"13,122.00","3,741,655.90"
38,2025-12-09,290.0,291.7,285.0,287.0,0.35,"9,836.00","2,829,017.00"
39,2025-12-08,283.4,300.0,283.0,286.0,-1.04,"66,718.00","19,054,089.90"
40,2025-12-07,294.0,294.0,283.5,289.0,-0.14,"24,614.00","7,031,367.50"
41,2025-12-03,290.2,299.0,287.0,289.4,-2.23,"21,799.00","6,325,543.40"
42,2025-12-02,296.8,302.0,281.1,296.0,1.72,"32,914.00","9,748,394.30"
43,2025-12-01,297.7,297.7,283.0,291.0,-0.31,"16,180.00","4,691,233.50"
44,2025-11-30,293.0,299.9,288.6,291.9,-1.39,"26,942.00","7,866,084.70"
45,2025-11-27,299.0,300.0,292.0,296.0,-0.54,"16,582.00","4,874,953.20"
46,2025-11-26,297.0,302.9,291.1,297.6,0.92,"45,299.00","13,420,799.70"
47,2025-11-25,301.9,301.9,290.1,294.9,-0.37,"13,120.00","3,836,223.10"
48,2025-11-24,297.0,301.5,291.2,296.0,-1.3,"67,575.00","19,950,907.80"
49,2025-11-23,307.8,327.0,295.0,299.9,-4.49,"126,923.00","38,617,815.50"
50,2025-11-20,304.0,324.3,292.2,314.0,3.29,"149,132.00","45,896,762.60"
51,2025-11-19,280.1,304.0,276.2,304.0,6.37,"106,190.00","31,254,053.40"
52,2025-11-18,280.0,288.7,280.0,285.8,0.32,"14,639.00","4,163,853.40"
53,2025-11-17,276.0,286.6,276.0,284.9,1.75,"16,977.00","4,774,902.20"
54,2025-11-16,282.0,287.0,272.1,280.0,1.08,"24,727.00","6,910,857.90"
55,2025-11-13,274.2,283.0,274.2,277.0,-0.4,"17,485.00","4,888,665.30"
56,2025-11-12,269.9,283.5,269.9,278.1,0.98,"48,521.00","13,551,339.30"
57,2025-11-11,266.2,277.0,264.0,275.4,3.46,"32,756.00","8,929,923.50"
58,2025-11-10,265.1,274.9,259.8,266.2,-1.59,"12,878.00","3,456,940.70"
59,2025-11-09,270.0,275.0,268.3,270.5,0.74,"28,691.00","7,829,205.40"
60,2025-11-06,272.5,279.8,268.5,268.5,-3.07,"25,259.00","6,872,320.10"
61,2025-11-05,272.0,277.0,271.0,277.0,0.29,"11,864.00","3,232,605.00"
62,2025-11-04,281.0,284.9,275.4,276.2,-1.71,"6,309.00","1,751,186.70"
63,2025-11-03,283.0,288.6,278.0,281.0,-2.06,"12,291.00","3,460,498.10"
64,2025-11-02,274.1,287.0,274.1,286.9,3.61,"28,457.00","8,022,700.80"
65,2025-10-30,279.9,280.0,271.5,276.9,0.14,"8,247.00","2,282,517.40"
66,2025-10-29,273.4,283.0,270.0,276.5,-0.79,"37,187.00","10,237,136.30"
67,2025-10-28,266.9,279.0,265.5,278.7,2.35,"21,948.00","6,062,382.70"
68,2025-10-26,268.3,272.3,260.0,272.3,-0.51,"6,513.00","1,724,296.80"
69,2025-10-19,265.0,273.7,263.0,273.7,1.75,"8,478.00","2,256,954.50"
70,2025-10-16,279.9,280.0,262.0,269.0,-2.39,"15,813.00","4,236,212.80"
71,2025-10-15,275.0,275.6,270.0,275.6,-1.5,"12,759.00","3,465,504.30"
72,2025-10-14,277.0,280.0,272.6,279.8,-0.78,"5,397.00","1,488,808.90"
73,2025-10-13,276.4,282.0,268.0,282.0,0.0,"15,569.00","4,310,847.00"
74,2025-10-12,284.2,284.3,273.3,282.0,-2.73,"14,904.00","4,148,711.20"
75,2025-10-09,289.0,305.0,283.3,289.9,2.08,"18,259.00","5,265,563.30"
76,2025-10-08,287.0,287.0,276.0,284.0,-1.35,"13,471.00","3,766,093.80"
77,2025-10-07,300.0,303.0,286.0,287.9,-3.39,"8,967.00","2,585,644.50"
78,2025-09-28,299.8,304.0,288.5,298.0,1.36,"8,391.00","2,480,087.50"
79,2025-09-25,285.3,306.0,285.3,294.0,1.03,"11,124.00","3,244,249.20"
80,2025-09-24,290.1,294.0,288.1,291.0,-1.66,"4,646.00","1,345,727.00"
81,2025-09-23,290.0,296.0,287.0,295.9,2.39,"14,951.00","4,374,957.70"
82,2025-09-21,275.0,296.5,269.5,289.0,3.02,"20,304.00","5,749,845.50"
83,2025-09-08,280.0,286.0,280.0,280.54,-1.2,"13,930.00","3,920,517.40"
84,2025-09-07,286.0,288.1,282.5,283.96,-1.64,"11,756.00","3,352,692.50"
85,2025-09-04,290.0,290.1,286.1,288.69,-0.67,"18,636.00","5,376,941.30"
86,2025-09-03,290.1,296.4,290.1,290.65,-1.22,"14,170.00","4,127,205.00"
87,2025-09-02,292.0,298.9,292.0,294.24,-0.86,"16,268.00","4,786,140.30"
88,2025-09-01,300.0,300.0,294.0,296.8,-0.29,"17,249.00","5,108,205.20"
89,2025-08-31,295.8,300.0,295.79,297.65,-0.39,"13,538.00","4,014,770.51"
90,2025-08-28,302.1,308.9,298.0,298.83,-2.08,"35,379.00","10,655,224.90"
91,2025-08-27,298.0,306.0,298.0,305.18,1.05,"14,370.00","4,374,398.60"
92,2025-08-26,297.0,303.0,296.0,302.02,0.68,"12,670.00","3,803,412.20"
93,2025-08-25,295.0,301.0,295.0,299.99,0.88,"16,714.00","4,981,558.90"
94,2025-08-24,304.8,304.8,295.0,297.38,-0.5,"11,878.00","3,532,143.60"
95,2025-08-21,302.0,304.9,298.0,298.87,-1.11,"23,290.00","6,980,605.80"
96,2025-08-20,301.6,307.0,301.5,302.23,-1.13,"17,044.00","5,155,036.40"
