S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-09,272.00,279.00,268.00,272.00,-1.81,"24,024.00","6,544,142.80"
2,2026-02-08,279.8,285.0,274.4,277.0,0.0,"27,315.00","7,586,530.40"
3,2026-02-05,270.0,286.8,266.6,277.0,3.09,"54,806.00","15,140,183.40"
4,2026-02-04,273.3,278.0,263.2,268.7,0.26,"41,517.00","11,133,737.70"
5,2026-02-03,277.9,278.0,263.2,268.0,-1.69,"36,163.00","9,734,988.90"
6,2026-02-02,271.0,281.5,265.1,272.6,-1.23,"22,766.00","6,272,401.80"
7,2026-02-01,277.0,283.0,269.4,276.0,1.1,"59,646.00","16,537,175.20"
8,2026-01-29,286.0,295.7,265.1,273.0,-4.55,"119,793.00","34,489,137.70"
9,2026-01-28,274.4,288.7,274.3,286.0,2.14,"83,587.00","23,642,621.40"
10,2026-01-27,301.8,307.0,272.0,280.0,-5.37,"141,038.00","41,638,419.00"
11,2026-01-26,267.1,295.9,260.1,295.9,10.0,"198,740.00","56,059,157.40"
12,2026-01-25,266.1,269.0,264.0,269.0,0.04,"35,548.00","9,483,907.10"
13,2026-01-22,253.0,269.9,250.0,268.9,6.5,"70,480.00","18,237,862.90"
14,2026-01-21,252.6,254.9,248.0,252.5,0.6,"31,787.00","7,987,003.70"
15,2026-01-20,242.0,251.0,242.0,251.0,2.03,"22,062.00","5,501,916.10"
16,2026-01-18,242.9,246.0,240.1,246.0,2.93,"15,237.00","3,695,394.40"
17,2026-01-14,244.8,247.0,239.0,239.0,-0.42,"10,180.00","2,453,940.80"
18,2026-01-13,239.9,243.9,238.0,240.0,-0.83,"5,882.00","1,416,912.10"
19,2026-01-12,240.0,244.4,232.0,242.0,-0.82,"26,053.00","6,214,850.50"
20,2026-01-08,240.0,244.0,239.1,244.0,0.54,"10,487.00","2,534,227.10"
21,2026-01-07,245.9,245.9,240.0,242.7,-0.86,"9,383.00","2,259,939.90"
22,2026-01-06,244.0,246.6,240.4,244.8,0.2,"8,918.00","2,166,066.80"
23,2026-01-05,247.6,247.6,239.3,244.3,0.53,"22,893.00","5,529,562.50"
24,2026-01-04,238.1,244.0,238.1,243.0,0.79,"5,945.00","1,437,713.60"
25,2026-01-01,250.0,250.0,240.1,241.1,-2.39,"11,425.00","2,763,149.30"
26,2025-12-31,246.0,248.0,243.5,247.0,0.45,"18,161.00","4,443,309.50"
27,2025-12-29,246.0,247.9,244.3,245.9,0.37,"5,420.00","1,331,075.80"
28,2025-12-28,239.5,250.0,239.5,245.0,1.41,"15,096.00","3,698,822.60"
29,2025-12-24,242.3,243.0,241.5,241.6,-1.35,"6,887.00","1,666,640.00"
30,2025-12-23,241.0,244.9,241.0,244.9,0.82,"2,635.00","639,953.70"
31,2025-12-22,241.0,243.9,240.0,242.9,-1.14,"9,646.00","2,332,872.90"
32,2025-12-21,250.0,250.0,242.0,245.7,-0.41,"14,235.00","3,462,804.30"
33,2025-12-18,248.0,248.9,245.0,246.7,-1.63,"5,413.00","1,331,715.40"
34,2025-12-17,259.0,259.0,246.0,250.8,-1.26,"17,217.00","4,281,942.10"
35,2025-12-16,252.9,260.0,247.8,254.0,1.64,"20,529.00","5,178,059.20"
36,2025-12-15,244.6,250.0,242.5,249.9,0.2,"7,769.00","1,918,890.00"
37,2025-12-14,250.9,261.0,243.1,249.4,1.38,"17,830.00","4,412,000.70"
38,2025-12-11,242.6,247.0,242.6,246.0,-0.2,"9,919.00","2,423,782.00"
39,2025-12-10,243.0,249.6,242.9,246.5,0.2,"13,555.00","3,315,947.10"
40,2025-12-09,242.1,248.0,240.7,246.0,0.41,"5,224.00","1,278,915.50"
41,2025-12-08,240.2,247.0,240.2,245.0,0.04,"9,634.00","2,354,811.40"
42,2025-12-07,244.3,246.0,242.1,244.9,-0.45,"2,642.00","642,699.80"
43,2025-12-03,258.0,258.0,245.6,246.0,-2.77,"13,142.00","3,261,452.20"
44,2025-12-02,249.2,255.5,248.1,253.0,0.2,"10,119.00","2,538,764.60"
45,2025-12-01,252.7,252.7,250.0,252.5,-0.12,"5,309.00","1,331,880.50"
46,2025-11-30,246.3,261.3,246.3,252.8,0.6,"17,847.00","4,507,781.60"
47,2025-11-27,250.5,258.0,250.5,251.3,-1.06,"24,169.00","6,161,650.50"
48,2025-11-26,253.2,259.0,253.2,254.0,-1.55,"9,307.00","2,375,285.70"
49,2025-11-25,255.1,259.8,252.3,258.0,-0.39,"14,408.00","3,682,946.30"
50,2025-11-24,259.0,264.0,255.1,259.0,0.0,"25,425.00","6,569,163.70"
51,2025-11-23,262.0,272.3,248.0,259.0,0.78,"12,675.00","3,289,124.90"
52,2025-11-20,253.0,259.8,244.0,257.0,-0.19,"44,210.00","11,254,743.40"
53,2025-11-19,260.0,260.0,244.9,257.5,0.78,"16,758.00","4,257,625.30"
54,2025-11-18,244.5,256.0,239.8,255.5,4.8,"44,085.00","11,078,635.60"
55,2025-11-17,242.7,247.0,235.6,243.8,2.44,"25,165.00","6,016,730.90"
56,2025-11-16,244.0,246.7,238.0,238.0,-0.83,"17,772.00","4,270,152.30"
57,2025-11-13,235.2,240.0,235.2,240.0,0.0,"9,110.00","2,169,857.30"
58,2025-11-12,236.4,240.0,236.4,240.0,-0.12,"5,532.00","1,317,489.60"
59,2025-11-11,236.3,241.0,236.0,240.3,0.13,"6,466.00","1,536,524.60"
