S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-23,316.90,318.00,311.00,312.10,-1.55,"27,795.00","8,725,520.40"
2,2026-02-22,323.3,323.3,313.0,317.0,0.0,"40,902.00","12,946,991.60"
3,2026-02-17,320.1,323.9,315.0,317.0,-0.63,"53,960.00","17,122,445.30"
4,2026-02-16,325.0,325.0,318.0,319.0,-1.24,"49,624.00","15,869,859.10"
5,2026-02-12,329.0,329.0,319.1,323.0,-0.06,"76,237.00","24,566,653.10"
6,2026-02-11,330.0,343.3,322.0,323.2,-2.06,"64,613.00","21,121,070.20"
7,2026-02-10,337.0,346.8,324.5,330.0,-0.33,"92,194.00","31,029,748.40"
8,2026-02-09,343.0,349.6,317.0,331.1,-5.4,"378,030.00","124,199,445.90"
9,2026-02-08,340.0,364.8,334.0,350.0,4.29,"56,569.00","19,842,095.60"
10,2026-02-05,348.0,351.0,335.6,335.6,-3.78,"53,777.00","18,307,157.80"
11,2026-02-04,340.0,349.9,339.0,348.8,1.4,"33,545.00","11,539,372.60"
12,2026-02-03,355.0,358.9,340.0,344.0,-2.55,"28,394.00","9,716,056.90"
13,2026-02-02,359.0,359.0,340.0,353.0,0.28,"33,775.00","11,654,394.60"
14,2026-02-01,370.0,370.0,345.0,352.0,-3.3,"35,692.00","12,542,652.20"
15,2026-01-29,379.0,381.5,357.8,364.0,-2.39,"40,862.00","15,130,222.40"
16,2026-01-28,376.0,380.0,368.0,372.9,-0.82,"33,876.00","12,645,843.90"
17,2026-01-27,347.0,381.0,341.1,376.0,8.36,"68,232.00","24,621,775.20"
18,2026-01-26,357.0,357.0,340.1,347.0,-0.86,"21,202.00","7,373,233.00"
19,2026-01-25,350.0,350.0,343.5,350.0,1.77,"38,547.00","13,407,318.40"
20,2026-01-22,342.0,343.9,335.0,343.9,1.99,"18,063.00","6,139,732.40"
21,2026-01-21,350.9,352.4,337.1,337.2,-2.82,"32,046.00","10,934,237.20"
22,2026-01-20,353.0,353.0,342.1,347.0,0.0,"23,910.00","8,261,974.50"
23,2026-01-18,352.0,352.8,336.0,347.0,0.32,"23,157.00","7,924,860.80"
24,2026-01-14,338.0,345.9,335.0,345.9,1.74,"9,968.00","3,391,533.10"
25,2026-01-13,337.2,340.0,332.2,340.0,0.89,"20,807.00","6,981,092.00"
26,2026-01-12,350.0,354.0,337.0,337.0,-3.71,"9,781.00","3,353,734.30"
27,2026-01-08,348.0,350.0,340.0,350.0,0.06,"11,133.00","3,843,447.50"
28,2026-01-07,348.0,352.0,342.2,349.8,-1.19,"15,907.00","5,510,736.90"
29,2026-01-06,354.0,360.0,349.2,354.0,-0.28,"12,753.00","4,490,907.10"
30,2026-01-05,356.5,356.5,344.0,355.0,1.43,"18,311.00","6,393,981.60"
31,2026-01-04,353.0,359.5,343.0,350.0,-1.96,"8,619.00","3,022,062.00"
32,2026-01-01,356.1,357.0,351.0,357.0,-0.28,"8,785.00","3,100,652.30"
33,2025-12-31,355.0,363.0,355.0,358.0,-1.08,"6,263.00","2,239,302.20"
34,2025-12-29,366.0,370.0,356.8,361.9,-0.85,"9,325.00","3,341,815.70"
35,2025-12-28,356.0,366.0,356.0,365.0,2.24,"5,643.00","2,039,257.60"
36,2025-12-24,367.0,367.0,357.0,357.0,-1.92,"5,569.00","1,995,378.00"
37,2025-12-23,366.0,367.5,353.3,364.0,-0.25,"5,701.00","2,051,359.50"
38,2025-12-22,355.0,367.6,350.5,364.9,0.91,"10,081.00","3,638,731.80"
39,2025-12-21,365.1,366.7,361.2,361.6,-2.24,"6,585.00","2,388,707.70"
40,2025-12-18,367.4,387.0,360.1,369.9,-1.31,"22,913.00","8,382,023.80"
41,2025-12-17,390.0,390.0,367.9,374.8,-2.32,"23,075.00","8,564,093.80"
42,2025-12-16,372.0,383.7,370.5,383.7,1.53,"1,868.00","699,998.70"
43,2025-12-15,366.7,377.9,359.5,377.9,1.02,"9,478.00","3,507,155.40"
44,2025-12-14,383.2,384.0,370.5,374.1,-4.05,"8,297.00","3,148,690.60"
45,2025-12-11,386.2,401.4,380.7,389.9,-1.04,"5,539.00","2,132,156.50"
46,2025-12-10,393.0,398.0,390.0,394.0,-0.66,"6,567.00","2,575,219.00"
47,2025-12-09,395.0,397.0,380.2,396.6,1.69,"6,392.00","2,516,172.60"
48,2025-12-08,382.5,397.5,382.5,390.0,0.0,"4,170.00","1,622,423.90"
49,2025-12-07,400.0,400.0,384.6,390.0,-1.27,"2,877.00","1,121,191.00"
50,2025-12-03,392.0,399.0,388.0,395.0,0.03,"10,478.00","4,105,826.10"
51,2025-12-02,389.2,404.1,383.0,394.9,-0.53,"5,758.00","2,251,069.80"
52,2025-12-01,381.0,401.0,381.0,397.0,2.32,"11,924.00","4,670,411.00"
53,2025-11-30,389.2,409.8,388.0,388.0,-1.52,"12,123.00","4,792,347.70"
54,2025-11-27,397.9,408.7,390.0,394.0,-2.96,"8,762.00","3,484,588.00"
55,2025-11-26,414.9,414.9,396.0,406.0,-0.25,"6,410.00","2,584,127.50"
56,2025-11-25,402.7,410.0,402.5,407.0,-0.71,"14,734.00","5,969,536.00"
57,2025-11-24,390.2,409.9,390.2,409.9,2.99,"16,092.00","6,482,646.50"
58,2025-11-23,386.0,399.0,380.0,398.0,1.25,"7,306.00","2,878,563.60"
59,2025-11-20,379.0,400.0,371.5,393.1,1.87,"11,176.00","4,347,950.10"
60,2025-11-19,375.0,386.0,368.0,385.9,1.55,"9,761.00","3,665,529.60"
61,2025-11-18,363.0,392.0,363.0,380.0,2.7,"4,984.00","1,879,289.80"
62,2025-11-17,360.2,371.9,353.3,370.0,0.74,"4,920.00","1,794,575.00"
63,2025-11-16,357.7,367.3,355.3,367.3,0.66,"3,622.00","1,312,753.80"
