S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-03-01,544.10,565.00,544.10,565.00,1.77,"11,387.00","6,379,268.00"
2,2026-02-26,562.0,562.0,552.8,555.2,-0.14,"5,844.00","3,246,457.60"
3,2026-02-25,558.3,563.9,556.0,556.0,-0.41,"3,869.00","2,164,961.90"
4,2026-02-24,552.1,564.8,552.1,558.3,-0.3,"4,845.00","2,703,812.10"
5,2026-02-23,569.0,569.0,552.1,560.0,-1.41,"9,000.00","5,017,597.00"
6,2026-02-22,580.0,591.6,568.0,568.0,-2.07,"8,354.00","4,774,531.40"
7,2026-02-17,577.0,580.0,572.0,580.0,0.42,"14,275.00","8,208,400.90"
8,2026-02-16,577.0,584.0,577.0,577.6,-0.93,"7,005.00","4,061,399.80"
9,2026-02-12,589.0,591.8,581.0,583.0,0.45,"10,910.00","6,367,300.00"
10,2026-02-11,585.0,594.7,578.5,580.4,-0.7,"11,064.00","6,439,984.70"
11,2026-02-10,596.9,596.9,580.4,584.5,-0.26,"8,262.00","4,815,492.70"
12,2026-02-09,599.8,599.8,583.0,586.0,-0.85,"19,118.00","11,253,740.10"
13,2026-02-08,610.0,610.0,591.0,591.0,-2.8,"15,551.00","9,333,154.80"
14,2026-02-05,600.0,609.9,590.0,608.0,2.88,"21,936.00","13,114,738.20"
15,2026-02-04,599.0,604.5,588.0,591.0,-1.17,"14,602.00","8,671,220.00"
16,2026-02-03,600.1,600.1,588.2,598.0,-0.33,"12,654.00","7,485,194.40"
17,2026-02-02,611.0,612.0,590.0,600.0,0.0,"17,243.00","10,281,653.70"
18,2026-02-01,614.9,614.9,590.0,600.0,-0.74,"19,293.00","11,564,418.40"
19,2026-01-29,609.1,621.0,602.0,604.5,-0.72,"41,366.00","25,434,612.70"
20,2026-01-28,591.1,612.8,591.0,608.9,2.32,"61,960.00","37,318,667.90"
21,2026-01-27,595.9,615.0,595.0,595.1,0.02,"49,429.00","29,867,007.50"
22,2026-01-26,590.0,596.0,583.0,595.0,0.34,"37,860.00","22,303,991.90"
23,2026-01-25,591.9,593.0,577.0,593.0,2.19,"72,746.00","42,317,927.50"
24,2026-01-22,596.0,596.0,579.0,580.3,-0.97,"79,031.00","45,918,891.50"
25,2026-01-21,595.0,600.0,585.7,586.0,-1.2,"19,080.00","11,250,900.80"
26,2026-01-20,602.0,605.0,592.6,593.1,0.02,"14,789.00","8,828,251.20"
27,2026-01-18,590.0,597.0,588.0,593.0,1.02,"15,014.00","8,852,624.30"
28,2026-01-14,590.3,611.0,585.0,587.0,-2.17,"20,011.00","11,971,175.90"
29,2026-01-13,606.0,606.0,583.2,600.0,0.84,"20,149.00","11,869,319.90"
30,2026-01-12,601.0,609.0,588.0,595.0,-0.83,"24,982.00","14,757,137.60"
31,2026-01-08,590.1,623.2,588.0,600.0,0.42,"40,733.00","24,316,694.00"
32,2026-01-07,600.0,600.0,588.0,597.5,-0.42,"15,674.00","9,292,485.70"
33,2026-01-06,597.0,620.8,597.0,600.0,-1.48,"19,184.00","11,548,069.80"
34,2026-01-05,593.9,621.9,593.9,609.0,0.5,"55,313.00","33,210,074.20"
35,2026-01-04,602.6,619.0,594.3,606.0,-1.43,"25,656.00","15,400,520.70"
36,2026-01-01,620.0,654.0,605.0,614.8,-1.95,"24,698.00","15,302,043.00"
37,2025-12-31,605.5,650.0,605.5,627.0,1.49,"37,956.00","23,864,202.50"
38,2025-12-29,600.8,625.0,600.8,617.8,0.78,"22,383.00","13,813,453.90"
39,2025-12-28,602.0,626.0,598.0,613.0,1.01,"18,193.00","11,023,952.40"
40,2025-12-24,592.9,629.0,582.0,606.9,0.31,"18,668.00","11,271,054.60"
41,2025-12-23,573.5,626.0,573.5,605.0,3.38,"21,808.00","13,098,899.40"
42,2025-12-22,603.5,609.6,585.1,585.2,-3.03,"28,318.00","16,742,312.50"
43,2025-12-21,617.0,625.0,600.0,603.5,-3.44,"21,264.00","12,974,224.60"
44,2025-12-18,610.7,646.0,610.7,625.0,0.3,"30,671.00","19,063,075.80"
