S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-16,810.00,830.00,810.00,820.00,0.59,"3,306.00","2,725,084.90"
2,2026-02-12,810.40,846.00,810.40,815.20,0.02,"1,508.00","1,248,643.60"
3,2026-02-11,827.00,836.00,811.00,815.00,0.49,"4,997.00","4,097,623.30"
4,2026-02-10,815.00,820.00,811.00,811.00,-1.1,995.00,"808,575.00"
5,2026-02-09,821.10,822.00,810.00,820.00,0.0,"2,190.00","1,786,532.00"
6,2026-02-08,810.70,826.00,810.70,820.00,-0.36,654.00,"535,971.00"
7,2026-02-05,806.00,829.00,806.00,823.00,0.37,975.00,"800,791.40"
8,2026-02-04,810.00,825.90,810.00,820.00,-0.13,"1,697.00","1,398,459.70"
9,2026-02-03,820.10,827.00,805.00,821.10,-0.35,"2,398.00","1,952,252.40"
10,2026-02-02,818.00,830.00,818.00,824.00,-0.72,560.00,"461,040.00"
11,2026-02-01,830.00,846.00,821.00,830.00,0.0,"5,185.00","4,323,298.60"
12,2026-01-29,820.00,877.00,820.00,830.00,0.12,"3,154.00","2,648,131.50"
13,2026-01-28,815.00,829.00,815.00,829.00,0.61,"1,110.00","909,938.00"
14,2026-01-27,826.00,836.00,823.00,824.00,-1.08,"2,130.00","1,763,533.00"
15,2026-01-26,840.00,840.00,825.00,833.00,-0.83,"1,295.00","1,074,022.00"
16,2026-01-25,825.00,850.00,821.00,840.00,1.82,"2,880.00","2,415,776.10"
17,2026-01-22,820.00,830.00,815.00,825.00,0.72,"3,682.00","3,031,057.80"
18,2026-01-21,820.00,836.00,815.00,819.10,-0.11,"2,805.00","2,306,502.00"
19,2026-01-20,820.00,833.00,820.00,820.00,-1.2,"4,814.00","3,959,603.00"
20,2026-01-18,815.00,843.50,815.00,830.00,0.0,436.00,"361,366.20"
21,2026-01-14,825.00,830.00,815.10,830.00,-0.24,"1,244.00","1,023,383.80"
22,2026-01-13,815.00,832.00,813.00,832.00,0.48,"1,923.00","1,583,452.00"
23,2026-01-12,815.00,828.00,814.00,828.00,-0.24,"2,005.00","1,635,615.00"
24,2026-01-08,814.10,830.00,807.00,830.00,1.69,856.00,"701,572.00"
25,2026-01-07,817.00,841.00,815.00,816.20,-1.07,"1,123.00","926,222.00"
26,2026-01-06,825.00,825.00,817.10,825.00,0.12,"1,600.00","1,311,926.40"
27,2026-01-05,830.00,830.00,815.00,824.00,-0.72,"1,215.00","995,047.00"
28,2026-01-04,840.00,863.00,830.00,830.00,-1.19,"1,970.00","1,653,566.00"
29,2026-01-01,835.10,840.00,830.00,840.00,-0.67,"2,141.00","1,790,640.80"
30,2025-12-31,864.00,865.00,845.20,845.70,-0.97,922.00,"784,789.00"
31,2025-12-29,875.00,875.00,835.00,854.00,-2.29,"7,945.00","6,756,275.50"
32,2025-12-28,800.10,878.00,800.10,874.00,9.49,"6,407.00","5,367,099.40"
33,2025-12-24,911.00,920.00,908.10,918.00,1.34,"2,958.00","2,702,289.50"
34,2025-12-23,897.00,909.00,895.50,905.90,1.08,"2,225.00","2,014,022.00"
35,2025-12-22,912.00,912.00,896.20,896.20,-1.29,"1,625.00","1,461,845.90"
36,2025-12-21,897.00,914.00,896.10,907.90,0.21,830.00,"751,723.00"
37,2025-12-18,890.20,906.00,890.20,906.00,0.67,"1,051.00","948,857.50"
38,2025-12-17,892.00,905.00,892.00,900.00,-1.1,767.00,"690,517.00"
39,2025-12-16,900.20,918.00,900.20,910.00,-0.43,"1,415.00","1,288,891.50"
40,2025-12-15,908.00,918.90,898.00,913.90,0.65,946.00,"863,097.40"
41,2025-12-14,907.50,920.00,892.20,908.00,0.11,"3,494.00","3,189,994.00"
42,2025-12-11,895.10,919.60,895.10,907.00,0.55,"1,423.00","1,296,999.50"
43,2025-12-10,888.80,918.00,888.80,902.00,0.78,"1,797.00","1,622,639.20"
44,2025-12-09,888.50,912.00,888.50,895.00,-1.1,"1,560.00","1,415,881.00"
45,2025-12-08,895.00,905.00,894.00,905.00,0.2,872.00,"782,435.40"
46,2025-12-07,903.10,915.00,903.10,903.20,-0.96,"2,395.00","2,183,203.00"
47,2025-12-03,924.50,928.00,896.00,912.00,0.55,"2,680.00","2,458,850.80"
48,2025-12-02,906.90,925.00,890.20,907.00,1.9,"3,724.00","3,393,908.00"
49,2025-12-01,902.00,904.00,885.20,890.10,-1.32,430.00,"383,767.00"
50,2025-11-30,901.10,905.00,901.00,902.00,-0.33,"1,506.00","1,358,343.70"
51,2025-11-27,900.00,906.00,895.10,905.00,0.56,333.00,"298,621.00"
52,2025-11-26,883.10,910.00,883.10,900.00,0.56,676.00,"608,671.00"
53,2025-11-25,921.00,921.00,894.00,895.00,-1.0,"3,497.00","3,158,925.00"
54,2025-11-24,886.00,921.70,886.00,904.00,0.96,"1,250.00","1,139,249.00"
55,2025-11-23,885.10,902.80,885.10,895.40,-0.51,720.00,"647,598.90"
56,2025-11-20,885.50,903.00,885.30,900.00,-0.11,334.00,"297,711.00"
57,2025-11-19,911.40,911.40,876.00,901.00,-3.12,"2,863.00","2,575,482.00"
58,2025-11-18,886.00,930.00,870.00,930.00,7.04,"3,197.00","2,877,085.90"
59,2025-11-17,875.00,875.00,868.80,868.80,-1.79,"1,475.00","1,282,945.00"
60,2025-11-16,881.00,884.60,875.00,884.60,0.29,884.00,"775,365.80"
61,2025-11-13,881.00,885.00,881.00,882.00,-1.56,235.00,"207,335.00"
62,2025-11-12,890.00,896.00,881.00,896.00,-0.98,514.00,"454,925.00"
63,2025-11-11,881.10,904.90,881.10,904.90,2.68,80.00,"71,260.00"
64,2025-11-10,890.00,900.00,881.30,881.30,-1.53,976.00,"866,636.90"
65,2025-11-09,919.00,937.00,885.00,895.00,-0.67,795.00,"711,630.50"
66,2025-11-06,905.00,909.00,898.00,901.00,-2.38,957.00,"861,989.60"
67,2025-11-05,885.20,923.00,885.20,923.00,3.13,293.00,"263,943.20"
68,2025-11-04,907.00,910.00,890.20,895.00,-3.03,"1,478.00","1,327,955.00"
69,2025-11-03,912.00,925.00,910.00,923.00,-0.64,"1,263.00","1,152,168.00"
70,2025-11-02,905.00,930.00,905.00,928.90,2.63,"1,235.00","1,137,163.00"
71,2025-10-30,891.50,910.00,891.10,905.10,0.56,"2,936.00","2,654,681.80"
72,2025-10-29,914.90,914.90,898.00,900.10,0.35,"3,350.00","3,016,635.50"
73,2025-10-28,900.00,910.00,890.00,897.00,-0.33,"1,623.00","1,460,188.00"
74,2025-10-26,918.00,918.00,890.00,900.00,-2.07,300.00,"268,480.00"
75,2025-10-19,923.00,923.00,904.10,919.00,1.1,"1,420.00","1,288,987.30"
76,2025-10-16,900.00,909.00,900.00,909.00,0.89,"5,403.00","4,872,575.00"
77,2025-10-15,902.00,917.90,901.00,901.00,-0.02,"4,329.00","3,901,350.70"
78,2025-10-14,920.00,928.00,901.20,901.20,-2.04,"6,368.00","5,746,173.50"
79,2025-10-13,884.00,928.00,884.00,920.00,4.5,"6,939.00","6,210,227.90"
80,2025-10-12,900.00,900.00,880.30,880.40,-3.77,"12,667.00","11,292,745.20"
81,2025-10-09,930.00,931.00,900.00,914.90,0.32,"5,425.00","4,942,944.10"
82,2025-10-08,912.40,930.00,894.20,912.00,-2.04,"7,171.00","6,431,515.60"
83,2025-10-07,919.10,937.00,900.60,931.00,-0.64,"2,076.00","1,914,869.80"
84,2025-09-28,933.20,953.70,921.00,937.00,2.17,"5,619.00","5,289,563.30"
85,2025-09-25,932.00,947.00,916.20,917.10,-1.81,976.00,"908,120.60"
86,2025-09-24,901.60,937.00,901.60,934.00,2.5,"1,950.00","1,807,141.00"
87,2025-09-23,920.00,931.00,909.00,911.20,-1.03,"4,879.00","4,475,105.40"
88,2025-09-21,875.00,936.30,860.30,920.66,4.97,"4,330.00","3,933,858.70"
89,2025-09-18,883.80,895.00,877.10,877.10,-2.74,510.00,"455,041.00"
90,2025-09-08,890.00,905.00,890.00,901.83,0.81,"6,189.00","5,579,414.50"
91,2025-09-07,891.10,900.00,891.00,894.55,-0.78,"3,619.00","3,228,940.70"
92,2025-09-04,892.00,907.40,889.00,901.55,-0.05,"2,371.00","2,125,468.50"
