S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-10,656.00,668.90,648.00,655.00,-0.61,"26,743.00","17,441,870.60"
2,2026-02-09,664.0,664.00,659.0,659.0,-1.49,"8,752.00","5,784,580.40"
3,2026-02-08,664.0,683.60,657.6,669.0,-0.3,"24,215.00","16,093,442.60"
4,2026-02-05,660.2,671.00,651.0,671.0,1.67,"12,397.00","8,173,014.70"
5,2026-02-04,673.0,673.00,650.1,660.0,-0.02,"9,369.00","6,162,231.90"
6,2026-02-03,662.2,669.00,660.0,660.1,-0.29,"5,215.00","3,454,619.00"
7,2026-02-02,682.0,682.00,655.0,662.0,-1.05,"17,849.00","11,785,618.70"
8,2026-02-01,661.0,679.00,661.0,669.0,-0.31,"8,566.00","5,722,968.00"
9,2026-01-29,671.2,689.00,670.0,671.1,-0.01,"21,273.00","14,403,302.10"
10,2026-01-28,679.3,679.30,668.0,671.2,0.78,"11,623.00","7,804,100.30"
11,2026-01-27,681.0,689.00,665.0,666.0,-1.77,"22,556.00","15,189,658.25"
12,2026-01-26,698.0,705.90,678.0,678.0,-2.16,"20,807.00","14,243,081.10"
13,2026-01-25,694.0,704.90,687.0,693.0,-0.29,"19,932.00","13,858,456.90"
14,2026-01-22,681.0,695.00,678.1,695.0,0.87,"9,663.00","6,648,039.30"
15,2026-01-21,698.0,700.00,685.0,689.0,0.58,"33,402.00","23,013,276.00"
16,2026-01-20,675.0,688.00,667.2,685.0,3.16,"16,236.00","11,039,173.00"
17,2026-01-18,660.2,672.00,658.6,664.0,0.61,"15,192.00","10,074,003.10"
18,2026-01-14,673.0,673.90,660.0,660.0,-0.44,"23,012.00","15,252,192.80"
19,2026-01-13,661.0,663.00,650.2,662.9,-0.02,"16,607.00","10,912,875.50"
20,2026-01-12,676.0,679.00,658.0,663.0,-0.45,"29,098.00","19,351,099.10"
21,2026-01-08,694.0,694.00,666.0,666.0,-2.35,"21,018.00","14,117,339.00"
22,2026-01-07,710.0,712.00,668.0,682.0,-2.57,"90,636.00","62,264,895.60"
23,2026-01-06,692.0,733.00,692.0,700.0,-0.71,"38,196.00","26,890,557.20"
24,2026-01-05,695.8,766.00,695.8,705.0,-0.7,"65,309.00","46,281,561.10"
25,2026-01-04,727.2,727.20,695.0,710.0,-4.31,"44,051.00","31,045,009.30"
26,2026-01-01,723.7,780.00,710.0,742.0,0.54,"31,787.00","23,442,146.20"
27,2025-12-31,717.3,796.00,681.1,738.0,0.83,"166,252.00","118,822,579.70"
28,2025-12-29,695.0,739.80,695.0,731.9,5.01,"98,469.00","69,378,304.50"
29,2025-12-28,690.0,730.00,671.5,697.0,2.5,"12,391.00","8,521,931.40"
30,2025-12-24,669.5,708.00,662.4,680.0,1.49,"9,153.00","6,194,959.00"
31,2025-12-23,660.6,684.00,623.0,670.0,-0.59,"6,145.00","4,137,661.40"
32,2025-12-22,683.0,688.00,662.0,674.0,0.65,"11,833.00","7,949,278.90"
33,2025-12-21,730.0,773.00,727.0,729.9,-1.83,"35,697.00","26,432,053.80"
34,2025-12-18,715.3,749.00,715.3,743.5,1.88,"26,157.00","19,284,007.20"
35,2025-12-17,705.6,732.00,705.6,729.8,1.36,"22,975.00","16,650,954.20"
36,2025-12-16,704.9,734.90,704.9,720.0,2.14,"17,582.00","12,549,035.40"
37,2025-12-15,680.0,706.80,680.0,704.9,2.01,"9,834.00","6,905,078.40"
38,2025-12-14,686.5,700.70,686.5,691.0,0.0,"15,262.00","10,494,516.50"
39,2025-12-11,686.0,699.00,686.0,691.0,-1.14,"7,477.00","5,205,572.00"
40,2025-12-10,691.0,700.00,691.0,699.0,1.16,"1,071.00","748,236.30"
41,2025-12-09,690.1,700.70,690.1,691.0,0.58,"2,403.00","1,676,990.00"
42,2025-12-08,690.3,696.70,683.1,687.0,-0.48,"2,884.00","1,977,936.00"
43,2025-12-07,700.0,712.00,690.0,690.3,-1.16,"2,669.00","1,852,191.00"
44,2025-12-03,695.5,702.00,695.0,698.4,0.34,"4,154.00","2,902,802.00"
45,2025-12-02,696.1,705.00,688.3,696.0,-0.01,"1,328.00","930,833.70"
46,2025-12-01,709.8,709.90,695.0,696.1,-1.96,"1,211.00","844,346.90"
47,2025-11-30,701.0,718.00,700.7,710.0,-0.7,"3,086.00","2,174,114.80"
48,2025-11-27,686.0,715.00,686.0,715.0,2.14,"9,675.00","6,831,563.20"
49,2025-11-26,689.5,705.00,689.5,700.0,1.45,"4,793.00","3,348,464.90"
50,2025-11-25,695.0,697.00,675.1,690.0,-1.15,"3,214.00","2,205,919.40"
51,2025-11-24,695.0,698.00,687.0,698.0,0.42,"5,724.00","3,972,545.20"
52,2025-11-23,697.0,700.00,690.0,695.1,1.31,"4,111.00","2,866,565.30"
53,2025-11-20,695.0,695.00,684.0,686.1,0.29,610.00,"419,211.30"
54,2025-11-19,697.0,709.90,683.3,684.1,-1.85,"12,560.00","8,706,920.20"
55,2025-11-18,677.0,700.00,676.6,697.0,3.26,"4,690.00","3,226,262.20"
56,2025-11-17,674.8,685.00,674.8,675.0,0.0,"1,245.00","842,405.00"
57,2025-11-16,673.0,675.00,661.0,675.0,2.27,"3,660.00","2,460,619.10"
58,2025-11-13,679.0,679.00,655.5,660.0,-1.2,"4,694.00","3,126,045.40"
59,2025-11-12,685.0,685.00,668.0,668.0,-1.47,"2,083.00","1,404,272.80"
60,2025-11-11,674.0,686.00,673.0,678.0,0.59,"1,898.00","1,280,816.20"
61,2025-11-10,666.0,690.00,665.0,674.0,-0.44,"1,272.00","854,052.60"
62,2025-11-09,687.0,689.60,676.1,677.0,-1.46,"2,524.00","1,710,198.30"
63,2025-11-06,663.9,687.00,663.9,687.0,1.43,"3,259.00","2,208,959.30"
